,date,open,high,low,close,volume,average,barCount
0,2025-04-14,211.43,212.94,201.16,202.52,66414971.0,205.667,338308
1,2025-04-15,201.76,203.51,199.8,202.14,29238300.0,202.195,165203
2,2025-04-16,198.36,200.7,192.37,194.27,35896165.0,196.215,200071
3,2025-04-17,197.02,198.84,194.42,196.98,29851913.0,196.876,153473
4,2025-04-21,193.31,193.8,189.81,193.16,23372077.0,191.611,128003
5,2025-04-22,196.0,201.59,195.97,199.74,29453698.0,199.095,152437
6,2025-04-23,205.99,208.0,202.79,204.6,30477438.0,205.506,168361
7,2025-04-24,204.94,208.83,202.94,208.37,21891409.0,206.48,125126
8,2025-04-25,206.35,209.75,206.2,209.28,19849830.0,208.137,108878
9,2025-04-28,210.06,211.5,207.46,210.14,19037050.0,209.496,101542
10,2025-04-29,208.8,212.24,208.37,211.21,16647114.0,210.941,91661
11,2025-04-30,209.26,213.58,206.67,212.5,20863441.0,210.563,109876
12,2025-05-01,208.9,214.56,208.9,213.32,26794399.0,212.25,140383
13,2025-05-02,206.09,206.99,202.16,205.35,58989850.0,204.711,296603
14,2025-05-05,203.1,204.1,198.21,198.89,38079557.0,199.884,176309
15,2025-05-06,198.17,200.65,197.02,198.51,26765829.0,198.944,137264
16,2025-05-07,199.11,199.44,193.25,196.25,35806508.0,195.767,176914
17,2025-05-08,197.73,200.05,194.67,197.49,28596522.0,197.856,148827
18,2025-05-09,199.0,200.54,197.53,198.53,21648319.0,198.764,101953
19,2025-05-12,210.93,211.26,206.75,210.79,37355661.0,209.414,177749
20,2025-05-13,210.37,213.4,209.0,212.93,27973594.0,211.606,133838
21,2025-05-14,212.43,213.94,210.58,212.33,26654783.0,212.261,139831
22,2025-05-15,210.89,212.96,209.54,211.45,25683123.0,211.27,137729
23,2025-05-16,212.42,212.57,209.77,211.26,23530503.0,211.33,110809
24,2025-05-19,207.78,209.48,204.26,208.78,26756901.0,207.322,147380
25,2025-05-20,207.67,208.47,205.03,206.86,23605310.0,207.032,126482
26,2025-05-21,205.17,207.04,200.71,202.09,37402809.0,203.65,210853
27,2025-05-22,200.71,202.75,199.78,201.36,29211575.0,201.392,156961
28,2025-05-23,193.67,197.7,193.46,195.27,48789980.0,196.006,247657
29,2025-05-27,198.29,200.74,197.43,200.21,33513368.0,199.389,179785
30,2025-05-28,200.53,202.73,199.9,200.42,23926798.0,200.937,131393
