,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,211.43,212.94,201.79,202.51,39285035.0,206.792,185134
1,2025-04-14 12:00:00-04:00,202.51,206.66,201.16,202.6,27129936.0,204.039,153174
2,2025-04-15 09:30:00-04:00,201.76,203.51,199.8,202.89,15956723.0,202.056,89424
3,2025-04-15 12:00:00-04:00,202.88,203.35,201.11,202.13,13281577.0,202.363,75779
4,2025-04-16 09:30:00-04:00,198.36,200.7,196.0,196.75,16602139.0,197.828,87626
5,2025-04-16 12:00:00-04:00,196.75,197.92,192.37,194.3,19294026.0,194.827,112445
6,2025-04-17 09:30:00-04:00,197.02,197.2,194.42,196.11,15056434.0,196.237,67643
7,2025-04-17 12:00:00-04:00,196.12,198.84,195.81,196.87,14795479.0,197.527,85830
8,2025-04-21 09:30:00-04:00,193.31,193.8,189.81,190.25,11526356.0,191.907,58608
9,2025-04-21 12:00:00-04:00,190.24,193.43,190.13,193.09,11845721.0,191.323,69395
10,2025-04-22 09:30:00-04:00,196.0,199.55,195.97,199.33,11436769.0,198.11,59413
11,2025-04-22 12:00:00-04:00,199.34,201.59,198.0,199.56,18016929.0,199.721,93024
12,2025-04-23 09:30:00-04:00,205.99,208.0,203.65,204.27,17596977.0,206.227,95855
13,2025-04-23 12:00:00-04:00,204.27,205.75,202.79,204.44,12880461.0,204.52,72506
14,2025-04-24 09:30:00-04:00,204.94,206.72,202.94,206.09,10706192.0,205.458,61421
15,2025-04-24 12:00:00-04:00,206.11,208.83,205.65,208.28,11185217.0,207.458,63705
16,2025-04-25 09:30:00-04:00,206.35,209.25,206.2,207.5,9618959.0,207.59,50420
17,2025-04-25 12:00:00-04:00,207.49,209.75,207.33,209.23,10230871.0,208.651,58458
18,2025-04-28 09:30:00-04:00,210.06,211.5,207.58,207.96,9773080.0,209.383,51379
19,2025-04-28 12:00:00-04:00,207.95,211.5,207.46,210.09,9263970.0,209.615,50163
20,2025-04-29 09:30:00-04:00,208.8,212.24,208.37,210.62,7943447.0,210.837,40922
21,2025-04-29 12:00:00-04:00,210.62,211.97,209.35,211.24,8703667.0,211.035,50739
22,2025-04-30 09:30:00-04:00,209.26,211.13,206.67,211.05,8363778.0,209.01,42988
23,2025-04-30 12:00:00-04:00,211.04,213.58,209.8,212.53,12499663.0,211.602,66888
24,2025-05-01 09:30:00-04:00,208.9,214.27,208.9,211.58,13428933.0,211.643,69792
25,2025-05-01 12:00:00-04:00,211.6,214.56,211.53,212.83,13365466.0,212.859,70591
26,2025-05-02 09:30:00-04:00,206.09,206.99,202.16,205.48,31744849.0,204.503,157627
27,2025-05-02 12:00:00-04:00,205.49,206.58,203.66,205.3,27245001.0,204.954,138976
28,2025-05-05 09:30:00-04:00,203.1,204.1,198.21,199.28,19990284.0,199.918,93184
29,2025-05-05 12:00:00-04:00,199.28,201.16,198.51,198.77,18089273.0,199.846,83125
30,2025-05-06 09:30:00-04:00,198.17,199.88,197.02,198.81,14024528.0,198.544,71420
31,2025-05-06 12:00:00-04:00,198.83,200.65,198.37,198.41,12741301.0,199.385,65844
32,2025-05-07 09:30:00-04:00,199.11,199.44,193.25,195.11,18489552.0,196.355,87839
33,2025-05-07 12:00:00-04:00,195.1,197.47,193.3,196.25,17316956.0,195.138,89075
34,2025-05-08 09:30:00-04:00,197.73,199.75,194.67,199.34,14575757.0,196.948,74820
35,2025-05-08 12:00:00-04:00,199.34,200.05,197.16,197.4,14020765.0,198.801,74007
36,2025-05-09 09:30:00-04:00,199.0,200.54,197.53,198.76,11074227.0,198.971,51158
37,2025-05-09 12:00:00-04:00,198.72,199.43,197.6,198.54,10574092.0,198.547,50795
38,2025-05-12 09:30:00-04:00,210.93,211.26,206.75,208.43,21721423.0,208.884,100148
39,2025-05-12 12:00:00-04:00,208.43,211.15,208.25,210.83,15634238.0,210.15,77601
40,2025-05-13 09:30:00-04:00,210.37,211.88,209.0,210.89,14019116.0,210.825,67048
41,2025-05-13 12:00:00-04:00,210.9,213.4,210.65,212.86,13954478.0,212.391,66790
42,2025-05-14 09:30:00-04:00,212.43,213.94,211.85,212.39,12650979.0,212.788,63209
43,2025-05-14 12:00:00-04:00,212.38,212.68,210.58,212.42,14003804.0,211.784,76622
44,2025-05-15 09:30:00-04:00,210.89,212.96,209.54,211.96,12152198.0,211.376,63432
45,2025-05-15 12:00:00-04:00,211.96,212.28,210.15,211.46,13530925.0,211.174,74297
46,2025-05-16 09:30:00-04:00,212.42,212.57,209.77,210.67,13552597.0,211.355,54607
47,2025-05-16 12:00:00-04:00,210.67,211.93,210.45,211.2,9977906.0,211.296,56202
48,2025-05-19 09:30:00-04:00,207.78,208.27,204.26,207.63,15638986.0,206.491,83558
49,2025-05-19 12:00:00-04:00,207.64,209.48,207.58,208.76,11117915.0,208.491,63822
50,2025-05-20 09:30:00-04:00,207.67,208.47,206.47,207.92,10685973.0,207.594,55097
51,2025-05-20 12:00:00-04:00,207.91,208.08,205.03,206.87,12919337.0,206.567,71385
52,2025-05-21 09:30:00-04:00,205.17,207.04,204.06,206.0,10608946.0,205.747,63245
53,2025-05-21 12:00:00-04:00,206.0,206.27,200.71,202.05,26793863.0,202.82,147608
54,2025-05-22 09:30:00-04:00,200.71,202.29,199.78,201.75,14853102.0,200.932,78746
55,2025-05-22 12:00:00-04:00,201.75,202.75,201.0,201.37,14358473.0,201.868,78215
56,2025-05-23 09:30:00-04:00,193.67,197.7,193.46,196.2,25402764.0,196.229,123877
57,2025-05-23 12:00:00-04:00,196.2,196.68,195.0,195.34,23387216.0,195.763,123780
58,2025-05-27 09:30:00-04:00,198.29,200.1,197.43,200.07,16615122.0,198.54,84003
59,2025-05-27 12:00:00-04:00,200.07,200.74,199.67,200.2,16898246.0,200.225,95782
60,2025-05-28 09:30:00-04:00,200.53,202.73,199.9,200.91,13015013.0,200.903,68914
61,2025-05-28 12:00:00-04:00,200.91,201.53,200.19,200.42,10911785.0,200.977,62479
62,2025-05-29 09:30:00-04:00,203.49,203.81,198.7,198.87,14955281.0,201.432,77565
63,2025-05-29 12:00:00-04:00,198.86,200.45,198.51,199.95,15456536.0,199.507,80799
64,2025-05-30 09:30:00-04:00,199.39,199.57,197.98,198.88,9289457.0,198.922,49679
65,2025-05-30 12:00:00-04:00,198.88,201.96,196.78,200.66,19280097.0,199.509,108004
66,2025-06-02 09:30:00-04:00,200.28,202.13,200.12,201.0,10802239.0,201.008,62033
67,2025-06-02 12:00:00-04:00,201.01,201.82,200.57,201.79,8942041.0,201.226,52756
68,2025-06-03 09:30:00-04:00,201.35,203.24,200.95,202.93,11707835.0,202.183,64049
69,2025-06-03 12:00:00-04:00,202.94,203.77,202.4,203.33,12179112.0,203.186,70844
70,2025-06-04 09:30:00-04:00,202.97,206.24,202.1,203.36,16079876.0,204.328,85619
71,2025-06-04 12:00:00-04:00,203.35,203.59,202.61,202.89,10214777.0,203.098,57660
72,2025-06-05 09:30:00-04:00,203.56,204.75,201.34,204.17,13434519.0,202.976,76175
73,2025-06-05 12:00:00-04:00,204.17,204.39,200.15,200.63,15159631.0,201.722,88619
74,2025-06-06 09:30:00-04:00,203.0,205.7,202.86,203.05,12849118.0,204.095,69751
75,2025-06-06 12:00:00-04:00,203.05,205.47,202.05,203.93,14549603.0,204.21,78150
76,2025-06-09 09:30:00-04:00,204.44,206.0,203.98,204.45,11474118.0,204.957,60710
77,2025-06-09 12:00:00-04:00,204.46,205.3,200.02,201.45,37164801.0,201.913,192634
78,2025-06-10 09:30:00-04:00,200.56,204.35,200.56,202.92,16325982.0,202.733,80664
79,2025-06-10 12:00:00-04:00,202.93,203.23,201.31,202.75,15864225.0,202.309,78777
80,2025-06-11 09:30:00-04:00,203.5,204.5,200.62,200.75,15659701.0,202.235,80401
81,2025-06-11 12:00:00-04:00,200.73,201.24,198.41,198.85,21722917.0,199.588,118057
82,2025-06-12 09:30:00-04:00,199.08,199.39,197.36,198.3,13459627.0,198.263,72728
83,2025-06-12 12:00:00-04:00,198.31,199.68,198.08,199.19,12332155.0,198.863,65724
84,2025-06-13 09:30:00-04:00,199.83,200.37,195.91,197.69,16105242.0,197.484,81236
85,2025-06-13 12:00:00-04:00,197.68,198.05,195.7,196.46,15296687.0,196.684,85718
86,2025-06-16 09:30:00-04:00,197.28,198.69,196.56,197.37,13400507.0,197.636,68622
87,2025-06-16 12:00:00-04:00,197.37,198.49,197.02,198.37,11284550.0,197.916,61331
88,2025-06-17 09:30:00-04:00,197.2,198.39,196.25,197.78,9651856.0,197.35,47897
89,2025-06-17 12:00:00-04:00,197.78,198.15,195.21,195.64,12002099.0,196.219,65368
90,2025-06-18 09:30:00-04:00,195.92,197.57,195.07,196.82,10325502.0,196.579,51769
91,2025-06-18 12:00:00-04:00,196.82,197.23,195.11,196.25,15118290.0,196.31,81617
92,2025-06-20 09:30:00-04:00,198.12,200.95,196.85,198.08,25364465.0,198.723,83651
93,2025-06-20 12:00:00-04:00,198.07,201.7,197.9,200.94,21194769.0,199.85,106034
94,2025-06-23 09:30:00-04:00,201.59,202.3,199.51,199.88,14300163.0,201.02,73932
95,2025-06-23 12:00:00-04:00,199.88,202.24,198.96,201.55,13530940.0,201.052,75115
96,2025-06-24 09:30:00-04:00,202.59,202.78,200.2,201.91,14021883.0,201.386,74125
97,2025-06-24 12:00:00-04:00,201.91,203.44,200.27,200.29,19577710.0,201.75,106929
98,2025-06-25 09:30:00-04:00,201.42,203.67,201.2,201.98,13034336.0,202.266,67228
99,2025-06-25 12:00:00-04:00,201.99,202.2,200.62,201.59,10446504.0,201.33,56088
100,2025-06-26 09:30:00-04:00,201.44,202.64,199.46,200.0,14941130.0,200.374,77956
101,2025-06-26 12:00:00-04:00,200.0,201.56,199.63,200.94,16563159.0,200.699,86433
102,2025-06-27 09:30:00-04:00,201.92,203.22,200.85,201.88,15051810.0,201.94,76530
103,2025-06-27 12:00:00-04:00,201.88,202.7,200.0,201.1,17653894.0,201.449,98926
104,2025-06-30 09:30:00-04:00,201.99,202.19,199.59,200.03,14061904.0,200.603,73128
105,2025-06-30 12:00:00-04:00,200.04,207.39,199.26,205.12,40040787.0,203.78,196139
106,2025-07-01 09:30:00-04:00,206.72,210.19,206.14,207.3,33913460.0,208.389,181598
107,2025-07-01 12:00:00-04:00,207.3,208.53,207.09,207.86,17756953.0,207.897,100386
108,2025-07-02 09:30:00-04:00,208.99,213.34,208.14,211.56,27971521.0,211.735,141353
109,2025-07-02 12:00:00-04:00,211.55,212.96,210.22,212.41,19738272.0,211.706,103053
110,2025-07-03 09:30:00-04:00,212.07,214.65,211.81,214.33,17181886.0,213.548,87984
111,2025-07-03 12:00:00-04:00,214.34,214.5,213.33,213.59,4731785.0,213.886,25179
112,2025-07-07 09:30:00-04:00,212.72,216.23,211.53,211.75,14456303.0,212.925,78090
113,2025-07-07 12:00:00-04:00,211.74,212.22,208.8,209.94,16141322.0,210.031,88320
114,2025-07-08 09:30:00-04:00,210.1,211.43,208.45,210.55,13041083.0,209.772,69717
115,2025-07-08 12:00:00-04:00,210.56,211.19,209.3,210.03,11575324.0,210.02,62391
116,2025-07-09 09:30:00-04:00,209.53,210.9,207.22,207.73,15110733.0,208.871,79227
117,2025-07-09 12:00:00-04:00,207.74,211.33,207.53,211.11,15512512.0,209.548,81004
118,2025-07-10 09:30:00-04:00,210.44,213.48,210.03,212.39,16162187.0,212.037,83928
119,2025-07-10 12:00:00-04:00,212.38,213.44,211.83,212.42,12220547.0,212.505,66359
120,2025-07-11 09:30:00-04:00,210.43,212.13,209.86,210.67,11451353.0,210.875,58573
121,2025-07-11 12:00:00-04:00,210.68,211.66,210.45,211.08,10106931.0,211.085,55074
122,2025-07-14 09:30:00-04:00,209.93,210.91,207.54,208.84,13474458.0,208.623,70744
123,2025-07-14 12:00:00-04:00,208.83,209.45,208.52,208.55,10457173.0,208.992,60973
124,2025-07-15 09:30:00-04:00,209.22,211.89,208.92,210.79,13595481.0,210.266,71754
125,2025-07-15 12:00:00-04:00,210.79,211.67,208.98,209.02,10239166.0,210.45,57425
126,2025-07-16 09:30:00-04:00,210.3,212.4,208.64,209.83,15845893.0,210.682,87104
127,2025-07-16 12:00:00-04:00,209.85,210.95,209.37,210.15,10211332.0,210.212,57171
128,2025-07-17 09:30:00-04:00,210.72,211.01,209.59,210.65,11330972.0,210.304,60481
129,2025-07-17 12:00:00-04:00,210.66,211.8,209.74,210.06,17500954.0,210.887,101821
130,2025-07-18 09:30:00-04:00,210.66,211.1,209.7,211.08,15126750.0,210.583,58410
131,2025-07-18 12:00:00-04:00,211.07,211.79,209.94,211.22,11582965.0,211.111,67247
132,2025-07-21 09:30:00-04:00,212.14,215.78,211.63,213.4,20969906.0,213.944,116677
133,2025-07-21 12:00:00-04:00,213.39,213.86,212.06,212.55,10905370.0,212.979,60225
134,2025-07-22 09:30:00-04:00,213.29,214.03,212.23,213.27,14482168.0,213.173,79080
135,2025-07-22 12:00:00-04:00,213.27,214.95,212.84,214.39,13952573.0,213.931,79889
136,2025-07-23 09:30:00-04:00,215.09,215.15,212.41,213.36,15127748.0,213.265,80374
137,2025-07-23 12:00:00-04:00,213.36,214.7,213.21,214.31,12903741.0,214.078,73392
138,2025-07-24 09:30:00-04:00,213.9,215.69,213.53,214.9,15098257.0,214.607,85718
139,2025-07-24 12:00:00-04:00,214.89,215.21,213.72,213.76,12592692.0,214.511,76114
140,2025-07-25 09:30:00-04:00,214.64,215.24,213.73,214.24,11391500.0,214.42,60321
141,2025-07-25 12:00:00-04:00,214.23,214.62,213.4,213.95,11044477.0,214.014,65120
142,2025-07-28 09:30:00-04:00,214.0,214.85,213.58,214.43,9861493.0,214.305,52590
143,2025-07-28 12:00:00-04:00,214.44,214.75,213.06,214.04,11118144.0,213.813,59526
144,2025-07-29 09:30:00-04:00,214.16,214.81,211.5,212.51,14322849.0,212.859,75268
145,2025-07-29 12:00:00-04:00,212.51,212.93,210.89,211.35,13892275.0,211.905,73130
146,2025-07-30 09:30:00-04:00,211.9,212.39,209.57,210.16,9173943.0,210.588,48491
147,2025-07-30 12:00:00-04:00,210.15,210.42,207.72,209.02,12622290.0,209.17,70709
148,2025-07-31 09:30:00-04:00,208.49,209.69,207.82,208.62,15110658.0,208.782,84875
149,2025-07-31 12:00:00-04:00,208.61,209.84,207.16,207.61,20228649.0,208.543,114975
150,2025-08-01 09:30:00-04:00,210.95,213.58,203.07,203.73,33569687.0,206.643,171123
151,2025-08-01 12:00:00-04:00,203.71,204.33,201.5,202.27,27625215.0,202.81,144363
152,2025-08-04 09:30:00-04:00,204.46,207.88,204.19,205.29,18508020.0,206.126,96344
153,2025-08-04 12:00:00-04:00,205.3,205.51,201.67,203.34,23067562.0,203.33,124283
154,2025-08-05 09:30:00-04:00,203.4,205.34,202.16,203.92,14138924.0,203.931,74840
155,2025-08-05 12:00:00-04:00,203.91,204.3,202.67,202.93,11877502.0,203.542,62072
156,2025-08-06 09:30:00-04:00,205.63,214.9,205.59,214.63,37993724.0,211.235,186944
157,2025-08-06 12:00:00-04:00,214.64,215.38,212.81,213.25,30991228.0,214.31,162173
158,2025-08-07 09:30:00-04:00,218.89,220.33,216.58,219.61,34983841.0,218.875,174097
159,2025-08-07 12:00:00-04:00,219.6,220.85,218.7,220.13,25582594.0,219.698,133523
160,2025-08-08 09:30:00-04:00,220.86,226.33,219.25,225.99,26881363.0,222.97,130342
161,2025-08-08 12:00:00-04:00,225.99,231.0,225.89,229.37,54399994.0,229.163,256588
162,2025-08-11 09:30:00-04:00,227.93,228.96,224.76,228.63,19781921.0,226.883,96333
163,2025-08-11 12:00:00-04:00,228.63,229.56,226.62,227.21,17664827.0,227.838,92855
164,2025-08-12 09:30:00-04:00,228.01,230.59,227.07,229.7,17860323.0,228.9,91359
165,2025-08-12 12:00:00-04:00,229.71,230.8,228.92,229.64,13695854.0,229.782,72224
166,2025-08-13 09:30:00-04:00,231.05,234.55,230.43,232.67,21933942.0,232.322,117889
167,2025-08-13 12:00:00-04:00,232.68,235.0,230.8,233.32,21543618.0,233.12,112828
168,2025-08-14 09:30:00-04:00,234.01,235.06,230.85,231.32,16722365.0,232.635,83035
169,2025-08-14 12:00:00-04:00,231.33,233.59,231.31,232.83,12615764.0,232.719,71110
170,2025-08-15 09:30:00-04:00,234.0,234.28,230.47,231.03,15209921.0,232.39,62452
171,2025-08-15 12:00:00-04:00,231.02,231.77,229.36,231.65,12766357.0,230.971,76804
172,2025-08-18 09:30:00-04:00,231.77,233.12,230.37,230.91,11900628.0,231.484,59648
173,2025-08-18 12:00:00-04:00,230.9,231.68,230.11,230.88,9518450.0,231.071,51903
174,2025-08-19 09:30:00-04:00,231.28,232.87,230.47,231.4,10293283.0,231.545,54892
175,2025-08-19 12:00:00-04:00,231.39,231.54,229.35,230.54,10871444.0,230.392,63183
176,2025-08-20 09:30:00-04:00,229.97,230.47,226.11,226.56,12492292.0,227.445,68866
177,2025-08-20 12:00:00-04:00,226.55,227.16,225.77,225.96,10910167.0,226.445,62186
178,2025-08-21 09:30:00-04:00,226.27,226.52,224.51,225.26,8497021.0,225.48,46921
179,2025-08-21 12:00:00-04:00,225.26,225.28,223.78,224.91,10445449.0,224.639,60045
180,2025-08-22 09:30:00-04:00,226.17,228.72,225.41,227.36,10875506.0,227.57,58249
181,2025-08-22 12:00:00-04:00,227.35,229.09,226.92,227.75,12322915.0,227.955,69390
182,2025-08-25 09:30:00-04:00,226.48,229.3,226.23,229.16,9856685.0,228.33,51590
183,2025-08-25 12:00:00-04:00,229.15,229.18,227.12,227.15,8704518.0,228.006,51509
184,2025-08-26 09:30:00-04:00,226.86,227.3,224.69,226.7,9327369.0,226.136,49957
185,2025-08-26 12:00:00-04:00,226.71,229.49,226.71,229.3,10590955.0,228.184,55386
186,2025-08-27 09:30:00-04:00,228.69,230.71,228.26,229.92,10172724.0,229.648,52208
187,2025-08-27 12:00:00-04:00,229.92,230.9,229.6,230.44,8009270.0,230.231,41834
188,2025-08-28 09:30:00-04:00,230.82,231.91,229.33,231.56,8570531.0,230.808,47130
189,2025-08-28 12:00:00-04:00,231.55,233.41,231.41,232.49,12151190.0,232.759,67388
190,2025-08-29 09:30:00-04:00,232.55,233.38,231.37,231.77,10800497.0,232.466,59878
191,2025-08-29 12:00:00-04:00,231.75,232.96,231.48,232.27,10273670.0,232.287,58930
