,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,7.5,7.5,6.83,6.87,202806.0,7.134,823
1,2025-04-14 12:00:00-04:00,6.88,7.45,6.84,7.17,433901.0,7.191,2019
2,2025-04-15 09:30:00-04:00,7.12,7.86,7.07,7.74,1002856.0,7.535,3263
3,2025-04-15 12:00:00-04:00,7.78,8.12,7.67,7.81,1115946.0,7.866,3564
4,2025-04-16 09:30:00-04:00,7.61,8.06,7.15,7.32,525431.0,7.488,1792
5,2025-04-16 12:00:00-04:00,7.32,7.44,6.92,7.16,886654.0,7.2,2417
6,2025-04-17 09:30:00-04:00,7.1,7.46,7.06,7.29,330072.0,7.202,996
7,2025-04-17 12:00:00-04:00,7.3,7.61,7.16,7.29,605417.0,7.359,1978
8,2025-04-21 09:30:00-04:00,7.24,7.24,6.1,6.23,849306.0,6.405,2892
9,2025-04-21 12:00:00-04:00,6.21,6.38,6.15,6.29,515637.0,6.276,2062
10,2025-04-22 09:30:00-04:00,6.3,6.46,6.11,6.28,422105.0,6.303,1599
11,2025-04-22 12:00:00-04:00,6.28,6.36,6.17,6.17,330798.0,6.256,1775
12,2025-04-23 09:30:00-04:00,6.43,7.18,6.42,6.76,555698.0,6.886,2254
13,2025-04-23 12:00:00-04:00,6.75,6.9,6.65,6.72,270438.0,6.75,1355
14,2025-04-24 09:30:00-04:00,6.74,7.1,6.65,7.06,177945.0,6.972,718
15,2025-04-24 12:00:00-04:00,7.08,7.5,7.06,7.47,374433.0,7.362,1495
16,2025-04-25 09:30:00-04:00,7.49,7.5,7.2,7.28,171918.0,7.356,723
17,2025-04-25 12:00:00-04:00,7.29,7.49,7.15,7.31,287074.0,7.336,1509
18,2025-04-28 09:30:00-04:00,7.32,7.76,6.94,7.01,438809.0,7.373,1662
19,2025-04-28 12:00:00-04:00,7.03,7.21,6.9,7.18,173905.0,7.093,1111
20,2025-04-29 09:30:00-04:00,7.13,7.31,7.11,7.21,147566.0,7.212,616
21,2025-04-29 12:00:00-04:00,7.23,7.45,7.18,7.33,395957.0,7.344,1275
22,2025-04-30 09:30:00-04:00,7.0,7.2,6.86,7.15,186167.0,7.01,713
23,2025-04-30 12:00:00-04:00,7.14,7.24,7.06,7.1,186416.0,7.142,979
24,2025-05-01 09:30:00-04:00,7.14,7.46,7.1,7.12,184816.0,7.291,846
25,2025-05-01 12:00:00-04:00,7.11,7.39,7.11,7.17,268412.0,7.263,1473
26,2025-05-02 09:30:00-04:00,7.25,7.56,7.25,7.47,425688.0,7.465,1857
27,2025-05-02 12:00:00-04:00,7.47,7.72,7.46,7.68,801711.0,7.588,3353
28,2025-05-05 09:30:00-04:00,7.68,7.69,7.46,7.6,229652.0,7.579,931
29,2025-05-05 12:00:00-04:00,7.62,7.98,7.58,7.8,1086958.0,7.815,3593
30,2025-05-06 09:30:00-04:00,7.62,9.06,7.5,8.99,1131219.0,8.533,4136
31,2025-05-06 12:00:00-04:00,8.98,9.53,8.92,9.2,2145373.0,9.229,7857
32,2025-05-07 09:30:00-04:00,9.16,9.17,8.53,9.03,875996.0,8.932,2986
33,2025-05-07 12:00:00-04:00,9.02,9.15,8.74,9.05,656219.0,8.976,2441
34,2025-05-08 09:30:00-04:00,9.3,9.9,9.0,9.87,655812.0,9.546,2350
35,2025-05-08 12:00:00-04:00,9.88,10.74,9.87,10.19,1537123.0,10.28,6031
36,2025-05-09 09:30:00-04:00,10.27,11.0,10.21,10.96,887414.0,10.673,3272
37,2025-05-09 12:00:00-04:00,10.97,11.12,10.68,11.12,1257956.0,10.907,5882
38,2025-05-12 09:30:00-04:00,11.5,12.5,11.48,12.13,1147935.0,11.962,4392
39,2025-05-12 12:00:00-04:00,12.13,13.05,12.13,13.03,1771944.0,12.635,6865
40,2025-05-13 09:30:00-04:00,13.02,13.69,12.46,13.42,1035973.0,13.107,3239
41,2025-05-13 12:00:00-04:00,13.41,13.64,13.04,13.53,1020848.0,13.331,5062
42,2025-05-14 09:30:00-04:00,13.93,14.3,13.03,13.81,1028081.0,13.704,3546
43,2025-05-14 12:00:00-04:00,13.81,14.47,13.77,14.44,888456.0,14.051,4184
44,2025-05-15 09:30:00-04:00,14.0,18.19,13.85,17.54,2464732.0,16.755,8799
45,2025-05-15 12:00:00-04:00,17.56,17.74,16.39,17.0,1676377.0,17.161,7149
46,2025-05-16 09:30:00-04:00,17.25,18.58,17.0,17.87,1346681.0,17.977,4440
47,2025-05-16 12:00:00-04:00,17.89,18.74,17.26,18.43,1821939.0,18.133,7407
48,2025-05-19 09:30:00-04:00,18.66,18.73,15.35,15.88,2627424.0,16.412,9773
49,2025-05-19 12:00:00-04:00,15.9,15.91,15.06,15.57,1753513.0,15.421,7748
50,2025-05-20 09:30:00-04:00,14.8,15.15,13.74,15.02,1710490.0,14.45,7207
51,2025-05-20 12:00:00-04:00,15.0,15.45,14.79,14.96,971050.0,15.034,5252
52,2025-05-21 09:30:00-04:00,14.84,14.96,14.16,14.39,840340.0,14.451,3844
53,2025-05-21 12:00:00-04:00,14.38,14.45,13.84,14.18,1070125.0,14.141,5535
54,2025-05-22 09:30:00-04:00,14.18,15.4,14.16,14.97,1453688.0,14.948,4363
55,2025-05-22 12:00:00-04:00,14.97,16.49,14.94,16.11,1313155.0,15.96,6054
56,2025-05-23 09:30:00-04:00,15.78,16.1,15.33,15.36,508519.0,15.721,2520
57,2025-05-23 12:00:00-04:00,15.37,16.13,15.33,16.02,546021.0,15.817,3063
58,2025-05-27 09:30:00-04:00,16.49,17.53,16.1,16.54,597571.0,16.68,2526
59,2025-05-27 12:00:00-04:00,16.55,16.65,15.75,16.12,480780.0,16.175,3037
60,2025-05-28 09:30:00-04:00,16.37,17.14,16.05,16.85,628700.0,16.76,2578
