,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,97.03,97.37,93.45,93.81,13498067.0,95.526,66875
1,2025-04-14 12:00:00-04:00,93.81,96.08,93.57,94.5,9808554.0,94.96,52837
2,2025-04-15 09:30:00-04:00,94.61,96.82,94.61,96.25,9733432.0,95.799,45938
3,2025-04-15 12:00:00-04:00,96.24,96.85,94.87,95.23,8634442.0,95.558,43902
4,2025-04-16 09:30:00-04:00,87.6,90.47,87.59,88.96,18940703.0,89.432,96468
5,2025-04-16 12:00:00-04:00,88.98,89.12,85.29,88.27,22569138.0,87.389,113036
6,2025-04-17 09:30:00-04:00,88.84,89.03,86.63,86.71,11414928.0,87.689,50064
7,2025-04-17 12:00:00-04:00,86.73,88.22,86.51,87.45,12533197.0,87.369,60403
8,2025-04-21 09:30:00-04:00,86.02,86.14,83.98,84.09,10641658.0,85.068,49987
9,2025-04-21 12:00:00-04:00,84.08,85.79,83.75,85.55,10344584.0,84.582,51097
10,2025-04-22 09:30:00-04:00,86.12,86.64,85.17,85.91,10822235.0,85.909,49895
11,2025-04-22 12:00:00-04:00,85.92,87.17,85.19,86.2,12153221.0,86.175,56659
12,2025-04-23 09:30:00-04:00,91.89,93.74,90.3,90.98,16688416.0,92.344,85438
13,2025-04-23 12:00:00-04:00,90.99,92.27,90.12,90.33,10114365.0,91.171,52009
14,2025-04-24 09:30:00-04:00,91.59,93.56,90.37,93.09,11836722.0,92.22,57520
15,2025-04-24 12:00:00-04:00,93.1,94.75,93.05,94.43,11304958.0,94.142,55098
16,2025-04-25 09:30:00-04:00,93.29,95.6,92.85,95.23,9973527.0,94.39,46314
17,2025-04-25 12:00:00-04:00,95.25,97.1,95.02,96.65,9830747.0,96.224,50236
18,2025-04-28 09:30:00-04:00,95.59,97.49,94.27,94.8,8733343.0,95.957,39150
19,2025-04-28 12:00:00-04:00,94.79,96.51,94.28,96.33,7125595.0,95.362,36587
20,2025-04-29 09:30:00-04:00,95.81,96.9,95.33,96.31,5531609.0,96.25,26214
21,2025-04-29 12:00:00-04:00,96.34,97.18,95.64,96.04,7851772.0,96.474,38717
22,2025-04-30 09:30:00-04:00,92.7,95.83,91.87,95.51,9144136.0,93.769,42445
23,2025-04-30 12:00:00-04:00,95.48,97.55,94.83,97.32,8648346.0,96.343,43612
24,2025-05-01 09:30:00-04:00,99.31,100.1,98.15,98.68,9642954.0,99.158,46223
25,2025-05-01 12:00:00-04:00,98.69,98.93,96.45,96.6,9386071.0,97.885,44760
26,2025-05-02 09:30:00-04:00,98.39,99.59,98.3,98.94,9858755.0,98.91,54184
27,2025-05-02 12:00:00-04:00,98.94,99.88,98.37,98.76,11228364.0,99.051,62971
28,2025-05-05 09:30:00-04:00,99.0,101.6,98.76,100.53,13978923.0,100.68,69586
29,2025-05-05 12:00:00-04:00,100.53,102.05,100.44,100.62,11481708.0,101.291,56352
30,2025-05-06 09:30:00-04:00,98.4,99.48,97.44,99.16,12436041.0,98.633,61957
31,2025-05-06 12:00:00-04:00,99.16,100.07,98.31,98.56,15719677.0,99.175,77235
32,2025-05-07 09:30:00-04:00,100.75,103.42,97.45,99.51,39224287.0,99.639,171541
33,2025-05-07 12:00:00-04:00,99.5,100.83,96.88,100.36,26897812.0,98.872,115763
34,2025-05-08 09:30:00-04:00,101.9,105.44,101.66,103.97,24863972.0,103.668,115374
35,2025-05-08 12:00:00-04:00,103.95,104.17,101.56,101.69,14208717.0,103.064,70758
36,2025-05-09 09:30:00-04:00,102.59,103.54,101.6,102.33,13645738.0,102.482,61275
37,2025-05-09 12:00:00-04:00,102.32,103.17,101.73,102.83,9124771.0,102.702,45602
38,2025-05-12 09:30:00-04:00,110.35,110.67,106.98,108.2,18643392.0,108.429,89591
39,2025-05-12 12:00:00-04:00,108.2,109.75,107.43,108.11,15772634.0,108.525,77995
40,2025-05-13 09:30:00-04:00,109.63,112.17,109.0,112.06,20159251.0,110.765,97056
41,2025-05-13 12:00:00-04:00,112.04,113.13,111.67,112.43,18245093.0,112.486,92778
42,2025-05-14 09:30:00-04:00,119.87,122.52,117.36,117.88,39740752.0,119.273,166769
43,2025-05-14 12:00:00-04:00,117.85,119.19,116.59,117.73,21907625.0,117.69,101200
44,2025-05-15 09:30:00-04:00,117.02,117.5,114.4,115.48,16531842.0,115.786,75489
