,date,open,high,low,close,volume,average,barCount
0,2025-04-14,3.73,4.05,3.69,3.9,1324715.0,3.93918,4071
1,2025-04-15,3.89,4.0099,3.81,3.88,288303.0,3.8921,1402
2,2025-04-16,3.81,3.93,3.79,3.82,375707.0,3.84934,1525
3,2025-04-17,3.83,4.12,3.8,3.98,538308.0,4.01516,2232
4,2025-04-21,3.97,4.315,3.94,4.23,710483.0,4.17692,3250
5,2025-04-22,4.28,4.95,4.28,4.92,1643163.0,4.7589,5747
6,2025-04-23,5.07,5.235,4.9,5.06,866270.0,5.14086,3835
7,2025-04-24,5.05,5.275,4.99,5.24,290180.0,5.18021,1577
8,2025-04-25,5.16,5.465,5.1505,5.36,489951.0,5.3619,2309
9,2025-04-28,5.36,5.41,4.983,5.01,385168.0,5.1407,1926
10,2025-04-29,4.86,5.12,4.78,4.9,385631.0,4.95332,1941
11,2025-04-30,4.85,5.1651,4.8335,5.11,844196.0,4.99072,2896
12,2025-05-01,5.11,5.55,5.026,5.14,1189462.0,5.29004,5789
13,2025-05-02,5.17,5.46,5.17,5.32,507459.0,5.33338,2887
14,2025-05-05,5.32,5.36,5.12,5.15,435142.0,5.23684,3033
15,2025-05-06,5.1,5.235,4.65,4.65,878389.0,4.88077,4275
16,2025-05-07,5.1,5.2,4.725,4.87,2033715.0,4.88198,6925
17,2025-05-08,5.07,5.34,4.41,4.58,1663194.0,4.7492,7952
18,2025-05-09,4.51,4.82,4.405,4.61,789769.0,4.58829,3870
19,2025-05-12,4.89,4.95,4.6,4.6,845437.0,4.76801,3904
20,2025-05-13,4.58,4.645,4.28,4.49,616086.0,4.42593,3447
21,2025-05-14,4.6,4.6,4.2,4.35,326297.0,4.30412,1908
22,2025-05-15,4.35,4.535,4.265,4.52,258679.0,4.41807,1707
23,2025-05-16,4.56,4.855,4.47,4.84,578856.0,4.71513,3243
24,2025-05-19,4.75,5.475,4.71,5.36,1661328.0,5.22378,6927
25,2025-05-20,5.41,5.535,5.22,5.52,1254610.0,5.41501,4420
26,2025-05-21,5.52,5.55,5.19,5.43,537884.0,5.38177,2368
27,2025-05-22,5.4,5.5,5.25,5.36,658351.0,5.31894,2648
28,2025-05-23,5.27,5.3802,5.085,5.31,671533.0,5.21123,3891
