,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,3.73,4.0416,3.69,4.0,556847.0,3.8973,1221
1,2025-04-14 12:00:00-04:00,3.9999,4.05,3.83,3.89,767868.0,3.96956,2850
2,2025-04-15 09:30:00-04:00,3.89,4.0099,3.81,3.885,138760.0,3.88738,480
3,2025-04-15 12:00:00-04:00,3.895,3.97,3.85,3.875,149543.0,3.89648,922
4,2025-04-16 09:30:00-04:00,3.81,3.905,3.79,3.81,73444.0,3.82537,330
5,2025-04-16 12:00:00-04:00,3.81,3.93,3.805,3.81,302263.0,3.85516,1195
6,2025-04-17 09:30:00-04:00,3.83,4.12,3.8,3.995,251210.0,3.98795,857
7,2025-04-17 12:00:00-04:00,4.0,4.1,3.97,3.97,287098.0,4.03896,1375
8,2025-04-21 09:30:00-04:00,3.97,4.16,3.94,4.1,166483.0,4.06859,681
9,2025-04-21 12:00:00-04:00,4.105,4.315,4.105,4.225,544000.0,4.21007,2569
10,2025-04-22 09:30:00-04:00,4.28,4.89,4.28,4.81,566511.0,4.66327,2086
11,2025-04-22 12:00:00-04:00,4.82,4.95,4.7,4.925,1076652.0,4.80921,3661
12,2025-04-23 09:30:00-04:00,5.07,5.1889,4.9,5.105,371339.0,5.1136,1939
13,2025-04-23 12:00:00-04:00,5.105,5.235,5.05,5.06,494931.0,5.16131,1896
14,2025-04-24 09:30:00-04:00,5.05,5.185,4.99,5.17,80902.0,5.08894,418
15,2025-04-24 12:00:00-04:00,5.185,5.275,5.18,5.25,209278.0,5.21549,1159
16,2025-04-25 09:30:00-04:00,5.16,5.355,5.1505,5.305,133942.0,5.25531,513
17,2025-04-25 12:00:00-04:00,5.3,5.465,5.3,5.345,356009.0,5.402,1796
18,2025-04-28 09:30:00-04:00,5.36,5.41,5.07,5.0736,182456.0,5.21808,776
19,2025-04-28 12:00:00-04:00,5.07,5.2,4.983,5.01,202712.0,5.07105,1150
20,2025-04-29 09:30:00-04:00,4.86,5.12,4.78,5.07,116059.0,4.97594,558
21,2025-04-29 12:00:00-04:00,5.06,5.095,4.88,4.89,269572.0,4.94358,1383
22,2025-04-30 09:30:00-04:00,4.85,5.09,4.8335,5.01,205256.0,4.99009,805
23,2025-04-30 12:00:00-04:00,5.0,5.1651,4.895,5.105,638940.0,4.99093,2091
24,2025-05-01 09:30:00-04:00,5.11,5.365,5.026,5.355,333063.0,5.23684,1765
25,2025-05-01 12:00:00-04:00,5.358,5.55,5.13,5.13,856399.0,5.31073,4024
26,2025-05-02 09:30:00-04:00,5.17,5.38,5.17,5.275,125637.0,5.29056,679
27,2025-05-02 12:00:00-04:00,5.28,5.46,5.22,5.305,381822.0,5.34747,2208
28,2025-05-05 09:30:00-04:00,5.32,5.36,5.2,5.285,165483.0,5.28608,1078
29,2025-05-05 12:00:00-04:00,5.28,5.31,5.12,5.135,269659.0,5.20662,1955
30,2025-05-06 09:30:00-04:00,5.1,5.235,4.985,5.04,254725.0,5.02463,1077
31,2025-05-06 12:00:00-04:00,5.05,5.12,4.65,4.65,623664.0,4.82201,3198
32,2025-05-07 09:30:00-04:00,5.1,5.2,4.725,4.98,918346.0,4.90435,2458
33,2025-05-07 12:00:00-04:00,4.985,5.005,4.76,4.855,1115369.0,4.86356,4467
34,2025-05-08 09:30:00-04:00,5.07,5.34,4.41,4.63,702998.0,4.79744,3056
35,2025-05-08 12:00:00-04:00,4.62,5.0,4.56,4.56,960196.0,4.71388,4896
36,2025-05-09 09:30:00-04:00,4.51,4.82,4.4501,4.53,397837.0,4.61504,1676
37,2025-05-09 12:00:00-04:00,4.5275,4.645,4.405,4.605,391932.0,4.56115,2194
38,2025-05-12 09:30:00-04:00,4.89,4.95,4.69,4.765,286614.0,4.83743,1371
39,2025-05-12 12:00:00-04:00,4.76,4.88,4.6,4.605,558823.0,4.7324,2533
40,2025-05-13 09:30:00-04:00,4.58,4.645,4.31,4.33,193844.0,4.43667,825
41,2025-05-13 12:00:00-04:00,4.33,4.56,4.28,4.49,422242.0,4.421,2622
42,2025-05-14 09:30:00-04:00,4.6,4.6,4.2,4.225,131973.0,4.32342,679
43,2025-05-14 12:00:00-04:00,4.225,4.365,4.2,4.35,194324.0,4.29101,1229
44,2025-05-15 09:30:00-04:00,4.35,4.4,4.265,4.385,53939.0,4.32368,371
45,2025-05-15 12:00:00-04:00,4.385,4.535,4.38,4.505,204740.0,4.44294,1336
46,2025-05-16 09:30:00-04:00,4.56,4.61,4.47,4.545,55968.0,4.56561,340
47,2025-05-16 12:00:00-04:00,4.55,4.855,4.53,4.85,522888.0,4.73114,2903
48,2025-05-19 09:30:00-04:00,4.75,5.03,4.71,5.03,240090.0,4.86323,1279
49,2025-05-19 12:00:00-04:00,5.04,5.475,5.015,5.36,1421238.0,5.28469,5648
50,2025-05-20 09:30:00-04:00,5.41,5.4693,5.22,5.39,551880.0,5.34658,1186
51,2025-05-20 12:00:00-04:00,5.385,5.535,5.36,5.52,702730.0,5.46875,3234
52,2025-05-21 09:30:00-04:00,5.52,5.55,5.26,5.435,229674.0,5.42882,726
53,2025-05-21 12:00:00-04:00,5.435,5.46,5.19,5.425,308210.0,5.34671,1642
54,2025-05-22 09:30:00-04:00,5.4,5.5,5.26,5.3,98827.0,5.36024,587
55,2025-05-22 12:00:00-04:00,5.3,5.36,5.25,5.35,559524.0,5.31165,2061
56,2025-05-23 09:30:00-04:00,5.27,5.3802,5.125,5.2,249350.0,5.23667,1155
57,2025-05-23 12:00:00-04:00,5.19,5.32,5.085,5.315,422183.0,5.19621,2736
58,2025-05-27 09:30:00-04:00,5.4,5.4,4.87,4.8794,382311.0,5.04899,1578
59,2025-05-27 12:00:00-04:00,4.87,4.87,4.69,4.73,401637.0,4.76751,2298
60,2025-05-28 09:30:00-04:00,4.74,4.81,4.64,4.735,107839.0,4.7309,599
61,2025-05-28 12:00:00-04:00,4.73,4.83,4.705,4.785,192383.0,4.76299,1256
62,2025-05-29 09:30:00-04:00,4.86,4.92,4.71,4.81,109656.0,4.82728,498
63,2025-05-29 12:00:00-04:00,4.8,4.895,4.785,4.89,244600.0,4.84035,1383
64,2025-05-30 09:30:00-04:00,4.97,4.97,4.705,4.91,147562.0,4.83722,552
65,2025-05-30 12:00:00-04:00,4.9,5.33,4.845,5.13,777646.0,5.17962,2880
66,2025-06-02 09:30:00-04:00,5.18,5.2,4.925,5.08,135565.0,5.06092,737
67,2025-06-02 12:00:00-04:00,5.08,5.1,4.835,5.1,345515.0,4.96385,1616
68,2025-06-03 09:30:00-04:00,5.25,5.315,4.98,5.08,200966.0,5.0754,911
69,2025-06-03 12:00:00-04:00,5.07,5.23,4.99,5.115,482526.0,5.09225,2188
70,2025-06-04 09:30:00-04:00,5.12,5.121,4.985,5.0,94288.0,5.04371,396
71,2025-06-04 12:00:00-04:00,4.995,5.06,4.9,4.92,214760.0,4.95676,1031
72,2025-06-05 09:30:00-04:00,4.89,5.025,4.76,4.98,381542.0,4.87198,1039
73,2025-06-05 12:00:00-04:00,4.98,5.07,4.96,5.055,150726.0,5.02733,1055
74,2025-06-06 09:30:00-04:00,5.02,5.205,4.99,5.06,133390.0,5.09293,555
