,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,2.53,2.56,2.34,2.365,573471.0,2.4296,1266
1,2025-04-14 12:00:00-04:00,2.36,2.43,2.36,2.4,697381.0,2.4007,2511
2,2025-04-15 09:30:00-04:00,2.42,2.52,2.42,2.44,669942.0,2.48079,1576
3,2025-04-15 12:00:00-04:00,2.445,2.47,2.3731,2.44,667809.0,2.41259,2211
4,2025-04-16 09:30:00-04:00,2.33,2.36,2.32,2.3399,427467.0,2.33994,831
5,2025-04-16 12:00:00-04:00,2.335,2.35,2.205,2.245,1235342.0,2.2536,2664
6,2025-04-17 09:30:00-04:00,2.24,2.26,2.14,2.145,662974.0,2.18939,1065
7,2025-04-17 12:00:00-04:00,2.145,2.21,2.14,2.14,590074.0,2.17294,1628
8,2025-04-21 09:30:00-04:00,2.07,2.145,2.0,2.01,942738.0,2.0681,1708
9,2025-04-21 12:00:00-04:00,2.015,2.08,2.01,2.08,657076.0,2.04759,1705
10,2025-04-22 09:30:00-04:00,2.1,2.19,2.07,2.14,592388.0,2.13215,1047
11,2025-04-22 12:00:00-04:00,2.15,2.2,2.12,2.175,778401.0,2.16942,1891
12,2025-04-23 09:30:00-04:00,2.38,2.55,2.355,2.375,1627808.0,2.46381,2757
13,2025-04-23 12:00:00-04:00,2.375,2.43,2.31,2.345,656124.0,2.36856,1563
14,2025-04-24 09:30:00-04:00,2.49,2.5,2.37,2.415,845924.0,2.44012,1943
15,2025-04-24 12:00:00-04:00,2.415,2.5,2.39,2.49,849087.0,2.43697,2693
16,2025-04-25 09:30:00-04:00,2.48,2.525,2.4412,2.485,305964.0,2.49216,722
17,2025-04-25 12:00:00-04:00,2.485,2.56,2.46,2.56,730825.0,2.52043,1640
18,2025-04-28 09:30:00-04:00,2.57,2.57,2.37,2.48,1263527.0,2.46357,2906
19,2025-04-28 12:00:00-04:00,2.485,2.54,2.45,2.54,503372.0,2.50408,1815
20,2025-04-29 09:30:00-04:00,2.54,2.56,2.21,2.2192,3968047.0,2.31359,3397
21,2025-04-29 12:00:00-04:00,2.2195,2.24,1.97,2.22,6966666.0,2.13338,7431
22,2025-04-30 09:30:00-04:00,2.12,2.21,2.095,2.185,570063.0,2.15516,1056
23,2025-04-30 12:00:00-04:00,2.19,2.2,2.11,2.155,663608.0,2.14721,1420
24,2025-05-01 09:30:00-04:00,2.2,2.2977,2.17,2.235,1003874.0,2.2448,1240
25,2025-05-01 12:00:00-04:00,2.235,2.24,2.175,2.2,762466.0,2.21086,1542
26,2025-05-02 09:30:00-04:00,2.22,2.408,2.22,2.36,1186954.0,2.31907,1611
27,2025-05-02 12:00:00-04:00,2.355,2.39,2.3,2.35,1269940.0,2.33764,2371
28,2025-05-05 09:30:00-04:00,2.31,2.38,2.24,2.285,835645.0,2.30488,1904
29,2025-05-05 12:00:00-04:00,2.285,2.33,2.27,2.28,660352.0,2.29581,2415
30,2025-05-06 09:30:00-04:00,2.2,2.3,2.16,2.245,586651.0,2.24635,1111
31,2025-05-06 12:00:00-04:00,2.25,2.32,2.195,2.31,979239.0,2.2582,1796
32,2025-05-07 09:30:00-04:00,2.33,2.3702,2.275,2.28,570313.0,2.31819,1019
33,2025-05-07 12:00:00-04:00,2.2878,2.37,2.26,2.36,1101702.0,2.32586,2449
34,2025-05-08 09:30:00-04:00,2.43,2.5,2.38,2.465,1088357.0,2.44813,1956
35,2025-05-08 12:00:00-04:00,2.47,2.55,2.46,2.51,2020045.0,2.51877,4045
36,2025-05-09 09:30:00-04:00,2.59,2.59,2.32,2.53,2083676.0,2.43446,3984
37,2025-05-09 12:00:00-04:00,2.53,2.54,2.44,2.475,1684636.0,2.48845,3579
38,2025-05-12 09:30:00-04:00,2.57,2.615,2.4801,2.5081,1784967.0,2.53684,2855
39,2025-05-12 12:00:00-04:00,2.505,2.75,2.5,2.735,3297002.0,2.68945,6355
40,2025-05-13 09:30:00-04:00,2.77,2.92,2.715,2.85,1554281.0,2.82736,3685
41,2025-05-13 12:00:00-04:00,2.85,2.87,2.77,2.87,1800087.0,2.83166,4431
42,2025-05-14 09:30:00-04:00,2.87,2.89,2.76,2.865,1417269.0,2.82161,3292
43,2025-05-14 12:00:00-04:00,2.87,2.9082,2.805,2.82,1294011.0,2.85346,3143
44,2025-05-15 09:30:00-04:00,2.75,2.7753,2.67,2.75,1379665.0,2.72993,2724
45,2025-05-15 12:00:00-04:00,2.745,2.79,2.72,2.73,1253746.0,2.75181,3156
