,date,open,high,low,close,volume,average,barCount
0,2025-04-14,5.62,5.675,5.25,5.37,21765216.0,5.4135,38970
1,2025-04-15,4.6,4.72,3.36,3.44,121080489.0,3.76152,162035
2,2025-04-16,3.38,4.09,3.31,4.08,52099817.0,3.79015,84682
3,2025-04-17,3.99,4.1797,3.77,3.95,33361465.0,3.90948,48461
4,2025-04-21,3.885,4.255,3.81,3.95,36122071.0,4.04604,47090
5,2025-04-22,4.04,4.27,3.95,4.03,30450758.0,4.13746,39333
6,2025-04-23,4.25,4.345,4.04,4.08,27968121.0,4.13794,36998
7,2025-04-24,4.1,4.63,4.065,4.54,34233972.0,4.39999,37579
8,2025-04-25,4.565,4.73,4.41,4.7,37006334.0,4.59347,45415
9,2025-04-28,4.765,4.94,4.43,4.71,27938892.0,4.63825,33418
10,2025-04-29,4.68,4.73,4.45,4.48,24554368.0,4.55726,27140
11,2025-04-30,4.375,4.57,4.2,4.54,32968914.0,4.41796,34275
12,2025-05-01,4.68,5.29,4.62,5.21,42322217.0,5.06709,63212
13,2025-05-02,5.255,5.42,5.0706,5.3,30508751.0,5.27226,39602
14,2025-05-05,5.175,5.32,4.93,5.17,30511995.0,5.11788,34690
15,2025-05-06,5.08,5.24,4.99,5.21,22698563.0,5.10924,25609
16,2025-05-07,5.18,5.33,5.09,5.25,23569100.0,5.18949,25545
17,2025-05-08,5.39,5.6346,5.2601,5.5,26623769.0,5.48824,32053
18,2025-05-09,5.49,5.67,5.13,5.39,23123604.0,5.34144,30575
19,2025-05-12,5.65,5.73,5.255,5.31,35261520.0,5.51222,44010
20,2025-05-13,5.44,5.6999,5.24,5.61,37355360.0,5.44315,47243
21,2025-05-14,5.77,6.28,5.76,5.98,47830534.0,6.07741,74527
22,2025-05-15,5.92,5.93,5.5121,5.59,27825891.0,5.67825,33623
23,2025-05-16,5.76,6.99,5.75,6.83,70093121.0,6.63253,114119
24,2025-05-19,6.45,6.85,6.33,6.82,47559260.0,6.62848,60886
25,2025-05-20,6.85,6.9,6.43,6.73,34105230.0,6.67281,43422
26,2025-05-21,6.64,7.3296,6.53,6.78,42137879.0,6.91704,61297
27,2025-05-22,7.11,7.7,6.97,7.48,50578617.0,7.39771,79619
28,2025-05-23,7.29,7.52,7.085,7.36,21966660.0,7.29049,35687
29,2025-05-27,7.63,7.71,7.24,7.59,27912379.0,7.44155,40599
30,2025-05-28,7.59,7.62,7.15,7.27,23268797.0,7.33529,31606
31,2025-05-29,7.45,7.52,7.01,7.04,23295314.0,7.20678,28151
32,2025-05-30,6.86,7.0,6.675,6.83,19948457.0,6.84515,27493
33,2025-06-02,8.27,10.54,8.03,10.14,208202354.0,9.80738,411959
34,2025-06-03,10.72,10.72,9.6,10.25,130959859.0,10.12836,234700
35,2025-06-04,10.46,13.47,10.46,13.25,196847410.0,12.55212,360828
36,2025-06-05,13.97,14.49,12.48,12.77,166843435.0,13.50917,319115
37,2025-06-06,13.12,15.42,13.06,13.86,164646756.0,14.48597,290929
38,2025-06-09,14.52,14.59,12.94,13.02,87408703.0,13.67419,178778
39,2025-06-10,13.03,13.28,12.18,12.48,54786014.0,12.70365,121497
40,2025-06-11,12.33,12.47,11.75,12.05,37790880.0,12.0576,81654
