,date,open,high,low,close,volume,average,barCount
0,2025-04-14,2.8,2.85,2.58,2.68,1530008.0,2.679,5122
1,2025-04-15,2.655,2.835,2.61,2.82,2578207.0,2.7385,6606
2,2025-04-16,2.76,3.0,2.74,2.86,2400864.0,2.86903,7422
3,2025-04-17,2.87,3.18,2.82,3.12,2611249.0,3.0374,7314
4,2025-04-21,3.0,3.055,2.78,2.92,2066007.0,2.86619,5211
5,2025-04-22,2.97,3.16,2.92,2.995,1785145.0,3.04992,5038
6,2025-04-23,3.16,3.335,3.07,3.11,2225818.0,3.19275,6057
7,2025-04-24,3.15,3.4118,3.08,3.38,2155048.0,3.32478,5749
8,2025-04-25,3.38,3.575,3.31,3.39,2143746.0,3.42272,7195
9,2025-04-28,3.42,3.4785,3.2,3.28,1626716.0,3.28433,4773
10,2025-04-29,3.25,3.3686,3.155,3.17,1575647.0,3.21702,5024
11,2025-04-30,3.0,3.035,2.87,3.0,2225429.0,2.9734,6840
12,2025-05-01,3.09,3.1252,3.0,3.01,1300533.0,3.05973,4902
13,2025-05-02,3.08,3.24,3.05,3.1,1675658.0,3.1433,5501
14,2025-05-05,3.01,3.09,2.955,3.02,1332262.0,3.03118,3837
15,2025-05-06,2.95,3.11,2.91,3.09,1382749.0,3.04788,4381
16,2025-05-07,3.1,3.62,3.1,3.61,4748957.0,3.47021,11560
17,2025-05-08,3.725,4.26,3.725,4.13,5545923.0,4.04236,15354
18,2025-05-09,4.1,4.38,4.09,4.16,3189897.0,4.19691,9910
19,2025-05-12,4.5,4.6369,4.295,4.37,2792491.0,4.45075,8584
20,2025-05-13,4.4,4.53,4.2809,4.42,1899742.0,4.4412,6132
21,2025-05-14,4.4,4.76,4.32,4.71,3421801.0,4.54503,12626
22,2025-05-15,4.66,4.72,4.3101,4.46,2692669.0,4.44998,6868
23,2025-05-16,4.47,4.635,4.4447,4.62,1529346.0,4.56936,5004
24,2025-05-19,4.4,4.67,4.35,4.64,2122814.0,4.55743,8076
25,2025-05-20,4.62,4.93,4.47,4.63,2451275.0,4.73026,7959
26,2025-05-21,4.52,4.58,4.065,4.15,3066302.0,4.32455,8437
