,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,2.8,2.85,2.58,2.62,732212.0,2.71411,2150
1,2025-04-14 12:00:00-04:00,2.62,2.69,2.59,2.68,797796.0,2.64677,2972
2,2025-04-15 09:30:00-04:00,2.655,2.7251,2.61,2.68,555477.0,2.66164,1532
3,2025-04-15 12:00:00-04:00,2.675,2.835,2.65,2.83,2022730.0,2.7596,5074
4,2025-04-16 09:30:00-04:00,2.76,3.0,2.74,2.9,1188063.0,2.90858,3373
5,2025-04-16 12:00:00-04:00,2.9,2.925,2.765,2.87,1212801.0,2.83028,4049
6,2025-04-17 09:30:00-04:00,2.87,3.05,2.82,3.04,1105428.0,2.95469,3082
7,2025-04-17 12:00:00-04:00,3.04,3.18,2.98,3.13,1505821.0,3.09812,4232
8,2025-04-21 09:30:00-04:00,3.0,3.055,2.78,2.815,1198159.0,2.85477,2732
9,2025-04-21 12:00:00-04:00,2.82,2.92,2.82,2.915,867848.0,2.88195,2479
10,2025-04-22 09:30:00-04:00,2.97,3.12,2.92,3.0737,800931.0,3.01695,2112
11,2025-04-22 12:00:00-04:00,3.0725,3.16,2.99,2.99,984214.0,3.07675,2926
12,2025-04-23 09:30:00-04:00,3.16,3.335,3.125,3.1789,1394990.0,3.21976,3457
13,2025-04-23 12:00:00-04:00,3.17,3.235,3.07,3.1,830828.0,3.1474,2600
14,2025-04-24 09:30:00-04:00,3.15,3.355,3.08,3.3053,896207.0,3.27785,2432
15,2025-04-24 12:00:00-04:00,3.31,3.4118,3.31,3.37,1258841.0,3.35819,3317
16,2025-04-25 09:30:00-04:00,3.38,3.575,3.33,3.435,1239824.0,3.45506,3990
17,2025-04-25 12:00:00-04:00,3.435,3.465,3.31,3.39,903922.0,3.37837,3205
18,2025-04-28 09:30:00-04:00,3.42,3.4785,3.235,3.275,669895.0,3.33668,2142
19,2025-04-28 12:00:00-04:00,3.275,3.3,3.2,3.28,956821.0,3.24769,2631
20,2025-04-29 09:30:00-04:00,3.25,3.3686,3.21,3.21,560620.0,3.25749,1958
21,2025-04-29 12:00:00-04:00,3.21,3.265,3.155,3.17,1015027.0,3.19467,3066
22,2025-04-30 09:30:00-04:00,3.0,3.0289,2.87,2.975,1190005.0,2.95087,3602
23,2025-04-30 12:00:00-04:00,2.98,3.035,2.95,3.0,1035424.0,2.99929,3238
24,2025-05-01 09:30:00-04:00,3.09,3.1252,3.0102,3.075,529016.0,3.0787,1851
25,2025-05-01 12:00:00-04:00,3.075,3.085,3.0,3.0,771517.0,3.04672,3051
26,2025-05-02 09:30:00-04:00,3.08,3.22,3.05,3.175,731261.0,3.14206,2360
27,2025-05-02 12:00:00-04:00,3.175,3.24,3.05,3.09,944397.0,3.14427,3141
28,2025-05-05 09:30:00-04:00,3.01,3.06,2.955,3.025,516276.0,3.00363,1445
