,date,open,high,low,close,volume,average,barCount
0,2025-04-14,259.21,262.08,234.39,236.07,4713852.0,242.955,26549
1,2025-04-15,235.6,248.18,230.52,245.47,4302844.0,240.919,24427
2,2025-04-16,234.53,241.95,224.4,229.81,5021632.0,232.807,26338
3,2025-04-17,231.39,239.95,226.1,238.22,3478367.0,234.676,18856
4,2025-04-21,233.53,238.5,222.02,228.13,3377920.0,226.901,18567
5,2025-04-22,232.0,243.56,227.05,237.71,4061064.0,236.973,22522
6,2025-04-23,254.8,268.0,250.1,252.35,4938239.0,258.077,26857
7,2025-04-24,253.73,275.92,252.0,267.88,4495205.0,267.824,25022
8,2025-04-25,272.11,278.88,266.5,276.83,3431582.0,273.794,18614
9,2025-04-28,279.2,286.83,273.5,284.98,4282771.0,280.955,22958
10,2025-04-29,285.63,291.39,281.27,288.88,3105067.0,286.414,16386
11,2025-04-30,247.91,273.81,246.0,269.31,5608824.0,265.737,29753
12,2025-05-01,282.02,288.25,276.8,279.49,3709686.0,282.225,20531
13,2025-05-02,291.99,309.35,286.84,307.58,4527864.0,301.694,25408
14,2025-05-05,299.54,306.79,295.41,301.84,2639919.0,302.482,15088
15,2025-05-06,294.65,307.27,290.96,304.62,2858051.0,301.178,16730
16,2025-05-07,300.55,304.52,292.87,303.46,5638172.0,298.825,33855
17,2025-05-08,344.0,357.64,335.13,339.51,8678432.0,345.614,48375
18,2025-05-09,342.92,351.38,328.52,328.54,4665836.0,336.465,24352
19,2025-05-12,350.94,358.67,343.37,347.9,4737510.0,350.46,25521
20,2025-05-13,348.53,380.7,347.7,370.1,5918573.0,370.643,34824
21,2025-05-14,373.56,379.58,368.45,376.54,3579976.0,374.039,20115
22,2025-05-15,373.94,378.23,361.44,366.61,3959656.0,366.853,22627
23,2025-05-16,368.82,373.73,358.0,362.34,2520228.0,364.262,14747
24,2025-05-19,355.27,375.84,354.01,370.63,3496156.0,368.951,18188
25,2025-05-20,371.45,371.45,360.86,363.06,3136665.0,366.539,16746
26,2025-05-21,359.68,374.57,358.0,358.35,4662453.0,366.934,27067
27,2025-05-22,360.52,367.47,350.81,351.47,2972823.0,359.27,17353
28,2025-05-23,341.41,356.55,340.2,354.29,3101995.0,351.839,16958
29,2025-05-27,362.4,384.36,355.16,380.91,4763855.0,373.189,26076
30,2025-05-28,381.38,392.87,375.12,390.26,4304931.0,384.218,23639
31,2025-05-29,400.1,402.91,381.43,384.23,3053560.0,387.762,16440
32,2025-05-30,386.87,394.24,372.53,393.0,3074123.0,384.418,17048
33,2025-06-02,392.31,402.25,381.6,401.91,3851928.0,394.258,21028
34,2025-06-03,401.91,408.0,390.41,398.51,2491165.0,397.782,14612
35,2025-06-04,398.39,417.45,398.21,416.52,2663124.0,411.414,14846
36,2025-06-05,414.17,428.99,406.78,414.14,3404318.0,418.145,19740
37,2025-06-06,421.0,426.52,413.23,417.89,2589378.0,420.248,17093
38,2025-06-09,401.25,404.5,382.85,383.6,4103289.0,394.192,25103
39,2025-06-10,389.41,396.77,374.68,383.61,2659102.0,384.527,15225
40,2025-06-11,386.3,387.95,377.9,383.43,1902502.0,382.586,11969
41,2025-06-12,380.5,384.1,362.45,380.58,4344707.0,375.241,24155
42,2025-06-13,372.78,381.0,360.74,364.49,2510725.0,369.96,13634
43,2025-06-16,367.79,377.01,364.49,370.68,1938945.0,371.783,10636
44,2025-06-17,370.95,371.0,358.71,360.45,1476111.0,364.858,8918
45,2025-06-18,360.66,361.89,338.65,344.37,3127548.0,347.718,18798
46,2025-06-20,343.74,344.76,321.68,324.7,3876007.0,328.517,23132
47,2025-06-23,324.36,336.04,320.0,335.4,2897742.0,330.053,19050
48,2025-06-24,346.92,352.39,341.93,349.48,2748693.0,347.417,16447
49,2025-06-25,355.4,358.24,336.67,338.8,2177925.0,343.51,13057
50,2025-06-26,342.41,347.95,328.94,347.45,2882088.0,340.701,19214
51,2025-06-27,348.49,348.83,332.1,333.78,5566826.0,340.327,37058
52,2025-06-30,341.32,361.76,340.05,350.08,4576910.0,350.584,27354
53,2025-07-01,347.0,358.53,331.0,336.69,3105089.0,342.169,19224
54,2025-07-02,342.53,348.55,333.2,336.0,2182452.0,338.275,13881
55,2025-07-03,332.42,343.5,325.58,341.64,2030135.0,336.68,13098
56,2025-07-07,341.87,346.78,338.22,345.0,1593908.0,342.624,10678
57,2025-07-08,352.14,359.0,341.5,344.75,1485122.0,348.211,9726
58,2025-07-09,350.27,362.64,344.75,352.74,2412921.0,354.361,14430
59,2025-07-10,359.36,359.36,334.52,346.32,3101614.0,343.039,18984
60,2025-07-11,341.76,345.93,332.32,335.1,2032217.0,336.455,12801
61,2025-07-14,342.9,362.53,342.11,355.9,3694469.0,355.373,22910
62,2025-07-15,348.19,354.38,345.41,352.96,1904671.0,350.253,11348
63,2025-07-16,355.58,358.56,348.7,355.5,2090740.0,354.068,13830
64,2025-07-17,356.59,369.4,351.0,363.78,2776801.0,363.321,16667
65,2025-07-18,372.59,375.5,361.0,364.46,2631550.0,367.899,17398
