,date,open,high,low,close,volume,average,barCount
0,2025-04-14,578.0,590.0,571.71,574.83,205160.0,580.204,1545
1,2025-04-15,575.1,584.17,572.82,578.42,92699.0,578.697,704
2,2025-04-16,572.01,581.11,564.68,571.85,107054.0,572.942,780
3,2025-04-17,578.2,578.2,556.39,559.53,170124.0,567.15,1141
4,2025-04-21,550.0,556.63,531.22,541.93,151845.0,541.065,1127
5,2025-04-22,551.32,561.82,546.0,555.52,119271.0,553.344,839
6,2025-04-23,576.4,594.47,574.2,576.9,161271.0,583.523,1210
7,2025-04-24,576.15,593.84,571.0,590.67,103245.0,586.588,762
8,2025-04-25,590.72,603.98,590.72,603.78,198497.0,597.842,1511
9,2025-04-28,605.66,614.0,594.54,602.46,117604.0,602.3,843
10,2025-04-29,603.57,612.03,598.81,611.13,102154.0,605.735,787
11,2025-04-30,591.59,614.76,585.49,613.3,94523.0,600.044,645
12,2025-05-01,618.43,627.73,613.02,621.1,104210.0,622.084,742
13,2025-05-02,632.18,638.35,626.46,628.16,175329.0,631.796,1076
14,2025-05-05,624.99,631.16,620.99,621.4,84687.0,625.343,619
15,2025-05-06,608.97,612.78,597.56,601.67,262195.0,603.447,1992
16,2025-05-07,602.01,607.6,594.52,601.82,254232.0,600.732,1830
17,2025-05-08,646.38,698.27,644.6,686.83,698107.0,680.227,5009
18,2025-05-09,682.97,697.39,677.61,684.59,200702.0,685.973,1293
19,2025-05-12,700.0,703.0,667.0,693.1,294321.0,688.882,1781
20,2025-05-13,695.0,732.17,694.71,724.77,288380.0,721.758,1824
21,2025-05-14,725.0,730.76,715.58,728.53,168519.0,723.226,1192
22,2025-05-15,725.5,732.23,722.0,728.39,132290.0,726.922,828
23,2025-05-16,732.0,735.68,724.74,733.18,113067.0,731.503,521
24,2025-05-19,721.99,742.34,721.04,742.32,99588.0,736.072,598
25,2025-05-20,741.41,744.51,734.89,742.75,109202.0,739.588,693
26,2025-05-21,738.0,748.8,730.01,735.38,170967.0,739.525,980
27,2025-05-22,734.07,735.0,722.03,723.75,137171.0,728.463,968
28,2025-05-23,717.98,735.43,714.0,731.37,107801.0,727.898,773
29,2025-05-27,740.58,748.14,736.63,746.08,127081.0,744.751,902
30,2025-05-28,748.81,755.05,743.62,751.0,151355.0,751.228,977
31,2025-05-29,753.19,754.81,729.16,730.29,141060.0,738.189,1089
32,2025-05-30,731.01,751.99,729.14,750.36,166985.0,740.973,1065
33,2025-06-02,755.0,765.0,742.8,758.57,142900.0,756.181,971
34,2025-06-03,761.0,766.26,750.0,759.07,155592.0,756.526,1150
35,2025-06-04,761.14,780.62,757.45,780.0,189273.0,773.042,1152
36,2025-06-05,780.53,793.24,773.99,788.36,239944.0,785.903,1642
37,2025-06-06,794.92,798.16,784.63,791.85,104738.0,793.627,660
38,2025-06-09,795.83,806.64,775.85,783.8,140168.0,788.157,939
39,2025-06-10,778.54,787.61,751.25,762.66,173701.0,763.882,1194
40,2025-06-11,764.67,782.79,746.9,778.36,126539.0,772.223,840
41,2025-06-12,773.16,781.12,772.6,775.2,98435.0,776.071,723
42,2025-06-13,771.81,786.78,767.6,780.63,84560.0,777.383,601
43,2025-06-16,786.37,797.5,779.28,780.61,125071.0,788.469,892
44,2025-06-17,776.39,782.76,770.2,777.54,95186.0,777.033,653
45,2025-06-18,776.36,779.89,761.9,770.79,109409.0,773.421,776
46,2025-06-20,780.28,781.0,767.08,777.32,212414.0,777.524,1015
47,2025-06-23,773.48,791.38,767.31,783.24,106454.0,779.92,714
48,2025-06-24,785.0,799.66,758.24,794.25,252817.0,788.454,1903
49,2025-06-25,800.0,801.0,780.66,785.07,114606.0,789.241,771
50,2025-06-26,791.81,805.48,791.81,803.95,148452.0,799.282,1141
51,2025-06-27,804.85,820.83,802.28,818.6,184374.0,814.378,1408
52,2025-06-30,818.75,830.21,816.85,827.94,107873.0,823.145,828
53,2025-07-01,825.89,829.5,765.5,775.38,303979.0,789.059,2130
54,2025-07-02,774.68,782.99,756.72,774.55,159599.0,772.5,1130
55,2025-07-03,781.77,797.89,780.0,795.48,75205.0,791.143,372
56,2025-07-07,797.22,804.44,790.0,802.16,115282.0,797.886,867
57,2025-07-08,802.72,815.0,774.09,790.22,131070.0,791.56,880
58,2025-07-09,794.3,809.99,785.0,805.86,79076.0,799.446,498
59,2025-07-10,802.11,803.0,728.43,732.99,474421.0,747.359,3170
60,2025-07-11,740.33,753.02,723.0,729.62,458288.0,734.54,3332
61,2025-07-14,727.1,752.97,723.99,750.26,166587.0,745.39,1035
62,2025-07-15,752.74,753.57,740.16,745.87,80123.0,748.114,473
63,2025-07-16,743.56,748.27,725.05,742.77,150717.0,736.084,1169
64,2025-07-17,744.8,753.25,739.79,745.86,68624.0,747.414,434
65,2025-07-18,745.79,757.98,741.07,756.09,92520.0,751.149,514
66,2025-07-21,755.92,758.25,741.91,751.55,91291.0,751.663,661
67,2025-07-22,749.01,749.01,720.18,720.74,279514.0,728.74,1836
68,2025-07-23,725.8,728.95,694.72,705.22,514976.0,707.413,2620
69,2025-07-24,705.22,715.75,695.0,709.26,539760.0,704.421,2484
70,2025-07-25,711.39,742.23,709.82,735.01,202675.0,734.673,1617
71,2025-07-28,740.36,747.3,722.07,736.29,151865.0,735.18,1011
72,2025-07-29,742.19,742.19,725.79,728.74,112035.0,731.276,717
73,2025-07-30,728.74,749.8,725.0,748.6,93577.0,740.422,745
74,2025-07-31,752.61,762.05,747.24,755.49,136302.0,756.498,1005
75,2025-08-01,739.46,747.41,728.0,742.47,133711.0,737.994,871
76,2025-08-04,751.04,755.0,736.95,744.88,249640.0,744.604,1719
77,2025-08-05,818.0,885.92,802.96,867.12,1058666.0,859.744,7155
78,2025-08-06,859.76,879.22,843.02,863.65,264816.0,864.033,1873
79,2025-08-07,867.23,885.0,860.98,870.97,281362.0,870.255,1755
80,2025-08-08,872.47,878.62,835.7,842.5,225977.0,853.828,1660
81,2025-08-11,842.89,844.15,817.36,818.69,164722.0,829.554,1125
82,2025-08-12,819.64,824.66,767.51,768.57,342298.0,777.184,2353
83,2025-08-13,776.98,780.0,731.74,765.52,390114.0,753.839,2621
84,2025-08-14,764.26,764.26,745.0,749.83,196457.0,752.252,1319
85,2025-08-15,750.21,762.0,739.01,754.24,170490.0,752.102,1044
86,2025-08-18,755.18,792.64,753.77,791.62,325361.0,780.878,2327
87,2025-08-19,779.83,784.0,755.0,758.29,215312.0,762.682,1418
88,2025-08-20,754.17,763.71,740.5,760.89,110500.0,754.437,755
89,2025-08-21,763.0,768.0,752.5,763.51,98979.0,761.827,661
90,2025-08-22,764.37,784.14,757.5,766.24,119910.0,774.483,841
91,2025-08-25,766.22,777.54,762.27,763.52,84783.0,769.715,518
92,2025-08-26,764.2,775.0,761.05,769.02,58740.0,768.039,384
93,2025-08-27,774.76,779.79,767.0,769.68,98015.0,773.473,516
94,2025-08-28,772.83,794.29,771.5,781.9,181618.0,784.988,1170
95,2025-08-29,784.32,785.84,745.46,747.29,138428.0,756.386,1021
96,2025-09-02,734.71,748.83,726.0,743.59,150854.0,738.805,1054
97,2025-09-03,737.26,738.0,713.2,725.29,191630.0,724.614,1363
98,2025-09-04,725.78,731.19,719.0,730.16,91563.0,727.941,628
99,2025-09-05,731.0,738.77,708.75,728.41,91641.0,720.264,664
100,2025-09-08,736.37,750.0,733.87,740.61,182328.0,743.216,1377
101,2025-09-09,734.09,740.0,718.0,731.98,71232.0,728.056,508
102,2025-09-10,736.66,750.96,734.26,747.55,120863.0,742.984,807
103,2025-09-11,751.61,765.01,745.42,751.11,145744.0,755.306,966
104,2025-09-12,756.66,765.44,754.46,756.13,83406.0,758.985,529
105,2025-09-15,760.0,774.32,756.2,760.79,96244.0,765.871,725
106,2025-09-16,760.79,766.63,750.65,750.67,134952.0,758.546,962
107,2025-09-17,750.67,762.18,748.3,751.81,134248.0,754.915,1087
108,2025-09-18,756.35,772.0,753.0,766.47,114028.0,765.631,808
109,2025-09-19,771.77,779.09,760.01,774.53,226522.0,771.76,1109
110,2025-09-22,766.33,778.95,761.55,775.92,65468.0,771.092,456
111,2025-09-23,769.16,792.16,768.22,777.58,114240.0,779.497,916
112,2025-09-24,789.29,789.29,697.8,698.02,439703.0,727.145,3126
113,2025-09-25,696.97,723.16,694.54,712.15,348504.0,711.345,2216
114,2025-09-26,718.0,722.0,697.45,708.84,121695.0,708.584,891
115,2025-09-29,716.34,722.84,703.0,716.02,214353.0,714.372,1575
116,2025-09-30,716.04,724.88,700.24,717.64,198315.0,715.647,1420
117,2025-10-01,708.64,720.08,697.0,711.34,159999.0,711.77,1027
118,2025-10-02,719.91,725.16,703.24,720.53,131363.0,717.401,910
119,2025-10-03,721.51,726.76,712.76,715.51,88870.0,720.169,652
