,date,open,high,low,close,volume,average,barCount
0,2025-04-14,13.08,13.33,13.03,13.25,3102572.0,13.201,9177
1,2025-04-15,13.41,13.5,13.35,13.4,1838352.0,13.43,6231
2,2025-04-16,13.35,13.62,13.33,13.43,1669176.0,13.46,5393
3,2025-04-17,13.37,13.58,13.32,13.48,1401344.0,13.473,4413
4,2025-04-21,13.72,13.78,13.24,13.39,644741.0,13.392,2360
5,2025-04-22,13.58,13.79,13.54,13.79,1451429.0,13.68,5324
6,2025-04-23,13.93,14.1,13.9,13.97,1377988.0,13.999,4361
7,2025-04-24,13.86,14.08,13.82,14.08,1196213.0,13.964,4015
8,2025-04-25,14.08,14.25,14.07,14.23,1311473.0,14.176,4065
9,2025-04-28,14.32,14.43,14.29,14.37,1235081.0,14.361,3469
10,2025-04-29,14.0,14.15,13.93,14.04,1072483.0,14.044,3607
11,2025-04-30,13.56,13.72,13.47,13.7,1815626.0,13.612,4979
12,2025-05-01,13.86,13.94,13.72,13.77,788178.0,13.817,3167
13,2025-05-02,13.82,13.92,13.71,13.87,1105421.0,13.847,3846
14,2025-05-05,14.05,14.16,14.01,14.04,1015813.0,14.07,2941
15,2025-05-06,14.07,14.25,14.07,14.15,1017906.0,14.166,2821
16,2025-05-07,14.16,14.32,14.11,14.22,1378843.0,14.239,4693
17,2025-05-08,14.38,14.48,14.33,14.43,1481801.0,14.415,4238
18,2025-05-09,14.47,14.49,14.38,14.47,857698.0,14.444,2632
19,2025-05-12,14.39,14.53,14.35,14.48,1327265.0,14.439,3872
20,2025-05-13,14.69,14.81,14.69,14.76,1263399.0,14.757,3848
21,2025-05-14,14.93,15.04,14.89,15.01,1050030.0,14.991,2978
22,2025-05-15,14.96,14.98,14.87,14.96,729091.0,14.945,2171
23,2025-05-16,14.99,15.06,14.88,15.02,974160.0,14.992,2668
24,2025-05-19,15.08,15.25,15.06,15.21,1011302.0,15.18,3357
25,2025-05-20,15.49,15.6,15.46,15.57,1192243.0,15.521,3471
26,2025-05-21,15.65,15.66,15.33,15.33,781124.0,15.51,2567
27,2025-05-22,15.38,15.46,15.33,15.4,852326.0,15.417,2533
28,2025-05-23,14.96,15.17,14.94,15.13,1550776.0,15.099,4671
29,2025-05-27,15.31,15.42,15.29,15.42,1089660.0,15.371,2945
30,2025-05-28,15.09,15.12,14.92,14.97,1353847.0,14.996,3720
31,2025-05-29,15.1,15.13,15.0,15.1,1321738.0,15.067,4094
32,2025-05-30,15.05,15.09,14.92,15.04,1690900.0,15.033,4461
33,2025-06-02,15.02,15.23,14.96,15.19,1528225.0,15.158,3795
34,2025-06-03,14.84,15.03,14.82,15.0,1039721.0,14.956,3065
35,2025-06-04,14.86,15.01,14.83,14.94,1569710.0,14.961,3783
36,2025-06-05,14.93,15.14,14.9,15.07,1439562.0,15.071,3715
37,2025-06-06,15.14,15.22,15.07,15.15,1133555.0,15.123,2646
38,2025-06-09,15.1,15.21,15.07,15.1,977057.0,15.148,2337
39,2025-06-10,15.2,15.2,15.02,15.08,1032141.0,15.092,2635
40,2025-06-11,15.14,15.3,15.03,15.2,1199683.0,15.207,3565
41,2025-06-12,15.25,15.38,15.25,15.31,862391.0,15.319,2520
42,2025-06-13,14.84,15.16,14.82,15.08,4087891.0,15.063,8515
43,2025-06-16,15.26,15.67,15.19,15.54,5696299.0,15.487,15752
44,2025-06-17,15.01,15.15,14.83,14.86,3347876.0,15.039,8338
45,2025-06-18,14.88,15.11,14.84,15.07,1173603.0,15.034,3298
46,2025-06-20,14.95,14.96,14.84,14.93,1578671.0,14.904,4777
47,2025-06-23,14.66,14.9,14.63,14.9,828636.0,14.785,2585
48,2025-06-24,15.15,15.6,15.13,15.32,862694.0,15.329,2649
49,2025-06-25,14.85,14.88,14.77,14.88,1491310.0,14.833,4650
50,2025-06-26,14.99,15.02,14.92,14.97,1098538.0,14.98,2935
51,2025-06-27,15.18,15.32,15.11,15.27,1375877.0,15.214,3945
52,2025-06-30,15.21,15.41,15.21,15.37,929250.0,15.329,2285
53,2025-07-01,15.17,15.27,15.08,15.22,1160855.0,15.185,3563
54,2025-07-02,15.31,15.43,15.18,15.4,1106629.0,15.344,3192
55,2025-07-03,15.62,15.67,15.55,15.63,715558.0,15.603,2116
56,2025-07-07,15.34,15.45,15.29,15.4,4394572.0,15.381,9158
57,2025-07-08,15.66,15.76,15.54,15.74,3456024.0,15.633,6964
58,2025-07-09,15.98,16.0,15.84,15.94,2971305.0,15.906,5758
59,2025-07-10,15.79,15.8,15.53,15.56,1177140.0,15.609,3426
60,2025-07-11,15.16,15.19,15.03,15.04,1213139.0,15.099,3081
61,2025-07-14,15.16,15.22,15.11,15.16,1746379.0,15.149,5583
62,2025-07-15,14.95,14.96,14.72,14.74,2077266.0,14.797,6286
63,2025-07-16,14.81,14.92,14.67,14.9,3369376.0,14.801,7629
64,2025-07-17,14.73,14.86,14.71,14.85,1187428.0,14.79,3595
65,2025-07-18,14.89,14.91,14.74,14.77,1052823.0,14.821,3001
66,2025-07-21,14.71,14.88,14.68,14.73,2841189.0,14.804,7659
67,2025-07-22,14.76,14.88,14.63,14.86,3493183.0,14.758,9960
68,2025-07-23,14.94,15.44,14.9,15.4,1682419.0,15.197,4522
