,date,open,high,low,close,volume,average,barCount
0,2025-04-14,18.2,18.42,17.33,17.9,3812987.0,17.9,20512
1,2025-04-15,17.87,18.9,17.87,18.31,2892753.0,18.37,14279
2,2025-04-16,17.59,18.01,17.23,17.83,2949578.0,17.677,14844
3,2025-04-17,17.79,17.9,16.85,17.0,3362506.0,17.136,16748
4,2025-04-21,16.64,16.93,16.01,16.38,2521549.0,16.343,12750
5,2025-04-22,16.45,17.35,16.43,16.88,2075290.0,16.962,11396
6,2025-04-23,18.0,18.7,17.16,17.26,4337211.0,17.827,20756
7,2025-04-24,17.27,18.41,17.27,18.14,3200390.0,18.157,17116
8,2025-04-25,18.15,19.14,17.96,18.93,3952614.0,18.793,18081
9,2025-04-28,18.92,19.52,18.83,19.24,3065637.0,19.201,16730
10,2025-04-29,19.31,19.44,18.72,18.91,2454377.0,18.995,11692
11,2025-04-30,18.16,18.51,17.66,18.32,6240974.0,18.248,22920
12,2025-05-01,18.85,19.0,16.75,16.81,8813729.0,17.291,42774
13,2025-05-02,17.23,17.23,16.25,16.44,7181580.0,16.564,35111
14,2025-05-05,16.91,17.3,16.29,16.32,4354460.0,16.772,20928
15,2025-05-06,16.09,16.63,16.05,16.34,3685939.0,16.34,18908
16,2025-05-07,16.43,16.72,16.18,16.53,2516501.0,16.463,12511
17,2025-05-08,16.77,17.72,16.47,17.24,4580574.0,17.242,23218
18,2025-05-09,17.37,17.64,17.13,17.62,2247087.0,17.415,11562
19,2025-05-12,18.61,19.19,18.45,18.91,4528192.0,18.837,22712
20,2025-05-13,19.2,19.48,18.76,19.16,3488264.0,19.231,18782
21,2025-05-14,19.35,20.29,19.3,20.25,4338400.0,19.956,21601
22,2025-05-15,20.07,20.16,19.18,19.82,2490242.0,19.699,12281
23,2025-05-16,20.0,20.23,19.69,20.11,3116429.0,20.006,11816
24,2025-05-19,19.25,19.53,18.78,19.23,3259555.0,19.126,15888
25,2025-05-20,19.29,19.58,18.92,19.11,1909664.0,19.223,9625
26,2025-05-21,18.74,18.94,18.08,18.21,2423018.0,18.403,11730
27,2025-05-22,17.68,18.39,17.01,18.37,3253561.0,17.909,15190
28,2025-05-23,18.0,19.58,17.85,19.48,3681201.0,19.253,17278
29,2025-05-27,19.73,19.84,19.33,19.76,2672054.0,19.664,12971
30,2025-05-28,19.8,19.95,19.17,19.59,1588403.0,19.501,7963
31,2025-05-29,19.77,19.81,18.47,18.57,2869952.0,18.936,14096
32,2025-05-30,18.43,18.79,18.16,18.47,1980914.0,18.509,9535
33,2025-06-02,18.55,18.72,18.12,18.28,1755992.0,18.409,9717
34,2025-06-03,18.78,20.62,18.39,20.41,5218785.0,19.973,21465
35,2025-06-04,20.6,21.36,20.06,20.25,4477792.0,20.424,19044
36,2025-06-05,20.34,21.12,19.97,20.45,3846579.0,20.565,17946
37,2025-06-06,20.82,21.82,20.81,21.78,3676549.0,21.586,19054
38,2025-06-09,22.0,22.15,21.36,21.43,2392966.0,21.571,11309
39,2025-06-10,21.6,22.23,21.42,21.63,2387151.0,21.803,12703
40,2025-06-11,21.73,22.72,21.61,22.53,2932663.0,22.34,13844
41,2025-06-12,22.02,22.41,21.82,22.25,2739915.0,22.164,14856
42,2025-06-13,21.5,22.17,21.41,21.95,1859514.0,21.87,9911
