,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,18.2,18.42,17.36,17.42,1348640.0,17.907,6547
1,2025-04-14 12:00:00-04:00,17.42,18.11,17.33,17.9,2464347.0,17.896,13965
2,2025-04-15 09:30:00-04:00,17.87,18.9,17.87,18.47,1403152.0,18.441,7515
3,2025-04-15 12:00:00-04:00,18.48,18.62,18.1,18.3,1489601.0,18.302,6764
4,2025-04-16 09:30:00-04:00,17.59,18.01,17.52,17.87,869936.0,17.815,3899
5,2025-04-16 12:00:00-04:00,17.88,18.0,17.23,17.84,2079642.0,17.619,10945
6,2025-04-17 09:30:00-04:00,17.79,17.9,16.85,16.87,1148843.0,17.269,5732
7,2025-04-17 12:00:00-04:00,16.87,17.29,16.85,17.01,2213663.0,17.066,11016
8,2025-04-21 09:30:00-04:00,16.64,16.93,16.1,16.19,817460.0,16.445,4015
9,2025-04-21 12:00:00-04:00,16.19,16.51,16.01,16.39,1704089.0,16.294,8735
10,2025-04-22 09:30:00-04:00,16.45,17.19,16.43,17.12,828510.0,16.926,4403
11,2025-04-22 12:00:00-04:00,17.12,17.35,16.8,16.91,1246780.0,16.986,6993
12,2025-04-23 09:30:00-04:00,18.0,18.7,17.64,17.75,2263679.0,18.151,10440
13,2025-04-23 12:00:00-04:00,17.76,17.78,17.16,17.23,2073532.0,17.474,10316
14,2025-04-24 09:30:00-04:00,17.27,18.26,17.27,18.2,948651.0,17.968,4840
15,2025-04-24 12:00:00-04:00,18.19,18.41,18.07,18.13,2251739.0,18.236,12276
16,2025-04-25 09:30:00-04:00,18.15,19.14,17.96,18.7,1236176.0,18.657,6422
17,2025-04-25 12:00:00-04:00,18.68,19.04,18.56,18.94,2716438.0,18.856,11659
18,2025-04-28 09:30:00-04:00,18.92,19.52,18.83,19.05,1483063.0,19.28,7564
19,2025-04-28 12:00:00-04:00,19.04,19.29,18.86,19.23,1582574.0,19.127,9166
20,2025-04-29 09:30:00-04:00,19.31,19.44,18.72,18.84,875963.0,18.947,3833
21,2025-04-29 12:00:00-04:00,18.85,19.22,18.76,18.91,1578414.0,19.022,7859
22,2025-04-30 09:30:00-04:00,18.16,18.44,17.66,18.29,1444924.0,18.066,6952
23,2025-04-30 12:00:00-04:00,18.3,18.51,18.11,18.31,4796050.0,18.303,15968
24,2025-05-01 09:30:00-04:00,18.85,19.0,17.23,17.27,3556861.0,17.794,16951
25,2025-05-01 12:00:00-04:00,17.27,17.42,16.75,16.79,5256868.0,16.95,25823
26,2025-05-02 09:30:00-04:00,17.23,17.23,16.44,16.5,2373875.0,16.754,10954
27,2025-05-02 12:00:00-04:00,16.49,16.74,16.25,16.43,4807705.0,16.471,24157
