,date,open,high,low,close,volume,average,barCount
0,2025-04-14,17.13,17.5,16.995,17.01,4165468.0,17.20565,24599
1,2025-04-15,16.79,16.96,16.6308,16.78,1711412.0,16.79115,10109
2,2025-04-16,16.28,16.34,15.87,16.19,3328799.0,16.13916,16124
3,2025-04-17,16.56,16.74,16.16,16.21,2216727.0,16.29889,12276
4,2025-04-21,15.99,16.2,15.84,16.19,1321019.0,16.04133,7777
5,2025-04-22,16.64,17.12,16.55,16.7,2261860.0,16.78272,13232
6,2025-04-23,17.2,17.69,17.18,17.24,2345091.0,17.37638,12972
7,2025-04-24,17.03,17.78,17.03,17.67,2409775.0,17.60318,11637
8,2025-04-25,17.2,17.465,17.1571,17.41,1345557.0,17.33698,7389
9,2025-04-28,17.095,17.4,17.02,17.27,1500477.0,17.2333,7039
10,2025-04-29,17.31,17.69,17.31,17.55,1029731.0,17.56581,5444
11,2025-04-30,17.435,17.5908,17.25,17.5,862261.0,17.40471,4018
12,2025-05-01,17.65,17.75,17.435,17.56,936596.0,17.5614,5135
13,2025-05-02,18.2,18.295,18.0,18.13,1788149.0,18.15408,9029
14,2025-05-05,17.87,18.43,17.87,18.28,1159253.0,18.26456,6428
15,2025-05-06,18.385,18.705,18.255,18.28,2321662.0,18.45487,11429
16,2025-05-07,17.82,17.91,17.51,17.58,1826030.0,17.67708,9001
17,2025-05-08,17.87,17.97,17.5222,17.89,1635214.0,17.79927,7926
18,2025-05-09,17.82,18.09,17.455,17.53,1045851.0,17.63188,5814
19,2025-05-12,18.8,19.04,18.48,18.86,3181697.0,18.81785,13788
20,2025-05-13,18.4,18.535,18.11,18.4,2174316.0,18.37309,11429
21,2025-05-14,18.6,18.61,18.06,18.22,1719059.0,18.21064,7764
22,2025-05-15,17.68,17.975,17.595,17.74,3054918.0,17.73917,16289
23,2025-05-16,18.5,19.21,18.49,18.93,4433644.0,18.94291,20170
24,2025-05-19,18.19,18.27,17.88,17.99,4721484.0,18.01808,21476
25,2025-05-20,18.73,19.24,18.11,18.15,8541836.0,18.48912,32887
26,2025-05-21,18.12,18.72,17.91,18.22,7248677.0,18.19724,35278
27,2025-05-22,17.83,18.41,17.66,18.35,4124119.0,18.18855,19486
28,2025-05-23,18.47,19.03,18.36,18.935,3444732.0,18.82989,16539
29,2025-05-27,18.9,19.65,18.83,19.43,4452727.0,19.40854,22895
30,2025-05-28,19.22,19.28,19.06,19.12,2150699.0,19.14425,8250
31,2025-05-29,19.37,19.51,18.99,19.07,1840155.0,19.10126,9986
32,2025-05-30,18.49,18.53,17.94,18.3,3806909.0,18.20312,17365
33,2025-06-02,18.16,18.49,18.06,18.46,1393181.0,18.3409,6550
34,2025-06-03,18.33,18.36,17.81,18.0,3203601.0,17.97733,15085
35,2025-06-04,18.15,18.485,18.12,18.27,2133395.0,18.29267,11457
36,2025-06-05,18.6,18.725,18.325,18.48,2271230.0,18.48339,12190
37,2025-06-06,18.52,18.755,18.255,18.75,2801791.0,18.53698,13891
38,2025-06-09,19.05,19.5676,18.946,19.45,3554014.0,19.3626,16036
39,2025-06-10,19.38,19.47,19.24,19.45,1733060.0,19.36345,7637
40,2025-06-11,21.0,21.28,20.759,21.06,7937451.0,21.04024,35277
41,2025-06-12,20.89,21.055,20.665,20.74,2626127.0,20.80467,12745
42,2025-06-13,20.11,20.32,19.65,20.02,2667983.0,20.01197,11960
