,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,4.59,4.61,4.5,4.51,195468.0,4.558,1096
1,2025-04-14 12:00:00-04:00,4.52,4.62,4.5,4.61,598482.0,4.577,2917
2,2025-04-15 09:30:00-04:00,4.65,4.69,4.65,4.69,373288.0,4.671,1098
3,2025-04-15 12:00:00-04:00,4.69,4.69,4.62,4.63,156776.0,4.641,702
4,2025-04-16 09:30:00-04:00,4.64,4.66,4.6,4.64,53298.0,4.63,225
5,2025-04-16 12:00:00-04:00,4.63,4.71,4.63,4.67,225557.0,4.672,838
6,2025-04-17 09:30:00-04:00,4.66,4.74,4.64,4.73,217968.0,4.697,1130
7,2025-04-17 12:00:00-04:00,4.73,4.78,4.69,4.71,360999.0,4.738,1639
8,2025-04-21 09:30:00-04:00,4.7,4.73,4.67,4.67,73219.0,4.71,230
9,2025-04-21 12:00:00-04:00,4.67,4.72,4.66,4.72,114249.0,4.692,507
10,2025-04-22 09:30:00-04:00,4.72,4.83,4.7,4.8,377678.0,4.771,1213
11,2025-04-22 12:00:00-04:00,4.81,4.84,4.78,4.82,167197.0,4.815,691
12,2025-04-23 09:30:00-04:00,4.83,4.89,4.8,4.86,98500.0,4.856,476
13,2025-04-23 12:00:00-04:00,4.86,4.86,4.8,4.8,169289.0,4.819,832
14,2025-04-24 09:30:00-04:00,4.85,4.97,4.83,4.96,341706.0,4.91,1057
15,2025-04-24 12:00:00-04:00,4.96,4.97,4.91,4.96,440583.0,4.949,1557
16,2025-04-25 09:30:00-04:00,4.98,5.03,4.94,4.97,333841.0,5.0,696
17,2025-04-25 12:00:00-04:00,4.97,4.99,4.94,4.96,206192.0,4.963,889
18,2025-04-28 09:30:00-04:00,4.99,5.03,4.96,4.96,171461.0,4.992,828
19,2025-04-28 12:00:00-04:00,4.96,5.03,4.95,5.03,208943.0,5.005,1030
20,2025-04-29 09:30:00-04:00,5.05,5.18,5.04,5.16,226577.0,5.107,905
21,2025-04-29 12:00:00-04:00,5.16,5.16,5.11,5.15,238092.0,5.137,1175
22,2025-04-30 09:30:00-04:00,5.05,5.14,4.99,5.14,382418.0,5.085,1503
23,2025-04-30 12:00:00-04:00,5.15,5.26,5.11,5.25,474764.0,5.174,1376
24,2025-05-01 09:30:00-04:00,5.27,5.27,5.11,5.15,237317.0,5.154,820
25,2025-05-01 12:00:00-04:00,5.15,5.16,5.07,5.14,273535.0,5.137,1158
26,2025-05-02 09:30:00-04:00,5.25,5.25,5.17,5.2,245359.0,5.216,1147
27,2025-05-02 12:00:00-04:00,5.2,5.22,5.14,5.15,355977.0,5.178,1667
28,2025-05-05 09:30:00-04:00,5.2,5.23,5.12,5.14,150200.0,5.163,895
29,2025-05-05 12:00:00-04:00,5.13,5.14,5.02,5.03,279572.0,5.046,1428
30,2025-05-06 09:30:00-04:00,5.01,5.08,5.0,5.03,134581.0,5.034,590
31,2025-05-06 12:00:00-04:00,5.03,5.09,5.0,5.02,214611.0,5.033,1026
32,2025-05-07 09:30:00-04:00,5.04,5.04,4.96,5.0,825901.0,5.002,1072
33,2025-05-07 12:00:00-04:00,5.0,5.01,4.95,4.97,358577.0,4.985,1771
34,2025-05-08 09:30:00-04:00,5.15,5.31,5.12,5.25,725557.0,5.189,2899
35,2025-05-08 12:00:00-04:00,5.25,5.31,5.24,5.28,469606.0,5.281,2184
36,2025-05-09 09:30:00-04:00,5.3,5.38,5.3,5.32,144978.0,5.348,749
37,2025-05-09 12:00:00-04:00,5.32,5.34,5.3,5.33,184488.0,5.322,959
38,2025-05-12 09:30:00-04:00,5.32,5.32,5.21,5.21,197797.0,5.236,934
39,2025-05-12 12:00:00-04:00,5.21,5.25,5.19,5.23,174418.0,5.222,750
40,2025-05-13 09:30:00-04:00,5.32,5.38,5.32,5.37,115594.0,5.347,529
41,2025-05-13 12:00:00-04:00,5.36,5.44,5.34,5.42,322716.0,5.393,1369
42,2025-05-14 09:30:00-04:00,5.42,5.49,5.41,5.44,126973.0,5.451,631
43,2025-05-14 12:00:00-04:00,5.44,5.46,5.41,5.42,182825.0,5.433,922
44,2025-05-15 09:30:00-04:00,5.44,5.47,5.39,5.42,256095.0,5.43,1264
45,2025-05-15 12:00:00-04:00,5.42,5.42,5.33,5.35,155779.0,5.375,825
46,2025-05-16 09:30:00-04:00,5.32,5.33,5.27,5.29,123201.0,5.294,492
47,2025-05-16 12:00:00-04:00,5.3,5.35,5.3,5.33,113112.0,5.33,683
48,2025-05-19 09:30:00-04:00,5.31,5.43,5.31,5.42,65481.0,5.387,303
49,2025-05-19 12:00:00-04:00,5.41,5.43,5.38,5.42,145891.0,5.41,710
50,2025-05-20 09:30:00-04:00,5.41,5.41,5.35,5.36,52219.0,5.371,230
51,2025-05-20 12:00:00-04:00,5.35,5.38,5.34,5.35,128257.0,5.358,731
52,2025-05-21 09:30:00-04:00,5.35,5.35,5.27,5.29,76060.0,5.299,322
53,2025-05-21 12:00:00-04:00,5.29,5.3,5.22,5.27,448579.0,5.268,1868
54,2025-05-22 09:30:00-04:00,5.25,5.33,5.24,5.33,204785.0,5.293,777
55,2025-05-22 12:00:00-04:00,5.33,5.4,5.26,5.26,449838.0,5.333,2271
56,2025-05-23 09:30:00-04:00,5.15,5.27,5.13,5.27,236732.0,5.214,1038
57,2025-05-23 12:00:00-04:00,5.27,5.31,5.25,5.29,145904.0,5.285,854
58,2025-05-27 09:30:00-04:00,5.41,5.44,5.35,5.36,312163.0,5.39,1246
59,2025-05-27 12:00:00-04:00,5.36,5.37,5.3,5.33,148789.0,5.341,733
60,2025-05-28 09:30:00-04:00,5.37,5.37,5.25,5.26,89888.0,5.278,462
61,2025-05-28 12:00:00-04:00,5.26,5.29,5.25,5.25,122778.0,5.269,688
62,2025-05-29 09:30:00-04:00,5.28,5.32,5.24,5.29,115356.0,5.288,546
63,2025-05-29 12:00:00-04:00,5.29,5.32,5.27,5.28,146335.0,5.293,782
64,2025-05-30 09:30:00-04:00,5.25,5.25,5.15,5.19,94272.0,5.185,443
65,2025-05-30 12:00:00-04:00,5.19,5.22,5.17,5.2,129635.0,5.2,637
66,2025-06-02 09:30:00-04:00,5.27,5.28,5.19,5.2,86885.0,5.22,454
67,2025-06-02 12:00:00-04:00,5.2,5.21,5.16,5.2,245129.0,5.18,1137
68,2025-06-03 09:30:00-04:00,5.2,5.25,5.15,5.25,110601.0,5.201,720
69,2025-06-03 12:00:00-04:00,5.24,5.3,5.23,5.28,339832.0,5.263,1259
70,2025-06-04 09:30:00-04:00,5.29,5.32,5.22,5.22,101682.0,5.275,428
71,2025-06-04 12:00:00-04:00,5.23,5.23,5.15,5.15,163432.0,5.174,940
72,2025-06-05 09:30:00-04:00,5.2,5.2,5.15,5.19,114156.0,5.181,516
73,2025-06-05 12:00:00-04:00,5.19,5.22,5.14,5.15,149987.0,5.183,726
74,2025-06-06 09:30:00-04:00,5.19,5.21,5.11,5.13,138014.0,5.143,711
75,2025-06-06 12:00:00-04:00,5.13,5.18,5.12,5.16,175343.0,5.154,833
76,2025-06-09 09:30:00-04:00,5.15,5.17,5.08,5.15,343817.0,5.126,1393
77,2025-06-09 12:00:00-04:00,5.15,5.19,5.13,5.16,359951.0,5.155,1671
78,2025-06-10 09:30:00-04:00,5.2,5.24,5.15,5.16,103068.0,5.192,601
79,2025-06-10 12:00:00-04:00,5.16,5.19,5.14,5.19,182665.0,5.17,1145
80,2025-06-11 09:30:00-04:00,5.36,5.44,5.32,5.43,327504.0,5.397,1405
81,2025-06-11 12:00:00-04:00,5.43,5.49,5.41,5.46,325842.0,5.452,1169
82,2025-06-12 09:30:00-04:00,5.43,5.43,5.36,5.39,168618.0,5.399,729
83,2025-06-12 12:00:00-04:00,5.39,5.4,5.36,5.39,130330.0,5.38,648
84,2025-06-13 09:30:00-04:00,5.28,5.43,5.28,5.41,149715.0,5.378,627
85,2025-06-13 12:00:00-04:00,5.41,5.45,5.39,5.41,167787.0,5.419,994
86,2025-06-16 09:30:00-04:00,5.45,5.53,5.45,5.5,141635.0,5.51,689
87,2025-06-16 12:00:00-04:00,5.5,5.52,5.46,5.47,358854.0,5.483,1832
