,date,open,high,low,close,volume,average,barCount
0,2025-04-14,3.69,3.9,3.59,3.8,171058.0,3.74824,541
1,2025-04-15,3.76,3.88,3.6,3.83,68241.0,3.79769,223
2,2025-04-16,3.71,3.7983,3.49,3.57,129437.0,3.62096,512
3,2025-04-17,3.6,3.75,3.51,3.73,65952.0,3.65153,382
4,2025-04-21,3.69,3.9191,3.57,3.89,243784.0,3.77451,1150
5,2025-04-22,3.97,4.2,3.9,4.1,251584.0,4.03598,748
6,2025-04-23,4.29,4.3,4.145,4.26,208570.0,4.21867,567
7,2025-04-24,4.28,4.2899,4.1297,4.22,77245.0,4.20854,291
8,2025-04-25,4.23,4.28,4.12,4.28,57889.0,4.22477,209
9,2025-04-28,4.3,4.3,3.95,4.02,208503.0,4.05361,715
10,2025-04-29,4.03,4.2,3.91,4.08,107012.0,4.08631,335
11,2025-04-30,3.98,4.06,3.91,4.05,32995.0,4.00295,130
12,2025-05-01,4.11,4.15,3.99,4.06,101760.0,4.08472,378
13,2025-05-02,4.11,4.2,4.05,4.05,123011.0,4.1192,465
14,2025-05-05,4.04,4.125,3.81,4.05,271293.0,4.00304,941
15,2025-05-06,4.05,4.106,3.91,3.99,92182.0,4.02486,304
16,2025-05-07,3.99,4.08,3.91,4.08,62029.0,4.00548,326
17,2025-05-08,4.22,4.27,4.02,4.25,219313.0,4.20597,675
18,2025-05-09,4.33,4.56,4.12,4.53,393477.0,4.32874,1162
19,2025-05-12,4.73,5.0,4.28,4.34,743889.0,4.75912,2102
20,2025-05-13,4.42,4.6,4.26,4.36,436374.0,4.40446,1054
21,2025-05-14,4.4,4.4924,4.29,4.4,302753.0,4.37002,1025
22,2025-05-15,4.32,4.335,4.05,4.09,556182.0,4.14325,1245
23,2025-05-16,4.05,4.16,4.05,4.12,302297.0,4.10875,1274
24,2025-05-19,4.11,4.33,4.08,4.26,291079.0,4.20089,1056
25,2025-05-20,4.22,4.54,4.2,4.34,363309.0,4.40459,1335
26,2025-05-21,4.34,4.85,4.34,4.55,567599.0,4.62064,1747
27,2025-05-22,4.59,4.77,4.35,4.62,380161.0,4.62744,1035
28,2025-05-23,4.6,4.63,4.44,4.56,238218.0,4.57356,739
29,2025-05-27,4.56,4.85,4.51,4.84,255581.0,4.72629,748
30,2025-05-28,4.8,4.9,4.66,4.86,317799.0,4.80094,1061
31,2025-05-29,4.94,4.94,4.6,4.62,291047.0,4.72694,823
32,2025-05-30,4.61,4.66,4.5,4.55,223005.0,4.55915,507
33,2025-06-02,4.61,4.89,4.58,4.74,562381.0,4.75598,1316
34,2025-06-03,4.8,4.98,4.73,4.93,271390.0,4.87251,782
35,2025-06-04,5.03,5.372,5.03,5.24,877834.0,5.24428,2265
36,2025-06-05,5.31,5.31,4.97,5.08,462185.0,5.06507,1375
37,2025-06-06,5.12,5.35,5.06,5.2,543722.0,5.22971,1771
38,2025-06-09,5.33,5.44,5.15,5.16,548436.0,5.24639,1887
39,2025-06-10,5.2,5.22,4.98,5.13,293608.0,5.09716,877
40,2025-06-11,5.13,5.18,4.96,5.01,333182.0,5.04916,1252
41,2025-06-12,4.97,4.99,4.84,4.96,370923.0,4.8998,1337
42,2025-06-13,4.86,4.95,4.75,4.83,190804.0,4.84285,890
43,2025-06-16,4.9,5.0156,4.66,4.69,605628.0,4.86632,1979
44,2025-06-17,4.66,4.7,4.52,4.57,297336.0,4.5941,762
45,2025-06-18,4.52,4.67,4.42,4.44,200359.0,4.50989,661
46,2025-06-20,4.5,4.5,4.35,4.45,310235.0,4.42266,1174
47,2025-06-23,4.36,4.5,4.1,4.1,684415.0,4.27062,2245
48,2025-06-24,4.18,4.49,4.1122,4.45,365491.0,4.3094,1328
49,2025-06-25,4.52,4.62,4.33,4.35,221427.0,4.46024,1075
50,2025-06-26,4.33,4.42,4.26,4.37,56931.0,4.35412,259
51,2025-06-27,4.57,4.6493,4.43,4.46,290484.0,4.54115,705
52,2025-06-30,4.45,4.87,4.45,4.85,365791.0,4.7337,817
53,2025-07-01,4.98,4.99,4.65,4.71,327228.0,4.7385,756
54,2025-07-02,4.86,5.27,4.72,5.27,671793.0,5.06265,1616
55,2025-07-03,5.3,5.33,5.15,5.24,695355.0,5.23524,1600
56,2025-07-07,5.27,5.304,5.005,5.05,642180.0,5.12246,1707
57,2025-07-08,5.15,5.39,5.1162,5.33,723408.0,5.2939,1957
