,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,3.69,3.9,3.59,3.7,125092.0,3.74453,323
1,2025-04-14 12:00:00-04:00,3.675,3.83,3.6712,3.78,45966.0,3.75835,218
2,2025-04-15 09:30:00-04:00,3.76,3.88,3.6,3.8,49808.0,3.80663,124
3,2025-04-15 12:00:00-04:00,3.79,3.84,3.7301,3.82,18433.0,3.77355,99
4,2025-04-16 09:30:00-04:00,3.71,3.7983,3.62,3.74,11969.0,3.71931,45
5,2025-04-16 12:00:00-04:00,3.77,3.79,3.49,3.55,117468.0,3.61094,467
6,2025-04-17 09:30:00-04:00,3.6,3.65,3.51,3.58,20355.0,3.6103,86
7,2025-04-17 12:00:00-04:00,3.585,3.75,3.58,3.73,45597.0,3.66993,296
8,2025-04-21 09:30:00-04:00,3.69,3.88,3.57,3.825,129539.0,3.70983,544
9,2025-04-21 12:00:00-04:00,3.84,3.9191,3.8,3.89,114245.0,3.84785,606
10,2025-04-22 09:30:00-04:00,3.97,4.2,3.9,3.95,119989.0,3.98537,429
11,2025-04-22 12:00:00-04:00,3.96,4.19,3.96,4.13,131595.0,4.08213,319
12,2025-04-23 09:30:00-04:00,4.29,4.295,4.15,4.16,119494.0,4.20563,278
13,2025-04-23 12:00:00-04:00,4.15,4.3,4.145,4.29,89076.0,4.23616,289
14,2025-04-24 09:30:00-04:00,4.28,4.2899,4.1297,4.13,44535.0,4.21143,123
15,2025-04-24 12:00:00-04:00,4.13,4.25,4.13,4.214,32710.0,4.20461,168
16,2025-04-25 09:30:00-04:00,4.23,4.25,4.12,4.18,31819.0,4.21071,93
17,2025-04-25 12:00:00-04:00,4.2,4.28,4.18,4.27,26070.0,4.24192,116
18,2025-04-28 09:30:00-04:00,4.3,4.3,3.95,3.95,177784.0,4.06282,563
19,2025-04-28 12:00:00-04:00,3.9501,4.07,3.95,4.01,30719.0,4.00033,152
20,2025-04-29 09:30:00-04:00,4.03,4.15,3.91,4.115,74539.0,4.06979,220
21,2025-04-29 12:00:00-04:00,4.11,4.2,4.06,4.08,32473.0,4.12423,115
22,2025-04-30 09:30:00-04:00,3.98,4.0399,3.91,4.01,23535.0,3.9911,79
23,2025-04-30 12:00:00-04:00,4.04,4.06,4.01,4.05,9460.0,4.03245,51
24,2025-05-01 09:30:00-04:00,4.11,4.15,3.99,4.13,37406.0,4.0991,128
25,2025-05-01 12:00:00-04:00,4.11,4.12,4.03,4.03,64354.0,4.07637,250
26,2025-05-02 09:30:00-04:00,4.11,4.2,4.06,4.16,75543.0,4.11865,216
27,2025-05-02 12:00:00-04:00,4.1448,4.2,4.05,4.05,47468.0,4.12008,249
28,2025-05-05 09:30:00-04:00,4.04,4.055,3.81,4.04,197161.0,3.981,482
29,2025-05-05 12:00:00-04:00,4.04,4.125,4.0,4.06,74132.0,4.06165,459
30,2025-05-06 09:30:00-04:00,4.05,4.106,3.91,4.06,43150.0,4.0317,134
31,2025-05-06 12:00:00-04:00,4.04,4.07,3.95,3.99,49032.0,4.01884,170
32,2025-05-07 09:30:00-04:00,3.99,4.04,3.91,4.0,36699.0,3.98998,136
33,2025-05-07 12:00:00-04:00,4.01,4.08,3.994,4.08,25330.0,4.02793,190
34,2025-05-08 09:30:00-04:00,4.22,4.25,4.02,4.24,105395.0,4.18483,307
35,2025-05-08 12:00:00-04:00,4.21,4.27,4.16,4.23,113918.0,4.22553,368
36,2025-05-09 09:30:00-04:00,4.33,4.36,4.12,4.25,184189.0,4.27735,494
37,2025-05-09 12:00:00-04:00,4.25,4.56,4.18,4.56,209288.0,4.37397,668
38,2025-05-12 09:30:00-04:00,4.73,5.0,4.69,4.82,411517.0,4.88962,1088
39,2025-05-12 12:00:00-04:00,4.83,4.9,4.28,4.34,332372.0,4.59755,1014
40,2025-05-13 09:30:00-04:00,4.42,4.6,4.32,4.437,125517.0,4.47877,288
41,2025-05-13 12:00:00-04:00,4.44,4.5,4.26,4.36,310857.0,4.37445,766
42,2025-05-14 09:30:00-04:00,4.4,4.4924,4.29,4.355,171729.0,4.38106,563
43,2025-05-14 12:00:00-04:00,4.36,4.39,4.3,4.39,131024.0,4.35555,462
44,2025-05-15 09:30:00-04:00,4.32,4.335,4.05,4.145,470601.0,4.15078,953
45,2025-05-15 12:00:00-04:00,4.135,4.16,4.08,4.08,85581.0,4.10184,292
46,2025-05-16 09:30:00-04:00,4.05,4.16,4.05,4.1,102864.0,4.12321,472
47,2025-05-16 12:00:00-04:00,4.1,4.14,4.06,4.1,199433.0,4.10129,802
48,2025-05-19 09:30:00-04:00,4.11,4.3,4.08,4.29,179362.0,4.16483,569
49,2025-05-19 12:00:00-04:00,4.29,4.33,4.22,4.26,111717.0,4.2588,487
50,2025-05-20 09:30:00-04:00,4.22,4.54,4.2,4.49,267362.0,4.40892,818
51,2025-05-20 12:00:00-04:00,4.49,4.507,4.32,4.33,95947.0,4.39252,517
52,2025-05-21 09:30:00-04:00,4.34,4.72,4.34,4.72,258406.0,4.52535,709
53,2025-05-21 12:00:00-04:00,4.7439,4.85,4.51,4.54,309193.0,4.70028,1038
54,2025-05-22 09:30:00-04:00,4.59,4.765,4.35,4.7,225784.0,4.60051,594
55,2025-05-22 12:00:00-04:00,4.67,4.77,4.6,4.62,154377.0,4.66683,441
56,2025-05-23 09:30:00-04:00,4.6,4.62,4.44,4.54,161012.0,4.56594,403
57,2025-05-23 12:00:00-04:00,4.5443,4.63,4.5443,4.58,77206.0,4.58944,336
58,2025-05-27 09:30:00-04:00,4.56,4.756,4.51,4.72,134436.0,4.68012,335
59,2025-05-27 12:00:00-04:00,4.72,4.85,4.7,4.85,121145.0,4.77752,413
60,2025-05-28 09:30:00-04:00,4.8,4.9,4.66,4.7,177516.0,4.78673,542
61,2025-05-28 12:00:00-04:00,4.69,4.88,4.67,4.86,140283.0,4.81893,519
62,2025-05-29 09:30:00-04:00,4.94,4.94,4.7,4.7,119553.0,4.82136,269
63,2025-05-29 12:00:00-04:00,4.7,4.75,4.6,4.64,171494.0,4.66112,554
64,2025-05-30 09:30:00-04:00,4.61,4.66,4.5,4.595,156281.0,4.5669,299
65,2025-05-30 12:00:00-04:00,4.6016,4.6016,4.5,4.54,66724.0,4.54099,208
66,2025-06-02 09:30:00-04:00,4.61,4.89,4.58,4.88,360209.0,4.72806,735
67,2025-06-02 12:00:00-04:00,4.88,4.88,4.73,4.73,202172.0,4.80573,581
68,2025-06-03 09:30:00-04:00,4.8,4.94,4.73,4.9002,175727.0,4.84043,429
69,2025-06-03 12:00:00-04:00,4.91,4.98,4.87,4.92,95663.0,4.93143,353
70,2025-06-04 09:30:00-04:00,5.03,5.372,5.03,5.3076,664563.0,5.24303,1632
71,2025-06-04 12:00:00-04:00,5.32,5.32,5.2,5.22,213271.0,5.24815,633
72,2025-06-05 09:30:00-04:00,5.31,5.31,4.97,5.01,303170.0,5.0882,838
73,2025-06-05 12:00:00-04:00,5.01,5.08,4.97,5.08,159015.0,5.02096,537
74,2025-06-06 09:30:00-04:00,5.12,5.3,5.06,5.295,272277.0,5.18864,778
75,2025-06-06 12:00:00-04:00,5.29,5.35,5.18,5.18,271445.0,5.27091,993
76,2025-06-09 09:30:00-04:00,5.33,5.44,5.15,5.18,356328.0,5.28141,1163
77,2025-06-09 12:00:00-04:00,5.18,5.22,5.15,5.15,192108.0,5.18146,724
