,date,open,high,low,close,volume,average,barCount
0,2025-04-14,5.7,6.1,5.69,6.07,13528342.0,5.98557,24931
1,2025-04-15,6.12,6.185,6.01,6.1,12756284.0,6.08071,22950
2,2025-04-16,6.35,6.51,6.15,6.27,14621616.0,6.32016,28353
3,2025-04-17,6.18,6.265,5.96,6.03,10983959.0,6.05024,19500
4,2025-04-21,6.35,6.425,5.83,5.95,14429970.0,6.04821,26243
5,2025-04-22,6.04,6.1,5.72,5.75,15776067.0,5.91593,31045
6,2025-04-23,5.68,6.01,5.63,5.86,16601406.0,5.86645,38384
7,2025-04-24,6.0,6.04,5.75,5.84,8407480.0,5.82756,16058
8,2025-04-25,5.65,5.725,5.57,5.67,9052742.0,5.65562,17500
9,2025-04-28,5.61,5.71,5.5,5.7,10412893.0,5.5912,18841
10,2025-04-29,5.66,5.71,5.42,5.53,14933471.0,5.51187,24380
11,2025-04-30,5.41,5.55,5.32,5.55,10005956.0,5.47003,20947
12,2025-05-01,5.43,5.475,5.34,5.4,9700824.0,5.41447,17503
13,2025-05-02,5.46,5.505,5.21,5.31,12823982.0,5.28707,24990
14,2025-05-05,5.47,5.5,5.27,5.45,10865370.0,5.4127,19561
15,2025-05-06,5.59,5.8,5.51,5.79,12567531.0,5.61994,23155
16,2025-05-07,5.69,5.82,5.55,5.73,14649907.0,5.73382,22688
17,2025-05-08,6.31,7.045,6.2,6.97,29884857.0,6.81837,70887
18,2025-05-09,6.99,7.85,6.95,7.84,25818545.0,7.4233,50965
19,2025-05-12,7.395,7.7,7.35,7.66,20822851.0,7.56953,49035
20,2025-05-13,7.78,7.84,7.51,7.64,12467610.0,7.62277,27104
21,2025-05-14,7.35,7.495,7.32,7.39,16859752.0,7.38701,27860
22,2025-05-15,7.4,7.465,7.26,7.41,11731582.0,7.36973,21273
23,2025-05-16,7.16,7.5,7.15,7.46,14087444.0,7.36856,27073
24,2025-05-19,7.46,7.485,7.32,7.45,7833945.0,7.43231,15198
25,2025-05-20,7.5,7.86,7.42,7.84,10275108.0,7.69466,19955
26,2025-05-21,7.84,7.9796,7.705,7.8,10122435.0,7.83339,20035
27,2025-05-22,7.65,7.815,7.54,7.72,12032440.0,7.69441,21142
28,2025-05-23,7.82,7.89,7.73,7.81,13980648.0,7.80407,21835
29,2025-05-27,7.65,8.27,7.65,8.08,13919075.0,8.11984,27285
30,2025-05-28,8.12,8.45,8.1146,8.43,15103292.0,8.32711,24529
