,date,open,high,low,close,volume,average,barCount
0,2025-08-22,313.92,318.0,309.2,310.16,934781.0,313.063,5648
1,2025-08-25,310.41,317.62,309.98,310.68,506500.0,312.505,3425
2,2025-08-26,310.77,318.48,310.31,316.58,592658.0,315.077,3868
3,2025-08-27,316.35,319.49,314.14,315.94,632719.0,316.982,4140
4,2025-08-28,317.3,323.97,315.8,319.55,690950.0,321.044,4142
5,2025-08-29,317.35,317.99,305.89,307.98,915403.0,309.146,6190
6,2025-09-02,301.0,307.46,296.99,307.19,923865.0,302.867,6387
7,2025-09-03,306.52,309.59,303.92,308.48,488909.0,307.224,3271
8,2025-09-04,309.95,312.16,307.25,309.06,678906.0,309.554,4401
9,2025-09-05,311.09,312.99,293.15,301.58,1317395.0,300.064,8391
10,2025-09-08,304.21,304.79,296.36,298.82,855173.0,299.612,5620
11,2025-09-09,301.13,305.3,296.35,300.82,957765.0,301.137,6186
12,2025-09-10,308.5,328.31,308.5,320.0,2128885.0,319.692,12345
13,2025-09-11,320.01,322.27,316.11,318.0,1033173.0,318.825,6563
14,2025-09-12,318.06,325.41,315.28,323.48,522066.0,321.102,3558
15,2025-09-15,325.75,334.86,324.61,330.42,690384.0,330.117,4572
16,2025-09-16,332.04,332.86,321.5,322.91,704022.0,325.666,4625
17,2025-09-17,322.53,326.2,316.18,321.28,682855.0,321.016,4881
18,2025-09-18,325.18,330.13,319.59,322.71,684857.0,325.044,4576
19,2025-09-19,325.71,331.86,319.76,330.9,1293537.0,326.29,5034
20,2025-09-22,332.97,347.33,326.5,347.12,1072891.0,339.496,7222
21,2025-09-23,346.75,348.44,336.14,336.65,1117301.0,340.381,7518
22,2025-09-24,339.69,344.4,335.5,339.13,692307.0,339.862,4772
23,2025-09-25,335.0,336.56,325.06,326.33,1025616.0,329.167,6146
24,2025-09-26,328.72,332.84,326.44,331.26,463855.0,329.856,2846
25,2025-09-29,334.9,340.55,322.56,334.26,1044613.0,332.933,6691
26,2025-09-30,334.92,336.78,327.21,329.07,735064.0,329.795,4515
27,2025-10-01,326.05,352.25,323.88,350.9,1342810.0,343.967,8671
28,2025-10-02,352.25,357.68,343.21,357.46,894067.0,350.751,5449
29,2025-10-03,358.87,376.78,358.69,360.0,1651301.0,367.512,10350
