,date,open,high,low,close,volume,average,barCount
0,2025-04-14,38.39,38.83,37.72,38.29,384254.0,38.265,2244
1,2025-04-15,38.38,39.17,38.02,39.02,277690.0,38.819,1643
2,2025-04-16,39.0,39.87,39.0,39.65,263970.0,39.447,1396
3,2025-04-17,39.75,40.03,39.45,39.53,119356.0,39.752,785
4,2025-04-21,39.73,40.3,39.49,40.03,338870.0,39.953,1824
5,2025-04-22,40.54,41.4,40.49,41.3,286685.0,41.072,1671
6,2025-04-23,41.92,41.99,41.15,41.37,166149.0,41.555,1085
7,2025-04-24,41.74,42.19,41.55,41.65,130645.0,41.817,748
8,2025-04-25,41.5,42.33,41.41,42.33,246832.0,41.921,1089
9,2025-04-28,41.78,41.95,40.0,40.67,571796.0,40.732,3323
10,2025-04-29,40.61,40.94,40.3,40.83,256452.0,40.663,1513
11,2025-04-30,40.33,40.53,39.89,40.32,363661.0,40.15,1825
12,2025-05-01,40.3,40.86,39.99,40.5,143465.0,40.498,934
13,2025-05-02,41.1,41.32,40.91,40.99,131149.0,41.109,754
14,2025-05-05,41.0,41.35,40.11,40.47,358347.0,40.549,1983
15,2025-05-06,40.07,41.6,40.07,41.19,293565.0,40.943,1702
16,2025-05-07,41.38,41.42,40.57,40.72,220636.0,40.857,1477
17,2025-05-08,40.73,41.76,40.73,41.18,118229.0,41.184,663
18,2025-05-09,41.2,41.74,40.91,41.16,220059.0,41.282,1230
19,2025-05-12,41.27,41.82,40.26,40.34,264043.0,40.65,1593
20,2025-05-13,40.48,41.97,40.48,41.77,264240.0,41.616,1471
21,2025-05-14,41.86,42.58,41.64,42.35,191097.0,42.321,1105
22,2025-05-15,42.29,42.45,41.65,42.2,104278.0,42.087,712
23,2025-05-16,42.12,42.46,41.39,41.55,250885.0,41.628,1392
24,2025-05-19,41.83,42.19,41.34,41.63,111141.0,41.683,665
25,2025-05-20,41.39,42.18,41.39,42.18,179484.0,41.921,997
26,2025-05-21,42.26,42.32,41.22,41.22,93811.0,41.573,624
27,2025-05-22,41.07,41.23,40.4,40.53,157114.0,40.837,956
28,2025-05-23,40.28,41.77,40.28,41.57,309762.0,41.317,1240
29,2025-05-27,42.06,42.59,41.75,42.22,229039.0,42.187,1253
30,2025-05-28,42.09,42.78,42.08,42.33,415709.0,42.547,1574
31,2025-05-29,42.44,42.81,42.06,42.46,314095.0,42.543,2033
32,2025-05-30,42.41,42.41,41.22,41.43,411665.0,41.547,2381
33,2025-06-02,41.71,44.64,41.54,43.4,809740.0,43.444,4492
34,2025-06-03,43.0,43.49,42.26,43.45,411943.0,42.957,2477
35,2025-06-04,43.49,44.3,43.44,43.58,263629.0,43.738,1668
36,2025-06-05,43.93,43.93,43.36,43.57,300193.0,43.607,1263
37,2025-06-06,43.57,43.6,42.08,43.06,266142.0,42.87,1409
38,2025-06-09,42.9,43.0,41.53,41.99,331523.0,42.214,1676
39,2025-06-10,42.21,42.61,41.42,42.07,419614.0,41.906,2283
40,2025-06-11,42.11,42.73,41.57,42.71,305128.0,42.387,1545
41,2025-06-12,42.77,42.98,42.4,42.65,153725.0,42.638,776
42,2025-06-13,41.93,42.71,41.42,42.53,251639.0,42.248,1051
43,2025-06-16,42.51,43.11,42.5,42.6,302069.0,42.79,1495
44,2025-06-17,42.57,42.71,42.05,42.11,147703.0,42.266,906
45,2025-06-18,42.08,43.38,42.08,43.21,329142.0,43.075,1899
46,2025-06-20,43.68,43.68,42.67,43.18,346845.0,43.02,2225
47,2025-06-23,43.09,43.18,42.53,42.62,77237.0,42.832,566
48,2025-06-24,42.89,45.24,42.89,44.97,675552.0,44.543,4025
49,2025-06-25,44.69,45.46,44.19,45.2,451727.0,45.102,2777
50,2025-06-26,45.5,45.78,45.23,45.34,126545.0,45.486,797
51,2025-06-27,45.32,45.39,44.74,45.09,131604.0,45.084,800
52,2025-06-30,45.1,46.68,45.05,46.19,210156.0,46.286,1491
53,2025-07-01,46.05,46.23,45.47,45.72,160541.0,45.802,954
54,2025-07-02,45.63,46.58,45.63,46.36,87215.0,46.161,490
55,2025-07-03,46.7,46.81,46.06,46.09,92575.0,46.321,381
56,2025-07-07,46.0,46.32,44.79,44.93,93159.0,45.197,465
57,2025-07-08,45.26,45.26,44.59,44.93,70431.0,44.885,345
58,2025-07-09,45.16,45.16,44.63,44.96,180340.0,44.829,851
59,2025-07-10,45.0,45.1,44.35,44.7,125339.0,44.665,652
60,2025-07-11,44.56,45.03,44.23,44.23,137696.0,44.505,746
61,2025-07-14,44.59,45.19,44.47,44.78,95867.0,44.865,635
62,2025-07-15,44.88,44.99,44.27,44.56,97789.0,44.535,510
63,2025-07-16,44.43,44.66,43.84,44.23,104476.0,44.299,714
64,2025-07-17,44.01,46.31,44.01,46.18,199287.0,45.745,1346
65,2025-07-18,46.26,46.62,45.78,45.95,147509.0,46.181,946
66,2025-07-21,45.99,46.48,45.77,45.77,141421.0,46.032,897
67,2025-07-22,45.92,45.97,44.65,44.68,89787.0,45.109,649
68,2025-07-23,44.73,45.19,44.37,44.97,120741.0,45.001,727
69,2025-07-24,44.93,45.45,44.14,44.2,120919.0,44.467,766
70,2025-07-25,44.46,44.65,43.69,44.1,177203.0,44.046,1110
71,2025-07-28,44.1,44.85,43.28,43.77,342441.0,43.688,1797
72,2025-07-29,43.96,44.86,43.96,44.35,363967.0,44.401,1894
73,2025-07-30,44.21,44.21,43.45,43.71,177748.0,43.698,1057
74,2025-07-31,43.7,43.93,43.28,43.42,106751.0,43.519,545
75,2025-08-01,43.2,44.48,43.2,44.12,219357.0,43.94,1344
76,2025-08-04,44.4,45.27,44.33,44.65,113815.0,44.718,767
77,2025-08-05,44.48,44.94,44.43,44.94,131645.0,44.71,852
78,2025-08-06,45.02,45.65,45.02,45.4,198719.0,45.391,1250
79,2025-08-07,46.91,47.78,45.19,46.64,1108480.0,46.632,3239
80,2025-08-08,46.5,47.07,46.3,47.05,298454.0,46.721,1711
81,2025-08-11,47.09,48.19,46.93,48.06,159235.0,47.823,980
82,2025-08-12,48.19,49.06,47.9,48.85,220930.0,48.67,1501
83,2025-08-13,48.75,49.22,48.39,48.46,110862.0,48.743,729
84,2025-08-14,48.52,49.1,48.05,48.56,287179.0,48.555,1614
85,2025-08-15,48.67,49.79,48.34,49.53,271422.0,49.382,1676
86,2025-08-18,49.32,49.75,49.14,49.69,91556.0,49.457,622
87,2025-08-19,49.39,49.5,48.68,48.78,162136.0,49.096,967
88,2025-08-20,48.78,49.52,48.58,49.41,146483.0,49.141,924
89,2025-08-21,49.27,49.82,49.11,49.81,165517.0,49.479,1058
90,2025-08-22,49.92,50.6,49.86,49.93,167252.0,50.054,1166
91,2025-08-25,49.83,50.17,49.39,49.64,124104.0,49.783,903
92,2025-08-26,49.66,50.34,49.62,50.19,240798.0,49.988,1525
93,2025-08-27,49.91,49.99,49.18,49.55,227815.0,49.476,1606
94,2025-08-28,49.58,50.18,49.41,49.8,98261.0,49.841,657
95,2025-08-29,49.82,50.46,49.6,50.46,167192.0,50.121,1074
96,2025-09-02,49.77,50.42,49.61,49.88,188146.0,49.917,1334
97,2025-09-03,49.97,50.39,49.46,49.52,211384.0,49.694,1386
98,2025-09-04,49.67,50.56,49.39,50.54,322057.0,49.99,2269
99,2025-09-05,50.82,52.29,50.7,52.12,335811.0,51.548,2217
100,2025-09-08,52.23,52.82,51.79,52.34,328939.0,52.393,2002
101,2025-09-09,52.19,53.49,52.02,53.29,234730.0,53.129,1511
102,2025-09-10,53.2,53.99,53.11,53.59,250558.0,53.57,1517
103,2025-09-11,52.7,53.0,51.74,52.35,380451.0,52.304,2503
104,2025-09-12,52.12,52.57,51.48,51.87,271566.0,51.87,1802
105,2025-09-15,52.26,52.43,51.79,51.79,118792.0,52.011,790
106,2025-09-16,51.45,52.17,50.95,51.72,165584.0,51.736,1121
107,2025-09-17,51.95,52.54,51.76,52.03,131870.0,52.016,956
108,2025-09-18,51.95,52.03,51.44,51.56,164201.0,51.704,1108
109,2025-09-19,51.41,52.23,51.41,51.88,287423.0,51.931,1482
110,2025-09-22,51.91,52.72,51.77,52.51,209999.0,52.258,1386
111,2025-09-23,52.6,53.48,52.55,52.58,231644.0,53.02,1416
112,2025-09-24,52.73,53.12,52.27,52.46,143868.0,52.622,922
113,2025-09-25,52.04,52.77,52.02,52.44,221790.0,52.376,1279
114,2025-09-26,52.64,52.99,51.69,51.93,258241.0,52.007,1701
115,2025-09-29,52.25,52.6,51.55,51.56,89656.0,51.903,637
116,2025-09-30,51.79,52.01,51.45,51.94,195533.0,51.708,1075
117,2025-10-01,52.0,52.27,51.68,52.02,215808.0,51.917,1206
118,2025-10-02,52.35,52.38,50.72,51.36,165228.0,51.31,1077
119,2025-10-03,51.44,52.26,51.14,52.17,114327.0,51.834,860
