,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,38.39,38.83,37.74,37.89,114029.0,38.391,552
1,2025-04-14 12:00:00-04:00,37.84,38.54,37.72,38.31,270225.0,38.212,1692
2,2025-04-15 09:30:00-04:00,38.38,38.89,38.02,38.77,114784.0,38.547,621
3,2025-04-15 12:00:00-04:00,38.74,39.17,38.74,39.02,162906.0,39.011,1022
4,2025-04-16 09:30:00-04:00,39.0,39.67,39.0,39.59,94602.0,39.315,429
5,2025-04-16 12:00:00-04:00,39.59,39.87,39.16,39.67,169368.0,39.521,967
6,2025-04-17 09:30:00-04:00,39.75,40.03,39.45,39.72,49191.0,39.729,304
7,2025-04-17 12:00:00-04:00,39.76,40.02,39.51,39.52,70165.0,39.769,481
8,2025-04-21 09:30:00-04:00,39.73,40.3,39.49,40.0,89656.0,39.949,504
9,2025-04-21 12:00:00-04:00,40.03,40.2,39.57,40.03,249214.0,39.954,1320
10,2025-04-22 09:30:00-04:00,40.54,41.22,40.49,41.17,91562.0,40.853,431
11,2025-04-22 12:00:00-04:00,41.19,41.4,40.7,41.28,195123.0,41.174,1240
12,2025-04-23 09:30:00-04:00,41.92,41.99,41.42,41.62,84006.0,41.66,552
13,2025-04-23 12:00:00-04:00,41.63,41.68,41.15,41.36,82143.0,41.447,533
14,2025-04-24 09:30:00-04:00,41.74,42.19,41.58,41.98,32320.0,41.907,186
15,2025-04-24 12:00:00-04:00,41.98,42.04,41.55,41.7,98325.0,41.788,562
16,2025-04-25 09:30:00-04:00,41.5,42.26,41.41,42.18,173139.0,41.844,686
17,2025-04-25 12:00:00-04:00,42.22,42.32,42.0,42.29,73693.0,42.103,403
18,2025-04-28 09:30:00-04:00,41.78,41.95,40.0,40.83,254237.0,40.874,1346
19,2025-04-28 12:00:00-04:00,40.8,40.97,40.4,40.62,317559.0,40.618,1977
20,2025-04-29 09:30:00-04:00,40.61,40.94,40.3,40.52,84606.0,40.604,422
21,2025-04-29 12:00:00-04:00,40.52,40.89,40.47,40.78,171846.0,40.693,1091
22,2025-04-30 09:30:00-04:00,40.33,40.53,40.05,40.15,120330.0,40.18,487
23,2025-04-30 12:00:00-04:00,40.14,40.35,39.89,40.35,243331.0,40.135,1338
24,2025-05-01 09:30:00-04:00,40.3,40.57,39.99,40.26,59880.0,40.352,363
