,date,open,high,low,close,volume,average,barCount
0,2025-04-14,13.0,13.54,12.59,12.97,129824.0,13.07,618
1,2025-04-15,12.91,13.55,12.8,13.55,86663.0,13.225,495
2,2025-04-16,13.93,14.17,13.8,13.95,128756.0,13.958,540
3,2025-04-17,13.88,14.06,13.42,13.44,88911.0,13.707,386
4,2025-04-21,13.99,14.3,13.71,14.22,96133.0,14.049,472
5,2025-04-22,14.48,14.52,13.8,14.06,92571.0,14.145,455
6,2025-04-23,13.5,13.72,13.11,13.68,93922.0,13.469,457
7,2025-04-24,13.72,13.98,13.25,13.34,71475.0,13.503,304
8,2025-04-25,13.05,13.31,12.82,13.06,53835.0,13.014,306
9,2025-04-28,13.08,13.49,12.89,13.34,72043.0,13.236,382
10,2025-04-29,13.21,13.36,13.1,13.33,46497.0,13.255,248
11,2025-04-30,13.15,13.31,13.09,13.17,45379.0,13.19,327
12,2025-05-01,13.02,13.02,12.58,12.78,50717.0,12.781,258
13,2025-05-02,12.96,12.99,12.35,12.47,40977.0,12.56,249
14,2025-05-05,12.81,13.18,12.76,13.11,95797.0,12.999,412
15,2025-05-06,13.31,14.0,13.15,13.92,74804.0,13.658,410
16,2025-05-07,13.73,14.2,13.56,13.86,123902.0,13.827,552
17,2025-05-08,13.78,13.9,13.44,13.48,49216.0,13.613,246
18,2025-05-09,13.63,14.01,13.43,14.01,57787.0,13.846,268
19,2025-05-12,13.48,14.08,13.05,14.0,122153.0,13.774,604
20,2025-05-13,14.06,14.37,13.4,14.27,107562.0,13.99,586
21,2025-05-14,14.0,14.23,13.61,14.07,67126.0,13.965,350
22,2025-05-15,14.19,15.56,13.99,15.56,163347.0,14.838,728
23,2025-05-16,14.7,15.31,14.07,15.3,104819.0,15.0,429
24,2025-05-19,16.5,17.9,16.25,17.9,432472.0,17.208,1703
25,2025-05-20,17.41,17.45,16.58,16.89,292317.0,17.038,1028
26,2025-05-21,16.87,17.39,16.67,17.32,125964.0,17.102,630
27,2025-05-22,17.08,17.2,16.57,16.67,78386.0,16.954,448
28,2025-05-23,16.93,17.25,16.36,17.21,122585.0,16.836,702
29,2025-05-27,16.9,17.11,16.45,16.91,168129.0,16.843,769
30,2025-05-28,16.83,17.2,16.38,17.2,93646.0,17.036,529
31,2025-05-29,17.2,17.36,16.93,16.97,136100.0,17.146,584
32,2025-05-30,16.9,17.2,16.54,17.1,108438.0,17.05,542
33,2025-06-02,17.24,18.13,17.23,17.78,174178.0,17.791,717
34,2025-06-03,17.78,18.05,17.45,17.68,101421.0,17.699,420
35,2025-06-04,17.78,18.05,17.45,18.01,91079.0,17.92,316
36,2025-06-05,18.04,19.31,18.04,19.29,205014.0,18.875,965
37,2025-06-06,19.29,19.29,18.45,18.58,128772.0,18.762,613
38,2025-06-09,18.65,19.08,18.39,18.66,121367.0,18.738,592
39,2025-06-10,18.69,18.87,18.1,18.21,74075.0,18.355,411
40,2025-06-11,18.44,19.2,18.17,18.82,141507.0,18.82,784
41,2025-06-12,19.12,19.99,19.08,19.98,136096.0,19.636,716
42,2025-06-13,20.0,20.08,19.25,19.46,118246.0,19.735,635
43,2025-06-16,19.54,19.75,18.76,19.72,115251.0,19.299,694
44,2025-06-17,19.7,19.81,19.25,19.63,106270.0,19.631,512
45,2025-06-18,19.64,19.9,19.39,19.55,92247.0,19.679,453
46,2025-06-20,19.25,19.65,18.46,18.6,110033.0,18.896,516
47,2025-06-23,18.62,19.75,18.62,19.71,74578.0,19.362,401
48,2025-06-24,19.46,19.46,18.9,19.18,74810.0,19.208,431
49,2025-06-25,19.18,19.21,18.59,19.09,89718.0,18.953,455
50,2025-06-26,18.99,19.33,18.83,19.33,69528.0,19.134,318
51,2025-06-27,19.02,19.75,18.4,19.29,219956.0,18.924,1041
52,2025-06-30,19.37,19.38,18.96,19.32,81811.0,19.229,444
53,2025-07-01,19.42,20.48,19.42,20.16,140950.0,20.083,702
54,2025-07-02,20.44,21.2,20.3,20.9,150726.0,20.777,635
55,2025-07-03,20.84,21.49,20.75,21.49,62779.0,21.076,278
56,2025-07-07,21.37,22.2,20.79,22.0,175458.0,21.562,802
57,2025-07-08,22.0,22.0,20.31,20.45,130376.0,20.804,672
58,2025-07-09,20.38,20.89,20.14,20.79,61816.0,20.642,355
59,2025-07-10,20.89,20.89,20.28,20.34,50555.0,20.518,291
60,2025-07-11,20.56,20.95,20.24,20.86,70709.0,20.632,371
61,2025-07-14,21.08,21.21,20.63,20.89,129189.0,20.897,592
62,2025-07-15,20.81,20.99,20.2,20.37,58564.0,20.409,335
63,2025-07-16,20.69,20.98,20.38,20.95,49592.0,20.713,298
64,2025-07-17,21.2,21.2,20.56,20.72,54051.0,20.749,378
65,2025-07-18,20.88,20.92,20.26,20.32,45403.0,20.548,220
66,2025-07-21,20.57,22.12,20.57,21.9,161583.0,21.66,727
67,2025-07-22,22.16,23.13,21.6,22.85,152689.0,22.583,725
68,2025-07-23,24.2,24.49,23.2,23.75,136547.0,23.679,595
69,2025-07-24,23.33,23.57,21.47,21.8,197204.0,22.114,991
70,2025-07-25,22.15,22.43,21.16,21.61,100106.0,21.685,492
71,2025-07-28,21.41,21.6,20.64,20.99,108977.0,20.948,570
72,2025-07-29,21.03,21.07,20.4,20.71,99518.0,20.677,591
73,2025-07-30,20.02,20.41,19.17,19.3,142050.0,19.749,640
74,2025-07-31,18.94,19.77,18.63,19.69,120873.0,19.49,690
75,2025-08-01,20.2,20.44,19.65,19.88,71806.0,19.998,432
76,2025-08-04,20.09,21.13,20.0,21.06,62056.0,20.738,304
77,2025-08-05,21.2,21.9,21.07,21.76,85949.0,21.557,399
78,2025-08-06,21.78,22.6,21.68,22.41,100450.0,22.223,424
79,2025-08-07,22.82,23.25,22.53,22.75,115265.0,22.873,524
80,2025-08-08,22.95,23.58,22.71,23.36,185846.0,23.193,794
81,2025-08-11,23.43,23.43,20.19,21.37,216518.0,21.488,857
82,2025-08-12,21.72,22.62,21.33,22.54,88427.0,22.224,439
83,2025-08-13,22.65,24.28,21.93,24.13,216009.0,23.453,1059
84,2025-08-14,24.13,24.19,22.56,22.73,115022.0,23.195,607
85,2025-08-15,22.76,23.08,22.39,23.08,89907.0,22.821,413
86,2025-08-18,23.35,25.05,23.22,24.58,190503.0,24.403,836
87,2025-08-19,24.68,25.37,23.09,23.14,120530.0,23.811,543
88,2025-08-20,23.4,24.66,23.21,24.56,85218.0,24.143,368
89,2025-08-21,23.95,25.42,23.76,25.26,124845.0,24.78,588
90,2025-08-22,24.55,26.06,24.01,25.64,181194.0,25.482,827
91,2025-08-25,25.6,25.6,24.32,24.38,131620.0,24.845,648
92,2025-08-26,24.16,25.68,24.15,25.33,165978.0,25.068,938
93,2025-08-27,25.08,25.08,24.26,24.48,46131.0,24.61,230
94,2025-08-28,24.86,25.4,24.64,24.88,76799.0,24.907,452
95,2025-08-29,24.55,25.63,24.55,25.58,112377.0,25.177,659
96,2025-09-02,25.48,26.58,24.95,26.39,132115.0,25.989,678
97,2025-09-03,26.8,27.19,26.26,26.73,211171.0,26.752,1041
98,2025-09-04,27.15,27.99,26.26,27.36,226747.0,27.509,1304
99,2025-09-05,27.71,28.54,26.7,28.41,256839.0,27.898,1311
100,2025-09-08,29.21,30.64,28.79,30.37,650178.0,29.718,3039
101,2025-09-09,31.13,31.23,29.5,29.74,264598.0,30.122,1430
102,2025-09-10,29.67,31.13,29.67,30.96,155052.0,30.512,814
103,2025-09-11,31.54,32.82,31.09,32.8,241280.0,32.276,1214
104,2025-09-12,32.96,33.5,32.44,33.13,184318.0,33.055,993
105,2025-09-15,32.9,33.22,31.64,32.23,197847.0,32.524,972
106,2025-09-16,32.08,32.08,31.08,31.25,163752.0,31.532,927
107,2025-09-17,30.2,32.45,30.01,31.88,155266.0,31.513,827
108,2025-09-18,31.19,32.0,30.75,31.82,157584.0,31.43,810
109,2025-09-19,32.09,34.24,32.09,33.32,304606.0,33.231,1130
110,2025-09-22,33.96,34.5,33.5,34.19,156198.0,34.06,867
111,2025-09-23,34.47,35.29,34.1,34.63,172002.0,34.608,1019
112,2025-09-24,34.74,34.8,33.21,33.67,163746.0,33.823,788
113,2025-09-25,33.69,33.99,33.13,33.92,107584.0,33.677,576
114,2025-09-26,34.3,36.82,34.13,36.6,245527.0,35.795,1094
115,2025-09-29,37.25,37.73,36.02,36.54,184246.0,36.801,823
116,2025-09-30,35.91,36.9,35.44,36.21,215753.0,36.04,1044
117,2025-10-01,36.83,37.72,36.5,37.32,140481.0,37.268,718
118,2025-10-02,37.95,38.39,34.64,36.3,195791.0,36.307,1147
119,2025-10-03,36.71,37.17,36.29,36.9,123975.0,36.712,619
