,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,13.0,13.54,12.65,12.66,100599.0,13.149,406
1,2025-04-14 12:00:00-04:00,12.64,13.06,12.59,12.93,29225.0,12.799,212
2,2025-04-15 09:30:00-04:00,12.91,13.11,12.8,12.99,24944.0,12.951,138
3,2025-04-15 12:00:00-04:00,13.0,13.55,12.99,13.55,61719.0,13.336,357
4,2025-04-16 09:30:00-04:00,13.93,14.17,13.8,13.96,59602.0,13.974,210
5,2025-04-16 12:00:00-04:00,14.02,14.12,13.8,13.95,69154.0,13.945,330
6,2025-04-17 09:30:00-04:00,13.88,14.06,13.65,13.7,48951.0,13.833,138
7,2025-04-17 12:00:00-04:00,13.69,13.72,13.42,13.43,39960.0,13.553,248
8,2025-04-21 09:30:00-04:00,13.99,14.23,13.71,13.98,51132.0,14.004,206
9,2025-04-21 12:00:00-04:00,14.02,14.3,13.83,14.29,45001.0,14.1,266
10,2025-04-22 09:30:00-04:00,14.48,14.52,14.0,14.1,38377.0,14.285,144
11,2025-04-22 12:00:00-04:00,14.14,14.26,13.8,14.12,54194.0,14.045,311
12,2025-04-23 09:30:00-04:00,13.5,13.72,13.11,13.35,51868.0,13.419,177
13,2025-04-23 12:00:00-04:00,13.34,13.7,13.31,13.58,42054.0,13.53,280
14,2025-04-24 09:30:00-04:00,13.72,13.98,13.51,13.52,28634.0,13.616,94
15,2025-04-24 12:00:00-04:00,13.56,13.58,13.25,13.29,42841.0,13.427,210
16,2025-04-25 09:30:00-04:00,13.05,13.31,13.0,13.1,17568.0,13.08,97
17,2025-04-25 12:00:00-04:00,13.15,13.15,12.82,13.02,36267.0,12.982,209
18,2025-04-28 09:30:00-04:00,13.08,13.49,12.89,12.96,50354.0,13.262,234
19,2025-04-28 12:00:00-04:00,12.94,13.35,12.94,13.34,21689.0,13.174,148
20,2025-04-29 09:30:00-04:00,13.21,13.36,13.1,13.3,14682.0,13.242,62
21,2025-04-29 12:00:00-04:00,13.27,13.35,13.11,13.31,31815.0,13.261,186
22,2025-04-30 09:30:00-04:00,13.15,13.3,13.12,13.27,10819.0,13.221,75
23,2025-04-30 12:00:00-04:00,13.28,13.31,13.09,13.2,34560.0,13.18,252
