,date,open,high,low,close,volume,average,barCount
0,2025-04-14,22.0,22.08,21.51,21.53,3954484.0,21.715,22403
1,2025-04-15,21.49,21.54,21.15,21.48,5366155.0,21.333,22292
2,2025-04-16,21.08,21.76,21.0,21.23,2353918.0,21.313,14024
3,2025-04-17,21.24,21.61,21.23,21.39,3052741.0,21.457,15924
4,2025-04-21,21.38,21.52,20.9,21.13,2402155.0,21.081,12271
5,2025-04-22,21.46,21.96,21.35,21.68,2550835.0,21.648,12079
6,2025-04-23,22.46,22.93,22.28,22.57,6157290.0,22.613,27220
7,2025-04-24,22.57,23.33,22.49,23.24,6440893.0,23.077,23964
8,2025-04-25,23.2,23.48,22.93,23.44,2668645.0,23.304,14894
9,2025-04-28,23.39,23.6,23.1,23.42,1874403.0,23.345,9387
10,2025-04-29,23.33,23.62,23.31,23.55,2846449.0,23.487,12989
11,2025-04-30,23.11,23.44,22.76,23.37,2945129.0,23.155,15819
12,2025-05-01,23.84,23.89,23.29,23.47,2889920.0,23.518,14665
13,2025-05-02,23.76,24.14,23.65,24.1,4064447.0,23.973,18707
14,2025-05-05,23.89,24.19,23.84,23.99,4074395.0,24.002,18966
15,2025-05-06,23.7,24.1,23.53,24.0,4517261.0,23.959,20661
16,2025-05-07,23.82,27.03,23.42,26.6,26575389.0,26.013,117958
17,2025-05-08,25.9,26.51,25.6,25.63,20866658.0,26.095,77705
18,2025-05-09,24.91,26.24,24.91,26.0,11313203.0,25.931,43603
19,2025-05-12,26.44,26.53,25.79,26.14,6225017.0,26.124,29508
20,2025-05-13,25.97,26.79,25.66,26.56,21739163.0,26.45,78842
21,2025-05-14,26.6,26.93,26.34,26.91,13005460.0,26.697,55803
22,2025-05-15,26.78,27.08,26.31,26.84,12564819.0,26.789,46384
23,2025-05-16,27.1,27.73,26.92,27.24,16400814.0,27.329,67801
24,2025-05-19,26.93,27.33,26.8,27.16,8686092.0,27.154,30795
25,2025-05-20,27.06,27.35,26.91,27.12,5138090.0,27.093,22356
26,2025-05-21,27.18,27.61,27.05,27.38,11418411.0,27.386,48547
27,2025-05-22,27.22,27.44,27.04,27.28,8182928.0,27.252,31825
28,2025-05-23,27.03,27.65,26.9,27.45,6836135.0,27.437,23009
29,2025-05-27,27.89,28.55,27.75,28.45,10709727.0,28.287,43091
30,2025-05-28,28.41,28.61,28.19,28.3,4603414.0,28.355,18664
31,2025-05-29,28.43,28.48,27.67,27.89,7049025.0,27.9,34673
32,2025-05-30,28.03,28.19,27.7,28.05,4578608.0,27.949,21223
33,2025-06-02,28.05,28.35,27.53,28.34,6445070.0,28.078,24566
34,2025-06-03,28.31,28.4,28.11,28.22,5943853.0,28.253,23266
35,2025-06-04,28.59,28.59,28.0,28.35,6553604.0,28.284,32071
36,2025-06-05,28.55,28.88,28.41,28.54,4478965.0,28.63,16783
37,2025-06-06,28.52,28.52,28.05,28.45,5417430.0,28.294,25503
38,2025-06-09,28.62,29.12,28.43,28.47,5262742.0,28.687,23474
39,2025-06-10,28.32,28.53,27.87,28.26,6196207.0,28.18,29458
40,2025-06-11,28.2,28.28,27.91,28.28,3982494.0,28.164,16274
41,2025-06-12,28.18,28.47,28.14,28.31,4163968.0,28.315,19548
42,2025-06-13,27.9,28.59,27.82,28.1,5263621.0,28.232,24271
43,2025-06-16,28.21,28.53,28.19,28.34,4861315.0,28.385,19870
44,2025-06-17,28.15,28.45,28.04,28.25,3611178.0,28.304,18551
45,2025-06-18,28.29,28.43,27.72,28.4,5568424.0,28.112,23165
46,2025-06-20,28.64,29.01,28.27,28.55,6954366.0,28.488,28886
47,2025-06-23,28.47,28.75,28.22,28.38,6400385.0,28.544,25706
48,2025-06-24,28.8,29.14,28.63,28.95,7992351.0,28.961,29067
49,2025-06-25,29.0,29.01,28.61,28.84,4841222.0,28.798,18810
50,2025-06-26,29.0,30.04,28.82,29.81,20271143.0,29.522,69040
51,2025-06-27,30.2,30.91,30.13,30.81,20828495.0,30.627,82219
52,2025-06-30,30.88,30.88,29.81,29.96,10642506.0,30.125,43042
53,2025-07-01,30.04,30.41,29.53,29.93,6634537.0,29.932,30388
54,2025-07-02,29.93,30.31,29.71,30.03,7625376.0,29.987,28642
55,2025-07-03,30.0,30.35,29.8,30.29,5239554.0,30.074,19245
56,2025-07-07,30.06,30.42,29.7,30.0,6213248.0,30.05,24126
57,2025-07-08,30.02,30.03,29.6,29.99,7837240.0,29.836,26677
58,2025-07-09,30.0,30.19,29.73,30.17,5476039.0,30.013,22750
59,2025-07-10,30.25,30.66,29.89,30.45,7339889.0,30.386,32602
60,2025-07-11,30.35,30.47,30.03,30.08,3241750.0,30.188,13255
61,2025-07-14,30.09,30.79,30.02,30.61,8038607.0,30.641,27511
62,2025-07-15,30.71,31.42,30.64,31.13,6346054.0,31.127,28822
63,2025-07-16,31.12,31.39,30.76,31.22,4876120.0,31.135,23940
64,2025-07-17,31.42,31.49,31.11,31.15,2816096.0,31.264,12102
65,2025-07-18,31.28,31.6,31.21,31.49,4965547.0,31.448,19035
66,2025-07-21,31.43,31.65,31.12,31.39,4310135.0,31.345,19852
67,2025-07-22,31.38,31.42,30.54,30.78,8515624.0,30.949,32381
68,2025-07-23,30.86,31.19,30.4,30.54,12101123.0,30.764,43875
69,2025-07-24,30.61,30.63,30.06,30.14,9403497.0,30.218,35902
70,2025-07-25,30.21,30.63,30.1,30.25,4199981.0,30.303,18125
71,2025-07-28,30.25,30.48,29.96,30.06,5722714.0,30.1,19994
72,2025-07-29,30.37,30.5,29.76,29.83,4809958.0,29.926,20164
73,2025-07-30,30.09,30.27,29.25,29.45,15968091.0,29.612,54529
74,2025-07-31,29.59,29.66,29.16,29.43,9253393.0,29.414,37288
75,2025-08-01,28.66,29.07,28.61,28.74,6946777.0,28.833,24940
76,2025-08-04,29.11,29.64,29.04,29.63,7119393.0,29.389,30291
77,2025-08-05,29.54,30.01,29.46,29.9,8856423.0,29.82,31988
78,2025-08-06,27.7,28.4,27.23,28.09,22689981.0,27.894,97654
79,2025-08-07,28.3,28.75,27.66,27.81,13048040.0,28.065,53518
80,2025-08-08,27.92,28.01,27.6,27.83,6005416.0,27.781,28975
81,2025-08-11,27.84,28.03,27.65,27.67,5261393.0,27.796,25817
82,2025-08-12,27.88,28.23,27.83,28.14,7037605.0,28.042,26038
83,2025-08-13,28.54,28.64,28.23,28.47,8892542.0,28.401,38742
84,2025-08-14,28.27,28.8,27.99,28.33,6724000.0,28.488,27051
85,2025-08-15,28.45,28.59,28.1,28.14,4236625.0,28.279,22985
86,2025-08-18,28.15,29.01,28.15,28.98,7809728.0,28.808,31232
87,2025-08-19,29.01,29.39,28.84,28.85,6776529.0,29.047,31713
88,2025-08-20,28.92,28.99,28.43,28.84,5429204.0,28.711,24351
89,2025-08-21,28.16,28.42,27.98,28.22,9995580.0,28.178,39394
90,2025-08-22,28.4,28.88,28.26,28.75,6877623.0,28.708,28465
91,2025-08-25,28.7,28.82,28.41,28.54,3264523.0,28.582,16046
92,2025-08-26,28.59,28.66,28.2,28.42,3653827.0,28.387,15810
93,2025-08-27,28.4,28.51,28.24,28.24,3797508.0,28.346,15535
94,2025-08-28,28.24,29.0,28.23,28.63,9419727.0,28.677,35255
95,2025-08-29,28.4,28.62,28.33,28.58,5347127.0,28.489,24400
96,2025-09-02,28.27,28.46,27.94,28.41,5006065.0,28.303,24695
97,2025-09-03,28.38,28.4,28.1,28.33,3677373.0,28.252,18351
98,2025-09-04,28.26,28.85,28.18,28.73,5360297.0,28.705,21964
99,2025-09-05,28.76,28.99,28.44,28.91,5683735.0,28.744,25837
100,2025-09-08,29.88,31.79,29.81,31.5,37139002.0,31.071,162246
101,2025-09-09,31.0,32.38,30.97,32.33,15868215.0,31.878,73881
102,2025-09-10,32.39,32.89,31.91,32.12,14831861.0,32.343,68387
103,2025-09-11,32.01,32.79,32.0,32.45,14396629.0,32.456,53370
104,2025-09-12,32.52,32.81,32.32,32.41,8234463.0,32.53,41325
105,2025-09-15,32.58,33.56,32.43,33.5,13663166.0,33.334,62035
106,2025-09-16,33.59,33.71,33.08,33.31,9382724.0,33.344,43668
107,2025-09-17,33.41,33.62,33.12,33.53,7004117.0,33.431,38205
108,2025-09-18,33.68,34.08,33.41,33.42,7501865.0,33.673,39379
109,2025-09-19,33.5,33.58,32.74,32.86,14678263.0,33.188,75888
110,2025-09-22,32.97,33.15,32.25,32.32,6207974.0,32.422,31463
111,2025-09-23,32.31,32.52,31.99,32.24,4842236.0,32.301,24887
112,2025-09-24,32.17,32.29,31.87,32.04,4155311.0,32.071,19807
113,2025-09-25,31.88,31.91,31.33,31.85,4397572.0,31.736,23625
114,2025-09-26,31.82,32.29,31.56,32.19,4951281.0,32.125,25886
115,2025-09-29,32.36,32.86,32.19,32.83,6745393.0,32.563,33512
116,2025-09-30,32.84,32.88,32.17,32.2,8003697.0,32.324,37461
117,2025-10-01,32.45,32.7,32.12,32.43,5521934.0,32.498,32729
118,2025-10-02,32.41,32.63,31.21,32.56,7021425.0,31.954,38078
119,2025-10-03,32.6,32.96,32.15,32.36,3419136.0,32.467,18101
