,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,22.0,22.08,21.52,21.54,1358275.0,21.877,7169
1,2025-04-14 12:00:00-04:00,21.53,21.8,21.51,21.53,2596209.0,21.63,15234
2,2025-04-15 09:30:00-04:00,21.49,21.54,21.26,21.32,1353280.0,21.362,7377
3,2025-04-15 12:00:00-04:00,21.32,21.5,21.15,21.48,4012875.0,21.323,14915
4,2025-04-16 09:30:00-04:00,21.08,21.76,21.06,21.57,780712.0,21.456,5038
5,2025-04-16 12:00:00-04:00,21.57,21.63,21.0,21.23,1573206.0,21.241,8986
6,2025-04-17 09:30:00-04:00,21.24,21.58,21.23,21.38,1131013.0,21.434,5714
7,2025-04-17 12:00:00-04:00,21.38,21.61,21.34,21.39,1921728.0,21.47,10210
8,2025-04-21 09:30:00-04:00,21.38,21.52,20.9,20.92,613076.0,21.114,3064
9,2025-04-21 12:00:00-04:00,20.92,21.24,20.91,21.13,1789079.0,21.07,9207
10,2025-04-22 09:30:00-04:00,21.46,21.8,21.35,21.74,903510.0,21.602,4242
11,2025-04-22 12:00:00-04:00,21.75,21.96,21.53,21.69,1647325.0,21.674,7837
12,2025-04-23 09:30:00-04:00,22.46,22.93,22.39,22.48,1938662.0,22.688,9321
13,2025-04-23 12:00:00-04:00,22.49,22.69,22.28,22.56,4218628.0,22.578,17899
14,2025-04-24 09:30:00-04:00,22.57,23.18,22.49,23.05,2612812.0,22.898,9618
15,2025-04-24 12:00:00-04:00,23.05,23.33,23.02,23.25,3828081.0,23.199,14346
16,2025-04-25 09:30:00-04:00,23.2,23.48,22.93,23.28,1138053.0,23.257,6014
17,2025-04-25 12:00:00-04:00,23.28,23.44,23.2,23.43,1530592.0,23.339,8880
18,2025-04-28 09:30:00-04:00,23.39,23.6,23.1,23.23,590437.0,23.395,3012
19,2025-04-28 12:00:00-04:00,23.23,23.45,23.16,23.41,1283966.0,23.322,6375
20,2025-04-29 09:30:00-04:00,23.33,23.58,23.31,23.47,1133989.0,23.466,5538
21,2025-04-29 12:00:00-04:00,23.47,23.62,23.38,23.55,1712460.0,23.501,7451
22,2025-04-30 09:30:00-04:00,23.11,23.23,22.76,23.13,954268.0,23.038,5184
23,2025-04-30 12:00:00-04:00,23.13,23.44,23.04,23.36,1990861.0,23.211,10635
24,2025-05-01 09:30:00-04:00,23.84,23.89,23.36,23.37,778015.0,23.585,4532
25,2025-05-01 12:00:00-04:00,23.36,23.65,23.29,23.47,2111905.0,23.493,10133
26,2025-05-02 09:30:00-04:00,23.76,23.95,23.65,23.9,1354359.0,23.826,6854
27,2025-05-02 12:00:00-04:00,23.9,24.14,23.85,24.11,2710088.0,24.047,11853
28,2025-05-05 09:30:00-04:00,23.89,24.19,23.88,23.98,1490621.0,24.075,7741
29,2025-05-05 12:00:00-04:00,23.98,24.1,23.84,23.99,2583774.0,23.96,11225
30,2025-05-06 09:30:00-04:00,23.7,23.99,23.53,23.87,1172552.0,23.863,6532
31,2025-05-06 12:00:00-04:00,23.87,24.1,23.86,23.98,3344709.0,23.993,14129
32,2025-05-07 09:30:00-04:00,23.82,25.82,23.42,25.66,9171349.0,25.11,47302
33,2025-05-07 12:00:00-04:00,25.66,27.03,25.65,26.59,17404040.0,26.488,70656
34,2025-05-08 09:30:00-04:00,25.9,26.51,25.81,26.25,8229628.0,26.258,32436
35,2025-05-08 12:00:00-04:00,26.24,26.5,25.6,25.62,12637030.0,25.99,45269
36,2025-05-09 09:30:00-04:00,24.91,26.08,24.91,26.07,5227366.0,25.794,20778
37,2025-05-09 12:00:00-04:00,26.07,26.24,25.85,26.0,6085837.0,26.048,22825
38,2025-05-12 09:30:00-04:00,26.44,26.53,25.79,26.08,2909378.0,26.13,15258
39,2025-05-12 12:00:00-04:00,26.08,26.29,25.96,26.14,3315639.0,26.118,14250
40,2025-05-13 09:30:00-04:00,25.97,26.55,25.66,26.44,10862374.0,26.311,35882
41,2025-05-13 12:00:00-04:00,26.44,26.79,26.38,26.55,10876789.0,26.589,42960
42,2025-05-14 09:30:00-04:00,26.6,26.84,26.34,26.49,4103829.0,26.537,19092
43,2025-05-14 12:00:00-04:00,26.49,26.93,26.47,26.91,8901631.0,26.771,36711
44,2025-05-15 09:30:00-04:00,26.78,26.8,26.31,26.6,2121267.0,26.493,11555
45,2025-05-15 12:00:00-04:00,26.6,27.08,26.49,26.83,10443552.0,26.849,34829
46,2025-05-16 09:30:00-04:00,27.1,27.73,26.92,27.6,7707007.0,27.468,30829
47,2025-05-16 12:00:00-04:00,27.6,27.62,26.97,27.25,8693807.0,27.205,36972
48,2025-05-19 09:30:00-04:00,26.93,27.33,26.8,27.17,3314733.0,27.111,13280
49,2025-05-19 12:00:00-04:00,27.18,27.29,27.08,27.14,5371359.0,27.181,17515
50,2025-05-20 09:30:00-04:00,27.06,27.35,26.95,27.04,2321868.0,27.139,9996
51,2025-05-20 12:00:00-04:00,27.04,27.14,26.91,27.12,2816222.0,27.055,12360
52,2025-05-21 09:30:00-04:00,27.18,27.61,27.13,27.38,2649786.0,27.432,13415
53,2025-05-21 12:00:00-04:00,27.38,27.6,27.05,27.38,8768625.0,27.372,35132
54,2025-05-22 09:30:00-04:00,27.22,27.44,27.04,27.22,4224762.0,27.201,15415
55,2025-05-22 12:00:00-04:00,27.22,27.4,27.18,27.27,3958166.0,27.307,16410
56,2025-05-23 09:30:00-04:00,27.03,27.42,26.9,27.35,2177529.0,27.276,7952
57,2025-05-23 12:00:00-04:00,27.35,27.65,27.15,27.45,4658606.0,27.513,15057
58,2025-05-27 09:30:00-04:00,27.89,28.55,27.75,28.19,4641202.0,28.252,19574
59,2025-05-27 12:00:00-04:00,28.19,28.47,28.1,28.43,6068525.0,28.313,23517
60,2025-05-28 09:30:00-04:00,28.41,28.61,28.19,28.24,1856113.0,28.371,7252
61,2025-05-28 12:00:00-04:00,28.24,28.46,28.23,28.28,2747301.0,28.344,11412
62,2025-05-29 09:30:00-04:00,28.43,28.48,27.67,27.69,2939453.0,27.959,15035
63,2025-05-29 12:00:00-04:00,27.7,27.96,27.67,27.9,4109572.0,27.858,19638
64,2025-05-30 09:30:00-04:00,28.03,28.19,27.72,27.96,1663308.0,27.924,7761
65,2025-05-30 12:00:00-04:00,27.96,28.12,27.7,28.04,2915300.0,27.962,13462
66,2025-06-02 09:30:00-04:00,28.05,28.12,27.53,28.08,2831180.0,27.87,11825
67,2025-06-02 12:00:00-04:00,28.09,28.35,28.02,28.34,3613890.0,28.24,12741
68,2025-06-03 09:30:00-04:00,28.31,28.4,28.11,28.17,2454907.0,28.247,9117
