,date,open,high,low,close,volume,average,barCount
0,2025-04-14,12.38,12.6,11.72,12.37,163746.0,12.245,953
1,2025-04-15,12.32,12.87,12.23,12.73,223048.0,12.521,1017
2,2025-04-16,12.42,12.61,11.48,11.8,213600.0,11.933,908
3,2025-04-17,11.74,12.32,11.71,12.18,128265.0,12.037,539
4,2025-04-21,12.0,12.17,11.6,11.86,114927.0,11.825,652
5,2025-04-22,12.14,12.4,11.73,12.38,98795.0,12.149,599
6,2025-04-23,13.07,13.58,12.68,12.72,175547.0,13.015,955
7,2025-04-24,12.82,13.45,12.63,13.4,151102.0,13.197,730
8,2025-04-25,13.26,14.2,13.17,14.18,199467.0,13.908,986
9,2025-04-28,14.1,14.73,14.03,14.61,184859.0,14.394,1235
10,2025-04-29,14.61,14.96,14.37,14.95,117234.0,14.667,703
11,2025-04-30,14.66,14.8,14.02,14.67,190158.0,14.462,1127
12,2025-05-01,14.5,15.41,14.5,15.22,147799.0,15.117,807
13,2025-05-02,16.94,22.2,16.79,21.88,1869761.0,20.912,8371
14,2025-05-05,21.66,23.78,21.53,23.23,1047475.0,22.963,5853
15,2025-05-06,23.08,25.74,23.05,25.44,923493.0,24.335,4340
16,2025-05-07,25.67,25.85,24.52,25.09,497003.0,25.146,2956
17,2025-05-08,25.4,26.31,24.99,25.9,403040.0,25.895,1654
18,2025-05-09,26.09,26.73,24.53,24.66,307912.0,25.422,1680
19,2025-05-12,26.28,26.47,23.89,24.33,207767.0,24.651,1233
20,2025-05-13,24.71,25.18,24.36,24.55,157881.0,24.789,944
21,2025-05-14,24.59,25.78,24.29,24.79,331188.0,24.782,2080
22,2025-05-15,24.84,25.45,24.02,24.3,164976.0,24.643,926
23,2025-05-16,24.26,24.55,23.81,23.93,99248.0,24.149,535
24,2025-05-19,23.31,23.74,22.91,23.57,148410.0,23.39,733
25,2025-05-20,23.52,24.38,23.52,23.63,126336.0,23.835,701
26,2025-05-21,23.16,23.42,21.8,22.13,305834.0,22.238,1406
27,2025-05-22,22.06,22.54,21.79,22.14,95229.0,22.216,551
28,2025-05-23,21.6,22.12,21.45,21.97,130192.0,21.777,690
29,2025-05-27,22.41,22.6,21.92,22.28,117110.0,22.156,695
30,2025-05-28,22.3,24.38,22.06,23.52,455072.0,23.535,1882
31,2025-05-29,23.83,23.83,22.75,23.26,97850.0,23.202,605
32,2025-05-30,23.05,23.57,22.72,23.04,91220.0,23.11,539
33,2025-06-02,23.05,23.21,20.36,20.67,385474.0,21.235,1628
34,2025-06-03,20.82,21.29,20.36,21.01,134446.0,20.955,843
35,2025-06-04,20.82,21.14,20.1,21.13,153055.0,20.648,984
36,2025-06-05,21.12,21.26,20.58,21.11,91879.0,21.066,582
37,2025-06-06,21.64,22.03,21.26,21.94,118644.0,21.683,737
38,2025-06-09,22.01,22.57,21.76,22.43,74322.0,22.278,577
39,2025-06-10,22.75,23.43,22.56,22.9,78797.0,23.097,560
40,2025-06-11,23.1,24.07,22.9,24.05,82015.0,23.711,557
41,2025-06-12,23.6,23.99,22.19,22.49,164283.0,23.065,816
42,2025-06-13,21.98,22.6,21.75,21.79,118575.0,22.105,678
43,2025-06-16,22.1,22.3,21.57,21.94,60856.0,22.034,429
44,2025-06-17,21.68,21.83,21.39,21.53,54542.0,21.584,339
45,2025-06-18,21.74,21.79,20.95,20.98,116875.0,21.385,706
46,2025-06-20,21.23,21.39,20.38,20.42,103556.0,20.829,511
47,2025-06-23,20.32,20.5,19.32,19.88,266517.0,19.79,1200
48,2025-06-24,20.13,20.67,19.77,20.23,120370.0,20.26,807
49,2025-06-25,20.26,20.52,19.84,20.06,68222.0,20.205,474
