,date,open,high,low,close,volume,average,barCount
0,2025-04-14,386.98,389.26,372.82,378.66,1373555.0,381.461,8305
1,2025-04-15,383.4,400.02,379.67,392.8,2813959.0,393.962,17917
2,2025-04-16,388.21,395.35,373.48,379.84,2077774.0,385.036,12995
3,2025-04-17,383.8,384.94,373.1,375.62,933871.0,377.829,5758
4,2025-04-21,365.45,372.09,355.66,362.69,1218914.0,362.175,7324
5,2025-04-22,368.39,374.71,362.9,368.45,1255717.0,368.456,7319
6,2025-04-23,382.5,396.31,382.5,385.75,1814224.0,389.78,10845
7,2025-04-24,386.58,414.85,386.0,414.05,2154273.0,407.452,14426
8,2025-04-25,414.51,425.74,412.6,424.88,1615081.0,419.246,10120
9,2025-04-28,424.84,428.0,415.33,423.08,1237334.0,421.432,7511
10,2025-04-29,424.0,432.37,423.08,430.99,1043501.0,428.838,6594
11,2025-04-30,419.01,429.55,414.41,428.87,1179005.0,423.174,7669
12,2025-05-01,431.51,439.63,427.75,431.88,1295830.0,434.566,8360
13,2025-05-02,438.18,443.7,434.4,440.58,1036413.0,440.858,6794
14,2025-05-05,436.0,451.15,435.4,443.47,1197874.0,447.196,7755
15,2025-05-06,433.95,447.5,430.57,443.21,1232715.0,441.418,7928
16,2025-05-07,425.42,429.84,417.06,422.52,3027229.0,423.501,19437
17,2025-05-08,427.49,432.91,424.72,428.63,1262014.0,429.683,7711
18,2025-05-09,418.94,420.0,404.63,410.57,2259871.0,411.848,14186
19,2025-05-12,419.72,429.47,415.1,429.44,1439933.0,423.771,8900
20,2025-05-13,428.21,448.0,427.0,440.2,1596939.0,440.228,9892
21,2025-05-14,442.5,445.47,431.26,435.94,1222166.0,436.523,7846
22,2025-05-15,424.51,433.86,422.09,431.84,1078387.0,429.052,7545
23,2025-05-16,434.93,440.89,431.82,439.26,911982.0,438.338,5925
24,2025-05-19,432.43,445.5,431.69,444.35,781626.0,441.465,5180
25,2025-05-20,442.2,443.01,436.69,442.25,996776.0,439.611,7070
26,2025-05-21,436.8,450.67,432.06,434.74,2259145.0,440.248,13875
27,2025-05-22,430.72,448.88,430.0,444.07,1111774.0,444.336,7386
28,2025-05-23,438.5,459.93,437.4,455.59,1811339.0,452.444,11659
29,2025-05-27,463.36,474.23,459.6,472.22,1839066.0,470.178,11800
30,2025-05-28,472.99,473.41,465.98,468.83,1199601.0,469.287,8191
31,2025-05-29,471.6,472.49,453.42,458.81,1492978.0,460.268,9199
32,2025-05-30,462.03,473.12,456.76,471.37,1368418.0,465.102,9130
33,2025-06-02,471.65,479.97,465.52,479.17,1596507.0,474.196,10555
34,2025-06-03,480.77,491.2,477.45,488.76,2775201.0,485.677,16989
35,2025-06-04,454.75,470.95,445.26,460.56,8819287.0,459.44,50396
36,2025-06-05,462.33,468.6,452.71,462.94,3296735.0,460.078,19458
37,2025-06-06,463.12,478.47,463.12,468.41,2044231.0,471.549,12959
38,2025-06-09,470.31,471.77,458.12,464.39,1201747.0,466.469,7691
39,2025-06-10,465.27,470.01,457.23,467.65,1090768.0,465.101,6976
40,2025-06-11,466.02,479.94,465.55,476.98,1354739.0,475.039,8187
41,2025-06-12,474.12,488.74,473.0,481.73,1808296.0,482.957,12534
42,2025-06-13,475.0,485.5,473.06,480.62,1060246.0,480.696,6415
43,2025-06-16,481.84,487.46,477.28,479.39,1260594.0,481.192,8143
44,2025-06-17,479.45,493.2,474.0,492.03,1575064.0,487.371,9708
