,date,open,high,low,close,volume,average,barCount
0,2025-04-14,70.0,70.02,68.82,69.2,3453656.0,69.327,19384
1,2025-04-15,69.54,69.71,68.48,68.92,3920755.0,69.044,21441
2,2025-04-16,69.21,69.82,68.2,68.55,4491898.0,69.075,23458
3,2025-04-17,65.42,67.83,64.0,67.29,10241622.0,66.446,51086
4,2025-04-21,67.3,67.45,64.45,65.17,5713584.0,65.173,30965
5,2025-04-22,64.82,65.75,64.3,65.45,4985859.0,65.249,30789
6,2025-04-23,65.52,66.43,64.82,65.57,5791827.0,65.523,34192
7,2025-04-24,65.8,65.99,65.21,65.92,4150686.0,65.664,20424
8,2025-04-25,65.87,65.99,64.93,65.32,2639952.0,65.329,14942
9,2025-04-28,65.55,66.15,64.2,64.93,5057399.0,64.925,27015
10,2025-04-29,64.88,65.41,64.41,65.03,6045327.0,64.863,28472
11,2025-04-30,65.75,66.82,65.36,66.71,6697655.0,66.233,43804
12,2025-05-01,72.5,72.51,69.27,69.45,13325011.0,70.935,80891
13,2025-05-02,69.75,70.3,67.03,67.46,8492955.0,68.122,52207
14,2025-05-05,68.23,68.28,66.91,67.1,6107360.0,67.567,38822
15,2025-05-06,66.92,67.29,65.9,66.23,3423565.0,66.402,20559
16,2025-05-07,66.31,67.16,65.84,66.78,4145176.0,66.574,23537
17,2025-05-08,66.85,68.52,66.52,67.85,5674424.0,67.805,33267
18,2025-05-09,67.73,67.76,66.81,66.97,3106810.0,67.099,18100
19,2025-05-12,65.66,66.47,63.05,64.81,13736540.0,64.411,76669
20,2025-05-13,62.69,62.81,60.3,60.5,13113736.0,61.435,76460
21,2025-05-14,61.2,61.71,59.82,60.04,8852290.0,60.664,47947
22,2025-05-15,59.98,60.48,58.35,60.47,6929586.0,59.529,41542
23,2025-05-16,60.56,62.69,60.39,62.53,6861176.0,61.95,36139
24,2025-05-19,62.53,63.18,62.18,62.78,5008217.0,62.661,24853
25,2025-05-20,62.83,64.09,62.66,63.74,4662456.0,63.576,24652
26,2025-05-21,62.71,63.24,62.04,62.11,3389683.0,62.49,20269
27,2025-05-22,61.3,61.47,59.91,60.22,5938409.0,60.7,32574
28,2025-05-23,60.62,60.88,59.66,60.83,4617508.0,60.271,22865
29,2025-05-27,60.76,61.65,60.41,61.34,4572739.0,61.251,24384
30,2025-05-28,62.0,63.37,61.74,62.45,5989122.0,62.637,29826
31,2025-05-29,61.99,63.08,61.78,62.78,7131514.0,62.654,33532
32,2025-05-30,62.91,64.57,62.18,64.04,5936531.0,63.914,33336
33,2025-06-02,63.51,64.07,62.83,63.6,3766093.0,63.35,21654
34,2025-06-03,63.49,64.02,62.85,63.59,3545339.0,63.697,20139
35,2025-06-04,63.65,64.47,63.54,63.57,3465262.0,63.973,22274
36,2025-06-05,63.87,64.14,62.6,63.08,4293683.0,63.261,25558
37,2025-06-06,63.46,63.81,63.13,63.58,1875039.0,63.441,10488
38,2025-06-09,63.79,64.31,63.55,63.86,2009482.0,63.967,11055
39,2025-06-10,63.8,64.53,63.7,64.26,3138015.0,64.182,16581
40,2025-06-11,64.27,65.75,64.11,65.72,4526978.0,65.205,23560
41,2025-06-12,65.73,66.36,64.82,66.35,3556970.0,65.864,19494
42,2025-06-13,66.17,67.77,66.1,67.46,4585555.0,67.196,25564
43,2025-06-16,67.55,68.31,66.68,67.71,4260556.0,67.678,24423
44,2025-06-17,67.73,68.6,66.67,67.09,2920444.0,67.465,16891
45,2025-06-18,66.85,67.51,66.48,66.84,2758944.0,66.976,13728
46,2025-06-20,66.98,67.5,66.54,66.57,3490497.0,66.971,14678
47,2025-06-23,66.37,67.12,65.87,66.81,3158133.0,66.576,15339
48,2025-06-24,66.73,68.21,66.53,67.58,6957491.0,67.775,32987
49,2025-06-25,67.16,67.41,66.07,66.37,4416247.0,66.589,26146
50,2025-06-26,66.8,68.54,66.71,68.14,4786899.0,68.004,26944
51,2025-06-27,67.99,68.82,67.87,68.49,2398333.0,68.414,13675
52,2025-06-30,68.68,69.17,68.25,68.98,2869607.0,68.683,16031
53,2025-07-01,68.77,70.23,68.75,69.58,3532649.0,69.564,21308
54,2025-07-02,68.9,69.11,66.54,66.6,7176615.0,67.53,42048
55,2025-07-03,66.92,67.78,66.63,67.43,1887727.0,67.464,10788
56,2025-07-07,67.2,67.43,65.95,66.68,3950904.0,66.531,23020
57,2025-07-08,66.77,67.4,66.64,66.94,2186012.0,67.03,13349
58,2025-07-09,67.01,67.17,65.58,66.66,2958030.0,66.304,16754
59,2025-07-10,66.88,66.88,65.35,65.62,3560185.0,65.828,20173
60,2025-07-11,65.1,65.24,64.21,64.78,3092395.0,64.661,18129
61,2025-07-14,64.75,64.78,64.06,64.36,3187408.0,64.428,18772
62,2025-07-15,64.48,64.67,63.28,63.94,3608646.0,63.823,21925
63,2025-07-16,64.0,64.71,63.73,63.8,2865019.0,64.082,17602
64,2025-07-17,63.25,63.88,62.48,63.3,4063244.0,63.289,25100
65,2025-07-18,63.35,63.44,61.5,61.96,5464481.0,62.209,29686
66,2025-07-21,62.55,62.55,61.52,61.64,4505357.0,61.878,21203
67,2025-07-22,61.09,62.2,60.86,61.08,4339751.0,61.381,23928
68,2025-07-23,61.34,62.05,60.97,61.85,3338339.0,61.675,19788
69,2025-07-24,61.65,61.65,58.5,58.75,8319034.0,59.716,46468
70,2025-07-25,59.61,61.17,59.43,60.7,6345948.0,60.524,36150
71,2025-07-28,60.56,61.13,59.35,59.64,5099361.0,59.931,27524
72,2025-07-29,59.8,60.94,58.99,60.0,5678519.0,60.204,29527
73,2025-07-30,61.7,62.88,61.0,62.3,9770545.0,62.178,62658
74,2025-07-31,65.51,66.92,61.23,62.1,17053126.0,63.8,90388
75,2025-08-01,62.32,62.7,61.19,62.47,7109533.0,62.035,42433
76,2025-08-04,62.02,62.44,61.42,61.45,4055139.0,61.862,21798
77,2025-08-05,61.45,64.03,61.35,63.42,5431633.0,63.274,30272
78,2025-08-06,63.13,63.9,62.52,63.52,2814109.0,63.427,16428
79,2025-08-07,63.63,63.83,62.55,63.58,2729569.0,63.085,16868
80,2025-08-08,63.54,65.62,63.3,65.54,3951065.0,64.964,21246
81,2025-08-11,65.63,66.25,64.74,64.88,3290642.0,65.175,19626
82,2025-08-12,64.76,65.71,64.32,65.51,2850193.0,65.294,15819
83,2025-08-13,65.81,66.34,65.26,65.9,3347437.0,65.885,19582
84,2025-08-14,66.61,67.16,66.24,66.73,3239623.0,66.621,17593
85,2025-08-15,68.2,69.13,67.42,68.6,5245723.0,68.522,26228
86,2025-08-18,70.28,71.05,69.4,70.17,5304818.0,70.322,25668
87,2025-08-19,69.96,71.08,69.8,70.97,2864971.0,70.658,15391
88,2025-08-20,71.01,71.36,70.65,70.82,2860709.0,71.054,14352
89,2025-08-21,70.89,72.12,70.55,71.43,3525555.0,71.575,17622
90,2025-08-22,71.82,72.3,71.1,71.3,3269664.0,71.55,16586
91,2025-08-25,71.34,71.64,70.39,71.21,2257896.0,70.959,12077
92,2025-08-26,71.25,71.79,71.06,71.55,2515201.0,71.547,13835
93,2025-08-27,71.63,72.09,71.57,71.93,1872417.0,71.894,10563
94,2025-08-28,71.97,72.31,71.11,72.14,2169561.0,71.894,12341
95,2025-08-29,72.24,73.23,72.16,73.15,3231468.0,72.855,18447
96,2025-09-02,72.98,74.53,72.88,74.09,3936784.0,73.901,22919
97,2025-09-03,74.09,74.46,72.86,73.32,3746648.0,73.344,21487
98,2025-09-04,73.42,73.91,72.91,73.69,2705265.0,73.501,15843
99,2025-09-05,73.38,74.49,73.06,73.78,2762613.0,73.906,15772
100,2025-09-08,73.83,74.0,69.6,70.26,8841859.0,70.979,50514
101,2025-09-09,71.56,73.05,70.72,71.75,6732009.0,72.017,41532
102,2025-09-10,72.07,74.0,71.96,73.97,6173065.0,73.351,36968
103,2025-09-11,73.83,75.0,73.28,74.67,4811325.0,74.531,29516
104,2025-09-12,74.42,75.55,74.41,74.98,3398310.0,74.992,20546
105,2025-09-15,74.95,75.0,72.51,73.46,3934628.0,73.225,21004
106,2025-09-16,73.45,73.73,72.39,73.48,3070364.0,73.197,18018
107,2025-09-17,73.67,74.84,73.51,74.0,2094084.0,74.305,13598
108,2025-09-18,73.49,74.46,73.18,74.42,2984785.0,73.991,16930
109,2025-09-19,74.69,76.24,74.35,74.92,7063388.0,75.196,32436
110,2025-09-22,74.32,75.77,73.8,75.13,3775291.0,75.103,21242
111,2025-09-23,75.09,76.92,74.9,76.5,3456829.0,76.471,21097
112,2025-09-24,76.67,77.34,76.04,76.38,3244980.0,76.608,18205
113,2025-09-25,76.72,76.79,74.11,74.61,3263564.0,75.002,20066
114,2025-09-26,74.94,75.95,74.53,75.77,2419786.0,75.342,16223
115,2025-09-29,75.69,75.85,74.09,75.57,2367255.0,75.362,13997
116,2025-09-30,75.23,75.83,73.83,75.39,3824443.0,75.026,24424
117,2025-10-01,75.3,77.54,75.25,76.87,5349828.0,76.722,30496
118,2025-10-02,76.35,77.76,76.27,77.45,2678039.0,77.22,17460
119,2025-10-03,77.49,79.2,77.08,77.49,4317495.0,78.272,25251
