,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,70.0,70.02,68.82,69.19,1465548.0,69.419,7376
1,2025-04-14 12:00:00-04:00,69.17,69.5,68.88,69.18,1988108.0,69.26,12008
2,2025-04-15 09:30:00-04:00,69.54,69.71,68.48,69.27,1499049.0,69.22,8080
3,2025-04-15 12:00:00-04:00,69.26,69.36,68.66,68.91,2421706.0,68.935,13361
4,2025-04-16 09:30:00-04:00,69.21,69.82,68.68,69.14,2509593.0,69.36,11108
5,2025-04-16 12:00:00-04:00,69.15,69.28,68.2,68.55,1982305.0,68.713,12350
6,2025-04-17 09:30:00-04:00,65.42,67.46,64.0,67.1,6116407.0,65.821,29257
7,2025-04-17 12:00:00-04:00,67.1,67.83,66.75,67.26,4125215.0,67.372,21829
8,2025-04-21 09:30:00-04:00,67.3,67.45,64.63,64.7,2097460.0,65.515,12566
9,2025-04-21 12:00:00-04:00,64.7,65.39,64.45,65.19,3616124.0,64.974,18399
10,2025-04-22 09:30:00-04:00,64.82,65.68,64.3,65.5,1748117.0,65.196,10604
11,2025-04-22 12:00:00-04:00,65.5,65.75,64.69,65.45,3237742.0,65.277,20185
12,2025-04-23 09:30:00-04:00,65.52,66.43,64.91,65.56,2332796.0,65.739,13042
13,2025-04-23 12:00:00-04:00,65.58,65.94,64.82,65.56,3459031.0,65.378,21150
14,2025-04-24 09:30:00-04:00,65.8,65.99,65.21,65.58,1304461.0,65.731,6402
15,2025-04-24 12:00:00-04:00,65.58,65.93,65.29,65.89,2846225.0,65.634,14022
16,2025-04-25 09:30:00-04:00,65.87,65.99,64.93,65.26,1024749.0,65.3,6107
17,2025-04-25 12:00:00-04:00,65.26,65.5,65.1,65.31,1615203.0,65.348,8835
18,2025-04-28 09:30:00-04:00,65.55,66.15,64.85,64.92,1854200.0,65.332,9867
19,2025-04-28 12:00:00-04:00,64.92,65.03,64.2,64.92,3203199.0,64.69,17148
20,2025-04-29 09:30:00-04:00,64.88,65.12,64.41,64.66,1884127.0,64.795,9963
21,2025-04-29 12:00:00-04:00,64.67,65.41,64.48,65.0,4161200.0,64.893,18509
22,2025-04-30 09:30:00-04:00,65.75,66.82,65.36,66.41,3259732.0,66.078,21615
23,2025-04-30 12:00:00-04:00,66.41,66.8,65.91,66.7,3437923.0,66.38,22189
24,2025-05-01 09:30:00-04:00,72.5,72.51,69.27,70.77,7093409.0,71.42,41253
25,2025-05-01 12:00:00-04:00,70.76,71.16,69.34,69.44,6231602.0,70.383,39638
26,2025-05-02 09:30:00-04:00,69.75,70.3,67.57,67.77,4066404.0,68.93,24924
27,2025-05-02 12:00:00-04:00,67.76,67.98,67.03,67.45,4426551.0,67.38,27283
28,2025-05-05 09:30:00-04:00,68.23,68.25,67.36,67.89,2348599.0,67.75,15673
29,2025-05-05 12:00:00-04:00,67.89,68.28,66.91,67.11,3758761.0,67.453,23149
30,2025-05-06 09:30:00-04:00,66.92,67.29,66.22,66.51,1233043.0,66.724,7954
31,2025-05-06 12:00:00-04:00,66.53,66.84,65.9,66.22,2190522.0,66.22,12605
32,2025-05-07 09:30:00-04:00,66.31,66.93,65.84,66.33,1239566.0,66.378,7718
33,2025-05-07 12:00:00-04:00,66.32,67.16,66.09,66.8,2905610.0,66.658,15819
34,2025-05-08 09:30:00-04:00,66.85,67.93,66.52,67.73,1936824.0,67.375,11762
35,2025-05-08 12:00:00-04:00,67.73,68.52,67.62,67.86,3737600.0,68.027,21505
36,2025-05-09 09:30:00-04:00,67.73,67.76,66.81,67.18,1118409.0,67.109,6588
37,2025-05-09 12:00:00-04:00,67.19,67.34,66.86,66.98,1988401.0,67.093,11512
38,2025-05-12 09:30:00-04:00,65.66,66.47,63.65,64.14,6869873.0,64.913,38986
39,2025-05-12 12:00:00-04:00,64.14,64.87,63.05,64.81,6866667.0,63.908,37683
40,2025-05-13 09:30:00-04:00,62.69,62.81,61.23,61.66,6297923.0,61.791,37583
41,2025-05-13 12:00:00-04:00,61.67,61.97,60.3,60.51,6815813.0,61.105,38877
42,2025-05-14 09:30:00-04:00,61.2,61.71,60.43,60.54,4589686.0,61.175,26087
43,2025-05-14 12:00:00-04:00,60.54,60.56,59.82,60.02,4262604.0,60.115,21860
44,2025-05-15 09:30:00-04:00,59.98,60.31,58.35,59.55,3553295.0,59.095,21077
45,2025-05-15 12:00:00-04:00,59.54,60.48,59.32,60.46,3376291.0,59.986,20465
46,2025-05-16 09:30:00-04:00,60.56,61.69,60.39,61.41,2322912.0,61.173,12279
47,2025-05-16 12:00:00-04:00,61.41,62.69,61.33,62.52,4538264.0,62.347,23860
