,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,25.82,25.95,24.76,24.84,808840.0,25.197,4144
1,2025-04-14 12:00:00-04:00,24.83,25.47,24.75,25.26,1131040.0,25.224,7158
2,2025-04-15 09:30:00-04:00,25.35,25.83,25.19,25.47,374475.0,25.482,2329
3,2025-04-15 12:00:00-04:00,25.47,25.55,24.98,25.08,1450287.0,25.155,9089
4,2025-04-16 09:30:00-04:00,24.96,25.19,24.65,24.95,875424.0,24.959,6918
5,2025-04-16 12:00:00-04:00,24.96,25.05,24.27,24.76,1853715.0,24.652,14018
6,2025-04-17 09:30:00-04:00,24.75,25.36,24.66,25.23,595844.0,25.039,3389
7,2025-04-17 12:00:00-04:00,25.24,25.67,25.18,25.54,1392239.0,25.48,9550
8,2025-04-21 09:30:00-04:00,25.16,25.54,24.68,24.71,683630.0,25.139,4449
9,2025-04-21 12:00:00-04:00,24.72,25.06,24.7,25.0,2531594.0,24.886,15515
10,2025-04-22 09:30:00-04:00,25.36,26.69,25.36,26.46,2380382.0,26.091,12775
11,2025-04-22 12:00:00-04:00,26.46,26.86,26.16,26.78,2590273.0,26.624,14956
12,2025-04-23 09:30:00-04:00,27.73,28.63,26.48,26.69,2751251.0,27.847,15869
13,2025-04-23 12:00:00-04:00,26.7,27.25,26.56,26.72,1658129.0,26.891,10244
14,2025-04-24 09:30:00-04:00,26.79,27.0,26.39,26.9,1637346.0,26.756,9547
15,2025-04-24 12:00:00-04:00,26.91,27.47,26.91,27.16,1740730.0,27.193,10134
16,2025-04-25 09:30:00-04:00,27.5,28.6,27.5,28.57,1522051.0,28.163,7921
17,2025-04-25 12:00:00-04:00,28.57,28.71,28.12,28.45,1967882.0,28.407,12260
18,2025-04-28 09:30:00-04:00,28.44,28.87,28.06,28.24,751235.0,28.504,4075
19,2025-04-28 12:00:00-04:00,28.23,28.3,27.98,28.07,1411748.0,28.125,8326
20,2025-04-29 09:30:00-04:00,27.85,28.07,27.08,27.18,1263254.0,27.366,7330
21,2025-04-29 12:00:00-04:00,27.19,28.08,27.15,27.96,4454148.0,27.727,22645
22,2025-04-30 09:30:00-04:00,28.72,28.73,26.75,27.08,2734010.0,27.191,16515
23,2025-04-30 12:00:00-04:00,27.08,27.2,26.71,27.05,2961170.0,26.977,17524
24,2025-05-01 09:30:00-04:00,27.51,28.03,26.65,26.86,2102945.0,27.186,12854
25,2025-05-01 12:00:00-04:00,26.85,27.36,26.76,27.2,1775103.0,27.111,10797
26,2025-05-02 09:30:00-04:00,27.74,27.99,27.31,27.79,1417228.0,27.651,9098
27,2025-05-02 12:00:00-04:00,27.78,28.14,27.7,27.8,1730040.0,27.915,11747
28,2025-05-05 09:30:00-04:00,27.55,28.41,27.27,28.14,1621079.0,28.111,9912
29,2025-05-05 12:00:00-04:00,28.14,28.19,27.58,27.61,1984036.0,27.88,14225
30,2025-05-06 09:30:00-04:00,27.2,27.35,26.9,26.97,648991.0,27.047,3762
31,2025-05-06 12:00:00-04:00,26.97,27.16,26.71,26.85,1764623.0,26.844,9963
32,2025-05-07 09:30:00-04:00,26.95,27.23,26.72,27.12,1971193.0,26.972,8645
33,2025-05-07 12:00:00-04:00,27.11,27.42,26.85,27.09,1497739.0,27.112,9643
34,2025-05-08 09:30:00-04:00,27.53,27.99,26.75,27.95,921448.0,27.378,5283
35,2025-05-08 12:00:00-04:00,27.96,28.4,27.8,27.82,2043903.0,28.059,12227
36,2025-05-09 09:30:00-04:00,27.85,28.07,27.59,27.64,443392.0,27.776,2876
37,2025-05-09 12:00:00-04:00,27.64,28.07,27.51,28.03,1239254.0,27.876,7845
38,2025-05-12 09:30:00-04:00,29.96,30.67,29.6,29.66,2237316.0,30.009,11415
39,2025-05-12 12:00:00-04:00,29.66,30.21,29.6,30.08,2589112.0,29.963,12996
40,2025-05-13 09:30:00-04:00,30.03,30.31,29.7,30.22,889964.0,30.028,5096
41,2025-05-13 12:00:00-04:00,30.22,30.59,30.13,30.52,1714275.0,30.455,10516
42,2025-05-14 09:30:00-04:00,30.38,30.64,30.16,30.6,677222.0,30.431,3390
43,2025-05-14 12:00:00-04:00,30.59,30.72,30.42,30.7,1170646.0,30.589,7029
44,2025-05-15 09:30:00-04:00,30.36,30.51,29.76,30.1,693756.0,30.049,3955
45,2025-05-15 12:00:00-04:00,30.11,30.51,30.01,30.31,1442778.0,30.293,9226
46,2025-05-16 09:30:00-04:00,30.43,30.76,30.21,30.48,737980.0,30.468,4036
47,2025-05-16 12:00:00-04:00,30.47,30.77,30.47,30.7,1284563.0,30.654,8268
48,2025-05-19 09:30:00-04:00,30.07,30.12,29.56,29.8,875010.0,29.819,4932
49,2025-05-19 12:00:00-04:00,29.82,29.85,29.42,29.57,977872.0,29.598,6084
50,2025-05-20 09:30:00-04:00,29.44,29.55,29.02,29.46,604251.0,29.359,3434
51,2025-05-20 12:00:00-04:00,29.46,29.53,29.23,29.41,1092626.0,29.406,6802
52,2025-05-21 09:30:00-04:00,29.03,29.43,28.62,28.91,874247.0,28.95,4593
53,2025-05-21 12:00:00-04:00,28.91,28.94,27.91,27.93,1634963.0,28.196,10437
54,2025-05-22 09:30:00-04:00,27.81,27.88,26.98,27.56,1174656.0,27.325,6976
55,2025-05-22 12:00:00-04:00,27.57,28.17,27.45,27.86,1863645.0,27.844,10034
56,2025-05-23 09:30:00-04:00,27.1,27.83,27.06,27.73,945366.0,27.664,4863
57,2025-05-23 12:00:00-04:00,27.73,27.93,27.63,27.68,1235340.0,27.774,8439
58,2025-05-27 09:30:00-04:00,28.38,28.54,27.77,28.21,1062368.0,28.064,6502
59,2025-05-27 12:00:00-04:00,28.2,28.49,28.16,28.26,1645717.0,28.285,8571
60,2025-05-28 09:30:00-04:00,28.13,28.25,27.75,27.86,845868.0,27.866,5245
61,2025-05-28 12:00:00-04:00,27.88,28.09,27.44,27.49,2147640.0,27.74,12464
62,2025-05-29 09:30:00-04:00,27.82,27.96,26.95,27.02,782200.0,27.306,4893
63,2025-05-29 12:00:00-04:00,27.01,27.32,26.96,27.27,1283136.0,27.211,7918
64,2025-05-30 09:30:00-04:00,26.97,27.27,26.68,27.19,500032.0,27.019,3053
65,2025-05-30 12:00:00-04:00,27.19,27.19,26.7,26.86,1572927.0,26.933,10251
66,2025-06-02 09:30:00-04:00,26.7,26.7,25.56,26.03,1929594.0,25.885,10836
67,2025-06-02 12:00:00-04:00,26.03,26.23,25.95,26.09,1931133.0,26.105,11774
68,2025-06-03 09:30:00-04:00,26.02,26.74,25.69,26.57,1362653.0,26.356,6500
69,2025-06-03 12:00:00-04:00,26.58,26.79,26.44,26.46,2064162.0,26.605,11909
70,2025-06-04 09:30:00-04:00,26.31,26.36,25.72,26.1,1563478.0,26.029,9071
71,2025-06-04 12:00:00-04:00,26.1,26.18,25.85,25.91,2269924.0,25.967,12362
72,2025-06-05 09:30:00-04:00,26.0,26.04,25.55,25.95,855812.0,25.802,4928
73,2025-06-05 12:00:00-04:00,25.95,26.1,25.54,25.62,1239392.0,25.794,7886
74,2025-06-06 09:30:00-04:00,26.08,26.23,25.9,26.09,780976.0,26.061,4187
75,2025-06-06 12:00:00-04:00,26.09,26.12,25.65,25.73,1060233.0,25.804,6506
76,2025-06-09 09:30:00-04:00,26.09,26.83,26.05,26.54,1695803.0,26.425,9417
77,2025-06-09 12:00:00-04:00,26.53,26.86,26.31,26.73,1775219.0,26.706,11460
78,2025-06-10 09:30:00-04:00,26.98,28.05,26.88,27.79,1278237.0,27.558,7313
79,2025-06-10 12:00:00-04:00,27.79,28.28,27.7,28.27,2180811.0,28.05,13364
80,2025-06-11 09:30:00-04:00,28.52,28.53,27.88,27.93,847664.0,28.153,5009
81,2025-06-11 12:00:00-04:00,27.93,28.01,27.47,27.92,2046259.0,27.833,10279
82,2025-06-12 09:30:00-04:00,27.51,27.69,27.06,27.11,637024.0,27.399,3854
83,2025-06-12 12:00:00-04:00,27.12,27.52,27.06,27.32,1556159.0,27.295,10196
84,2025-06-13 09:30:00-04:00,26.85,26.86,26.06,26.62,1475684.0,26.376,7718
85,2025-06-13 12:00:00-04:00,26.6,26.6,25.39,25.56,3458182.0,25.828,17528
86,2025-06-16 09:30:00-04:00,25.98,26.55,25.86,26.21,1668472.0,26.267,9559
87,2025-06-16 12:00:00-04:00,26.22,26.71,26.17,26.23,2092720.0,26.372,13291
88,2025-06-17 09:30:00-04:00,25.98,26.39,25.92,26.3,994005.0,26.18,5633
89,2025-06-17 12:00:00-04:00,26.3,26.62,26.16,26.44,1586385.0,26.374,10311
90,2025-06-18 09:30:00-04:00,26.33,27.42,26.25,27.34,1827801.0,27.072,9008
91,2025-06-18 12:00:00-04:00,27.35,27.78,27.27,27.74,2387371.0,27.567,14828
92,2025-06-20 09:30:00-04:00,28.3,28.76,28.01,28.22,1323588.0,28.261,7689
93,2025-06-20 12:00:00-04:00,28.21,28.34,27.78,28.15,2293157.0,28.131,11786
94,2025-06-23 09:30:00-04:00,28.28,28.65,27.62,28.07,820325.0,28.317,5195
95,2025-06-23 12:00:00-04:00,28.07,28.55,27.56,28.51,1735400.0,28.212,10372
96,2025-06-24 09:30:00-04:00,28.95,29.76,28.94,29.49,1751038.0,29.472,9605
97,2025-06-24 12:00:00-04:00,29.49,29.81,29.25,29.62,1885363.0,29.575,12688
98,2025-06-25 09:30:00-04:00,29.64,29.65,28.93,29.05,1266128.0,29.142,6234
99,2025-06-25 12:00:00-04:00,29.05,29.11,28.36,28.61,1872779.0,28.607,12552
100,2025-06-26 09:30:00-04:00,28.6,28.9,28.5,28.76,635896.0,28.709,4341
101,2025-06-26 12:00:00-04:00,28.76,29.07,28.4,28.48,1940415.0,28.659,11616
102,2025-06-27 09:30:00-04:00,28.66,28.84,28.09,28.62,1062866.0,28.545,7093
103,2025-06-27 12:00:00-04:00,28.61,28.9,28.32,28.86,1999645.0,28.667,12806
104,2025-06-30 09:30:00-04:00,28.78,28.8,28.14,28.34,1006995.0,28.436,6729
105,2025-06-30 12:00:00-04:00,28.34,28.55,28.23,28.39,1523478.0,28.385,9504
106,2025-07-01 09:30:00-04:00,28.47,30.17,28.37,30.05,1971471.0,29.603,10781
107,2025-07-01 12:00:00-04:00,30.04,30.29,29.39,29.61,2665827.0,29.718,17659
108,2025-07-02 09:30:00-04:00,29.68,30.02,29.26,29.95,823727.0,29.668,5289
109,2025-07-02 12:00:00-04:00,29.95,29.98,29.36,29.64,3772646.0,29.577,18789
110,2025-07-03 09:30:00-04:00,30.02,30.07,29.68,29.77,967779.0,29.882,5553
111,2025-07-03 12:00:00-04:00,29.76,29.78,29.58,29.7,532226.0,29.701,3443
112,2025-07-07 09:30:00-04:00,29.45,30.28,29.43,29.69,955478.0,29.912,5834
113,2025-07-07 12:00:00-04:00,29.7,29.76,29.09,29.42,1332561.0,29.407,9649
114,2025-07-08 09:30:00-04:00,29.57,30.12,29.0,29.85,946842.0,29.613,5661
115,2025-07-08 12:00:00-04:00,29.86,30.1,29.61,29.98,1134590.0,29.939,7816
116,2025-07-09 09:30:00-04:00,30.1,30.19,29.46,29.66,590216.0,29.797,3165
117,2025-07-09 12:00:00-04:00,29.65,29.76,29.44,29.59,1348148.0,29.59,8184
118,2025-07-10 09:30:00-04:00,29.57,30.56,29.53,30.41,860619.0,30.228,4805
119,2025-07-10 12:00:00-04:00,30.41,31.58,30.21,31.52,3131042.0,30.986,17036
120,2025-07-11 09:30:00-04:00,31.05,31.23,30.06,30.14,1572994.0,30.558,9158
121,2025-07-11 12:00:00-04:00,30.14,30.38,29.9,30.05,1921122.0,30.099,11838
122,2025-07-14 09:30:00-04:00,29.93,30.15,29.64,30.06,764041.0,29.896,4995
123,2025-07-14 12:00:00-04:00,30.06,30.89,30.01,30.84,1640518.0,30.588,11450
124,2025-07-15 09:30:00-04:00,31.02,31.02,29.87,29.94,846917.0,30.269,5731
125,2025-07-15 12:00:00-04:00,29.94,30.09,29.77,29.82,1590667.0,29.923,11096
126,2025-07-16 09:30:00-04:00,30.14,30.46,29.42,29.77,863820.0,29.945,5514
127,2025-07-16 12:00:00-04:00,29.77,30.17,29.66,30.0,1004276.0,29.985,7529
128,2025-07-17 09:30:00-04:00,30.2,30.96,30.15,30.89,878167.0,30.754,4997
129,2025-07-17 12:00:00-04:00,30.89,31.06,30.33,30.36,2749577.0,30.576,10563
130,2025-07-18 09:30:00-04:00,30.61,30.96,30.23,30.39,1031920.0,30.423,4964
131,2025-07-18 12:00:00-04:00,30.39,30.43,29.85,29.93,2096281.0,30.054,12115
132,2025-07-21 09:30:00-04:00,30.21,30.42,29.58,29.77,1466715.0,29.977,7989
