,date,open,high,low,close,volume,average,barCount
0,2025-04-14,185.0,186.19,179.41,181.85,1354970.0,182.468,9817
1,2025-04-15,181.33,185.69,180.51,181.55,1464733.0,182.925,9983
2,2025-04-16,177.41,182.64,176.6,179.39,1940573.0,179.573,14753
3,2025-04-17,181.25,182.89,177.98,181.24,1281119.0,180.993,8859
4,2025-04-21,178.23,180.11,168.95,171.82,2004382.0,172.132,15630
5,2025-04-22,174.73,179.0,173.51,176.61,1787572.0,176.837,13322
6,2025-04-23,183.36,187.0,180.44,181.19,1370428.0,183.562,10533
7,2025-04-24,181.12,187.6,180.06,187.22,1209570.0,184.901,9456
8,2025-04-25,187.22,191.1,183.2,187.76,2886159.0,187.529,20046
9,2025-04-28,188.81,190.69,186.55,187.88,1656192.0,188.214,12318
10,2025-04-29,186.15,191.86,185.85,191.23,1478979.0,189.934,10710
11,2025-04-30,186.19,193.3,183.75,192.89,1517061.0,189.676,11873
12,2025-05-01,194.56,197.75,192.66,196.2,1730040.0,196.036,12770
13,2025-05-02,199.86,205.89,199.43,205.09,2137931.0,203.181,13573
14,2025-05-05,203.26,207.23,201.05,205.4,2408775.0,205.289,17284
15,2025-05-06,193.75,195.42,185.25,190.11,5437819.0,189.742,35841
16,2025-05-07,189.76,190.09,175.5,176.99,4725871.0,180.054,33721
17,2025-05-08,180.12,183.76,178.36,182.96,1973509.0,181.745,14615
18,2025-05-09,183.19,185.59,180.58,183.52,1618772.0,183.217,11311
19,2025-05-12,191.61,192.83,185.9,192.1,2451665.0,190.333,17089
20,2025-05-13,192.09,198.45,191.78,197.8,1796080.0,196.479,13523
21,2025-05-14,197.3,199.27,195.95,196.84,1891671.0,197.255,13141
22,2025-05-15,195.43,199.47,194.96,197.1,1805550.0,197.573,13358
23,2025-05-16,198.0,202.63,196.83,202.0,1921081.0,200.665,13196
24,2025-05-19,198.78,203.42,198.75,202.18,1640958.0,201.706,12182
25,2025-05-20,200.84,206.0,198.51,205.18,3926560.0,201.14,20287
26,2025-05-21,202.49,209.64,201.5,204.77,3401823.0,206.27,21081
27,2025-05-22,204.5,206.54,200.66,200.87,1655084.0,203.585,11691
28,2025-05-23,197.75,207.22,197.25,206.15,2203836.0,204.782,14945
29,2025-05-27,205.4,208.56,202.52,204.89,2906506.0,205.2,19230
30,2025-05-28,204.88,210.71,204.24,206.59,2458383.0,207.564,16379
31,2025-05-29,208.8,209.2,202.68,204.58,1309981.0,204.885,9297
32,2025-05-30,204.1,209.39,202.7,208.65,1312176.0,206.196,10108
33,2025-06-02,209.22,213.4,207.61,212.79,2154360.0,211.538,15939
34,2025-06-03,213.79,215.2,211.3,213.7,2347265.0,213.615,16284
