,date,open,high,low,close,volume,average,barCount
0,2025-04-14,23.02,23.3,22.88,23.1,3131616.0,23.116,13859
1,2025-04-15,23.44,23.66,23.33,23.54,2217740.0,23.543,8316
2,2025-04-16,23.34,23.65,23.18,23.34,2215520.0,23.408,8222
3,2025-04-17,23.36,23.66,23.33,23.47,2222170.0,23.509,8031
4,2025-04-21,23.5,23.56,22.99,23.27,1431284.0,23.233,5154
5,2025-04-22,23.92,24.36,23.89,24.33,2721122.0,24.151,10157
6,2025-04-23,24.9,25.18,24.72,24.87,3266634.0,24.917,12241
7,2025-04-24,24.91,25.23,24.87,25.2,2233839.0,25.1,8000
8,2025-04-25,25.38,25.71,25.35,25.69,2083200.0,25.578,6575
9,2025-04-28,25.66,25.78,25.47,25.74,2332434.0,25.618,8710
10,2025-04-29,26.64,26.96,26.6,26.78,4582966.0,26.806,15070
11,2025-04-30,25.82,26.27,25.62,26.21,3300988.0,25.927,13282
12,2025-05-01,26.5,26.68,26.32,26.4,1890108.0,26.476,6895
13,2025-05-02,26.58,26.81,26.51,26.8,2600817.0,26.721,9055
14,2025-05-05,27.1,27.25,26.98,26.99,2639426.0,27.129,9355
15,2025-05-06,26.66,26.97,26.66,26.74,1917745.0,26.822,6853
16,2025-05-07,26.73,26.84,26.58,26.67,1870404.0,26.716,6784
17,2025-05-08,26.86,26.89,26.62,26.71,2622677.0,26.762,9548
18,2025-05-09,27.11,27.38,27.08,27.38,1506405.0,27.254,5458
19,2025-05-12,27.38,27.5,27.19,27.49,2327141.0,27.388,8617
20,2025-05-13,27.6,27.73,27.47,27.51,2412174.0,27.595,8281
21,2025-05-14,27.74,27.82,27.59,27.78,1928649.0,27.74,6497
22,2025-05-15,28.08,28.34,27.95,28.23,3724171.0,28.155,12482
23,2025-05-16,27.75,27.96,27.7,27.87,1725127.0,27.846,5593
24,2025-05-19,28.36,28.61,28.29,28.56,2198696.0,28.49,7506
25,2025-05-20,28.4,28.54,28.33,28.47,1684100.0,28.43,5537
26,2025-05-21,28.91,29.07,28.43,28.45,3003717.0,28.777,11442
27,2025-05-22,28.22,28.66,28.22,28.46,3789213.0,28.489,12923
28,2025-05-23,27.16,27.49,27.13,27.25,3298692.0,27.306,12896
29,2025-05-27,28.08,28.27,27.93,28.01,2336485.0,28.062,8362
30,2025-05-28,27.59,27.64,27.39,27.51,2096053.0,27.536,8022
31,2025-05-29,27.85,27.85,27.6,27.77,1571705.0,27.735,5480
32,2025-05-30,27.79,27.87,27.49,27.78,2172179.0,27.714,8532
33,2025-06-02,27.56,27.81,27.46,27.73,1192896.0,27.664,4888
34,2025-06-03,27.61,27.91,27.48,27.82,1555033.0,27.742,5965
35,2025-06-04,27.43,27.61,27.31,27.31,1832318.0,27.449,7406
36,2025-06-05,27.71,28.11,27.65,28.03,2762022.0,27.969,10698
37,2025-06-06,28.15,28.34,28.08,28.13,1172571.0,28.172,4792
38,2025-06-09,28.12,28.23,28.07,28.14,1412087.0,28.146,5381
39,2025-06-10,27.98,28.24,27.83,27.91,1784893.0,27.961,7759
40,2025-06-11,28.13,28.42,27.95,28.34,1676246.0,28.296,6864
41,2025-06-12,28.16,28.41,28.15,28.22,1535269.0,28.251,5556
42,2025-06-13,27.3,27.67,27.13,27.54,2324095.0,27.435,8475
43,2025-06-16,28.0,28.35,27.88,28.12,6869377.0,28.092,15947
44,2025-06-17,27.77,27.84,27.34,27.43,2722177.0,27.589,9510
45,2025-06-18,27.59,27.94,27.51,27.74,2010058.0,27.755,7444
46,2025-06-20,27.69,27.72,27.53,27.61,1966305.0,27.636,6227
47,2025-06-23,27.27,27.82,27.26,27.8,2385991.0,27.529,8877
48,2025-06-24,28.76,29.34,28.73,29.31,2857727.0,29.141,9419
49,2025-06-25,28.97,29.33,28.94,29.28,2091692.0,29.194,8287
50,2025-06-26,29.89,29.99,29.78,29.95,2123464.0,29.911,7909
51,2025-06-27,30.31,30.5,30.12,30.4,1976498.0,30.328,7240
52,2025-06-30,29.21,29.65,29.19,29.28,3634556.0,29.373,12434
53,2025-07-01,28.88,28.95,28.44,28.71,3682098.0,28.718,12746
54,2025-07-02,28.89,29.09,28.76,29.09,2305579.0,28.971,7737
55,2025-07-03,29.14,29.28,29.1,29.25,1572616.0,29.2,5220
56,2025-07-07,29.04,29.24,28.78,28.91,2144512.0,29.003,6914
57,2025-07-08,29.43,29.52,29.17,29.4,2437830.0,29.361,7009
58,2025-07-09,30.07,30.44,29.98,30.38,2429316.0,30.21,8600
59,2025-07-10,30.12,30.25,29.91,29.99,1591883.0,30.044,5241
60,2025-07-11,29.5,29.73,29.39,29.64,1845340.0,29.612,6226
61,2025-07-14,29.56,29.84,29.53,29.82,1094970.0,29.722,3949
62,2025-07-15,29.85,29.89,29.37,29.43,1617278.0,29.494,5649
63,2025-07-16,29.71,30.17,29.61,30.15,2154661.0,29.91,9210
64,2025-07-17,29.65,30.19,29.65,30.12,1589399.0,29.997,6129
65,2025-07-18,30.12,30.19,29.85,29.93,1426486.0,30.013,5332
66,2025-07-21,30.12,30.59,30.06,30.32,1843026.0,30.375,6419
67,2025-07-22,30.21,30.47,29.88,30.42,1327809.0,30.304,4963
68,2025-07-23,30.76,31.39,30.75,31.28,3846408.0,31.145,12287
69,2025-07-24,33.76,34.14,33.48,33.73,5148182.0,33.831,19882
70,2025-07-25,33.26,33.51,33.1,33.48,2447557.0,33.307,8586
71,2025-07-28,32.95,32.97,32.5,32.56,2448702.0,32.651,8581
72,2025-07-29,33.18,33.23,32.93,33.09,1729241.0,33.079,6456
73,2025-07-30,33.14,33.51,33.09,33.26,2474726.0,33.314,8136
74,2025-07-31,33.12,33.23,32.89,32.98,2426325.0,33.084,8285
75,2025-08-01,32.66,32.73,32.26,32.53,2722870.0,32.494,9434
76,2025-08-04,33.53,33.73,33.36,33.68,2470021.0,33.553,8337
77,2025-08-05,33.92,34.0,33.44,33.78,1958519.0,33.741,7044
78,2025-08-06,34.59,34.78,34.49,34.73,2293851.0,34.659,7549
79,2025-08-07,35.72,35.79,35.31,35.62,3268101.0,35.527,10261
