,date,open,high,low,close,volume,average,barCount
0,2025-04-14,9.11,9.16,8.77,8.89,2271995.0,8.941,7715
1,2025-04-15,8.89,8.95,8.77,8.81,2060170.0,8.84,6296
2,2025-04-16,8.9,9.03,8.82,8.86,1302161.0,8.93,3432
3,2025-04-17,9.0,9.23,8.96,9.12,1316382.0,9.112,5280
4,2025-04-21,9.08,9.08,8.93,9.05,1319073.0,8.992,3477
5,2025-04-22,9.2,9.2,8.98,9.04,1840481.0,9.07,5323
6,2025-04-23,9.2,9.23,9.01,9.15,1772254.0,9.098,5204
7,2025-04-24,9.29,9.31,9.18,9.29,1529104.0,9.249,4850
8,2025-04-25,9.27,9.33,9.19,9.29,1818288.0,9.274,4046
9,2025-04-28,8.78,8.78,8.41,8.47,3531908.0,8.499,9784
10,2025-04-29,8.43,8.44,8.21,8.3,3238207.0,8.289,11334
11,2025-04-30,8.25,8.26,7.96,8.11,3160286.0,8.069,8137
12,2025-05-01,8.09,8.3,8.03,8.06,1731264.0,8.121,5004
13,2025-05-02,8.19,8.21,7.95,8.15,3328231.0,8.048,10088
14,2025-05-05,8.07,8.11,7.85,7.88,2612882.0,7.93,6250
15,2025-05-06,7.97,8.03,7.82,7.88,2866739.0,7.913,6584
16,2025-05-07,8.01,8.15,7.79,7.91,3969394.0,7.894,12750
17,2025-05-08,7.97,8.16,7.93,8.09,2040181.0,8.059,5630
18,2025-05-09,8.19,8.31,8.09,8.16,1691454.0,8.168,5154
19,2025-05-12,8.45,8.45,8.18,8.29,2299318.0,8.259,6363
20,2025-05-13,8.37,8.77,8.31,8.62,2791781.0,8.615,8057
21,2025-05-14,8.57,8.66,8.5,8.64,1811930.0,8.607,4402
22,2025-05-15,8.51,8.61,8.39,8.51,1796862.0,8.51,4712
23,2025-05-16,8.55,8.63,8.49,8.6,1394054.0,8.575,4335
24,2025-05-19,8.5,8.65,8.4,8.62,1708241.0,8.562,3973
25,2025-05-20,8.6,8.64,8.53,8.57,967087.0,8.578,2449
26,2025-05-21,8.64,8.66,8.44,8.45,1634364.0,8.519,3763
27,2025-05-22,8.44,8.5,8.3,8.47,1487203.0,8.432,3919
28,2025-05-23,8.38,8.61,8.38,8.61,1111780.0,8.519,2828
29,2025-05-27,8.62,8.75,8.61,8.7,1532198.0,8.7,3941
30,2025-05-28,8.75,8.75,8.57,8.62,1316772.0,8.628,3727
31,2025-05-29,8.68,8.73,8.59,8.72,1364604.0,8.662,3334
32,2025-05-30,8.65,8.69,8.44,8.47,1821444.0,8.53,4836
33,2025-06-02,8.64,8.7,8.41,8.5,1555099.0,8.499,4196
34,2025-06-03,8.51,8.68,8.37,8.66,1389151.0,8.586,3540
35,2025-06-04,8.68,8.88,8.62,8.63,2318404.0,8.729,5622
36,2025-06-05,8.77,8.8,8.66,8.69,1185575.0,8.71,3018
37,2025-06-06,8.7,9.02,8.69,8.97,2276623.0,8.896,6722
38,2025-06-09,9.05,9.05,8.84,8.93,1506145.0,8.966,4240
39,2025-06-10,9.05,9.16,8.93,9.02,2133979.0,9.049,5199
40,2025-06-11,9.1,9.34,9.05,9.31,2049188.0,9.225,5069
41,2025-06-12,9.3,9.38,9.23,9.33,1706261.0,9.332,4755
42,2025-06-13,9.64,9.71,9.45,9.67,3921731.0,9.604,8789
43,2025-06-16,9.63,9.82,9.47,9.5,2346605.0,9.573,6074
44,2025-06-17,9.6,9.68,9.51,9.6,1491626.0,9.619,3563
45,2025-06-18,9.65,9.82,9.6,9.73,2869520.0,9.721,7146
46,2025-06-20,9.73,9.95,9.71,9.84,2377968.0,9.86,6491
47,2025-06-23,9.9,9.93,9.4,9.45,3376475.0,9.629,9449
48,2025-06-24,9.32,9.52,9.23,9.4,2937529.0,9.441,7096
49,2025-06-25,9.35,9.45,9.26,9.33,2378253.0,9.363,5235
50,2025-06-26,9.33,9.38,9.11,9.24,2947793.0,9.28,7218
51,2025-06-27,9.24,9.24,8.87,8.93,2526696.0,8.966,6675
52,2025-06-30,8.88,8.93,8.79,8.85,1415461.0,8.864,3504
53,2025-07-01,8.9,9.0,8.83,8.9,1925952.0,8.912,4651
54,2025-07-02,9.12,9.28,9.04,9.27,1866780.0,9.171,5073
55,2025-07-03,9.19,9.31,9.15,9.17,887123.0,9.215,1939
