,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,9.11,9.16,8.8,8.83,1165624.0,8.996,3594
1,2025-04-14 12:00:00-04:00,8.83,8.95,8.77,8.89,1106371.0,8.884,4121
2,2025-04-15 09:30:00-04:00,8.89,8.95,8.77,8.84,1175550.0,8.844,3599
3,2025-04-15 12:00:00-04:00,8.84,8.91,8.77,8.81,884620.0,8.835,2697
4,2025-04-16 09:30:00-04:00,8.9,9.0,8.88,8.96,526272.0,8.95,1316
5,2025-04-16 12:00:00-04:00,8.97,9.03,8.82,8.85,775889.0,8.916,2116
6,2025-04-17 09:30:00-04:00,9.0,9.14,8.96,9.12,596076.0,9.058,2336
7,2025-04-17 12:00:00-04:00,9.12,9.23,9.08,9.13,720306.0,9.157,2944
8,2025-04-21 09:30:00-04:00,9.08,9.08,8.94,8.96,715864.0,9.0,1816
9,2025-04-21 12:00:00-04:00,8.97,9.03,8.93,9.02,603209.0,8.982,1661
10,2025-04-22 09:30:00-04:00,9.2,9.2,9.05,9.1,870540.0,9.096,2508
11,2025-04-22 12:00:00-04:00,9.11,9.14,8.98,9.03,969941.0,9.046,2815
12,2025-04-23 09:30:00-04:00,9.2,9.23,9.02,9.05,849930.0,9.118,2752
13,2025-04-23 12:00:00-04:00,9.05,9.15,9.01,9.15,922324.0,9.08,2452
14,2025-04-24 09:30:00-04:00,9.29,9.29,9.18,9.25,892858.0,9.231,2554
15,2025-04-24 12:00:00-04:00,9.25,9.31,9.24,9.28,636246.0,9.273,2296
16,2025-04-25 09:30:00-04:00,9.27,9.33,9.19,9.28,587487.0,9.259,1552
17,2025-04-25 12:00:00-04:00,9.28,9.31,9.2,9.29,1230801.0,9.281,2494
18,2025-04-28 09:30:00-04:00,8.78,8.78,8.41,8.46,2039867.0,8.505,5860
19,2025-04-28 12:00:00-04:00,8.46,8.55,8.43,8.47,1492041.0,8.492,3924
20,2025-04-29 09:30:00-04:00,8.43,8.44,8.21,8.25,1612994.0,8.285,5988
21,2025-04-29 12:00:00-04:00,8.25,8.35,8.24,8.27,1625213.0,8.293,5346
22,2025-04-30 09:30:00-04:00,8.25,8.26,8.0,8.01,1541512.0,8.102,3620
23,2025-04-30 12:00:00-04:00,8.02,8.1,7.96,8.1,1618774.0,8.038,4517
24,2025-05-01 09:30:00-04:00,8.09,8.3,8.03,8.1,785921.0,8.187,2172
25,2025-05-01 12:00:00-04:00,8.09,8.13,8.03,8.04,945343.0,8.067,2832
