,date,open,high,low,close,volume,average,barCount
0,2025-04-14,42.03,42.38,41.86,42.13,15489626.0,42.125,25483
1,2025-04-15,42.2,42.35,42.08,42.09,13229051.0,42.207,20229
2,2025-04-16,41.79,42.03,41.43,41.6,16277830.0,41.703,25494
3,2025-04-17,42.06,42.23,41.88,41.92,17609777.0,42.054,26091
4,2025-04-21,42.16,42.22,41.61,41.91,12755594.0,41.868,18116
5,2025-04-22,42.38,42.83,42.34,42.54,17639653.0,42.558,27431
6,2025-04-23,43.29,43.52,42.98,43.03,20832203.0,43.235,33034
7,2025-04-24,43.15,43.58,43.1,43.53,16103183.0,43.445,24798
8,2025-04-25,43.22,43.45,43.13,43.45,14540391.0,43.321,16167
9,2025-04-28,43.51,43.59,43.32,43.53,9490588.0,43.463,12555
10,2025-04-29,43.59,43.76,43.56,43.65,9471439.0,43.661,13458
11,2025-04-30,43.59,43.83,43.4,43.76,16110021.0,43.631,22603
12,2025-05-01,43.92,43.96,43.7,43.75,12184961.0,43.849,17400
13,2025-05-02,45.15,45.17,44.83,45.0,27049702.0,44.987,35886
14,2025-05-05,45.46,45.53,45.34,45.34,17416088.0,45.431,20561
15,2025-05-06,45.0,45.34,44.97,45.16,11642467.0,45.173,15877
16,2025-05-07,44.82,44.83,44.52,44.64,18606098.0,44.695,22002
17,2025-05-08,44.79,44.87,44.56,44.61,12979989.0,44.678,18418
18,2025-05-09,45.1,45.16,44.82,44.91,11992096.0,44.946,15421
19,2025-05-12,46.02,46.02,45.71,45.88,22245700.0,45.841,28509
20,2025-05-13,45.57,46.13,45.53,45.96,18597170.0,45.949,22432
21,2025-05-14,46.41,46.46,46.25,46.31,19361292.0,46.345,22485
22,2025-05-15,46.23,46.29,46.03,46.29,16611168.0,46.187,18709
23,2025-05-16,46.2,46.3,46.05,46.26,19850344.0,46.199,22012
24,2025-05-19,45.94,46.37,45.94,46.36,13905379.0,46.229,17780
25,2025-05-20,46.16,46.32,46.12,46.31,18337667.0,46.223,22537
26,2025-05-21,46.49,46.6,46.12,46.19,22522499.0,46.392,23834
27,2025-05-22,45.97,46.15,45.9,46.04,12863889.0,46.047,14403
28,2025-05-23,45.92,46.31,45.87,46.23,18920179.0,46.162,21662
29,2025-05-27,46.07,46.18,45.97,46.12,18849646.0,46.082,19833
30,2025-05-28,46.0,46.02,45.87,45.91,18391445.0,45.945,21100
31,2025-05-29,46.32,46.34,45.93,46.08,18821957.0,46.082,23723
32,2025-05-30,45.66,45.66,45.23,45.52,35741050.0,45.494,38551
33,2025-06-02,45.69,45.87,45.52,45.85,17830590.0,45.702,22069
34,2025-06-03,45.84,46.01,45.74,45.96,17317831.0,45.913,17224
35,2025-06-04,46.4,46.59,46.35,46.53,23732968.0,46.516,24809
36,2025-06-05,46.93,46.98,46.65,46.77,21351965.0,46.819,22797
37,2025-06-06,46.81,46.95,46.71,46.92,13985341.0,46.843,16025
38,2025-06-09,47.17,47.39,47.11,47.32,17146681.0,47.277,20539
39,2025-06-10,47.54,47.63,47.34,47.59,20377992.0,47.5,23355
40,2025-06-11,47.84,47.97,47.73,47.79,20117800.0,47.858,24384
41,2025-06-12,47.73,47.9,47.68,47.87,16276392.0,47.833,21191
42,2025-06-13,47.01,47.3,46.98,47.11,29235939.0,47.114,34121
43,2025-06-16,47.18,47.5,47.17,47.23,22472627.0,47.322,26735
44,2025-06-17,46.91,47.01,46.54,46.61,29149741.0,46.764,31776
45,2025-06-18,46.62,46.79,46.48,46.6,22108246.0,46.64,23027
46,2025-06-20,46.78,46.78,46.28,46.33,25098323.0,46.448,28745
47,2025-06-23,46.25,46.72,46.15,46.71,18179805.0,46.491,19303
48,2025-06-24,47.44,47.94,47.41,47.92,28287553.0,47.748,32725
49,2025-06-25,47.9,47.99,47.82,47.96,20022230.0,47.917,27112
50,2025-06-26,48.17,48.36,48.05,48.28,17651703.0,48.233,23538
51,2025-06-27,48.04,48.25,47.95,48.09,22059907.0,48.127,21786
52,2025-06-30,48.0,48.27,47.9,48.24,27316719.0,48.1,27234
53,2025-07-01,48.35,48.42,48.19,48.33,22436998.0,48.325,26775
54,2025-07-02,48.17,48.54,48.12,48.54,20041674.0,48.358,20967
55,2025-07-03,48.58,48.8,48.58,48.76,16714355.0,48.729,19742
56,2025-07-07,48.28,48.39,47.96,48.07,20222999.0,48.168,27156
57,2025-07-08,48.36,48.42,48.24,48.37,12848090.0,48.337,15783
58,2025-07-09,48.38,48.38,48.15,48.29,11459978.0,48.268,16157
59,2025-07-10,48.38,48.43,48.19,48.42,17199713.0,48.344,18136
60,2025-07-11,48.34,48.39,48.22,48.26,20631564.0,48.286,18514
61,2025-07-14,48.27,48.37,48.2,48.33,14424355.0,48.308,15684
62,2025-07-15,48.84,48.88,48.61,48.68,18875008.0,48.693,20586
63,2025-07-16,48.66,48.92,48.47,48.91,24140571.0,48.675,27645
64,2025-07-17,48.85,49.22,48.79,49.19,18714775.0,49.1,18762
65,2025-07-18,49.33,49.42,49.05,49.08,19017187.0,49.197,22980
66,2025-07-21,49.33,49.6,49.25,49.4,14918390.0,49.459,19154
67,2025-07-22,49.26,49.44,49.05,49.43,19267561.0,49.342,33188
68,2025-07-23,49.73,49.96,49.69,49.93,20367590.0,49.853,25752
69,2025-07-24,49.78,49.85,49.62,49.66,15428270.0,49.719,21492
70,2025-07-25,49.38,49.54,49.31,49.51,12571189.0,49.464,13965
71,2025-07-28,49.29,49.34,49.09,49.18,19771634.0,49.174,21425
72,2025-07-29,49.29,49.35,49.13,49.2,17930121.0,49.226,19468
73,2025-07-30,49.04,49.13,48.74,48.84,35292665.0,48.958,37337
74,2025-07-31,48.73,48.81,48.48,48.56,25473967.0,48.655,28262
75,2025-08-01,48.38,48.38,47.98,48.2,23271668.0,48.135,29675
76,2025-08-04,48.73,48.79,48.56,48.7,25992147.0,48.672,24472
77,2025-08-05,48.96,49.02,48.72,48.84,16701773.0,48.909,17435
78,2025-08-06,48.91,49.1,48.8,49.07,14232448.0,48.952,15364
79,2025-08-07,49.59,49.68,49.35,49.48,19400020.0,49.468,24193
80,2025-08-08,49.33,49.46,49.28,49.44,13122453.0,49.373,15593
81,2025-08-11,49.4,49.46,49.23,49.3,12623111.0,49.337,15593
82,2025-08-12,49.51,49.93,49.46,49.9,16199037.0,49.805,21362
83,2025-08-13,50.46,50.59,50.41,50.5,21806642.0,50.492,27761
84,2025-08-14,49.87,50.01,49.73,49.88,20857623.0,49.853,28474
85,2025-08-15,50.03,50.08,49.88,49.94,16387549.0,49.963,18657
86,2025-08-18,50.16,50.24,50.1,50.23,17663420.0,50.178,19311
87,2025-08-19,50.09,50.1,49.76,49.82,13280917.0,49.897,18268
88,2025-08-20,49.73,49.8,49.45,49.75,16952300.0,49.598,19262
89,2025-08-21,49.58,49.74,49.54,49.64,12244944.0,49.655,15752
90,2025-08-22,49.94,50.63,49.89,50.63,24568744.0,50.468,33759
