,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,42.03,42.38,41.93,41.93,6481352.0,42.158,11288
1,2025-04-14 12:00:00-04:00,41.93,42.32,41.86,42.12,9008274.0,42.102,14195
2,2025-04-15 09:30:00-04:00,42.2,42.34,42.1,42.3,7962520.0,42.228,12591
3,2025-04-15 12:00:00-04:00,42.3,42.35,42.08,42.09,5266531.0,42.175,7638
4,2025-04-16 09:30:00-04:00,41.79,42.03,41.73,41.93,4791344.0,41.869,7704
5,2025-04-16 12:00:00-04:00,41.94,41.97,41.43,41.57,11486486.0,41.634,17790
6,2025-04-17 09:30:00-04:00,42.06,42.2,41.95,42.03,6808804.0,42.073,11879
7,2025-04-17 12:00:00-04:00,42.04,42.23,41.88,41.92,10800973.0,42.042,14212
8,2025-04-21 09:30:00-04:00,42.16,42.22,41.73,41.73,5464877.0,41.99,6090
9,2025-04-21 12:00:00-04:00,41.74,41.94,41.61,41.91,7290717.0,41.777,12026
10,2025-04-22 09:30:00-04:00,42.38,42.68,42.34,42.64,6893984.0,42.497,11077
11,2025-04-22 12:00:00-04:00,42.64,42.83,42.46,42.55,10745669.0,42.597,16354
12,2025-04-23 09:30:00-04:00,43.29,43.52,43.08,43.15,11489232.0,43.347,18435
13,2025-04-23 12:00:00-04:00,43.15,43.2,42.98,43.04,9342971.0,43.097,14599
14,2025-04-24 09:30:00-04:00,43.15,43.41,43.1,43.37,5884700.0,43.311,8451
15,2025-04-24 12:00:00-04:00,43.37,43.58,43.35,43.53,10218483.0,43.523,16347
16,2025-04-25 09:30:00-04:00,43.22,43.33,43.13,43.3,6849945.0,43.25,7731
17,2025-04-25 12:00:00-04:00,43.3,43.45,43.24,43.44,7690446.0,43.383,8436
18,2025-04-28 09:30:00-04:00,43.51,43.59,43.33,43.38,5850952.0,43.473,6690
19,2025-04-28 12:00:00-04:00,43.38,43.55,43.32,43.54,3639636.0,43.448,5865
20,2025-04-29 09:30:00-04:00,43.59,43.72,43.56,43.63,4598924.0,43.641,6137
21,2025-04-29 12:00:00-04:00,43.63,43.76,43.59,43.66,4872515.0,43.681,7321
22,2025-04-30 09:30:00-04:00,43.59,43.62,43.4,43.55,5573017.0,43.526,9281
23,2025-04-30 12:00:00-04:00,43.55,43.83,43.48,43.74,10537004.0,43.686,13322
24,2025-05-01 09:30:00-04:00,43.92,43.96,43.75,43.77,6187843.0,43.871,8618
25,2025-05-01 12:00:00-04:00,43.77,43.96,43.7,43.73,5997118.0,43.826,8782
26,2025-05-02 09:30:00-04:00,45.15,45.17,44.83,44.87,13124076.0,44.974,18832
27,2025-05-02 12:00:00-04:00,44.87,45.06,44.86,44.99,13925626.0,44.999,17054
28,2025-05-05 09:30:00-04:00,45.46,45.53,45.36,45.46,9532152.0,45.444,12176
29,2025-05-05 12:00:00-04:00,45.46,45.48,45.34,45.36,7883936.0,45.415,8385
30,2025-05-06 09:30:00-04:00,45.0,45.29,44.97,45.23,5211892.0,45.134,6500
31,2025-05-06 12:00:00-04:00,45.24,45.34,45.13,45.15,6430575.0,45.206,9377
32,2025-05-07 09:30:00-04:00,44.82,44.83,44.65,44.7,6829537.0,44.742,7672
33,2025-05-07 12:00:00-04:00,44.7,44.8,44.52,44.63,11776561.0,44.668,14330
34,2025-05-08 09:30:00-04:00,44.79,44.87,44.56,44.73,6498743.0,44.684,9009
35,2025-05-08 12:00:00-04:00,44.74,44.81,44.56,44.59,6481246.0,44.672,9409
36,2025-05-09 09:30:00-04:00,45.1,45.16,44.9,44.94,5159578.0,45.006,6758
37,2025-05-09 12:00:00-04:00,44.94,44.95,44.82,44.91,6832518.0,44.901,8663
38,2025-05-12 09:30:00-04:00,46.02,46.02,45.71,45.8,10910515.0,45.821,12611
39,2025-05-12 12:00:00-04:00,45.8,45.91,45.78,45.9,11335185.0,45.859,15898
