,date,open,high,low,close,volume,average,barCount
0,2025-04-14,40.4,40.95,39.96,40.65,6289308.0,40.556,18465
1,2025-04-15,40.7,41.21,40.55,40.83,3545202.0,40.9105,10398
2,2025-04-16,40.75,40.91,39.93,40.23,4215568.0,40.303,14387
3,2025-04-17,40.67,41.03,40.33,40.79,3850682.0,40.703,11504
4,2025-04-21,40.53,40.73,39.83,40.15,3118872.0,40.1045,10519
5,2025-04-22,40.51,40.92,40.27,40.72,2720172.0,40.6365,10147
6,2025-04-23,40.96,41.21,39.9,40.1,4169746.0,40.387,14324
7,2025-04-24,40.17,41.1,40.07,41.05,3530262.0,40.88,10893
8,2025-04-25,40.79,40.99,40.27,40.37,2689302.0,40.4775,9747
9,2025-04-28,40.26,40.45,39.49,40.06,4102980.0,39.9305,13632
10,2025-04-29,39.83,40.32,39.68,40.14,2652894.0,40.0925,7382
11,2025-04-30,39.99,40.62,39.43,40.49,2111534.0,40.182,7476
12,2025-05-01,40.32,40.67,40.07,40.35,3476344.0,40.445,11427
13,2025-05-02,40.68,41.18,40.38,41.06,2545448.0,40.984,8780
14,2025-05-05,40.94,41.54,40.79,41.21,3403294.0,41.3295,12086
15,2025-05-06,40.6,40.9,39.24,39.25,4323922.0,39.633,13459
16,2025-05-07,39.35,39.54,39.05,39.25,2873368.0,39.279,10621
17,2025-05-08,39.54,40.26,39.38,39.65,2099716.0,39.823,6974
18,2025-05-09,39.67,39.96,39.07,39.3,1715398.0,39.289,6255
19,2025-05-12,39.88,40.09,39.11,40.08,4714288.0,39.6745,16240
20,2025-05-13,40.27,40.37,39.98,39.99,2590632.0,40.1705,8907
21,2025-05-14,39.85,40.32,39.42,40.26,2594230.0,40.0465,9198
22,2025-05-15,40.27,40.99,40.1,40.94,2229916.0,40.738,7848
23,2025-05-16,40.9,41.56,40.8,41.52,2094796.0,41.25,5611
24,2025-05-19,41.27,41.72,41.13,41.58,1800850.0,41.4845,6181
25,2025-05-20,41.43,41.58,40.87,40.96,1410054.0,41.141,4707
26,2025-05-21,40.72,41.23,40.58,40.73,1581628.0,40.873,5422
27,2025-05-22,40.86,41.12,40.14,40.72,2485145.0,40.764,12738
