,date,open,high,low,close,volume,average,barCount
0,2025-04-14,2.94,2.98,2.86,2.88,13012153.0,2.90611,13792
1,2025-04-15,2.9,3.05,2.865,2.99,12257604.0,2.97955,12841
2,2025-04-16,2.9,2.95,2.78,2.87,13137288.0,2.8709,12792
3,2025-04-17,2.88,2.99,2.83,2.99,12236837.0,2.90621,14120
4,2025-04-21,2.94,2.965,2.76,2.85,9050455.0,2.8268,10052
5,2025-04-22,2.89,3.02,2.875,3.0,10172116.0,2.96065,11630
6,2025-04-23,3.05,3.105,2.82,2.92,24533735.0,2.9324,37088
7,2025-04-24,2.92,3.03,2.9101,2.99,10126175.0,2.97661,10863
8,2025-04-25,3.0,3.05,2.9501,3.02,9339557.0,3.00465,10569
9,2025-04-28,3.03,3.15,3.02,3.13,13778366.0,3.10327,13025
10,2025-04-29,3.13,3.245,3.08,3.1,16268680.0,3.12641,17721
11,2025-04-30,2.99,3.03,2.91,3.0,11129008.0,2.97961,14052
12,2025-05-01,3.08,3.08,2.9,2.93,13809596.0,2.95894,18709
13,2025-05-02,2.64,2.7088,2.4,2.42,40433358.0,2.51768,46804
14,2025-05-05,2.39,2.52,2.28,2.52,29792884.0,2.41443,28579
15,2025-05-06,2.44,2.62,2.42,2.61,26535701.0,2.55645,25362
16,2025-05-07,2.61,2.7,2.56,2.61,24600241.0,2.62922,21603
17,2025-05-08,2.63,2.73,2.5946,2.7,16639107.0,2.68664,19376
18,2025-05-09,2.73,2.87,2.67,2.69,23389222.0,2.75367,18501
19,2025-05-12,2.85,2.93,2.81,2.84,22442063.0,2.87406,20119
20,2025-05-13,2.88,2.95,2.8,2.94,15515089.0,2.89663,18629
21,2025-05-14,2.97,3.03,2.925,2.96,15954425.0,2.97202,13727
22,2025-05-15,2.95,2.96,2.85,2.95,16751796.0,2.9063,18541
23,2025-05-16,2.97,3.28,2.955,3.21,27921173.0,3.16514,23990
24,2025-05-19,3.13,3.435,3.1101,3.36,23473227.0,3.34495,23718
25,2025-05-20,3.38,3.44,3.3,3.32,16462481.0,3.35478,16581
26,2025-05-21,3.23,3.28,3.08,3.09,13371829.0,3.15472,16853
27,2025-05-22,3.07,3.16,3.02,3.16,14504032.0,3.1028,16243
28,2025-05-23,3.1,3.295,3.09,3.26,10567846.0,3.24208,11027
29,2025-05-27,3.37,3.64,3.35,3.62,20661772.0,3.55793,24386
30,2025-05-28,3.67,3.84,3.67,3.77,19440178.0,3.75506,23281
31,2025-05-29,3.84,3.91,3.61,3.62,19221518.0,3.77332,19049
32,2025-05-30,3.54,3.73,3.5,3.66,15482928.0,3.63897,15964
33,2025-06-02,3.67,3.6981,3.5,3.56,8825340.0,3.58205,9706
34,2025-06-03,3.51,3.6268,3.445,3.5,11204921.0,3.53174,12940
35,2025-06-04,3.51,3.7,3.45,3.59,10973745.0,3.59979,14051
36,2025-06-05,3.59,3.61,3.33,3.36,11258761.0,3.46441,14229
37,2025-06-06,3.42,3.5,3.395,3.41,8786559.0,3.44486,12336
38,2025-06-09,3.46,3.495,3.34,3.34,8981751.0,3.41222,12814
39,2025-06-10,3.38,3.4,3.27,3.28,7458504.0,3.30888,11053
40,2025-06-11,3.3,3.42,3.27,3.37,7762650.0,3.36259,12555
41,2025-06-12,3.33,3.53,3.29,3.41,8691123.0,3.42919,10682
42,2025-06-13,3.29,3.33,3.16,3.17,8268566.0,3.23871,12161
43,2025-06-16,3.23,3.38,3.2,3.26,7669106.0,3.28525,11466
44,2025-06-17,3.21,3.26,3.18,3.19,5473434.0,3.22451,8676
45,2025-06-18,3.2,3.245,3.12,3.16,8316472.0,3.18155,12714
46,2025-06-20,3.19,3.235,3.08,3.12,6909934.0,3.12711,9694
47,2025-06-23,3.09,3.2,2.97,3.18,9600361.0,3.11594,11253
48,2025-06-24,3.24,3.43,3.235,3.42,10649412.0,3.35333,14022
49,2025-06-25,3.48,3.55,3.36,3.38,7983342.0,3.4259,12475
50,2025-06-26,3.41,3.48,3.375,3.45,7630982.0,3.44463,11737
51,2025-06-27,3.47,3.63,3.4301,3.53,9793113.0,3.53985,13756
52,2025-06-30,3.71,3.93,3.6809,3.86,15560059.0,3.83213,21342
53,2025-07-01,3.85,3.89,3.72,3.77,8739701.0,3.80667,12453
54,2025-07-02,3.76,3.83,3.61,3.65,11537193.0,3.69568,17147
55,2025-07-03,3.69,3.74,3.61,3.69,6564904.0,3.6743,11913
56,2025-07-07,3.63,3.7,3.515,3.65,11363482.0,3.60809,19315
57,2025-07-08,3.7,3.76,3.59,3.61,9611507.0,3.65534,14615
58,2025-07-09,3.625,3.68,3.41,3.49,10974337.0,3.48891,16394
59,2025-07-10,3.48,3.5,3.395,3.47,9113558.0,3.43763,14346
60,2025-07-11,3.44,3.475,3.31,3.31,9404278.0,3.37309,12468
61,2025-07-14,3.33,3.46,3.3,3.41,6317389.0,3.40759,9150
62,2025-07-15,3.46,3.47,3.3512,3.4,5839593.0,3.38891,9030
63,2025-07-16,3.41,3.53,3.35,3.52,8940255.0,3.47162,10428
64,2025-07-17,3.53,3.57,3.48,3.5,7433301.0,3.52359,11260
65,2025-07-18,3.51,3.5256,3.33,3.35,9219313.0,3.39439,13605
66,2025-07-21,3.4,3.48,3.31,3.32,9260756.0,3.38375,12211
67,2025-07-22,3.33,3.44,3.275,3.41,7705480.0,3.36912,13483
68,2025-07-23,3.44,3.66,3.36,3.63,15761549.0,3.52405,18652
69,2025-07-24,3.68,3.73,3.56,3.6,14031995.0,3.60746,19411
70,2025-07-25,3.6,3.725,3.53,3.68,15845497.0,3.63997,21606
71,2025-07-28,3.68,3.69,3.51,3.53,11331990.0,3.55873,17147
72,2025-07-29,3.81,4.2,3.5,3.54,50732579.0,3.83875,63773
73,2025-07-30,3.985,4.35,3.86,4.16,54259280.0,4.14702,68656
74,2025-07-31,4.4,4.4,3.93,3.98,25773024.0,4.08194,33308
75,2025-08-01,3.87,3.87,3.67,3.75,18610398.0,3.75845,26891
76,2025-08-04,3.86,4.07,3.82,3.96,15460104.0,3.97143,18997
77,2025-08-05,4.0,4.09,3.86,3.92,13109017.0,3.94717,17322
78,2025-08-06,3.91,3.92,3.73,3.74,11694743.0,3.80105,15375
79,2025-08-07,3.8,3.87,3.62,3.7,15684394.0,3.70941,23335
80,2025-08-08,3.665,3.98,3.51,3.68,27460756.0,3.76386,40601
81,2025-08-11,3.66,3.74,3.5,3.59,16521955.0,3.56534,21816
82,2025-08-12,3.59,3.67,3.56,3.64,10072067.0,3.61854,14782
83,2025-08-13,3.66,3.87,3.62,3.76,16693442.0,3.76697,21301
84,2025-08-14,3.68,3.72,3.57,3.7,11209222.0,3.6381,13931
85,2025-08-15,3.66,3.67,3.58,3.63,9539152.0,3.62111,10230
86,2025-08-18,3.64,3.78,3.59,3.77,11337623.0,3.70106,14400
87,2025-08-19,3.8,3.8,3.47,3.48,14862258.0,3.56584,17893
88,2025-08-20,3.45,3.45,3.25,3.36,13561903.0,3.32529,17317
89,2025-08-21,3.33,3.42,3.31,3.39,8904089.0,3.37133,12891
90,2025-08-22,3.4,3.53,3.37,3.49,9473779.0,3.47032,14537
91,2025-08-25,3.48,3.55,3.46,3.47,7165376.0,3.5119,11438
92,2025-08-26,3.47,3.51,3.41,3.45,6402552.0,3.44841,8761
