,date,open,high,low,close,volume,average,barCount
0,2025-04-14,20.8,22.08,20.37,20.4,1653362.0,21.032,10399
1,2025-04-15,20.59,20.85,20.25,20.63,1068554.0,20.622,7387
2,2025-04-16,18.78,19.9,18.09,19.82,4155277.0,19.345,24659
3,2025-04-17,20.51,21.58,20.5,21.47,2336573.0,21.342,13277
4,2025-04-21,21.61,21.73,20.61,21.21,1478572.0,20.998,8973
5,2025-04-22,22.0,23.1,22.0,22.4,1541259.0,22.486,9639
6,2025-04-23,24.04,24.77,23.24,23.41,1470351.0,23.781,9345
7,2025-04-24,22.82,23.54,22.52,23.07,750509.0,22.97,4382
8,2025-04-25,23.01,23.36,22.7,23.15,263182.0,23.078,1535
9,2025-04-28,22.93,23.69,22.93,23.38,379524.0,23.275,2301
10,2025-04-29,23.73,24.42,23.64,23.84,511892.0,23.938,3103
11,2025-04-30,24.59,26.35,24.5,25.21,1750686.0,25.38,7236
12,2025-05-01,26.5,26.75,25.6,25.76,1062243.0,26.015,6325
13,2025-05-02,27.88,28.68,27.32,28.1,1492632.0,28.071,8666
14,2025-05-05,27.9,28.09,26.93,27.79,728993.0,27.676,4299
15,2025-05-06,27.52,28.24,27.3,28.06,497590.0,27.942,2975
16,2025-05-07,26.49,26.9,25.62,26.19,1010831.0,26.081,5151
17,2025-05-08,26.58,26.58,25.76,26.45,574674.0,26.265,3176
18,2025-05-09,26.32,26.96,25.27,25.45,567242.0,25.67,3418
19,2025-05-12,28.11,29.75,27.58,29.13,1939315.0,28.771,10022
20,2025-05-13,27.87,28.36,27.09,27.34,1280186.0,27.467,6769
21,2025-05-14,28.27,28.4,26.96,27.29,1059013.0,27.34,5883
22,2025-05-15,25.8,26.64,25.61,26.44,751599.0,26.17,3962
23,2025-05-16,26.67,27.47,26.67,27.23,951514.0,27.211,5832
24,2025-05-19,26.53,27.12,26.5,27.08,775481.0,26.946,4408
25,2025-05-20,28.8,29.36,26.6,27.58,2447011.0,27.763,12541
26,2025-05-21,28.41,30.67,28.0,29.65,2489601.0,29.718,12575
27,2025-05-22,28.95,29.2,28.03,28.16,938213.0,28.527,4833
28,2025-05-23,27.98,28.62,27.67,28.5,561863.0,28.306,3351
29,2025-05-27,28.05,28.8,26.98,27.14,1931314.0,27.748,9755
30,2025-05-28,24.84,25.25,24.31,24.77,5856341.0,24.785,28818
31,2025-05-29,25.57,25.58,24.53,25.09,2439039.0,24.888,14656
32,2025-05-30,23.48,23.88,22.53,23.69,2681895.0,23.369,14163
33,2025-06-02,24.35,24.57,24.1,24.38,1257086.0,24.31,6695
34,2025-06-03,24.2,24.2,23.67,24.0,859449.0,23.927,4741
35,2025-06-04,24.3,24.53,24.1,24.48,759592.0,24.38,3732
36,2025-06-05,26.24,26.31,25.16,25.66,1709979.0,25.808,8502
37,2025-06-06,25.11,25.37,24.57,25.28,598924.0,24.986,3191
38,2025-06-09,26.2,26.8,25.94,26.07,1198061.0,26.201,6588
39,2025-06-10,26.2,26.34,25.47,26.18,748794.0,25.907,4442
40,2025-06-11,26.66,27.23,26.63,26.89,1355853.0,26.901,7574
41,2025-06-12,26.61,27.27,26.61,26.72,780916.0,26.961,3559
42,2025-06-13,26.0,26.16,25.46,25.68,633735.0,25.772,3521
43,2025-06-16,27.22,28.35,27.18,28.12,1562477.0,27.772,8420
44,2025-06-17,27.1,27.56,26.76,27.22,612091.0,27.1,3506
45,2025-06-18,27.12,27.4,26.78,27.25,559209.0,27.126,2891
46,2025-06-20,26.84,27.25,26.5,27.05,610283.0,26.936,3446
47,2025-06-23,27.27,27.58,26.75,27.54,376081.0,27.267,2151
48,2025-06-24,28.18,29.31,27.78,28.96,1169617.0,28.849,5487
49,2025-06-25,28.79,28.99,28.56,28.73,542495.0,28.786,2917
50,2025-06-26,29.27,30.24,28.51,29.69,1359684.0,29.515,6214
51,2025-06-27,29.96,30.29,29.44,30.17,1017147.0,29.987,5628
52,2025-06-30,29.92,30.95,29.31,30.57,1357660.0,30.426,7738
53,2025-07-01,30.41,30.62,29.0,29.47,1363085.0,29.57,8456
54,2025-07-02,29.26,30.99,29.0,30.84,1451646.0,30.289,8323
55,2025-07-03,31.22,34.23,30.82,33.98,2630262.0,33.14,13717
56,2025-07-07,32.18,33.14,31.85,32.32,1345816.0,32.354,8078
57,2025-07-08,33.16,33.63,32.12,32.37,755922.0,32.543,4915
58,2025-07-09,32.57,32.86,31.98,32.23,583679.0,32.379,3966
59,2025-07-10,32.92,33.25,31.68,32.51,560187.0,32.307,3313
60,2025-07-11,33.08,34.32,32.98,33.91,1266616.0,33.836,7706
61,2025-07-14,35.05,35.41,34.01,35.0,2364058.0,34.827,12841
62,2025-07-15,39.25,39.68,37.39,37.72,5497315.0,38.277,26451
63,2025-07-16,38.45,38.62,37.32,38.12,1673298.0,37.774,8231
64,2025-07-17,37.6,38.83,37.56,37.95,1026845.0,38.107,6541
65,2025-07-18,37.69,38.0,36.94,37.58,978013.0,37.434,6914
66,2025-07-21,37.03,37.04,35.55,35.74,1605855.0,36.043,7624
67,2025-07-22,35.18,35.52,34.1,35.05,1225245.0,35.028,7587
68,2025-07-23,36.37,37.13,36.02,36.72,1605488.0,36.6,6520
69,2025-07-24,36.4,36.94,35.87,36.02,540967.0,36.276,2798
70,2025-07-25,36.28,37.29,35.84,36.78,1215351.0,36.689,5725
71,2025-07-28,36.83,37.1,36.26,36.52,436697.0,36.553,2491
72,2025-07-29,38.13,38.49,36.1,36.35,1136732.0,36.839,7360
73,2025-07-30,36.03,36.71,34.97,35.27,1111227.0,35.51,6112
74,2025-07-31,36.06,37.11,35.98,36.07,1731389.0,36.438,8799
75,2025-08-01,34.68,34.75,33.33,34.12,1587466.0,34.059,9381
76,2025-08-04,34.87,35.38,34.61,34.93,534118.0,34.97,3504
77,2025-08-05,35.25,36.3,35.13,35.55,611540.0,35.628,4087
78,2025-08-06,35.7,36.0,35.09,35.67,370483.0,35.485,2613
79,2025-08-07,36.4,37.44,36.24,37.27,1562292.0,36.864,9454
80,2025-08-08,36.35,36.64,35.71,36.37,502573.0,36.182,2973
81,2025-08-11,37.74,39.0,36.34,36.87,1833819.0,37.245,9976
82,2025-08-12,36.85,36.87,34.4,36.31,1494347.0,35.742,8593
83,2025-08-13,36.22,36.3,33.06,33.92,3625498.0,34.045,20337
84,2025-08-14,33.12,33.34,31.76,31.84,1339964.0,32.285,7815
85,2025-08-15,32.1,32.8,31.37,31.41,1960287.0,31.741,10207
86,2025-08-18,32.43,33.33,32.09,32.23,2245294.0,32.391,14100
87,2025-08-19,33.09,33.5,30.53,31.59,2462670.0,31.762,15233
88,2025-08-20,33.0,34.28,30.78,33.9,2230540.0,32.939,10867
89,2025-08-21,32.4,32.89,31.61,32.0,1705493.0,32.168,8817
90,2025-08-22,32.04,34.59,31.73,33.51,2323012.0,33.646,13658
91,2025-08-25,33.3,33.47,32.77,33.21,733733.0,33.127,4396
92,2025-08-26,33.75,35.24,33.64,33.8,1321243.0,34.306,7017
93,2025-08-27,33.45,33.95,33.25,33.67,564410.0,33.575,3579
94,2025-08-28,33.56,35.64,33.43,35.08,1805465.0,35.135,9781
95,2025-08-29,36.03,36.06,34.05,34.56,2671954.0,35.138,14875
96,2025-09-02,32.84,33.46,32.34,32.98,1444740.0,32.815,8149
97,2025-09-03,32.81,34.25,32.67,34.16,755941.0,33.72,4642
98,2025-09-04,33.05,33.15,32.3,32.76,1183137.0,32.661,5599
99,2025-09-05,33.24,33.66,32.14,33.17,1118787.0,32.905,5520
100,2025-09-08,33.28,33.65,32.65,33.51,677028.0,33.128,3666
101,2025-09-09,33.1,35.01,33.09,34.26,1383302.0,34.233,7633
102,2025-09-10,33.32,34.3,32.96,33.5,4089953.0,33.635,22518
103,2025-09-11,34.4,38.77,34.26,38.5,6367291.0,37.062,29715
104,2025-09-12,38.48,38.51,37.07,38.21,3039240.0,37.843,16187
105,2025-09-15,37.7,37.88,36.19,37.2,2857281.0,36.781,12028
106,2025-09-16,36.72,37.33,35.89,37.32,1330846.0,36.796,7960
107,2025-09-17,38.5,40.64,38.05,40.14,3874565.0,39.342,20268
108,2025-09-18,39.05,39.4,38.42,39.0,1515480.0,38.955,7523
109,2025-09-19,39.3,39.91,38.65,38.96,801176.0,39.039,4975
110,2025-09-22,39.74,41.64,39.01,39.76,2298098.0,39.903,11446
111,2025-09-23,39.36,39.48,37.46,37.63,2158960.0,38.051,11284
112,2025-09-24,40.15,43.94,40.15,40.67,6517041.0,41.837,30673
113,2025-09-25,40.93,43.22,39.98,42.07,3128573.0,41.568,14609
114,2025-09-26,41.2,41.2,39.12,40.08,2157495.0,39.897,12456
115,2025-09-29,41.84,42.59,39.53,39.97,1638924.0,40.307,10391
116,2025-09-30,40.94,41.5,38.54,38.7,2205075.0,39.607,12081
117,2025-10-01,39.28,40.61,38.63,40.23,1515523.0,39.765,9239
118,2025-10-02,42.43,43.88,40.64,41.35,3294221.0,42.074,16459
119,2025-10-03,40.95,41.27,39.09,39.63,2013429.0,39.896,11145
