,date,open,high,low,close,volume,average,barCount
0,2025-04-14,60.53,62.33,60.1,62.19,3719483.0,61.8,20661
1,2025-04-15,62.84,63.34,62.44,62.97,2467405.0,62.769,14267
2,2025-04-16,65.38,66.18,64.4,65.14,5564616.0,65.205,30092
3,2025-04-17,64.72,64.85,63.15,64.12,3778714.0,64.035,20604
4,2025-04-21,66.24,66.8,64.04,65.11,4913115.0,65.184,24311
5,2025-04-22,65.35,65.4,62.44,62.63,6134257.0,63.693,35677
6,2025-04-23,60.75,61.82,60.05,60.87,7570278.0,61.035,40188
7,2025-04-24,62.25,62.45,61.16,62.26,2481240.0,61.926,12648
8,2025-04-25,60.25,61.11,60.13,61.04,2847449.0,60.785,16792
9,2025-04-28,60.77,61.59,60.13,61.57,2406128.0,60.866,13046
10,2025-04-29,60.96,61.65,60.59,60.65,1927302.0,60.881,11307
11,2025-04-30,60.05,61.42,60.05,61.4,2349865.0,60.942,12195
12,2025-05-01,59.77,59.82,58.56,58.73,6045288.0,58.938,32620
13,2025-05-02,59.93,60.21,58.38,58.71,3061990.0,58.865,14595
14,2025-05-05,61.08,61.19,60.07,61.07,3929799.0,60.728,20793
15,2025-05-06,62.84,64.77,62.4,64.64,5725078.0,63.533,31265
16,2025-05-07,63.01,63.71,62.41,62.87,3444117.0,63.127,20119
17,2025-05-08,63.26,63.56,61.83,61.92,4450068.0,62.424,21882
18,2025-05-09,62.92,64.48,62.44,64.33,3525625.0,63.796,18528
19,2025-05-12,61.38,61.38,58.91,59.12,7461947.0,59.623,44624
20,2025-05-13,59.3,59.72,58.69,59.31,3598432.0,59.328,18102
21,2025-05-14,57.98,58.26,57.4,57.88,6257415.0,57.708,28042
22,2025-05-15,58.59,59.24,57.84,59.21,3585489.0,58.731,19722
23,2025-05-16,57.65,58.71,57.46,58.71,3344855.0,58.162,19643
24,2025-05-19,59.73,60.27,59.26,60.24,3225951.0,59.948,18029
25,2025-05-20,60.25,62.37,60.09,62.27,4941758.0,61.729,25246
26,2025-05-21,62.38,63.51,62.38,63.18,3169209.0,63.161,17518
27,2025-05-22,63.12,63.43,62.27,62.82,3083868.0,62.95,16620
28,2025-05-23,64.34,65.01,63.57,64.67,4317005.0,64.502,25592
29,2025-05-27,63.3,64.44,63.19,63.72,3693508.0,63.927,19725
30,2025-05-28,63.96,64.67,63.86,64.65,2501364.0,64.304,14541
31,2025-05-29,65.14,65.48,64.19,64.58,2801596.0,64.821,14707
32,2025-05-30,64.02,65.34,63.88,65.32,3023164.0,64.662,19486
33,2025-06-02,66.68,69.76,66.65,69.44,7484045.0,69.1,44251
34,2025-06-03,68.35,68.73,67.66,68.7,3515283.0,68.18,22842
