,date,open,high,low,close,volume,average,barCount
0,2025-04-14,333.33,334.25,317.5,322.3,1314278.0,324.535,8963
1,2025-04-15,323.37,331.13,323.07,328.56,903748.0,328.322,6348
2,2025-04-16,318.57,332.31,316.0,328.16,2629651.0,324.141,16846
3,2025-04-17,335.26,339.99,321.78,323.55,1895872.0,328.156,11465
4,2025-04-21,320.0,324.93,306.21,313.08,1404934.0,312.553,9281
5,2025-04-22,319.05,331.22,317.6,326.07,2043817.0,325.515,13709
6,2025-04-23,354.04,358.88,333.19,336.09,3538737.0,343.878,24665
7,2025-04-24,342.49,366.66,337.31,360.49,2931570.0,356.903,19001
8,2025-04-25,359.81,376.15,356.94,372.42,2483975.0,369.512,15611
9,2025-04-28,371.0,379.97,361.63,370.06,1574710.0,368.718,10525
10,2025-04-29,369.62,372.09,363.22,371.19,993059.0,369.337,6411
11,2025-04-30,359.98,371.51,357.64,370.82,1153965.0,365.519,7622
12,2025-05-01,383.34,387.52,378.47,382.29,1601783.0,384.284,10304
13,2025-05-02,391.0,403.42,385.55,396.32,2063453.0,396.872,13003
14,2025-05-05,392.0,403.8,390.21,401.1,1149907.0,400.423,7946
15,2025-05-06,394.57,402.64,392.12,401.23,1324464.0,398.471,8216
16,2025-05-07,400.0,407.29,397.01,406.81,1252796.0,402.021,8211
17,2025-05-08,410.0,413.75,393.86,394.0,1551125.0,400.771,9656
18,2025-05-09,396.25,399.78,387.03,399.26,1245147.0,394.673,8437
19,2025-05-12,415.0,418.8,408.82,416.63,1557700.0,414.61,10011
20,2025-05-13,420.05,444.0,420.0,433.33,2762472.0,436.353,19629
21,2025-05-14,438.92,440.34,431.82,432.84,1392191.0,434.348,9102
22,2025-05-15,430.17,432.79,425.39,426.97,1782910.0,429.364,11015
23,2025-05-16,431.0,431.47,423.1,428.06,1360003.0,427.078,9446
24,2025-05-19,423.57,447.45,421.63,446.6,1582313.0,439.59,10018
25,2025-05-20,443.78,451.37,442.55,450.04,1440508.0,447.724,9577
26,2025-05-21,447.0,463.0,446.5,453.03,1912974.0,456.27,11716
27,2025-05-22,453.0,464.7,448.45,458.82,1437005.0,459.99,9079
28,2025-05-23,460.25,469.82,458.79,464.39,1714983.0,464.972,10433
29,2025-05-27,471.64,476.01,466.0,471.51,1330234.0,471.196,8872
30,2025-05-28,468.54,487.4,467.5,485.01,1630809.0,480.652,10548
31,2025-05-29,487.25,489.13,462.0,471.17,2382980.0,470.946,15327
32,2025-05-30,470.0,473.79,463.34,472.98,2179493.0,470.209,13600
33,2025-06-02,475.0,486.28,472.49,485.16,1291603.0,481.11,8352
34,2025-06-03,494.0,500.72,485.0,492.97,1606364.0,493.177,10035
35,2025-06-04,493.73,499.43,486.51,488.13,1028622.0,490.288,6599
36,2025-06-05,491.07,493.87,479.53,484.31,1281013.0,486.973,7934
37,2025-06-06,488.0,488.95,478.0,485.0,994713.0,485.588,6117
38,2025-06-09,492.0,492.31,479.8,480.0,1104574.0,483.691,7311
39,2025-06-10,482.36,482.69,458.64,465.31,1936416.0,465.513,12685
40,2025-06-11,469.52,484.33,464.0,483.47,1568047.0,478.597,9879
41,2025-06-12,478.81,489.71,478.1,487.67,1253994.0,486.158,8888
42,2025-06-13,477.68,484.63,474.21,478.45,1221635.0,479.111,8066
43,2025-06-16,480.0,492.53,480.0,487.88,1031258.0,488.17,6688
44,2025-06-17,486.77,494.02,481.6,488.66,918884.0,487.433,6140
45,2025-06-18,486.79,491.13,482.01,490.19,843177.0,488.438,5615
46,2025-06-20,493.53,496.01,480.55,486.96,1273069.0,486.652,7238
47,2025-06-23,486.66,500.04,479.03,499.88,1286972.0,491.377,7784
48,2025-06-24,505.96,512.82,496.73,510.84,1185392.0,506.331,7635
49,2025-06-25,516.0,522.97,502.25,502.67,1224733.0,509.716,7347
50,2025-06-26,505.0,508.91,498.81,506.81,1061473.0,505.999,6515
51,2025-06-27,507.0,532.59,503.0,519.66,2170089.0,521.916,13964
52,2025-06-30,524.27,531.37,516.59,529.15,862725.0,526.964,5902
53,2025-07-01,525.16,528.0,482.2,506.0,3646419.0,498.446,23978
54,2025-07-02,502.58,511.52,497.3,505.07,1731899.0,503.309,12066
55,2025-07-03,511.74,519.71,506.02,517.04,858414.0,515.128,5847
56,2025-07-07,520.0,531.19,514.08,530.28,1030139.0,525.8,6277
57,2025-07-08,535.0,537.22,511.5,530.0,1648681.0,524.833,11159
58,2025-07-09,535.56,545.63,530.0,535.77,1037352.0,538.289,6694
59,2025-07-10,539.04,542.37,520.0,539.36,1329082.0,535.221,8863
60,2025-07-11,538.0,546.65,534.67,539.16,693826.0,540.552,4708
61,2025-07-14,541.45,555.86,540.0,555.04,1039155.0,550.805,6570
62,2025-07-15,556.81,560.63,545.49,559.61,1353690.0,556.473,9419
63,2025-07-16,559.62,566.52,552.0,561.17,967102.0,559.888,6331
64,2025-07-17,568.65,581.27,566.22,570.17,1279831.0,573.872,8157
65,2025-07-18,570.61,579.03,567.0,574.6,1041857.0,573.896,5853
66,2025-07-21,576.14,577.63,564.66,565.91,1048936.0,571.682,6612
67,2025-07-22,558.51,558.51,537.15,548.99,2066368.0,549.455,12670
68,2025-07-23,595.75,633.72,585.0,629.03,3873643.0,620.873,24592
69,2025-07-24,632.27,633.07,615.3,623.97,1800320.0,625.532,11831
70,2025-07-25,630.0,651.22,626.0,644.59,1701823.0,643.688,10052
71,2025-07-28,638.26,648.52,631.16,647.66,1493008.0,642.156,8596
72,2025-07-29,646.99,655.65,629.99,632.67,1296854.0,638.866,8116
73,2025-07-30,639.95,656.17,635.17,655.0,1286824.0,649.878,8356
74,2025-07-31,660.0,677.29,656.07,660.29,1567964.0,666.304,10793
75,2025-08-01,638.18,664.26,632.46,656.5,1470570.0,650.023,9784
76,2025-08-04,660.2,674.97,653.95,662.77,926675.0,665.632,5458
77,2025-08-05,661.24,665.11,643.96,649.72,1021474.0,652.753,6591
78,2025-08-06,646.63,666.29,644.0,664.55,699442.0,657.721,4436
79,2025-08-07,665.77,669.39,638.52,645.86,891675.0,651.191,5714
80,2025-08-08,655.23,656.25,639.17,649.09,690449.0,647.492,4624
81,2025-08-11,641.0,653.42,637.37,650.76,717713.0,648.585,5021
82,2025-08-12,652.74,662.84,651.0,657.44,500623.0,656.799,3279
83,2025-08-13,662.32,666.15,614.23,634.31,2072536.0,630.876,12899
84,2025-08-14,627.0,640.28,620.28,625.27,1211709.0,627.756,8194
85,2025-08-15,624.03,624.03,607.86,621.91,1174828.0,618.408,7143
86,2025-08-18,621.38,628.55,614.23,625.02,741861.0,620.709,4563
87,2025-08-19,620.55,620.98,595.19,603.13,1556298.0,605.372,9593
88,2025-08-20,592.61,607.77,581.23,604.59,1833418.0,595.081,12148
89,2025-08-21,607.02,620.0,605.31,606.0,1268902.0,612.308,7741
90,2025-08-22,607.97,623.98,602.5,607.07,1457035.0,613.219,8893
91,2025-08-25,608.83,614.48,597.03,602.31,1059871.0,605.426,6702
92,2025-08-26,603.85,628.58,603.04,625.91,977956.0,618.654,6063
93,2025-08-27,625.22,629.94,618.0,622.39,714749.0,624.644,4553
94,2025-08-28,626.78,646.95,626.78,633.69,1024319.0,637.93,6537
95,2025-08-29,631.86,635.0,609.34,612.97,1015520.0,616.215,6425
96,2025-09-02,590.55,594.0,567.86,579.68,2900701.0,579.309,18769
97,2025-09-03,586.29,586.29,565.43,577.04,1837367.0,574.557,11852
98,2025-09-04,580.81,600.37,580.06,598.81,1603938.0,593.038,10077
99,2025-09-05,599.96,604.5,565.5,582.08,1789605.0,577.767,10748
100,2025-09-08,594.41,606.0,584.94,600.23,1073892.0,598.207,7137
101,2025-09-09,606.35,607.69,594.77,605.7,757453.0,602.484,4538
102,2025-09-10,625.0,645.19,623.0,643.56,1779243.0,639.038,10927
103,2025-09-11,648.75,653.5,620.1,634.15,1920141.0,634.328,12174
104,2025-09-12,632.12,646.88,624.15,625.55,818285.0,634.212,5213
105,2025-09-15,630.15,639.89,624.1,628.68,809596.0,629.478,4696
106,2025-09-16,629.5,633.52,608.73,617.91,1155795.0,618.646,7078
107,2025-09-17,616.4,619.12,601.12,614.79,866436.0,610.46,5792
108,2025-09-18,622.96,627.1,611.0,611.0,1074467.0,618.764,6921
109,2025-09-19,611.69,625.66,596.5,624.17,1333913.0,613.197,7523
110,2025-09-22,620.11,648.5,620.11,644.37,1053196.0,637.447,6790
