,date,open,high,low,close,volume,average,barCount
0,2025-04-14,44.72,45.84,44.25,45.16,904542.0,45.167,6458
1,2025-04-15,45.24,46.78,44.66,44.85,1293437.0,45.532,6453
2,2025-04-16,44.47,45.41,43.96,45.18,833038.0,44.777,4705
3,2025-04-17,44.79,45.11,43.94,44.97,975742.0,44.63,7146
4,2025-04-21,44.31,44.97,41.85,42.61,1288664.0,42.677,7621
5,2025-04-22,43.45,45.14,43.31,43.8,944359.0,44.25,6515
6,2025-04-23,45.73,47.71,45.42,45.64,1442219.0,46.507,9640
7,2025-04-24,46.3,47.6,44.5,47.41,1025958.0,46.942,5979
8,2025-04-25,46.85,48.35,46.39,48.3,851598.0,47.711,6152
9,2025-04-28,48.77,49.86,47.36,47.99,1048381.0,48.029,7267
10,2025-04-29,47.89,50.24,47.47,49.53,1413408.0,49.055,9277
11,2025-04-30,47.73,48.41,46.76,47.23,2043509.0,47.404,13645
12,2025-05-01,52.65,52.92,47.09,48.87,2759278.0,49.079,18737
13,2025-05-02,50.18,51.39,45.52,46.85,3193849.0,47.22,18293
14,2025-05-05,45.8,46.18,43.21,44.05,2199740.0,44.316,13059
15,2025-05-06,43.3,44.09,41.86,41.93,2523105.0,42.745,15922
16,2025-05-07,42.01,42.01,38.86,39.74,2157136.0,39.879,14160
17,2025-05-08,40.18,42.43,39.85,41.68,2204777.0,41.21,15277
18,2025-05-09,42.03,43.12,41.1,41.72,1595012.0,41.899,8990
19,2025-05-12,42.47,43.46,41.05,41.66,1277713.0,41.722,7748
20,2025-05-13,41.8,42.4,40.57,41.36,831213.0,41.39,5503
21,2025-05-14,41.41,42.32,40.4,40.72,704351.0,41.002,4328
22,2025-05-15,40.65,40.65,39.28,40.46,854781.0,40.062,5624
23,2025-05-16,40.71,41.06,40.13,40.67,763885.0,40.742,5125
24,2025-05-19,40.04,40.64,39.9,40.24,560578.0,40.127,3432
25,2025-05-20,40.26,40.34,39.39,39.97,791912.0,39.839,5145
26,2025-05-21,39.3,39.78,37.01,37.09,1242424.0,37.988,8583
27,2025-05-22,36.75,37.7,36.71,37.05,799807.0,37.315,5326
28,2025-05-23,36.58,38.2,36.36,38.0,736513.0,37.854,5083
29,2025-05-27,38.89,39.63,38.46,39.17,1029972.0,38.913,6997
30,2025-05-28,39.19,39.34,37.73,38.19,941137.0,38.259,6349
31,2025-05-29,38.65,38.88,38.03,38.55,444956.0,38.39,3246
32,2025-05-30,38.31,41.15,38.07,40.62,1209078.0,40.485,7673
33,2025-06-02,41.66,42.52,39.69,42.1,1600537.0,41.521,10904
34,2025-06-03,42.32,46.75,42.29,45.79,2641868.0,45.485,17503
35,2025-06-04,45.57,48.05,45.43,47.76,1631235.0,47.241,10687
36,2025-06-05,47.84,50.03,46.39,48.41,2369417.0,48.816,13333
