,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,44.72,45.77,44.25,44.72,371172.0,45.091,2353
1,2025-04-14 12:00:00-04:00,44.66,45.84,44.41,45.19,533370.0,45.219,4105
2,2025-04-15 09:30:00-04:00,45.24,46.78,45.07,45.37,444175.0,46.177,2437
3,2025-04-15 12:00:00-04:00,45.43,45.72,44.66,44.85,849262.0,45.195,4016
4,2025-04-16 09:30:00-04:00,44.47,45.11,43.96,44.91,135541.0,44.6,814
5,2025-04-16 12:00:00-04:00,44.95,45.41,44.28,45.18,697497.0,44.812,3891
6,2025-04-17 09:30:00-04:00,44.79,45.05,44.0,44.07,254761.0,44.442,1542
7,2025-04-17 12:00:00-04:00,44.09,45.11,43.94,44.97,720981.0,44.696,5604
8,2025-04-21 09:30:00-04:00,44.31,44.97,42.04,42.41,506470.0,43.163,2768
9,2025-04-21 12:00:00-04:00,42.41,43.08,41.85,42.61,782194.0,42.362,4853
10,2025-04-22 09:30:00-04:00,43.45,44.97,43.31,44.68,355127.0,44.475,2465
11,2025-04-22 12:00:00-04:00,44.73,45.14,43.55,43.75,589232.0,44.114,4050
12,2025-04-23 09:30:00-04:00,45.73,47.71,45.59,46.22,656289.0,46.852,3935
13,2025-04-23 12:00:00-04:00,46.22,47.02,45.42,45.62,785930.0,46.219,5705
14,2025-04-24 09:30:00-04:00,46.3,47.6,44.5,47.13,575566.0,46.834,2893
15,2025-04-24 12:00:00-04:00,47.08,47.48,46.48,47.35,450392.0,47.079,3086
16,2025-04-25 09:30:00-04:00,46.85,48.13,46.39,47.18,316328.0,47.275,2047
17,2025-04-25 12:00:00-04:00,47.21,48.35,47.21,48.27,535270.0,47.968,4105
18,2025-04-28 09:30:00-04:00,48.77,49.86,47.64,47.84,317025.0,48.604,2253
19,2025-04-28 12:00:00-04:00,47.78,48.06,47.36,47.97,731356.0,47.779,5014
20,2025-04-29 09:30:00-04:00,47.89,48.34,47.47,48.34,394274.0,47.919,2285
21,2025-04-29 12:00:00-04:00,48.28,50.24,48.15,49.6,1019134.0,49.494,6992
22,2025-04-30 09:30:00-04:00,47.73,48.41,46.78,47.71,745749.0,47.638,4773
23,2025-04-30 12:00:00-04:00,47.68,47.93,46.76,47.17,1297760.0,47.27,8872
24,2025-05-01 09:30:00-04:00,52.65,52.92,47.09,48.84,1610875.0,49.201,10229
25,2025-05-01 12:00:00-04:00,48.84,49.9,47.66,48.9,1148403.0,48.907,8508
26,2025-05-02 09:30:00-04:00,50.18,51.39,45.52,47.23,1642729.0,47.254,8604
27,2025-05-02 12:00:00-04:00,47.27,47.83,46.78,46.85,1551120.0,47.185,9689
28,2025-05-05 09:30:00-04:00,45.8,46.18,43.21,44.81,1022666.0,44.314,5299
29,2025-05-05 12:00:00-04:00,44.8,45.13,43.72,44.03,1177074.0,44.318,7760
30,2025-05-06 09:30:00-04:00,43.3,44.09,42.49,43.43,703893.0,43.396,4022
31,2025-05-06 12:00:00-04:00,43.48,44.03,41.86,41.91,1819212.0,42.493,11900
32,2025-05-07 09:30:00-04:00,42.01,42.01,39.63,40.19,699347.0,40.567,3731
33,2025-05-07 12:00:00-04:00,40.21,40.25,38.86,39.73,1457789.0,39.549,10429
34,2025-05-08 09:30:00-04:00,40.18,41.12,39.85,41.11,742353.0,40.311,4534
35,2025-05-08 12:00:00-04:00,41.08,42.43,40.8,41.68,1462424.0,41.667,10743
36,2025-05-09 09:30:00-04:00,42.03,43.12,41.1,41.8,818779.0,42.11,3861
37,2025-05-09 12:00:00-04:00,41.84,42.02,41.42,41.76,776233.0,41.676,5129
38,2025-05-12 09:30:00-04:00,42.47,43.46,41.16,41.84,404160.0,42.216,2355
39,2025-05-12 12:00:00-04:00,41.84,42.02,41.05,41.66,873553.0,41.494,5393
40,2025-05-13 09:30:00-04:00,41.8,42.4,40.57,41.23,348556.0,41.207,2102
41,2025-05-13 12:00:00-04:00,41.23,42.02,41.07,41.35,482657.0,41.521,3401
42,2025-05-14 09:30:00-04:00,41.41,42.32,40.93,41.2,242819.0,41.501,1532
43,2025-05-14 12:00:00-04:00,41.18,41.42,40.4,40.71,461532.0,40.74,2796
44,2025-05-15 09:30:00-04:00,40.65,40.65,39.28,40.14,343163.0,39.757,1972
45,2025-05-15 12:00:00-04:00,40.18,40.51,39.94,40.46,511618.0,40.267,3652
46,2025-05-16 09:30:00-04:00,40.71,40.98,40.13,40.85,273019.0,40.636,1741
47,2025-05-16 12:00:00-04:00,40.83,41.06,40.56,40.66,490866.0,40.8,3384
48,2025-05-19 09:30:00-04:00,40.04,40.64,39.9,40.01,256548.0,40.153,1428
49,2025-05-19 12:00:00-04:00,40.01,40.24,39.97,40.24,304030.0,40.105,2004
50,2025-05-20 09:30:00-04:00,40.26,40.26,39.39,39.43,252593.0,39.631,1458
51,2025-05-20 12:00:00-04:00,39.45,40.34,39.41,39.96,539319.0,39.936,3687
52,2025-05-21 09:30:00-04:00,39.3,39.78,37.97,38.48,532362.0,38.608,3554
53,2025-05-21 12:00:00-04:00,38.48,38.54,37.01,37.09,710062.0,37.523,5029
54,2025-05-22 09:30:00-04:00,36.75,37.58,36.71,37.53,343728.0,37.291,1796
55,2025-05-22 12:00:00-04:00,37.54,37.7,37.03,37.05,456079.0,37.333,3530
56,2025-05-23 09:30:00-04:00,36.58,38.0,36.36,37.98,250039.0,37.533,1751
57,2025-05-23 12:00:00-04:00,37.99,38.2,37.73,38.0,486474.0,38.018,3332
58,2025-05-27 09:30:00-04:00,38.89,39.63,38.51,38.7,379474.0,39.074,2473
59,2025-05-27 12:00:00-04:00,38.7,39.22,38.46,39.22,650498.0,38.818,4524
60,2025-05-28 09:30:00-04:00,39.19,39.34,38.14,38.16,342013.0,38.474,2055
61,2025-05-28 12:00:00-04:00,38.19,38.41,37.73,38.17,599124.0,38.137,4294
62,2025-05-29 09:30:00-04:00,38.65,38.88,38.03,38.1,184229.0,38.387,1262
63,2025-05-29 12:00:00-04:00,38.05,38.65,38.04,38.55,260727.0,38.393,1984
64,2025-05-30 09:30:00-04:00,38.31,41.05,38.07,40.73,311768.0,39.975,2080
65,2025-05-30 12:00:00-04:00,40.73,41.15,39.96,40.63,897310.0,40.662,5593
66,2025-06-02 09:30:00-04:00,41.66,41.99,39.69,41.81,710177.0,40.85,4865
67,2025-06-02 12:00:00-04:00,41.8,42.52,41.59,42.07,890360.0,42.056,6039
68,2025-06-03 09:30:00-04:00,42.32,45.99,42.29,45.75,1030897.0,44.742,6400
69,2025-06-03 12:00:00-04:00,45.79,46.75,45.29,45.75,1610971.0,45.96,11103
70,2025-06-04 09:30:00-04:00,45.57,48.05,45.43,46.53,777515.0,47.094,4446
71,2025-06-04 12:00:00-04:00,46.53,47.93,46.24,47.75,853720.0,47.375,6241
72,2025-06-05 09:30:00-04:00,47.84,50.03,46.39,49.66,1140916.0,48.842,5349
73,2025-06-05 12:00:00-04:00,49.66,50.0,47.52,48.42,1228501.0,48.792,7984
74,2025-06-06 09:30:00-04:00,48.99,50.25,47.43,48.02,561100.0,48.957,2973
75,2025-06-06 12:00:00-04:00,48.0,48.15,47.45,48.06,647742.0,47.881,3829
76,2025-06-09 09:30:00-04:00,48.44,50.1,47.16,49.85,383644.0,48.927,1937
77,2025-06-09 12:00:00-04:00,49.89,50.54,49.08,49.54,1043489.0,49.838,6247
78,2025-06-10 09:30:00-04:00,49.53,50.06,48.56,49.84,309378.0,49.395,2245
79,2025-06-10 12:00:00-04:00,49.89,50.53,49.63,50.09,536196.0,50.171,3903
80,2025-06-11 09:30:00-04:00,50.17,50.18,48.77,48.88,303530.0,49.279,2048
81,2025-06-11 12:00:00-04:00,48.88,49.26,48.14,49.02,541467.0,48.795,4169
82,2025-06-12 09:30:00-04:00,48.84,49.19,48.12,48.87,206933.0,48.696,1506
83,2025-06-12 12:00:00-04:00,48.85,49.07,48.57,49.02,371444.0,48.882,3157
84,2025-06-13 09:30:00-04:00,47.22,50.14,46.84,50.07,396017.0,48.939,2196
85,2025-06-13 12:00:00-04:00,50.04,50.39,48.84,49.29,622481.0,49.402,4419
