,date,open,high,low,close,volume,average,barCount
0,2025-04-14,160.0,161.72,157.56,159.07,17339651.0,159.715,105292
1,2025-04-15,159.12,159.65,155.21,156.31,15612971.0,156.929,91800
2,2025-04-16,153.1,155.89,151.51,153.33,13878707.0,153.583,88036
3,2025-04-17,154.29,154.68,148.5,151.16,18513265.0,151.425,106018
4,2025-04-21,148.88,148.95,146.1,147.67,12857787.0,147.236,75128
5,2025-04-22,148.89,152.19,148.54,151.47,13470870.0,150.455,79763
6,2025-04-23,155.61,157.53,153.81,155.35,16777898.0,155.787,102329
7,2025-04-24,156.12,159.59,155.79,159.28,19658061.0,158.231,115328
8,2025-04-25,165.07,166.1,161.04,161.96,35716556.0,163.029,185265
9,2025-04-28,162.43,163.15,158.6,160.61,18943777.0,160.32,102063
10,2025-04-29,160.27,160.74,157.52,160.16,16702332.0,159.598,91975
11,2025-04-30,157.93,159.27,155.4,158.8,16295723.0,157.257,94824
12,2025-05-01,160.48,161.95,158.91,161.3,16423406.0,160.872,100069
13,2025-05-02,163.36,164.97,161.87,164.03,14078946.0,163.797,81800
14,2025-05-05,163.0,165.39,162.71,164.21,10176032.0,164.647,59154
15,2025-05-06,162.17,164.8,161.19,163.23,8520797.0,163.31,53342
16,2025-05-07,164.08,165.0,147.84,151.38,90163076.0,152.406,453011
17,2025-05-08,154.73,155.93,152.9,154.28,34483551.0,154.377,178935
18,2025-05-09,154.19,155.05,152.2,152.75,20092035.0,153.193,105103
19,2025-05-12,157.51,159.1,156.25,158.46,26532616.0,157.761,142370
20,2025-05-13,158.77,160.57,156.16,159.53,26503533.0,159.061,141903
21,2025-05-14,159.96,167.0,159.61,165.37,29158170.0,164.126,164954
22,2025-05-15,165.84,166.21,162.37,163.96,18653675.0,164.399,113339
23,2025-05-16,167.7,169.35,165.62,166.19,23433638.0,167.167,141661
24,2025-05-19,164.59,166.64,164.22,166.54,18359160.0,165.38,106025
25,2025-05-20,166.52,168.5,162.9,163.98,31185156.0,165.507,179015
26,2025-05-21,163.72,173.14,163.56,168.56,50409757.0,169.977,293177
27,2025-05-22,171.8,176.77,170.71,170.87,49398920.0,173.574,288091
28,2025-05-23,169.06,169.96,167.89,168.47,20994646.0,169.09,125902
29,2025-05-27,170.16,173.13,170.0,172.9,22618472.0,172.122,133264
30,2025-05-28,173.06,175.27,171.91,172.36,16476182.0,173.131,98274
31,2025-05-29,174.0,174.42,170.63,171.86,15262954.0,172.07,94051
32,2025-05-30,171.32,172.21,167.44,171.74,21815270.0,170.155,127601
33,2025-06-02,167.85,169.87,167.39,169.03,17662674.0,168.819,103490
34,2025-06-03,167.49,168.48,165.28,166.18,24614911.0,166.91,134363
35,2025-06-04,166.74,168.22,166.36,168.05,15626566.0,167.332,87861
36,2025-06-05,170.38,170.93,167.59,168.21,20686164.0,169.395,117558
37,2025-06-06,170.83,174.5,170.83,173.68,21945515.0,173.011,125742
38,2025-06-09,174.54,176.47,174.37,176.09,16582710.0,175.685,96435
39,2025-06-10,176.23,181.11,174.91,178.6,37768093.0,178.759,207565
40,2025-06-11,179.85,180.37,176.75,177.35,15382845.0,178.259,93863
41,2025-06-12,176.18,176.72,174.74,175.7,12275471.0,175.891,73423
42,2025-06-13,172.47,177.13,172.38,174.67,15268456.0,175.223,95341
43,2025-06-16,174.73,176.94,174.65,176.77,13540889.0,175.755,84818
44,2025-06-17,175.7,177.37,174.58,175.95,15442748.0,176.221,89911
45,2025-06-18,176.02,176.56,173.2,173.32,15203502.0,175.123,96610
46,2025-06-20,173.87,174.34,165.46,166.64,35663450.0,169.529,190609
47,2025-06-23,166.27,167.34,162.0,165.19,33930864.0,164.367,188140
48,2025-06-24,166.98,168.22,166.13,166.77,24341370.0,167.237,131479
49,2025-06-25,167.64,172.36,167.55,170.68,21198540.0,170.438,123304
50,2025-06-26,172.43,173.69,169.94,173.54,18266068.0,172.239,108623
51,2025-06-27,173.54,178.68,171.73,178.53,40739352.0,175.192,229354
52,2025-06-30,180.7,181.23,174.58,176.23,35365348.0,177.212,215492
53,2025-07-01,175.74,176.09,173.53,175.84,18711589.0,175.032,120010
54,2025-07-02,175.54,178.86,175.07,178.64,16709712.0,177.549,98884
55,2025-07-03,178.73,179.67,177.05,179.53,13184586.0,178.672,76425
56,2025-07-07,179.06,179.3,175.68,176.79,17847720.0,177.037,108957
57,2025-07-08,177.85,177.95,172.81,174.36,23179825.0,174.617,138643
58,2025-07-09,175.25,179.44,172.77,176.62,28491483.0,176.668,159573
59,2025-07-10,175.6,178.43,174.38,177.62,17387608.0,176.547,103673
60,2025-07-11,176.73,181.43,176.48,180.19,20290912.0,179.429,113817
61,2025-07-14,180.93,183.67,179.68,181.56,19514949.0,181.159,116869
62,2025-07-15,182.81,184.22,181.6,182.0,19783868.0,183.042,118056
63,2025-07-16,183.32,184.33,182.03,182.97,20743077.0,183.385,122132
64,2025-07-17,182.15,184.06,180.48,183.58,19007244.0,182.525,115196
