,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,162.31,164.03,160.77,160.99,4827245.0,162.732,27817
1,2025-04-14 12:00:00-04:00,161.0,162.79,159.92,161.49,4600660.0,161.453,30923
2,2025-04-15 09:30:00-04:00,161.42,162.05,158.9,159.43,4041556.0,160.266,23419
3,2025-04-15 12:00:00-04:00,159.45,159.71,157.64,158.65,4652030.0,158.484,28701
4,2025-04-16 09:30:00-04:00,155.46,158.18,155.02,156.95,3696967.0,156.369,22102
5,2025-04-16 12:00:00-04:00,156.96,157.66,153.91,155.55,4926980.0,155.612,32819
6,2025-04-17 09:30:00-04:00,156.61,157.07,150.9,152.88,6608552.0,154.125,34239
7,2025-04-17 12:00:00-04:00,152.9,154.34,152.79,153.31,4531616.0,153.535,29560
8,2025-04-21 09:30:00-04:00,150.97,151.06,148.49,148.7,3500905.0,149.793,18980
9,2025-04-21 12:00:00-04:00,148.69,150.2,148.4,149.91,3770497.0,149.166,21692
10,2025-04-22 09:30:00-04:00,151.15,153.4,150.87,153.27,3269301.0,152.197,19003
11,2025-04-22 12:00:00-04:00,153.29,154.61,152.07,153.86,4433169.0,153.367,28521
12,2025-04-23 09:30:00-04:00,157.93,160.02,156.35,157.22,4760311.0,158.725,28909
13,2025-04-23 12:00:00-04:00,157.25,158.44,156.38,157.64,4044571.0,157.624,24923
14,2025-04-24 09:30:00-04:00,158.53,160.72,158.09,160.24,4707893.0,159.576,26384
15,2025-04-24 12:00:00-04:00,160.26,161.71,160.02,161.24,8530930.0,160.881,45418
16,2025-04-25 09:30:00-04:00,167.03,168.24,163.65,164.19,12870568.0,165.631,60451
17,2025-04-25 12:00:00-04:00,164.17,165.15,163.0,163.79,9772707.0,164.053,48909
18,2025-04-28 09:30:00-04:00,164.26,164.95,161.08,161.26,6513005.0,162.717,32570
19,2025-04-28 12:00:00-04:00,161.24,162.73,160.38,162.37,5641616.0,161.372,32800
20,2025-04-29 09:30:00-04:00,162.1,162.38,159.39,161.37,5234045.0,161.145,28789
21,2025-04-29 12:00:00-04:00,161.42,162.68,161.05,162.04,4246058.0,162.032,25824
22,2025-04-30 09:30:00-04:00,159.82,159.86,157.15,159.24,4814539.0,158.736,28863
23,2025-04-30 12:00:00-04:00,159.23,161.38,158.38,160.86,5417188.0,159.75,34635
24,2025-05-01 09:30:00-04:00,162.53,163.94,160.93,162.63,5520783.0,162.571,30999
25,2025-05-01 12:00:00-04:00,162.67,163.71,162.11,162.76,6015172.0,162.974,38021
26,2025-05-02 09:30:00-04:00,164.92,166.45,163.66,165.56,4793834.0,165.253,26311
27,2025-05-02 12:00:00-04:00,165.55,166.7,165.34,165.79,4819278.0,165.959,28516
28,2025-05-05 09:30:00-04:00,164.65,166.95,164.47,166.43,3736249.0,166.181,21387
29,2025-05-05 12:00:00-04:00,166.44,167.1,165.9,166.14,3395024.0,166.626,20331
30,2025-05-06 09:30:00-04:00,163.96,166.05,163.13,165.78,2905870.0,164.95,17325
31,2025-05-06 12:00:00-04:00,165.78,166.74,165.13,165.18,2987737.0,165.633,18762
32,2025-05-07 09:30:00-04:00,165.96,166.99,152.89,152.93,18291621.0,157.661,106756
33,2025-05-07 12:00:00-04:00,152.92,153.6,149.49,152.78,36277179.0,151.598,180638
34,2025-05-08 09:30:00-04:00,155.92,156.77,154.1,156.16,13836294.0,155.295,68652
35,2025-05-08 12:00:00-04:00,156.17,157.41,155.46,155.77,10115990.0,156.533,55790
36,2025-05-09 09:30:00-04:00,155.55,156.43,153.83,154.98,7749627.0,155.182,38077
37,2025-05-09 12:00:00-04:00,154.97,154.99,153.9,154.35,7112228.0,154.274,37258
38,2025-05-12 09:30:00-04:00,158.99,159.84,157.97,158.0,8338234.0,158.876,42321
39,2025-05-12 12:00:00-04:00,158.0,160.44,157.88,159.62,10629474.0,159.563,60721
40,2025-05-13 09:30:00-04:00,159.92,161.76,157.58,161.67,8296404.0,160.003,45569
41,2025-05-13 12:00:00-04:00,161.67,162.06,160.63,160.81,6014185.0,161.209,34939
42,2025-05-14 09:30:00-04:00,161.27,167.22,160.93,167.07,9369927.0,164.224,51531
43,2025-05-14 12:00:00-04:00,167.08,168.34,165.83,166.82,8498154.0,166.838,48280
44,2025-05-15 09:30:00-04:00,167.14,167.51,165.4,166.89,5884566.0,166.345,33509
45,2025-05-15 12:00:00-04:00,166.9,167.1,163.84,165.4,6220479.0,165.402,38332
46,2025-05-16 09:30:00-04:00,169.0,170.65,166.95,167.53,11248070.0,168.696,67801
47,2025-05-16 12:00:00-04:00,167.53,168.17,166.96,167.38,8127786.0,167.614,44420
48,2025-05-19 09:30:00-04:00,165.63,167.23,165.41,166.55,6179872.0,166.314,38748
49,2025-05-19 12:00:00-04:00,166.55,167.95,165.96,167.86,4626349.0,167.037,28313
50,2025-05-20 09:30:00-04:00,167.76,168.71,166.65,168.14,5568951.0,167.74,34943
51,2025-05-20 12:00:00-04:00,168.14,169.68,164.26,165.33,12473032.0,166.446,73442
52,2025-05-21 09:30:00-04:00,164.95,174.53,164.88,173.56,16984016.0,171.294,96817
53,2025-05-21 12:00:00-04:00,173.54,174.0,169.84,170.05,12557322.0,171.473,73263
54,2025-05-22 09:30:00-04:00,173.35,178.13,172.12,174.39,16800997.0,175.556,100698
55,2025-05-22 12:00:00-04:00,174.4,174.93,171.88,172.0,9967586.0,173.481,61208
56,2025-05-23 09:30:00-04:00,170.29,171.16,169.26,170.48,5901641.0,170.363,36336
57,2025-05-23 12:00:00-04:00,170.49,171.21,169.39,169.58,6911784.0,170.258,42789
58,2025-05-27 09:30:00-04:00,171.3,174.21,171.21,172.86,7203879.0,172.895,44807
59,2025-05-27 12:00:00-04:00,172.87,174.29,172.67,173.96,6360344.0,173.71,40754
60,2025-05-28 09:30:00-04:00,174.13,176.48,173.8,174.11,6172904.0,174.676,38301
61,2025-05-28 12:00:00-04:00,174.1,174.53,173.01,173.4,4980977.0,173.817,31379
62,2025-05-29 09:30:00-04:00,174.99,175.4,171.87,172.03,5239377.0,173.64,31162
63,2025-05-29 12:00:00-04:00,172.03,173.38,171.78,172.96,5476947.0,172.639,35311
64,2025-05-30 09:30:00-04:00,172.41,172.75,170.56,171.43,4660391.0,171.637,28588
65,2025-05-30 12:00:00-04:00,171.43,173.44,168.52,172.77,9424476.0,171.308,61085
66,2025-06-02 09:30:00-04:00,169.01,171.07,168.65,170.33,6383713.0,169.862,37442
67,2025-06-02 12:00:00-04:00,170.32,170.76,169.56,170.31,5088221.0,170.252,28573
68,2025-06-03 09:30:00-04:00,168.87,169.57,166.68,168.7,7893571.0,168.033,42709
69,2025-06-03 12:00:00-04:00,168.7,169.8,167.6,167.74,5907050.0,168.584,35700
70,2025-06-04 09:30:00-04:00,168.25,169.58,167.82,168.08,4923337.0,168.553,28628
71,2025-06-04 12:00:00-04:00,168.07,169.57,167.79,169.41,4362452.0,168.867,26508
72,2025-06-05 09:30:00-04:00,171.62,172.36,169.79,171.23,5941948.0,171.177,34101
73,2025-06-05 12:00:00-04:00,171.21,171.9,169.35,169.88,5822582.0,170.75,35954
74,2025-06-06 09:30:00-04:00,172.3,175.43,172.3,174.42,6824360.0,173.943,40980
75,2025-06-06 12:00:00-04:00,174.42,175.83,173.6,174.92,6475692.0,174.91,41334
76,2025-06-09 09:30:00-04:00,175.75,177.67,175.66,177.13,4918422.0,176.685,28271
77,2025-06-09 12:00:00-04:00,177.14,177.92,176.83,177.62,5457812.0,177.466,33933
78,2025-06-10 09:30:00-04:00,177.77,182.45,177.35,181.14,10931804.0,180.535,69303
79,2025-06-10 12:00:00-04:00,181.14,181.82,176.47,179.99,8697351.0,179.852,55719
80,2025-06-11 09:30:00-04:00,181.11,181.75,179.52,179.6,5208562.0,180.35,29883
81,2025-06-11 12:00:00-04:00,179.6,179.79,178.0,178.81,5667275.0,178.916,31904
82,2025-06-12 09:30:00-04:00,177.31,178.13,176.11,177.49,4519507.0,177.132,28434
83,2025-06-12 12:00:00-04:00,177.5,178.12,176.53,176.97,4652323.0,177.314,28596
84,2025-06-13 09:30:00-04:00,173.58,178.0,173.57,177.9,4703624.0,175.818,25815
85,2025-06-13 12:00:00-04:00,177.89,178.35,175.62,175.89,6059251.0,176.826,38934
86,2025-06-16 09:30:00-04:00,176.0,177.74,175.82,176.62,4490260.0,176.805,27011
87,2025-06-16 12:00:00-04:00,176.61,178.25,176.3,177.97,3916044.0,177.385,25392
88,2025-06-17 09:30:00-04:00,177.07,178.56,175.94,178.33,3730752.0,177.366,23380
89,2025-06-17 12:00:00-04:00,178.35,178.72,177.08,177.21,3286149.0,177.781,22465
90,2025-06-18 09:30:00-04:00,177.29,177.83,176.26,176.39,3660169.0,176.966,21332
91,2025-06-18 12:00:00-04:00,176.37,177.5,173.92,173.98,9089797.0,175.636,56438
92,2025-06-20 09:30:00-04:00,174.87,175.37,169.17,169.37,11441355.0,172.697,53298
93,2025-06-20 12:00:00-04:00,169.37,170.52,166.27,167.72,16063260.0,168.648,91814
94,2025-06-23 09:30:00-04:00,167.38,168.48,164.95,165.58,7336913.0,166.609,42339
95,2025-06-23 12:00:00-04:00,165.59,166.15,163.33,166.01,12911418.0,164.784,77855
96,2025-06-24 09:30:00-04:00,167.75,169.11,166.91,168.75,7344808.0,168.031,44593
97,2025-06-24 12:00:00-04:00,168.75,169.25,167.56,167.71,6800963.0,168.418,37178
98,2025-06-25 09:30:00-04:00,168.65,173.36,168.56,173.02,7767493.0,171.502,44310
99,2025-06-25 12:00:00-04:00,173.02,173.04,170.71,171.5,5514994.0,171.581,32836
100,2025-06-26 09:30:00-04:00,173.39,173.91,170.86,173.61,7354905.0,172.468,44270
101,2025-06-26 12:00:00-04:00,173.59,174.65,173.17,174.42,7688321.0,174.029,47438
102,2025-06-27 09:30:00-04:00,174.63,176.02,174.47,174.7,6450826.0,175.06,37890
103,2025-06-27 12:00:00-04:00,174.7,178.84,172.71,178.37,17466202.0,175.575,110286
104,2025-06-30 09:30:00-04:00,180.78,181.58,176.31,177.0,12373363.0,178.424,74457
105,2025-06-30 12:00:00-04:00,177.0,178.71,175.5,177.34,11362193.0,177.47,73916
106,2025-07-01 09:30:00-04:00,176.82,177.22,174.66,176.03,7255895.0,175.987,45898
107,2025-07-01 12:00:00-04:00,176.04,177.0,175.15,176.89,6492041.0,176.278,42938
108,2025-07-02 09:30:00-04:00,176.55,179.1,176.09,179.08,5072421.0,177.601,31563
109,2025-07-02 12:00:00-04:00,179.09,179.94,178.67,179.76,6039732.0,179.383,39206
110,2025-07-03 09:30:00-04:00,179.82,180.65,178.19,179.83,5955891.0,179.595,35340
111,2025-07-03 12:00:00-04:00,179.83,180.77,179.66,180.53,1722183.0,180.265,9781
112,2025-07-07 09:30:00-04:00,180.14,180.34,177.55,178.14,6801138.0,178.755,38577
113,2025-07-07 12:00:00-04:00,178.15,178.49,176.64,177.59,6458934.0,177.362,38419
114,2025-07-08 09:30:00-04:00,178.75,178.8,173.92,175.19,8414440.0,176.166,51007
115,2025-07-08 12:00:00-04:00,175.2,175.78,174.44,175.16,6686241.0,174.977,42799
116,2025-07-09 09:30:00-04:00,176.12,180.28,175.65,178.39,9926115.0,178.194,60542
117,2025-07-09 12:00:00-04:00,178.39,178.73,173.88,177.67,9714004.0,177.083,61343
118,2025-07-10 09:30:00-04:00,176.73,177.75,175.74,177.62,6220741.0,176.653,39989
119,2025-07-10 12:00:00-04:00,177.63,179.59,177.44,178.69,7347629.0,178.64,47170
120,2025-07-11 09:30:00-04:00,177.79,181.99,177.54,181.18,7552585.0,179.466,46715
121,2025-07-11 12:00:00-04:00,181.18,182.61,180.56,181.26,7028563.0,181.528,43611
122,2025-07-14 09:30:00-04:00,182.04,184.73,180.71,181.76,6962133.0,181.988,47341
123,2025-07-14 12:00:00-04:00,181.75,183.16,181.57,182.79,5287802.0,182.534,32236
124,2025-07-15 09:30:00-04:00,183.9,185.2,182.77,184.62,6123363.0,183.999,38781
125,2025-07-15 12:00:00-04:00,184.61,185.41,182.77,183.05,7867554.0,184.276,47814
126,2025-07-16 09:30:00-04:00,184.32,185.34,183.08,184.19,6314111.0,184.374,40061
127,2025-07-16 12:00:00-04:00,184.18,185.21,183.68,183.77,5432026.0,184.359,36509
128,2025-07-17 09:30:00-04:00,183.12,183.93,181.5,183.7,6271340.0,182.815,40068
129,2025-07-17 12:00:00-04:00,183.67,185.19,183.36,184.73,6573020.0,184.531,41450
130,2025-07-18 09:30:00-04:00,186.62,187.36,184.73,186.37,7288779.0,186.067,40006
131,2025-07-18 12:00:00-04:00,186.37,186.4,185.44,185.94,5344782.0,185.961,37090
132,2025-07-21 09:30:00-04:00,187.11,190.85,187.05,189.49,8338153.0,189.754,49466
133,2025-07-21 12:00:00-04:00,189.48,191.26,189.07,191.15,6586783.0,190.613,39230
134,2025-07-22 09:30:00-04:00,192.42,192.53,188.49,190.58,7453807.0,190.332,43242
135,2025-07-22 12:00:00-04:00,190.59,193.36,190.09,192.12,7725659.0,191.805,46253
136,2025-07-23 09:30:00-04:00,192.42,193.36,190.18,191.08,6563666.0,191.076,36833
137,2025-07-23 12:00:00-04:00,191.09,192.1,190.29,191.7,8366654.0,191.336,46230
138,2025-07-24 09:30:00-04:00,198.06,198.97,191.95,194.39,19635432.0,194.827,104306
139,2025-07-24 12:00:00-04:00,194.39,195.2,192.67,193.18,11022731.0,193.862,62012
140,2025-07-25 09:30:00-04:00,192.92,195.28,192.13,194.36,11331692.0,194.068,61232
141,2025-07-25 12:00:00-04:00,194.37,194.87,193.7,194.08,9245264.0,194.169,52248
142,2025-07-28 09:30:00-04:00,194.41,194.82,191.91,192.28,9431989.0,193.058,50927
143,2025-07-28 12:00:00-04:00,192.27,193.52,191.85,193.42,7954141.0,192.876,48712
144,2025-07-29 09:30:00-04:00,193.3,195.33,192.99,195.1,8575534.0,194.121,43870
145,2025-07-29 12:00:00-04:00,195.09,196.66,194.96,196.44,8808307.0,196.0,55439
146,2025-07-30 09:30:00-04:00,196.4,198.09,195.56,198.06,5567284.0,196.892,31389
147,2025-07-30 12:00:00-04:00,198.06,198.48,196.18,197.49,6398832.0,197.447,39184
148,2025-07-31 09:30:00-04:00,196.59,196.82,192.29,194.29,9083543.0,194.1,57171
149,2025-07-31 12:00:00-04:00,194.28,194.99,192.08,192.89,6903635.0,193.295,41165
150,2025-08-01 09:30:00-04:00,189.78,191.62,188.7,189.92,7041252.0,189.997,36536
151,2025-08-01 12:00:00-04:00,189.9,190.35,188.83,189.95,5295398.0,189.759,32760
152,2025-08-04 09:30:00-04:00,191.23,195.42,190.92,194.93,6077728.0,193.894,35766
153,2025-08-04 12:00:00-04:00,194.93,196.08,194.59,195.75,6617865.0,195.303,39672
154,2025-08-05 09:30:00-04:00,195.58,198.7,195.54,196.36,6112308.0,197.093,33785
155,2025-08-05 12:00:00-04:00,196.36,196.65,194.67,195.32,4769367.0,195.634,29872
156,2025-08-06 09:30:00-04:00,195.3,196.92,194.46,196.77,4511445.0,195.587,25328
157,2025-08-06 12:00:00-04:00,196.76,197.36,196.26,196.93,4320986.0,196.894,26940
158,2025-08-07 09:30:00-04:00,197.72,198.37,196.3,197.49,4206126.0,197.355,24102
159,2025-08-07 12:00:00-04:00,197.49,197.72,195.22,197.34,4383546.0,196.54,26068
160,2025-08-08 09:30:00-04:00,197.96,203.43,197.9,201.87,9283278.0,201.439,53740
161,2025-08-08 12:00:00-04:00,201.86,202.52,201.21,202.17,5940482.0,201.824,37227
162,2025-08-11 09:30:00-04:00,201.64,202.05,199.8,201.79,4517855.0,200.978,24777
163,2025-08-11 12:00:00-04:00,201.78,202.16,201.04,201.54,4751777.0,201.634,29761
164,2025-08-12 09:30:00-04:00,202.09,205.13,201.4,203.96,6230237.0,203.195,40384
165,2025-08-12 12:00:00-04:00,203.94,204.99,203.11,204.15,5159126.0,204.438,33646
166,2025-08-13 09:30:00-04:00,204.99,205.43,203.18,203.83,5208300.0,204.377,32238
167,2025-08-13 12:00:00-04:00,203.82,204.06,198.64,202.98,7132839.0,202.337,51454
168,2025-08-14 09:30:00-04:00,202.56,205.42,202.32,205.17,4797872.0,203.834,30002
169,2025-08-14 12:00:00-04:00,205.15,205.23,203.73,203.78,4312124.0,204.419,28817
170,2025-08-15 09:30:00-04:00,204.76,207.33,203.9,205.37,6289305.0,205.853,31575
171,2025-08-15 12:00:00-04:00,205.33,207.29,202.08,204.93,6557354.0,205.703,44593
172,2025-08-18 09:30:00-04:00,205.18,206.14,203.83,204.07,3257212.0,204.979,18096
173,2025-08-18 12:00:00-04:00,204.06,204.59,203.41,204.29,4054540.0,203.977,25545
174,2025-08-19 09:30:00-04:00,203.91,204.29,201.0,201.56,4033301.0,202.193,22820
175,2025-08-19 12:00:00-04:00,201.55,202.54,200.93,202.54,3487078.0,201.971,23508
176,2025-08-20 09:30:00-04:00,201.72,202.17,197.46,199.51,4937484.0,199.295,29020
177,2025-08-20 12:00:00-04:00,199.53,201.42,199.41,200.17,3243954.0,200.563,21578
178,2025-08-21 09:30:00-04:00,200.72,203.36,200.4,200.65,4077039.0,201.714,22072
179,2025-08-21 12:00:00-04:00,200.66,201.19,200.44,200.62,2454716.0,200.773,15791
180,2025-08-22 09:30:00-04:00,203.98,205.99,202.13,205.48,6599237.0,204.324,35362
181,2025-08-22 12:00:00-04:00,205.49,209.23,204.45,206.75,9608841.0,207.182,55424
182,2025-08-25 09:30:00-04:00,207.05,210.28,205.95,210.25,7162512.0,208.761,37603
183,2025-08-25 12:00:00-04:00,210.25,211.09,209.12,209.16,6204169.0,209.99,38379
184,2025-08-26 09:30:00-04:00,208.38,208.42,206.45,207.61,4810512.0,207.317,28765
185,2025-08-26 12:00:00-04:00,207.6,208.46,206.56,207.96,4647797.0,207.689,31391
186,2025-08-27 09:30:00-04:00,206.41,209.57,206.39,208.72,4700324.0,208.433,26790
187,2025-08-27 12:00:00-04:00,208.72,208.79,207.38,208.18,3253262.0,208.145,19905
188,2025-08-28 09:30:00-04:00,207.84,212.58,207.6,211.9,5726140.0,210.857,32301
189,2025-08-28 12:00:00-04:00,211.88,212.9,211.72,212.38,3980194.0,212.532,24236
190,2025-08-29 09:30:00-04:00,211.27,213.09,210.97,212.25,4061720.0,212.344,21799
191,2025-08-29 12:00:00-04:00,212.25,215.34,212.12,213.66,6948750.0,213.747,41208
192,2025-09-02 09:30:00-04:00,208.99,210.66,206.96,207.54,6168756.0,208.982,35060
193,2025-09-02 12:00:00-04:00,207.55,212.37,207.55,211.92,5278102.0,210.608,31050
194,2025-09-03 09:30:00-04:00,226.4,231.31,225.12,229.17,27119398.0,228.701,147290
195,2025-09-03 12:00:00-04:00,229.16,231.8,228.05,231.1,16943037.0,230.349,103052
196,2025-09-04 09:30:00-04:00,230.06,231.03,226.76,228.49,9362164.0,228.489,54252
197,2025-09-04 12:00:00-04:00,228.52,232.77,228.28,232.68,7734543.0,230.798,46813
198,2025-09-05 09:30:00-04:00,232.66,236.13,232.38,234.51,8016445.0,234.077,44137
199,2025-09-05 12:00:00-04:00,234.52,235.7,233.14,235.17,6802483.0,234.498,45680
200,2025-09-08 09:30:00-04:00,236.01,238.4,235.13,236.4,6410192.0,236.515,36494
201,2025-09-08 12:00:00-04:00,236.38,236.4,233.73,234.16,6749052.0,234.572,46041
202,2025-09-09 09:30:00-04:00,234.19,237.29,233.38,236.61,5423639.0,235.936,32769
203,2025-09-09 12:00:00-04:00,236.63,240.59,236.58,239.98,8070144.0,239.042,48610
204,2025-09-10 09:30:00-04:00,239.26,241.6,238.11,241.23,5958078.0,240.12,33684
205,2025-09-10 12:00:00-04:00,241.23,242.08,238.93,239.55,5103805.0,240.4,31171
206,2025-09-11 09:30:00-04:00,240.13,240.75,236.58,239.59,4854791.0,238.723,30351
207,2025-09-11 12:00:00-04:00,239.59,242.57,239.53,240.72,5815571.0,241.095,37341
208,2025-09-12 09:30:00-04:00,240.6,241.19,239.04,241.05,3753151.0,240.094,22040
209,2025-09-12 12:00:00-04:00,241.06,242.43,240.71,241.28,3514531.0,241.562,22677
210,2025-09-15 09:30:00-04:00,245.05,252.75,244.98,249.54,9729220.0,249.585,55471
211,2025-09-15 12:00:00-04:00,249.52,252.15,248.66,251.85,7247816.0,250.34,47411
212,2025-09-16 09:30:00-04:00,252.34,253.23,249.71,250.93,7122050.0,251.256,42505
213,2025-09-16 12:00:00-04:00,250.92,252.59,250.86,251.41,5247018.0,251.982,33121
214,2025-09-17 09:30:00-04:00,251.46,251.95,247.88,248.48,4688522.0,250.013,28759
215,2025-09-17 12:00:00-04:00,248.52,250.76,246.58,249.85,6840847.0,248.933,42172
216,2025-09-18 09:30:00-04:00,251.78,254.14,250.11,250.22,5607544.0,252.089,32779
217,2025-09-18 12:00:00-04:00,250.21,252.6,250.21,252.36,5018740.0,251.572,29854
218,2025-09-19 09:30:00-04:00,253.42,254.43,252.06,253.42,7598279.0,253.397,27470
219,2025-09-19 12:00:00-04:00,253.39,256.7,253.38,255.13,6236046.0,255.181,40257
220,2025-09-22 09:30:00-04:00,254.78,256.31,250.81,253.39,4485424.0,254.173,27169
221,2025-09-22 12:00:00-04:00,253.42,253.58,251.35,252.89,5827143.0,252.347,37070
222,2025-09-23 09:30:00-04:00,253.66,254.77,251.46,254.05,4069779.0,252.852,26141
223,2025-09-23 12:00:00-04:00,254.07,254.25,251.09,252.33,4614440.0,252.304,30279
224,2025-09-24 09:30:00-04:00,252.15,252.96,248.72,248.73,4378631.0,250.32,26030
225,2025-09-24 12:00:00-04:00,248.75,249.58,247.33,247.77,4037706.0,248.358,27206
226,2025-09-25 09:30:00-04:00,244.92,247.32,241.65,246.74,5634334.0,244.59,37526
227,2025-09-25 12:00:00-04:00,246.73,247.19,244.6,246.58,3698785.0,246.13,23378
228,2025-09-26 09:30:00-04:00,247.79,250.12,246.7,246.75,4400875.0,247.888,27870
229,2025-09-26 12:00:00-04:00,246.75,248.67,246.64,247.18,3621213.0,247.575,24973
230,2025-09-29 09:30:00-04:00,248.28,251.65,247.71,248.56,4488132.0,249.349,27299
231,2025-09-29 12:00:00-04:00,248.58,248.86,243.2,244.34,7228294.0,245.388,48144
232,2025-09-30 09:30:00-04:00,243.06,243.49,239.57,241.87,5539203.0,241.2,31939
233,2025-09-30 12:00:00-04:00,241.89,243.68,241.22,243.54,3999635.0,242.377,26768
234,2025-10-01 09:30:00-04:00,241.18,243.39,239.2,243.1,5452403.0,241.33,31589
235,2025-10-01 12:00:00-04:00,243.14,247.15,243.14,245.54,7368012.0,245.486,48481
236,2025-10-02 09:30:00-04:00,245.64,247.64,243.1,245.18,4930980.0,245.424,28146
237,2025-10-02 12:00:00-04:00,245.17,246.44,243.75,246.44,4959886.0,245.149,29577
238,2025-10-03 09:30:00-04:00,245.23,246.25,242.47,245.63,5120118.0,244.111,28953
239,2025-10-03 12:00:00-04:00,245.64,247.12,244.63,246.45,5549056.0,245.994,34323
