,date,open,high,low,close,volume,average,barCount
0,2025-04-14,128.45,129.08,126.26,127.46,924843.0,127.765,6719
1,2025-04-15,123.6,126.57,123.05,124.47,2207233.0,124.602,15953
2,2025-04-16,123.9,126.3,122.24,123.93,1525508.0,124.343,11640
3,2025-04-17,123.58,125.14,122.96,123.23,1296084.0,124.01,9511
4,2025-04-21,122.49,122.99,118.09,119.47,1124351.0,119.474,7884
5,2025-04-22,121.29,125.02,121.07,124.3,1063638.0,123.592,7924
6,2025-04-23,129.19,132.31,127.5,129.7,1630731.0,130.676,11347
7,2025-04-24,129.28,134.34,129.28,133.49,1193012.0,133.084,8891
8,2025-04-25,134.3,136.46,133.74,135.76,788455.0,135.406,5827
9,2025-04-28,138.27,139.61,135.06,136.35,1747910.0,136.899,10626
10,2025-04-29,136.0,138.41,135.75,137.5,1246878.0,137.599,8117
11,2025-04-30,135.1,138.97,134.81,138.58,1261383.0,137.701,8501
12,2025-05-01,146.46,150.48,144.71,148.03,2585119.0,148.782,17595
13,2025-05-02,150.21,154.73,150.21,154.07,2025264.0,153.386,14306
14,2025-05-05,153.07,155.59,152.82,154.34,1013267.0,154.542,6883
15,2025-05-06,151.32,156.8,150.62,155.8,1340387.0,155.584,8346
16,2025-05-07,155.63,157.43,154.31,157.12,1642182.0,156.178,10413
17,2025-05-08,158.69,159.04,157.05,157.5,1344735.0,157.808,7951
18,2025-05-09,157.9,158.98,154.72,157.41,1244908.0,156.71,6705
19,2025-05-12,160.62,161.58,155.61,156.96,3106454.0,157.181,19960
20,2025-05-13,156.03,160.14,155.22,158.3,1840291.0,158.747,12367
21,2025-05-14,158.79,160.83,158.12,159.46,1740064.0,159.51,10382
22,2025-05-15,159.0,161.72,159.0,161.29,2792544.0,160.831,11462
23,2025-05-16,161.13,162.91,160.59,162.8,874707.0,161.868,5303
24,2025-05-19,162.5,166.38,160.4,166.24,1149412.0,165.282,7649
25,2025-05-20,165.74,166.5,164.08,165.1,993758.0,165.086,6628
26,2025-05-21,164.34,165.7,162.16,162.76,952730.0,163.697,6787
27,2025-05-22,162.56,164.35,161.53,163.01,1193043.0,163.159,7479
28,2025-05-23,161.58,166.03,160.01,165.09,1095912.0,164.904,6794
29,2025-05-27,167.27,169.81,167.14,169.69,1464818.0,168.84,9805
30,2025-05-28,169.75,171.52,169.35,170.32,1303416.0,170.581,9155
31,2025-05-29,170.11,171.3,168.29,170.09,1878255.0,169.926,12044
32,2025-05-30,169.54,170.79,167.89,169.89,1580151.0,169.695,10624
33,2025-06-02,170.24,172.76,169.92,172.65,1062327.0,171.566,7164
34,2025-06-03,172.56,174.66,170.17,172.61,1488552.0,172.24,10658
35,2025-06-04,173.3,175.26,172.76,173.94,1098015.0,174.323,7734
36,2025-06-05,174.98,175.44,173.18,175.01,1158357.0,174.618,7873
37,2025-06-06,175.84,177.25,174.6,175.37,931749.0,175.59,5476
38,2025-06-09,176.57,176.87,172.79,172.87,1268305.0,174.59,7904
39,2025-06-10,171.5,173.41,166.86,168.62,3023618.0,168.521,17491
40,2025-06-11,169.07,172.1,165.51,170.74,1699175.0,170.206,12741
41,2025-06-12,168.68,172.02,168.5,171.52,1191820.0,170.704,8597
42,2025-06-13,170.92,172.55,170.1,171.2,1117131.0,171.096,8268
43,2025-06-16,172.79,174.4,171.29,171.6,1003264.0,172.741,6939
44,2025-06-17,171.47,172.92,170.87,172.12,844473.0,172.123,5567
45,2025-06-18,172.01,173.63,169.93,170.23,1005755.0,171.393,6896
46,2025-06-20,171.71,173.46,169.06,173.34,1894967.0,172.377,11736
47,2025-06-23,172.9,175.78,172.38,175.63,1087010.0,174.598,7741
48,2025-06-24,177.0,177.5,173.78,176.57,1192240.0,176.172,7616
49,2025-06-25,177.73,178.69,175.28,176.08,1352208.0,176.418,9112
50,2025-06-26,178.58,179.32,175.85,176.85,2771071.0,177.137,12913
51,2025-06-27,177.48,185.52,177.48,184.9,4403650.0,182.907,26412
52,2025-06-30,183.03,187.51,182.16,186.13,2275329.0,185.962,15982
53,2025-07-01,183.88,186.35,176.02,176.22,3463561.0,179.669,21773
54,2025-07-02,175.93,176.96,173.5,175.95,1596622.0,175.352,10456
55,2025-07-03,176.69,181.06,176.07,181.06,821817.0,179.518,5434
56,2025-07-07,180.95,182.32,178.78,180.25,1404363.0,180.438,9475
57,2025-07-08,179.99,181.34,174.14,179.46,1645062.0,178.695,11757
58,2025-07-09,181.4,182.44,179.0,181.42,1113022.0,181.377,7717
59,2025-07-10,181.93,182.7,176.63,178.53,1461381.0,178.559,9551
60,2025-07-11,178.39,180.31,178.0,179.68,844878.0,179.389,5457
61,2025-07-14,180.2,184.66,179.36,184.32,1054303.0,183.492,7210
62,2025-07-15,184.5,185.12,182.14,184.68,810728.0,184.001,5781
63,2025-07-16,185.07,185.68,181.0,184.3,895754.0,183.537,6558
64,2025-07-17,185.99,189.48,185.25,188.83,1675919.0,187.88,11343
65,2025-07-18,189.12,191.61,188.5,190.49,1091872.0,190.53,7691
