,date,open,high,low,close,volume,average,barCount
0,2025-08-22,63.8,66.76,63.56,66.25,58912367.0,65.779,186041
1,2025-08-25,63.45,64.2,62.76,62.88,41592009.0,63.474,127889
2,2025-08-26,62.4,63.18,62.11,63.1,34299704.0,62.618,101280
3,2025-08-27,63.24,64.02,63.04,63.65,28758328.0,63.589,88259
4,2025-08-28,64.22,64.38,63.55,63.58,26215914.0,63.984,75428
5,2025-08-29,62.78,62.83,61.31,61.44,44221259.0,61.726,132960
6,2025-09-02,62.13,63.54,61.94,62.97,38647316.0,62.981,123374
7,2025-09-03,63.26,64.0,63.13,63.77,30480385.0,63.639,93737
8,2025-09-04,62.93,63.01,62.06,62.35,27012858.0,62.393,80657
9,2025-09-05,64.12,64.35,62.54,63.42,38578516.0,63.251,110759
10,2025-09-08,63.74,64.19,63.53,63.7,31439746.0,63.843,89894
11,2025-09-09,64.1,64.19,62.87,63.22,31462562.0,63.313,93898
12,2025-09-10,64.6,65.03,64.27,64.53,34109589.0,64.69,102732
13,2025-09-11,64.61,65.21,64.57,65.03,25206526.0,64.971,77019
14,2025-09-12,65.32,66.45,65.22,66.38,35275913.0,65.882,105392
15,2025-09-15,65.35,65.66,64.93,65.5,28121437.0,65.251,88061
16,2025-09-16,65.57,66.47,65.14,66.37,27276547.0,65.905,78635
17,2025-09-17,66.02,66.19,65.1,65.67,41289234.0,65.667,136825
18,2025-09-18,66.73,67.04,66.48,66.75,33177043.0,66.817,105027
19,2025-09-19,66.02,66.2,65.34,65.37,28403203.0,65.754,76092
20,2025-09-22,64.17,64.46,63.58,63.65,32446189.0,63.972,85511
21,2025-09-23,64.15,64.39,63.33,63.41,27360873.0,63.828,79782
22,2025-09-24,64.2,64.78,64.07,64.42,26223138.0,64.472,82357
23,2025-09-25,63.38,63.43,61.58,62.1,54109469.0,62.559,160750
24,2025-09-26,62.01,62.65,61.67,61.94,35720576.0,62.081,108164
25,2025-09-29,63.72,65.04,63.65,64.97,43645013.0,64.6,133353
26,2025-09-30,64.4,65.11,64.1,65.0,29202262.0,64.511,87937
27,2025-10-01,66.3,67.23,66.15,66.74,46282078.0,66.664,136230
28,2025-10-02,67.76,68.84,67.37,68.77,49727356.0,68.2,151576
29,2025-10-03,68.61,70.53,68.22,69.81,69121623.0,69.495,206653
