,date,open,high,low,close,volume,average,barCount
0,2025-04-14,394.0,405.27,391.05,404.65,382328.0,400.084,2459
1,2025-04-15,404.89,407.15,399.25,404.02,458235.0,402.376,2751
2,2025-04-16,400.7,408.43,398.75,402.38,398211.0,402.735,2537
3,2025-04-17,405.45,412.62,402.86,411.49,438322.0,409.097,2963
4,2025-04-21,409.47,412.31,402.85,406.65,400408.0,407.099,2635
5,2025-04-22,410.53,423.44,409.1,421.59,395501.0,419.178,2817
6,2025-04-23,429.21,441.08,426.02,426.63,432157.0,433.908,3082
7,2025-04-24,429.03,441.87,424.48,440.98,280123.0,436.658,2057
8,2025-04-25,438.63,440.5,432.08,437.44,361294.0,436.442,2992
9,2025-04-28,435.53,440.26,427.7,433.99,421633.0,432.799,2967
10,2025-04-29,433.69,439.01,429.11,436.97,296231.0,435.808,2167
11,2025-04-30,436.38,440.0,428.09,432.65,489671.0,432.147,3895
12,2025-05-01,468.12,481.93,462.05,471.38,500530.0,470.103,3865
13,2025-05-02,478.0,483.91,466.57,471.9,355754.0,472.78,2128
14,2025-05-05,471.9,482.28,466.74,475.07,642410.0,475.386,3360
15,2025-05-06,470.42,479.72,465.0,473.71,402622.0,472.997,2151
16,2025-05-07,473.71,488.49,471.74,486.61,245685.0,481.657,1657
17,2025-05-08,488.0,495.56,485.4,489.98,292513.0,492.404,1935
18,2025-05-09,490.31,493.77,487.3,491.7,304362.0,490.646,1875
19,2025-05-12,500.0,509.84,498.53,509.53,227768.0,505.727,1652
20,2025-05-13,508.96,512.72,504.2,509.13,181518.0,508.743,1245
21,2025-05-14,507.0,510.72,503.71,509.42,152171.0,508.61,1070
22,2025-05-15,508.08,513.33,505.0,511.99,134175.0,510.94,1095
23,2025-05-16,513.48,518.41,509.07,518.1,147116.0,515.059,995
24,2025-05-19,511.83,521.73,508.56,521.68,121417.0,518.391,942
25,2025-05-20,518.61,523.48,513.93,517.16,228294.0,517.982,1536
26,2025-05-21,513.74,518.15,498.78,500.87,214604.0,506.213,1762
27,2025-05-22,499.24,508.02,497.02,504.83,184774.0,503.373,1408
28,2025-05-23,498.0,502.18,496.61,501.57,109966.0,499.796,876
29,2025-05-27,507.03,517.8,505.81,516.5,183191.0,514.925,1468
30,2025-05-28,514.9,516.65,507.74,514.33,136830.0,513.673,1032
31,2025-05-29,518.07,520.0,510.64,515.55,114379.0,515.217,923
32,2025-05-30,514.27,515.92,506.28,513.36,130001.0,512.488,990
33,2025-06-02,508.72,514.85,504.56,514.8,178352.0,511.246,1411
34,2025-06-03,513.55,526.36,510.99,525.83,189864.0,522.739,1514
35,2025-06-04,526.32,530.73,524.71,524.86,164478.0,527.721,1270
36,2025-06-05,524.86,526.45,520.94,522.21,132885.0,523.54,1155
37,2025-06-06,525.58,526.21,522.28,524.91,56127.0,524.769,441
38,2025-06-09,523.4,525.62,513.53,518.6,84114.0,520.977,669
39,2025-06-10,519.41,525.93,517.44,525.93,108430.0,523.574,833
40,2025-06-11,526.31,528.39,520.88,524.18,86706.0,524.813,621
41,2025-06-12,524.18,528.2,520.65,526.92,105741.0,525.219,790
42,2025-06-13,524.92,526.1,519.01,522.7,126927.0,523.098,983
43,2025-06-16,525.91,530.12,522.42,528.77,90635.0,527.767,727
44,2025-06-17,529.8,529.8,513.91,520.59,102787.0,521.053,825
45,2025-06-18,518.62,524.7,515.0,519.85,121836.0,520.914,980
46,2025-06-20,518.54,525.18,517.14,523.92,195076.0,520.619,813
47,2025-06-23,523.52,527.36,517.51,524.65,100955.0,523.408,815
48,2025-06-24,526.0,530.74,520.36,530.5,65246.0,527.238,544
49,2025-06-25,531.69,533.32,527.29,530.4,165460.0,529.951,1178
50,2025-06-26,528.8,532.94,524.65,527.78,162119.0,528.021,1201
51,2025-06-27,527.78,535.2,526.5,531.32,123705.0,531.328,886
52,2025-06-30,530.39,537.47,528.66,536.34,107523.0,533.906,843
53,2025-07-01,533.88,546.39,529.51,542.65,186162.0,539.39,1279
54,2025-07-02,541.48,546.0,538.7,542.71,116425.0,542.402,821
55,2025-07-03,539.02,548.54,537.0,547.01,102980.0,542.952,697
56,2025-07-07,546.46,549.52,540.68,545.56,134808.0,545.6,946
57,2025-07-08,544.33,548.01,536.55,538.84,125354.0,541.23,957
58,2025-07-09,541.5,543.57,533.9,540.64,136158.0,537.848,1117
59,2025-07-10,540.42,548.53,538.19,541.09,69789.0,542.915,507
60,2025-07-11,538.92,538.92,527.88,533.37,98287.0,531.959,763
61,2025-07-14,530.71,535.63,529.51,531.42,79909.0,532.261,603
62,2025-07-15,531.74,532.77,525.57,526.66,98237.0,528.816,657
63,2025-07-16,517.0,521.27,506.91,520.57,136942.0,517.12,1035
64,2025-07-17,518.6,521.52,516.05,518.71,97208.0,518.61,727
65,2025-07-18,523.05,523.05,513.25,514.61,96922.0,518.17,525
66,2025-07-21,515.14,521.12,513.02,520.87,179869.0,519.255,1460
67,2025-07-22,523.05,533.47,520.16,532.0,233523.0,529.28,1572
68,2025-07-23,533.32,542.0,533.32,540.68,171240.0,537.831,1106
69,2025-07-24,537.81,551.1,537.52,549.97,217129.0,546.992,1491
70,2025-07-25,553.11,568.48,548.78,565.19,452660.0,561.416,3394
71,2025-07-28,563.13,570.36,560.43,566.5,225787.0,567.057,1509
72,2025-07-29,568.9,575.35,567.04,573.07,382014.0,572.098,2596
73,2025-07-30,573.8,579.47,567.99,572.09,315326.0,573.745,1775
74,2025-07-31,562.57,562.57,533.42,534.31,403446.0,549.151,2935
75,2025-08-01,530.38,539.11,527.81,535.54,277639.0,534.923,2202
76,2025-08-04,662.24,688.12,643.73,682.78,1688940.0,671.256,11453
77,2025-08-05,676.48,678.96,636.56,641.94,823495.0,652.931,5834
78,2025-08-06,647.01,647.25,623.4,624.19,329226.0,631.085,2369
79,2025-08-07,629.74,650.5,628.81,650.06,330084.0,642.629,2499
80,2025-08-08,651.6,658.77,645.77,658.06,250776.0,652.733,1267
81,2025-08-11,662.0,665.52,646.68,652.11,143187.0,653.909,1094
82,2025-08-12,652.79,654.36,647.38,652.27,143497.0,650.803,1047
83,2025-08-13,651.15,665.03,648.92,663.92,192655.0,658.017,1516
84,2025-08-14,664.11,664.11,648.17,653.95,177213.0,654.832,1272
85,2025-08-15,655.54,661.1,650.78,650.84,111820.0,655.058,726
86,2025-08-18,650.45,652.08,637.08,637.86,126716.0,645.13,981
87,2025-08-19,638.0,642.82,635.53,636.71,118165.0,637.432,851
88,2025-08-20,637.82,640.7,634.16,639.85,97701.0,637.455,714
89,2025-08-21,637.05,638.54,632.57,633.05,54611.0,636.073,446
90,2025-08-22,635.76,648.55,634.69,645.55,96274.0,644.5,775
91,2025-08-25,639.33,644.13,636.0,641.35,82134.0,640.637,659
92,2025-08-26,641.35,645.53,639.74,641.72,58569.0,642.107,461
