,date,open,high,low,close,volume,average,barCount
0,2025-04-14,76.0,76.16,74.13,75.06,1747693.0,75.212,11168
1,2025-04-15,74.94,76.12,74.07,74.59,548715.0,74.752,3875
2,2025-04-16,74.6,75.67,72.41,73.53,582819.0,73.525,4257
3,2025-04-17,71.29,72.22,70.38,71.2,1470457.0,71.308,9171
4,2025-04-21,71.03,72.12,69.83,72.0,1051451.0,71.142,5807
5,2025-04-22,73.11,74.88,72.72,74.35,955814.0,74.015,6592
6,2025-04-23,76.84,79.37,75.34,76.25,781214.0,76.788,5556
7,2025-04-24,76.75,78.11,75.53,77.61,1010447.0,77.489,6940
8,2025-04-25,76.69,77.45,75.62,77.35,747015.0,76.798,5148
9,2025-04-28,77.85,78.65,76.03,77.22,589322.0,77.031,4112
10,2025-04-29,76.61,77.63,75.89,77.1,755171.0,77.004,6144
11,2025-04-30,76.64,77.77,75.81,77.6,651086.0,76.886,5169
12,2025-05-01,77.9,78.03,75.41,76.51,700179.0,76.986,5177
13,2025-05-02,77.45,79.22,77.02,77.88,612104.0,77.879,4257
14,2025-05-05,77.92,79.0,77.08,78.17,564262.0,78.384,4353
15,2025-05-06,77.21,77.56,74.5,74.53,779024.0,75.493,5694
16,2025-05-07,75.58,76.61,73.86,76.35,1035620.0,75.596,7056
17,2025-05-08,76.85,80.86,76.15,79.58,1679081.0,79.585,11489
18,2025-05-09,79.5,79.78,75.24,75.76,2236105.0,76.613,13736
19,2025-05-12,79.28,83.09,78.06,81.57,1815102.0,80.611,11013
20,2025-05-13,81.48,82.44,80.15,80.3,1229214.0,80.853,7691
21,2025-05-14,80.36,81.64,77.5,78.21,2347019.0,79.096,13485
22,2025-05-15,80.02,81.06,79.33,80.9,1412149.0,80.453,8812
23,2025-05-16,81.0,84.04,80.31,83.62,1233963.0,83.216,7880
24,2025-05-19,81.82,83.18,81.49,82.95,1325313.0,82.715,8298
25,2025-05-20,82.91,84.95,82.0,84.21,827075.0,84.011,5408
26,2025-05-21,83.7,84.47,79.3,79.37,1107291.0,80.841,7316
27,2025-05-22,79.1,80.67,78.89,80.54,1031463.0,80.173,6579
28,2025-05-23,78.64,80.53,78.55,80.37,776748.0,79.749,5335
29,2025-05-27,81.25,82.81,80.29,82.49,1015989.0,81.941,7284
30,2025-05-28,82.37,85.06,82.0,84.43,1374370.0,83.732,8957
31,2025-05-29,85.63,85.91,83.54,84.28,869948.0,84.508,6154
32,2025-05-30,83.46,83.72,81.19,82.24,1319360.0,82.148,8905
33,2025-06-02,81.68,81.9,79.03,81.09,1196714.0,81.024,8867
34,2025-06-03,80.92,82.15,78.79,81.83,827407.0,81.273,6069
35,2025-06-04,82.24,83.91,82.07,83.16,527924.0,83.317,3866
36,2025-06-05,83.19,84.35,81.75,82.25,688069.0,82.99,4930
37,2025-06-06,83.35,84.56,82.44,82.66,705469.0,83.2,4941
38,2025-06-09,83.53,85.08,82.6,84.98,970261.0,84.439,6893
39,2025-06-10,85.4,89.87,84.99,87.98,1655860.0,88.176,10956
40,2025-06-11,88.91,90.11,87.16,87.54,1155189.0,88.317,9022
41,2025-06-12,87.66,88.7,87.08,88.13,926073.0,88.042,7075
42,2025-06-13,86.4,88.18,85.77,86.93,708846.0,87.246,5232
43,2025-06-16,87.58,90.42,86.03,90.25,810139.0,89.309,6116
44,2025-06-17,89.5,90.95,89.26,89.47,1050050.0,90.012,7638
45,2025-06-18,89.5,91.57,88.65,90.26,752461.0,90.46,5641
46,2025-06-20,91.25,91.44,89.97,90.49,743036.0,90.699,4604
47,2025-06-23,89.7,91.23,88.67,90.61,1008036.0,90.355,6312
48,2025-06-24,91.48,91.66,89.39,91.52,930662.0,90.827,6331
49,2025-06-25,92.13,95.57,90.3,93.23,2277375.0,92.871,14465
50,2025-06-26,93.81,95.99,92.76,94.16,1745511.0,94.282,11853
51,2025-06-27,94.79,95.69,93.33,94.79,2041396.0,94.663,14468
52,2025-06-30,94.79,96.83,94.16,95.41,957272.0,95.421,6431
53,2025-07-01,95.01,100.15,95.0,98.15,1293727.0,98.16,9298
54,2025-07-02,98.15,100.96,97.92,100.34,1137141.0,100.08,7434
55,2025-07-03,100.82,102.09,100.02,100.8,811922.0,100.788,5200
56,2025-07-07,99.37,99.67,96.56,97.15,1717902.0,97.602,12544
57,2025-07-08,97.43,100.25,97.04,99.27,880413.0,98.883,6854
58,2025-07-09,96.14,98.78,95.09,97.44,1764243.0,96.903,12054
59,2025-07-10,97.18,101.28,96.62,100.05,1153950.0,99.838,8839
60,2025-07-11,98.5,100.4,97.7,99.25,1127081.0,99.413,7751
61,2025-07-14,98.84,99.39,97.32,98.53,971763.0,98.679,6797
62,2025-07-15,99.0,99.79,96.68,97.15,1049701.0,97.554,8145
63,2025-07-16,97.9,98.36,95.75,96.96,1253692.0,96.91,9315
64,2025-07-17,96.8,98.41,96.17,97.93,1084202.0,97.434,7630
65,2025-07-18,98.96,99.34,95.54,96.14,1009967.0,96.433,7528
66,2025-07-21,94.99,96.34,92.25,94.8,1489387.0,94.832,10568
67,2025-07-22,95.19,102.29,95.11,102.03,1112109.0,100.31,8326
68,2025-07-23,104.05,106.17,102.79,104.61,1277335.0,104.731,8760
69,2025-07-24,104.61,108.76,104.53,107.64,923244.0,107.035,7063
70,2025-07-25,107.81,110.05,106.4,109.3,1046646.0,108.657,7324
71,2025-07-28,109.92,111.0,108.62,109.88,736582.0,110.037,5084
72,2025-07-29,109.76,109.76,106.93,108.71,752004.0,108.363,5371
73,2025-07-30,109.72,109.72,105.69,106.66,828125.0,107.307,6318
74,2025-07-31,105.5,107.63,102.29,102.71,1907940.0,104.591,13320
75,2025-08-01,92.93,99.9,92.19,94.66,2766675.0,95.698,18951
76,2025-08-04,95.03,98.48,94.0,98.44,1257758.0,97.051,7952
77,2025-08-05,98.45,99.54,97.6,97.76,1028470.0,98.259,7191
78,2025-08-06,98.09,98.39,92.7,94.43,1074363.0,94.637,7458
79,2025-08-07,95.17,96.49,94.0,95.5,605858.0,94.919,4348
80,2025-08-08,95.88,96.22,93.32,94.56,690921.0,94.431,4651
81,2025-08-11,94.42,95.69,93.98,94.78,633689.0,94.883,4300
82,2025-08-12,94.52,98.13,94.38,97.38,675960.0,97.149,4951
