,date,open,high,low,close,volume,average,barCount
0,2025-04-14,1.32,1.38,1.25,1.3,206013.0,1.31293,327
1,2025-04-15,1.28,1.3793,1.28,1.29,68265.0,1.31223,183
2,2025-04-16,1.26,1.3,1.23,1.25,58148.0,1.25414,178
3,2025-04-17,1.3,1.3032,1.24,1.27,57366.0,1.26796,209
4,2025-04-21,1.29,1.39,1.255,1.38,114932.0,1.33623,252
5,2025-04-22,1.36,1.395,1.27,1.38,95885.0,1.32343,220
6,2025-04-23,1.4,1.45,1.4,1.41,48674.0,1.42178,115
7,2025-04-24,1.43,1.485,1.42,1.46,69095.0,1.45688,206
8,2025-04-25,1.47,1.4896,1.4295,1.45,42934.0,1.44488,151
9,2025-04-28,1.45,1.51,1.4099,1.45,83150.0,1.46304,267
10,2025-04-29,1.45,1.5,1.43,1.47,77131.0,1.46489,171
11,2025-04-30,1.44,1.47,1.17,1.19,639489.0,1.24516,938
12,2025-05-01,1.23,1.3,1.21,1.29,237635.0,1.24827,463
13,2025-05-02,1.32,1.32,1.2101,1.24,175474.0,1.25777,525
14,2025-05-05,1.25,1.2508,1.2301,1.25,107662.0,1.24593,296
15,2025-05-06,1.27,1.2999,1.19,1.19,181590.0,1.23289,347
16,2025-05-07,1.24,1.2408,1.1,1.1,293392.0,1.15627,1031
17,2025-05-08,1.13,1.22,1.12,1.19,299012.0,1.17054,820
18,2025-05-09,1.2,1.23,1.11,1.14,202170.0,1.14894,688
19,2025-05-12,1.17,1.22,1.1,1.19,330178.0,1.14628,711
20,2025-05-13,1.21,1.28,1.175,1.28,235231.0,1.21806,488
21,2025-05-14,1.26,1.3045,1.2201,1.26,123627.0,1.26263,317
22,2025-05-15,1.27,1.285,1.24,1.285,82003.0,1.26332,204
23,2025-05-16,1.29,1.5279,1.29,1.44,579650.0,1.44828,1251
24,2025-05-19,1.45,1.65,1.43,1.52,321322.0,1.51167,564
25,2025-05-20,1.55,1.57,1.4813,1.57,179030.0,1.53387,339
26,2025-05-21,1.54,1.54,1.44,1.48,178538.0,1.481,340
27,2025-05-22,1.5,1.5112,1.4,1.45,107518.0,1.46507,315
28,2025-05-23,1.45,1.58,1.42,1.54,213890.0,1.50403,451
29,2025-05-27,1.56,1.67,1.56,1.64,117940.0,1.60832,245
30,2025-05-28,1.69,1.84,1.62,1.8,272406.0,1.7399,454
31,2025-05-29,1.82,1.85,1.58,1.695,274508.0,1.74466,445
32,2025-05-30,1.73,1.73,1.63,1.71,94917.0,1.66893,190
33,2025-06-02,1.7,1.89,1.68,1.87,232813.0,1.79438,345
34,2025-06-03,1.85,2.02,1.8001,1.96,416762.0,1.91796,614
35,2025-06-04,2.0,2.0,1.86,1.96,167175.0,1.94308,223
36,2025-06-05,2.01,2.065,1.9,2.05,347361.0,1.99985,763
37,2025-06-06,2.02,2.405,2.0137,2.13,700516.0,2.21354,1245
38,2025-06-09,2.18,2.2297,2.06,2.17,333145.0,2.14586,712
39,2025-06-10,2.2,2.24,2.12,2.17,269876.0,2.16964,447
40,2025-06-11,2.16,2.16,1.9999,2.12,306809.0,2.05403,575
41,2025-06-12,2.1,2.1,1.91,1.96,278565.0,1.98732,595
42,2025-06-13,1.96,2.02,1.86,1.9,163296.0,1.91979,343
43,2025-06-16,2.1,2.4,2.1,2.37,1202134.0,2.29806,2425
44,2025-06-17,2.56,2.5991,1.66,1.82,6456330.0,2.09706,15113
45,2025-06-18,2.07,2.9699,2.06,2.77,12103257.0,2.52389,22928
46,2025-06-20,2.97,3.09,2.4,2.56,3887669.0,2.74885,9137
