,date,open,high,low,close,volume,average,barCount
0,2025-04-14,18.25,18.47,18.18,18.28,2309659.0,18.323,7916
1,2025-04-15,18.57,18.67,18.51,18.54,1817172.0,18.585,5445
2,2025-04-16,18.62,18.8,18.47,18.56,2324336.0,18.628,7769
3,2025-04-17,18.6,18.83,18.55,18.65,1965458.0,18.688,6420
4,2025-04-21,18.74,18.78,18.36,18.56,1232900.0,18.527,4031
5,2025-04-22,19.02,19.2,18.96,19.13,2018059.0,19.091,5688
6,2025-04-23,19.79,19.92,19.54,19.61,3461355.0,19.727,11058
7,2025-04-24,19.64,19.74,19.51,19.69,1570561.0,19.624,5389
8,2025-04-25,19.1,19.19,19.06,19.18,1671873.0,19.136,5728
9,2025-04-28,19.39,19.43,19.2,19.39,1302198.0,19.342,4591
10,2025-04-29,19.64,19.68,19.58,19.62,1665772.0,19.627,5075
11,2025-04-30,19.18,19.41,19.14,19.37,1500336.0,19.268,5073
12,2025-05-01,19.31,19.43,19.2,19.29,1732586.0,19.303,5544
13,2025-05-02,20.65,20.75,20.53,20.64,2123614.0,20.655,6790
14,2025-05-05,20.47,20.66,20.45,20.51,3087451.0,20.565,9039
15,2025-05-06,20.22,20.36,20.19,20.23,1684684.0,20.288,5818
16,2025-05-07,20.23,20.28,20.07,20.09,1675591.0,20.157,5376
17,2025-05-08,20.26,20.32,20.15,20.21,1576801.0,20.236,4474
18,2025-05-09,20.46,20.57,20.42,20.49,2161431.0,20.497,5224
19,2025-05-12,20.78,20.84,20.66,20.73,2161547.0,20.734,6427
20,2025-05-13,20.67,20.81,20.63,20.79,1441340.0,20.749,4059
21,2025-05-14,21.0,21.13,20.96,21.09,1427265.0,21.073,4268
22,2025-05-15,21.15,21.17,21.04,21.1,1521290.0,21.11,4719
23,2025-05-16,21.14,21.22,21.04,21.17,1372600.0,21.145,4004
24,2025-05-19,21.37,21.48,21.34,21.45,1402306.0,21.435,4346
25,2025-05-20,21.65,21.66,21.49,21.56,1168705.0,21.563,3763
26,2025-05-21,21.7,21.76,21.42,21.44,1682931.0,21.574,5753
27,2025-05-22,21.36,21.5,21.31,21.42,1648455.0,21.412,4319
28,2025-05-23,20.95,21.17,20.92,21.13,2144005.0,21.074,6598
29,2025-05-27,21.36,21.4,21.3,21.33,1614846.0,21.339,4760
