,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,18.25,18.47,18.18,18.2,1061804.0,18.321,3605
1,2025-04-14 12:00:00-04:00,18.2,18.41,18.18,18.29,1247855.0,18.325,4311
2,2025-04-15 09:30:00-04:00,18.57,18.67,18.51,18.59,899417.0,18.596,2353
3,2025-04-15 12:00:00-04:00,18.6,18.63,18.52,18.54,917755.0,18.575,3092
4,2025-04-16 09:30:00-04:00,18.62,18.8,18.6,18.7,1087131.0,18.698,3094
5,2025-04-16 12:00:00-04:00,18.69,18.71,18.47,18.56,1237205.0,18.566,4675
6,2025-04-17 09:30:00-04:00,18.6,18.74,18.55,18.66,847456.0,18.645,2684
7,2025-04-17 12:00:00-04:00,18.66,18.83,18.64,18.66,1118002.0,18.721,3736
8,2025-04-21 09:30:00-04:00,18.74,18.78,18.43,18.44,449559.0,18.61,1711
9,2025-04-21 12:00:00-04:00,18.43,18.57,18.36,18.55,783341.0,18.48,2320
10,2025-04-22 09:30:00-04:00,19.02,19.17,18.96,19.16,857320.0,19.072,2096
11,2025-04-22 12:00:00-04:00,19.16,19.2,19.02,19.11,1160739.0,19.104,3592
12,2025-04-23 09:30:00-04:00,19.79,19.92,19.65,19.69,2455535.0,19.772,7407
13,2025-04-23 12:00:00-04:00,19.69,19.71,19.54,19.6,1005820.0,19.616,3651
14,2025-04-24 09:30:00-04:00,19.64,19.64,19.51,19.6,800187.0,19.577,2482
15,2025-04-24 12:00:00-04:00,19.61,19.74,19.57,19.7,770374.0,19.673,2907
16,2025-04-25 09:30:00-04:00,19.1,19.18,19.06,19.16,862346.0,19.117,2649
17,2025-04-25 12:00:00-04:00,19.16,19.19,19.07,19.17,809527.0,19.157,3079
18,2025-04-28 09:30:00-04:00,19.39,19.43,19.2,19.29,614005.0,19.321,1854
19,2025-04-28 12:00:00-04:00,19.29,19.41,19.27,19.39,688193.0,19.361,2737
20,2025-04-29 09:30:00-04:00,19.64,19.68,19.58,19.6,662477.0,19.624,1980
21,2025-04-29 12:00:00-04:00,19.6,19.68,19.58,19.62,1003295.0,19.628,3095
22,2025-04-30 09:30:00-04:00,19.18,19.32,19.14,19.27,725679.0,19.227,2391
23,2025-04-30 12:00:00-04:00,19.27,19.41,19.23,19.36,774657.0,19.306,2682
24,2025-05-01 09:30:00-04:00,19.31,19.43,19.2,19.21,732534.0,19.333,2278
25,2025-05-01 12:00:00-04:00,19.22,19.34,19.2,19.26,1000052.0,19.28,3266
26,2025-05-02 09:30:00-04:00,20.65,20.75,20.53,20.63,1237334.0,20.649,3487
27,2025-05-02 12:00:00-04:00,20.63,20.72,20.6,20.64,886280.0,20.664,3303
28,2025-05-05 09:30:00-04:00,20.47,20.66,20.45,20.61,1627339.0,20.579,5021
29,2025-05-05 12:00:00-04:00,20.61,20.63,20.51,20.53,1460112.0,20.549,4018
30,2025-05-06 09:30:00-04:00,20.22,20.33,20.19,20.25,740161.0,20.263,2623
31,2025-05-06 12:00:00-04:00,20.25,20.36,20.24,20.25,944523.0,20.308,3195
32,2025-05-07 09:30:00-04:00,20.23,20.28,20.15,20.19,513553.0,20.218,1665
33,2025-05-07 12:00:00-04:00,20.19,20.21,20.07,20.09,1162038.0,20.13,3711
34,2025-05-08 09:30:00-04:00,20.26,20.32,20.15,20.25,692843.0,20.225,1882
35,2025-05-08 12:00:00-04:00,20.27,20.3,20.2,20.21,883958.0,20.245,2592
36,2025-05-09 09:30:00-04:00,20.46,20.57,20.44,20.46,1137650.0,20.502,2555
37,2025-05-09 12:00:00-04:00,20.46,20.53,20.42,20.49,1023781.0,20.49,2669
38,2025-05-12 09:30:00-04:00,20.78,20.84,20.66,20.69,1117605.0,20.754,3188
39,2025-05-12 12:00:00-04:00,20.69,20.75,20.68,20.71,1043942.0,20.713,3239
40,2025-05-13 09:30:00-04:00,20.67,20.79,20.63,20.78,826985.0,20.724,2126
41,2025-05-13 12:00:00-04:00,20.77,20.81,20.75,20.78,614355.0,20.782,1933
42,2025-05-14 09:30:00-04:00,21.0,21.13,20.96,21.11,691437.0,21.049,1916
43,2025-05-14 12:00:00-04:00,21.1,21.13,21.03,21.1,735828.0,21.096,2352
44,2025-05-15 09:30:00-04:00,21.15,21.17,21.04,21.14,677462.0,21.101,1836
45,2025-05-15 12:00:00-04:00,21.13,21.16,21.09,21.11,843828.0,21.118,2883
46,2025-05-16 09:30:00-04:00,21.14,21.22,21.04,21.12,833164.0,21.13,2425
47,2025-05-16 12:00:00-04:00,21.11,21.2,21.1,21.17,539436.0,21.167,1579
48,2025-05-19 09:30:00-04:00,21.37,21.48,21.34,21.44,682190.0,21.428,2144
49,2025-05-19 12:00:00-04:00,21.44,21.47,21.38,21.46,720116.0,21.442,2202
50,2025-05-20 09:30:00-04:00,21.65,21.66,21.52,21.57,580447.0,21.591,1682
51,2025-05-20 12:00:00-04:00,21.58,21.58,21.49,21.55,588258.0,21.535,2081
52,2025-05-21 09:30:00-04:00,21.7,21.76,21.61,21.64,692050.0,21.684,1996
53,2025-05-21 12:00:00-04:00,21.63,21.67,21.42,21.44,990881.0,21.497,3757
54,2025-05-22 09:30:00-04:00,21.36,21.43,21.31,21.42,835980.0,21.371,1968
55,2025-05-22 12:00:00-04:00,21.42,21.5,21.37,21.43,812475.0,21.454,2351
56,2025-05-23 09:30:00-04:00,20.95,21.09,20.92,21.04,1038384.0,21.029,3213
57,2025-05-23 12:00:00-04:00,21.04,21.17,21.03,21.13,1105621.0,21.117,3385
58,2025-05-27 09:30:00-04:00,21.36,21.4,21.3,21.33,951588.0,21.349,2710
59,2025-05-27 12:00:00-04:00,21.32,21.37,21.3,21.32,663258.0,21.324,2050
60,2025-05-28 09:30:00-04:00,21.03,21.04,20.93,20.94,630115.0,20.98,1431
61,2025-05-28 12:00:00-04:00,20.93,21.06,20.93,20.99,725704.0,21.008,2287
62,2025-05-29 09:30:00-04:00,21.2,21.2,21.04,21.05,563974.0,21.114,1472
63,2025-05-29 12:00:00-04:00,21.05,21.17,21.05,21.16,631382.0,21.137,1975
64,2025-05-30 09:30:00-04:00,21.22,21.25,21.15,21.21,1114462.0,21.195,3328
65,2025-05-30 12:00:00-04:00,21.21,21.29,21.08,21.24,1254789.0,21.216,3851
66,2025-06-02 09:30:00-04:00,21.18,21.38,21.14,21.34,898715.0,21.256,2757
67,2025-06-02 12:00:00-04:00,21.34,21.42,21.3,21.42,898478.0,21.368,3071
68,2025-06-03 09:30:00-04:00,21.03,21.13,21.0,21.11,906996.0,21.068,2654
69,2025-06-03 12:00:00-04:00,21.11,21.14,21.06,21.07,611744.0,21.092,2472
70,2025-06-04 09:30:00-04:00,21.06,21.21,21.02,21.11,588781.0,21.127,1833
71,2025-06-04 12:00:00-04:00,21.11,21.13,21.06,21.07,634306.0,21.102,2038
72,2025-06-05 09:30:00-04:00,20.95,21.17,20.91,21.15,2000559.0,21.014,4821
73,2025-06-05 12:00:00-04:00,21.14,21.18,21.09,21.15,838998.0,21.147,2582
74,2025-06-06 09:30:00-04:00,21.13,21.24,21.13,21.19,812986.0,21.185,2322
75,2025-06-06 12:00:00-04:00,21.2,21.23,21.16,21.2,577593.0,21.203,1777
76,2025-06-09 09:30:00-04:00,21.2,21.28,21.19,21.26,716075.0,21.238,1778
77,2025-06-09 12:00:00-04:00,21.25,21.3,21.21,21.22,510401.0,21.255,1623
78,2025-06-10 09:30:00-04:00,21.17,21.25,21.04,21.1,676652.0,21.14,1958
79,2025-06-10 12:00:00-04:00,21.1,21.12,21.06,21.1,811397.0,21.092,1987
80,2025-06-11 09:30:00-04:00,21.11,21.14,20.98,21.04,842399.0,21.078,1934
81,2025-06-11 12:00:00-04:00,21.04,21.07,20.97,21.02,783858.0,21.016,2292
82,2025-06-12 09:30:00-04:00,21.12,21.24,21.09,21.13,657781.0,21.161,1566
83,2025-06-12 12:00:00-04:00,21.13,21.19,21.1,21.17,510805.0,21.153,1643
84,2025-06-13 09:30:00-04:00,20.66,20.87,20.57,20.82,2185627.0,20.719,4545
85,2025-06-13 12:00:00-04:00,20.82,20.87,20.69,20.81,1443392.0,20.779,3244
86,2025-06-16 09:30:00-04:00,21.03,21.1,20.97,21.05,935525.0,21.054,2434
87,2025-06-16 12:00:00-04:00,21.05,21.1,20.9,20.91,1120718.0,20.99,2834
88,2025-06-17 09:30:00-04:00,20.72,20.78,20.63,20.7,845710.0,20.706,1840
89,2025-06-17 12:00:00-04:00,20.7,20.75,20.47,20.49,1273159.0,20.543,3000
90,2025-06-18 09:30:00-04:00,20.65,20.87,20.6,20.85,867489.0,20.781,2164
91,2025-06-18 12:00:00-04:00,20.84,20.88,20.75,20.78,1019568.0,20.804,2929
92,2025-06-20 09:30:00-04:00,20.65,20.66,20.44,20.45,1158786.0,20.547,3010
93,2025-06-20 12:00:00-04:00,20.45,20.48,20.38,20.41,1377844.0,20.415,3744
94,2025-06-23 09:30:00-04:00,20.46,20.63,20.43,20.51,1087957.0,20.552,3094
95,2025-06-23 12:00:00-04:00,20.51,20.75,20.41,20.73,1483127.0,20.643,3882
96,2025-06-24 09:30:00-04:00,21.24,21.33,21.2,21.29,1177158.0,21.283,2912
97,2025-06-24 12:00:00-04:00,21.29,21.41,21.27,21.35,1410069.0,21.374,3521
98,2025-06-25 09:30:00-04:00,21.15,21.31,21.11,21.26,730069.0,21.216,1835
99,2025-06-25 12:00:00-04:00,21.26,21.33,21.25,21.3,942893.0,21.292,2760
100,2025-06-26 09:30:00-04:00,21.43,21.55,21.41,21.5,597603.0,21.482,1400
101,2025-06-26 12:00:00-04:00,21.5,21.54,21.47,21.48,1061924.0,21.501,2297
102,2025-06-27 09:30:00-04:00,21.95,22.06,21.89,22.05,1353725.0,21.959,3194
103,2025-06-27 12:00:00-04:00,22.05,22.07,21.89,21.98,1443550.0,21.975,3578
104,2025-06-30 09:30:00-04:00,21.63,21.89,21.63,21.86,754838.0,21.788,2096
