,date,open,high,low,close,volume,average,barCount
0,2025-04-14,27.7,28.25,24.75,25.35,14446097.0,26.086,58608
1,2025-04-15,25.59,26.08,24.66,25.4,7227975.0,25.199,28231
2,2025-04-16,24.45,25.36,23.8,24.57,7148357.0,24.596,29425
3,2025-04-17,24.93,25.87,24.48,25.74,7708574.0,25.295,28041
4,2025-04-21,25.16,25.2,23.48,24.03,8831174.0,24.114,33236
5,2025-04-22,24.49,25.93,23.93,25.56,9229997.0,25.142,31284
6,2025-04-23,27.09,27.84,26.27,26.8,10911813.0,27.084,40525
7,2025-04-24,27.0,29.58,26.96,28.39,14364768.0,28.698,52922
8,2025-04-25,28.42,31.85,27.71,28.9,22010825.0,29.251,79941
9,2025-04-28,29.29,29.96,27.26,28.7,10025770.0,28.399,34102
10,2025-04-29,28.9,29.14,27.68,28.09,5617236.0,28.248,20425
11,2025-04-30,26.72,27.5,26.33,27.46,6469670.0,27.038,25553
12,2025-05-01,28.34,28.46,27.16,27.38,7080393.0,27.737,29215
13,2025-05-02,27.8,31.33,27.65,30.92,18322049.0,30.161,76675
14,2025-05-05,30.13,30.83,29.61,29.82,6421643.0,30.094,26788
15,2025-05-06,28.55,29.5,27.97,29.42,7620484.0,28.715,33515
16,2025-05-07,29.03,29.36,28.49,29.14,5769975.0,28.954,25626
17,2025-05-08,31.74,33.5,28.11,31.84,30135765.0,30.708,122070
18,2025-05-09,31.43,32.64,29.93,31.27,13794661.0,31.235,58226
19,2025-05-12,33.12,33.93,31.93,32.89,11240872.0,32.866,44263
20,2025-05-13,32.61,34.1,32.33,33.22,9745563.0,32.932,36032
21,2025-05-14,33.7,35.29,32.75,33.41,13567916.0,33.816,53966
22,2025-05-15,32.93,34.4,32.23,32.54,7746282.0,33.076,30600
23,2025-05-16,33.52,35.16,32.97,34.99,12626415.0,33.971,48592
24,2025-05-19,33.6,35.14,32.83,35.09,9200611.0,34.149,34420
25,2025-05-20,35.89,35.99,34.19,35.31,12310963.0,35.091,47867
26,2025-05-21,35.0,36.61,33.33,33.54,16325823.0,35.263,61983
27,2025-05-22,33.82,48.92,33.73,45.79,81233974.0,43.482,294261
28,2025-05-23,41.96,47.87,41.21,45.69,37239235.0,45.419,150997
29,2025-05-27,46.6,48.08,43.6,48.04,21733250.0,45.946,85075
30,2025-05-28,46.0,48.94,44.65,47.56,20851711.0,46.829,84642
31,2025-05-29,48.0,48.82,42.94,43.2,18125670.0,45.016,73602
32,2025-05-30,40.46,41.61,39.3,40.34,17135177.0,40.321,71318
33,2025-06-02,40.01,41.07,38.35,40.57,10087525.0,39.71,40994
34,2025-06-03,41.74,42.39,39.52,39.81,8353235.0,40.396,35914
35,2025-06-04,40.04,40.15,37.93,39.64,8508554.0,39.037,35767
36,2025-06-05,39.1,39.25,35.92,36.66,12468827.0,37.715,49486
37,2025-06-06,37.67,39.95,36.8,39.02,11454253.0,38.746,46799
38,2025-06-09,42.53,42.55,38.85,40.06,24554401.0,40.266,105171
39,2025-06-10,40.64,44.05,39.46,39.74,24412855.0,41.438,105829
40,2025-06-11,41.6,43.96,38.94,39.7,39396307.0,40.855,174210
41,2025-06-12,39.49,40.86,38.62,38.71,14203357.0,39.398,61740
42,2025-06-13,37.59,39.83,37.44,37.84,14070914.0,38.448,56221
