,date,open,high,low,close,volume,average,barCount
0,2025-04-14,5.52,5.58,5.47,5.56,23902245.0,5.531,21361
1,2025-04-15,5.57,5.61,5.53,5.59,22944416.0,5.573,15519
2,2025-04-16,5.57,5.64,5.54,5.59,20518717.0,5.581,14409
3,2025-04-17,5.53,5.68,5.53,5.66,20349047.0,5.623,11773
4,2025-04-21,5.68,5.71,5.62,5.69,12883509.0,5.666,10015
5,2025-04-22,5.7,5.89,5.7,5.85,24706030.0,5.822,19838
6,2025-04-23,5.94,6.02,5.93,5.98,32784991.0,5.983,22827
7,2025-04-24,6.09,6.15,6.01,6.14,28341889.0,6.1,21595
8,2025-04-25,6.12,6.16,6.08,6.14,20441808.0,6.124,17939
9,2025-04-28,6.15,6.23,6.13,6.21,20767669.0,6.184,19050
10,2025-04-29,6.22,6.32,6.2,6.31,33351743.0,6.281,20663
11,2025-04-30,6.26,6.32,6.22,6.31,23395812.0,6.258,20839
12,2025-05-01,6.29,6.31,6.21,6.29,17515897.0,6.26,16976
13,2025-05-02,6.35,6.37,6.15,6.2,16178552.0,6.221,17646
14,2025-05-05,6.27,6.27,6.13,6.15,18682031.0,6.181,14242
15,2025-05-06,6.07,6.13,6.05,6.11,20563523.0,6.092,16692
16,2025-05-07,6.1,6.15,6.07,6.1,15358119.0,6.098,13830
17,2025-05-08,6.25,6.35,6.22,6.22,23956078.0,6.287,22580
18,2025-05-09,6.4,6.62,6.4,6.61,61960716.0,6.565,40972
19,2025-05-12,6.52,6.55,6.39,6.45,48808905.0,6.453,32500
20,2025-05-13,6.53,6.64,6.49,6.62,25426986.0,6.576,30855
21,2025-05-14,6.63,6.66,6.59,6.64,24107128.0,6.633,19771
22,2025-05-15,6.67,6.7,6.57,6.64,55307782.0,6.643,33029
23,2025-05-16,6.61,6.73,6.57,6.72,37865083.0,6.669,24824
24,2025-05-19,6.73,6.85,6.72,6.81,35797850.0,6.811,30009
25,2025-05-20,6.78,6.8,6.67,6.76,29750144.0,6.729,23350
26,2025-05-21,6.73,6.74,6.59,6.65,27469078.0,6.641,18187
27,2025-05-22,6.63,6.74,6.58,6.61,53898518.0,6.664,35425
28,2025-05-23,6.42,6.68,6.39,6.65,36485262.0,6.592,22017
29,2025-05-27,6.74,6.84,6.7,6.73,38345405.0,6.755,24303
30,2025-05-28,6.67,6.72,6.62,6.64,45798142.0,6.652,24379
31,2025-05-29,6.68,6.69,6.6,6.63,36275591.0,6.638,26740
32,2025-05-30,6.58,6.62,6.5,6.59,35877052.0,6.564,21019
33,2025-06-02,6.61,6.62,6.51,6.54,25593240.0,6.545,19231
34,2025-06-03,6.54,6.6,6.5,6.59,26190767.0,6.565,16734
35,2025-06-04,6.62,6.64,6.52,6.53,27501375.0,6.569,19017
36,2025-06-05,6.59,6.61,6.52,6.52,24021261.0,6.574,14967
37,2025-06-06,6.55,6.59,6.5,6.56,22861221.0,6.552,16128
38,2025-06-09,6.52,6.59,6.43,6.56,25779853.0,6.534,14140
39,2025-06-10,6.58,6.65,6.52,6.54,18956387.0,6.576,22603
40,2025-06-11,6.48,6.63,6.44,6.58,34092475.0,6.567,24319
41,2025-06-12,6.58,6.66,6.57,6.61,25781284.0,6.613,17211
42,2025-06-13,6.48,6.57,6.46,6.56,27021598.0,6.536,17254
43,2025-06-16,6.67,6.77,6.66,6.74,18795063.0,6.738,17923
44,2025-06-17,6.72,6.78,6.72,6.74,14048664.0,6.745,12231
45,2025-06-18,6.75,6.77,6.68,6.68,24936120.0,6.732,15487
46,2025-06-20,6.69,6.71,6.61,6.63,15852606.0,6.64,12415
47,2025-06-23,6.6,6.66,6.55,6.65,17191398.0,6.6,10334
48,2025-06-24,6.68,6.85,6.68,6.79,27905160.0,6.801,18417
49,2025-06-25,6.71,6.71,6.57,6.59,32222773.0,6.611,19469
50,2025-06-26,6.64,6.66,6.58,6.6,38576546.0,6.615,20733
51,2025-06-27,6.59,6.65,6.58,6.62,21878400.0,6.618,14236
52,2025-06-30,6.58,6.82,6.58,6.79,45335730.0,6.746,28680
53,2025-07-01,6.8,6.86,6.76,6.79,18089672.0,6.795,14260
54,2025-07-02,6.74,6.84,6.7,6.81,24219142.0,6.775,16595
55,2025-07-03,6.84,6.95,6.83,6.92,16259685.0,6.917,12667
56,2025-07-07,6.9,6.92,6.79,6.84,20870355.0,6.838,15934
57,2025-07-08,6.81,6.84,6.75,6.81,20371044.0,6.799,15092
58,2025-07-09,6.81,6.81,6.62,6.65,18555516.0,6.678,17299
59,2025-07-10,6.45,6.46,6.35,6.37,49773872.0,6.395,29822
60,2025-07-11,6.29,6.34,6.25,6.3,39145434.0,6.294,29630
61,2025-07-14,6.29,6.32,6.24,6.27,22426213.0,6.278,17184
62,2025-07-15,6.3,6.34,6.23,6.29,24208172.0,6.283,18853
63,2025-07-16,6.32,6.36,6.28,6.33,38256778.0,6.32,24530
64,2025-07-17,6.34,6.47,6.33,6.45,31087848.0,6.415,18882
65,2025-07-18,6.42,6.47,6.28,6.3,27650658.0,6.371,21929
66,2025-07-21,6.33,6.42,6.31,6.39,20098779.0,6.375,18309
67,2025-07-22,6.4,6.43,6.29,6.31,26257711.0,6.362,15764
68,2025-07-23,6.31,6.46,6.3,6.45,32716832.0,6.397,18510
69,2025-07-24,6.39,6.39,6.31,6.35,17486131.0,6.346,17385
70,2025-07-25,6.4,6.42,6.35,6.37,26000766.0,6.377,21747
71,2025-07-28,6.29,6.29,6.11,6.18,24875333.0,6.178,30195
72,2025-07-29,6.18,6.28,6.17,6.25,24389594.0,6.246,17305
73,2025-07-30,6.19,6.35,6.12,6.28,31534368.0,6.227,21583
74,2025-07-31,6.2,6.32,6.18,6.27,17565706.0,6.254,14858
75,2025-08-01,6.42,6.46,6.27,6.29,23666120.0,6.335,19055
76,2025-08-04,6.43,6.46,6.37,6.43,32950763.0,6.412,16920
77,2025-08-05,6.42,6.54,6.4,6.48,41000032.0,6.483,21858
78,2025-08-06,6.68,6.82,6.59,6.65,34373541.0,6.676,25629
79,2025-08-07,6.67,6.84,6.64,6.83,33321119.0,6.773,25163
80,2025-08-08,6.83,6.87,6.78,6.86,26278376.0,6.831,16973
81,2025-08-11,6.81,6.88,6.78,6.86,25098727.0,6.839,14830
82,2025-08-12,6.92,7.13,6.91,7.1,48530251.0,7.052,28980
83,2025-08-13,7.03,7.09,6.99,7.01,24139194.0,7.043,14626
84,2025-08-14,6.95,7.06,6.91,6.97,28366006.0,6.991,14580
85,2025-08-15,6.99,7.04,6.92,6.97,26118051.0,6.984,16777
86,2025-08-18,7.0,7.05,6.95,6.97,19326953.0,6.995,13170
87,2025-08-19,6.72,6.78,6.62,6.65,34935922.0,6.693,21788
88,2025-08-20,6.6,6.69,6.6,6.63,26573693.0,6.657,15568
89,2025-08-21,6.62,6.67,6.58,6.64,19042580.0,6.633,10905
90,2025-08-22,6.72,6.91,6.69,6.88,32880517.0,6.861,22469
91,2025-08-25,6.9,6.94,6.86,6.87,23254012.0,6.892,13692
92,2025-08-26,6.86,6.88,6.75,6.8,29613958.0,6.79,12999
93,2025-08-27,6.77,6.97,6.74,6.96,36603559.0,6.868,18962
94,2025-08-28,7.02,7.18,6.97,7.11,28853992.0,7.117,18688
95,2025-08-29,7.1,7.16,7.08,7.14,18406669.0,7.117,11550
96,2025-09-02,6.98,7.07,6.94,7.01,30944890.0,7.021,20453
97,2025-09-03,7.02,7.06,6.9,6.94,22979840.0,6.955,16343
98,2025-09-04,6.94,7.04,6.88,6.99,31282527.0,6.96,18110
99,2025-09-05,7.17,7.23,7.07,7.1,21830561.0,7.109,15111
100,2025-09-08,7.08,7.08,6.96,7.05,20966649.0,7.012,13098
101,2025-09-09,7.0,7.07,6.97,6.99,15799642.0,7.009,10730
102,2025-09-10,7.02,7.1,7.01,7.04,23347131.0,7.046,15764
103,2025-09-11,7.06,7.21,7.04,7.08,32090997.0,7.149,18802
104,2025-09-12,6.98,7.04,6.96,6.97,27429495.0,6.994,16580
105,2025-09-15,7.05,7.21,7.03,7.14,28852268.0,7.143,17492
106,2025-09-16,7.21,7.23,7.11,7.14,34289011.0,7.145,21254
107,2025-09-17,7.19,7.36,7.17,7.27,28115157.0,7.28,19786
108,2025-09-18,7.27,7.28,7.19,7.23,23456856.0,7.235,15721
109,2025-09-19,7.25,7.38,7.24,7.33,35132655.0,7.307,14963
110,2025-09-22,7.25,7.3,7.15,7.24,26301808.0,7.215,13218
111,2025-09-23,7.29,7.44,7.27,7.41,21034299.0,7.393,15282
112,2025-09-24,7.32,7.35,7.28,7.29,30676145.0,7.319,17779
113,2025-09-25,7.25,7.32,7.18,7.2,34179671.0,7.243,18824
114,2025-09-26,7.27,7.27,7.2,7.24,23851778.0,7.244,17662
115,2025-09-29,7.36,7.42,7.31,7.33,24777583.0,7.345,14582
116,2025-09-30,7.4,7.42,7.26,7.34,50677023.0,7.328,28146
117,2025-10-01,7.4,7.45,7.18,7.19,30829305.0,7.243,21813
118,2025-10-02,7.22,7.27,7.06,7.12,29220477.0,7.129,18700
119,2025-10-03,7.11,7.17,7.04,7.17,26835245.0,7.105,14409
