,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,102.56,103.44,100.3,100.68,177669.0,101.559,1179
1,2025-04-14 12:00:00-04:00,100.66,102.95,100.17,101.7,315747.0,101.56,2080
2,2025-04-15 09:30:00-04:00,101.39,104.05,101.23,103.66,203914.0,102.863,1448
3,2025-04-15 12:00:00-04:00,103.63,104.12,101.61,102.9,413268.0,102.656,3481
4,2025-04-16 09:30:00-04:00,103.95,103.96,101.14,102.08,153527.0,102.217,904
5,2025-04-16 12:00:00-04:00,102.18,102.63,100.42,101.55,272282.0,101.328,2027
6,2025-04-17 09:30:00-04:00,101.37,103.67,100.53,103.32,94270.0,102.644,636
7,2025-04-17 12:00:00-04:00,103.36,104.53,102.13,102.78,332944.0,103.399,2342
8,2025-04-21 09:30:00-04:00,102.11,102.48,98.96,98.98,78368.0,100.505,500
9,2025-04-21 12:00:00-04:00,99.09,100.53,99.09,100.31,214135.0,99.892,1464
10,2025-04-22 09:30:00-04:00,101.92,102.65,101.22,101.96,136464.0,101.798,979
11,2025-04-22 12:00:00-04:00,101.92,103.86,101.9,103.38,305813.0,103.022,2250
12,2025-04-23 09:30:00-04:00,105.0,106.77,104.99,105.05,120310.0,105.718,887
13,2025-04-23 12:00:00-04:00,105.14,105.72,103.76,104.17,253849.0,104.52,1859
14,2025-04-24 09:30:00-04:00,104.37,107.52,103.51,107.36,176942.0,106.446,1246
15,2025-04-24 12:00:00-04:00,107.31,109.23,107.2,108.97,403294.0,108.41,3048
16,2025-04-25 09:30:00-04:00,108.52,109.5,107.66,109.42,65090.0,108.66,472
17,2025-04-25 12:00:00-04:00,109.41,111.17,109.32,110.86,344139.0,110.482,2600
18,2025-04-28 09:30:00-04:00,111.22,114.47,111.22,112.75,207495.0,113.038,1206
19,2025-04-28 12:00:00-04:00,112.81,113.25,111.59,112.96,214389.0,112.586,1479
20,2025-04-29 09:30:00-04:00,112.34,114.99,111.2,114.87,130843.0,113.306,676
21,2025-04-29 12:00:00-04:00,114.87,117.09,114.86,116.5,460694.0,116.158,3666
22,2025-04-30 09:30:00-04:00,116.05,116.34,113.92,116.0,199847.0,115.233,1334
23,2025-04-30 12:00:00-04:00,116.0,117.57,115.46,116.95,445626.0,116.342,2817
24,2025-05-01 09:30:00-04:00,116.38,117.5,113.53,116.6,219300.0,116.792,1335
25,2025-05-01 12:00:00-04:00,116.56,117.79,115.26,117.18,592612.0,116.585,3522
26,2025-05-02 09:30:00-04:00,118.82,120.23,118.74,120.09,216693.0,119.513,1356
27,2025-05-02 12:00:00-04:00,120.02,120.67,119.47,120.23,455832.0,120.046,3194
28,2025-05-05 09:30:00-04:00,120.05,120.5,118.82,119.48,222349.0,119.75,1507
29,2025-05-05 12:00:00-04:00,119.64,120.57,118.14,118.22,389806.0,119.485,2656
30,2025-05-06 09:30:00-04:00,117.5,118.0,115.02,116.0,280433.0,116.314,2068
31,2025-05-06 12:00:00-04:00,116.04,116.59,110.81,111.1,1150382.0,112.823,7952
32,2025-05-07 09:30:00-04:00,105.51,109.08,103.01,103.98,864808.0,105.936,5617
33,2025-05-07 12:00:00-04:00,103.98,104.22,100.85,101.48,1107805.0,101.86,7083
