,date,open,high,low,close,volume,average,barCount
0,2025-04-14,136.06,137.09,132.03,133.86,515993.0,134.567,3803
1,2025-04-15,133.86,136.58,132.53,135.51,427724.0,135.313,3122
2,2025-04-16,132.25,135.39,130.87,133.87,314566.0,133.398,2557
3,2025-04-17,134.01,136.01,132.66,135.04,461010.0,134.763,3412
4,2025-04-21,133.43,134.73,127.72,129.75,520280.0,129.748,3946
5,2025-04-22,131.66,133.94,130.75,133.24,300745.0,132.778,2260
6,2025-04-23,139.82,143.38,138.4,138.49,588493.0,140.206,4414
7,2025-04-24,139.61,146.28,139.16,146.13,582018.0,144.715,3958
8,2025-04-25,145.04,148.0,145.0,146.92,432009.0,146.686,3025
9,2025-04-28,146.41,148.63,144.37,146.37,360101.0,146.164,2671
10,2025-04-29,145.18,147.29,143.7,146.57,233096.0,146.276,1834
11,2025-04-30,143.06,146.86,142.03,146.56,343903.0,145.014,2665
12,2025-05-01,148.94,151.18,147.49,147.58,390725.0,149.307,2863
13,2025-05-02,150.75,152.1,150.0,150.36,289290.0,150.868,2089
14,2025-05-05,149.11,151.93,149.07,150.22,299880.0,150.603,2101
15,2025-05-06,147.36,150.79,146.88,150.29,366195.0,149.332,2769
16,2025-05-07,151.1,153.23,148.84,152.72,365292.0,151.733,2948
17,2025-05-08,154.99,156.0,152.78,154.4,355744.0,154.607,2515
18,2025-05-09,155.21,155.52,153.05,153.98,163058.0,154.121,1315
19,2025-05-12,159.81,162.58,159.46,161.74,518924.0,161.428,3273
20,2025-05-13,162.38,169.25,162.29,167.01,534928.0,167.102,3645
21,2025-05-14,168.29,170.32,166.27,166.86,481631.0,167.642,3250
22,2025-05-15,165.43,167.15,163.41,166.53,241486.0,166.055,1730
23,2025-05-16,166.21,168.11,165.49,167.79,391359.0,166.975,2713
24,2025-05-19,164.46,168.04,164.21,167.44,280800.0,167.002,2023
25,2025-05-20,169.37,170.9,166.59,167.51,811388.0,169.067,4471
26,2025-05-21,165.6,168.01,164.08,165.2,306369.0,165.795,2250
27,2025-05-22,164.59,166.91,164.54,165.1,394043.0,165.685,3245
28,2025-05-23,161.89,166.08,161.52,165.38,244122.0,165.058,1681
29,2025-05-27,167.7,170.12,166.7,169.17,338409.0,169.248,2540
30,2025-05-28,169.17,169.76,167.44,167.74,360636.0,168.588,2622
31,2025-05-29,169.45,169.97,166.15,168.55,410911.0,168.028,3261
32,2025-05-30,167.6,168.47,165.38,168.01,515182.0,167.462,3697
33,2025-06-02,167.3,168.2,164.68,168.02,346349.0,167.23,2781
34,2025-06-03,168.0,173.16,167.87,172.99,532736.0,171.929,3682
35,2025-06-04,173.59,174.44,171.71,171.97,434753.0,172.815,3364
36,2025-06-05,173.07,174.67,171.65,172.64,435032.0,173.327,3583
37,2025-06-06,174.82,177.0,174.0,176.62,603118.0,175.903,4111
38,2025-06-09,178.0,179.37,177.02,177.38,475920.0,177.877,3498
39,2025-06-10,180.0,180.11,175.07,178.04,864961.0,177.119,6593
40,2025-06-11,177.48,178.96,176.18,178.43,702170.0,177.918,4803
41,2025-06-12,176.93,180.16,176.93,179.08,560995.0,179.112,4099
42,2025-06-13,176.8,178.78,175.08,175.84,624923.0,176.53,4553
43,2025-06-16,178.25,182.14,177.18,180.82,1052842.0,180.766,7817
44,2025-06-17,185.19,203.9,185.0,196.89,3541914.0,198.432,21367
45,2025-06-18,199.76,207.1,198.21,204.66,1907468.0,204.018,12777
46,2025-06-20,205.1,208.69,203.34,206.2,989490.0,205.865,5827
47,2025-06-23,204.08,208.48,202.3,208.35,730733.0,206.996,5013
48,2025-06-24,210.0,212.07,208.67,211.95,788909.0,211.156,5344
49,2025-06-25,212.84,215.97,212.37,214.66,887402.0,214.852,6203
50,2025-06-26,215.94,218.2,214.75,215.31,859885.0,216.272,5621
51,2025-06-27,215.61,218.34,214.51,217.37,735858.0,216.857,5284
