,date,open,high,low,close,volume,average,barCount
0,2025-04-14,683.14,684.3,659.45,669.97,386279.0,674.643,2771
1,2025-04-15,669.42,682.11,665.0,676.21,301407.0,674.582,1954
2,2025-04-16,638.25,659.05,619.31,642.19,713933.0,638.239,5415
3,2025-04-17,649.03,649.19,631.62,634.43,524121.0,638.615,3545
4,2025-04-21,623.43,627.21,607.7,620.8,484175.0,614.699,3817
5,2025-04-22,626.69,639.85,625.85,636.36,199607.0,634.103,1574
6,2025-04-23,664.24,672.7,652.88,657.11,282966.0,661.66,2104
7,2025-04-24,674.1,690.57,664.19,689.42,431517.0,683.688,3331
8,2025-04-25,680.0,700.31,678.91,694.61,199909.0,691.46,1525
9,2025-04-28,687.7,699.14,679.04,693.72,189857.0,688.313,1556
10,2025-04-29,683.63,695.35,681.74,687.95,256738.0,690.156,2066
11,2025-04-30,677.0,704.99,674.2,702.69,326034.0,691.368,2472
12,2025-05-01,689.2,693.04,674.76,676.31,454049.0,683.369,3688
13,2025-05-02,694.25,707.84,692.91,698.16,230972.0,700.217,1808
14,2025-05-05,691.67,701.61,687.12,693.29,201593.0,695.166,1561
15,2025-05-06,684.33,690.0,677.61,679.42,264645.0,683.024,1922
16,2025-05-07,680.68,696.46,675.27,694.35,235096.0,685.083,1890
17,2025-05-08,703.32,710.5,692.8,703.33,298204.0,703.161,2064
18,2025-05-09,706.14,711.3,696.73,701.2,222006.0,701.827,1391
19,2025-05-12,744.48,762.8,741.61,760.47,748680.0,753.984,5113
20,2025-05-13,760.0,798.02,755.65,795.9,748942.0,788.283,5043
21,2025-05-14,786.75,805.39,786.75,805.0,458522.0,798.925,2923
22,2025-05-15,797.27,810.61,795.57,806.0,372352.0,802.561,2459
23,2025-05-16,806.48,807.13,784.08,791.17,415309.0,792.453,2750
24,2025-05-19,780.69,789.57,775.02,787.01,287481.0,784.975,2044
25,2025-05-20,779.63,790.86,777.18,790.29,289795.0,782.786,1998
26,2025-05-21,778.32,799.72,775.18,778.94,249258.0,785.179,1801
27,2025-05-22,766.46,781.76,762.0,767.51,199420.0,772.215,1424
28,2025-05-23,746.84,761.1,744.87,757.17,294512.0,750.934,2240
29,2025-05-27,774.71,792.18,768.59,789.06,225468.0,785.879,1718
30,2025-05-28,789.06,796.3,776.19,777.5,233001.0,787.044,1763
31,2025-05-29,792.98,794.8,768.68,773.97,271823.0,778.566,1819
32,2025-05-30,771.52,773.55,740.44,756.88,326126.0,754.399,2495
33,2025-06-02,752.4,764.65,751.96,762.44,206854.0,757.761,1420
34,2025-06-03,762.05,779.59,756.33,775.79,227191.0,774.331,1794
35,2025-06-04,781.62,786.93,773.59,782.09,234989.0,780.809,1676
36,2025-06-05,786.67,796.51,777.42,791.89,638055.0,790.861,3940
37,2025-06-06,801.24,813.97,799.77,808.0,302732.0,808.083,2082
38,2025-06-09,811.74,835.0,811.0,829.29,509692.0,829.689,3730
39,2025-06-10,829.29,857.16,826.76,856.59,353736.0,848.228,2670
40,2025-06-11,865.08,873.53,858.8,872.0,575662.0,867.525,3863
41,2025-06-12,866.08,879.16,866.08,875.0,407682.0,873.521,2845
42,2025-06-13,859.0,876.45,856.93,867.67,758768.0,868.296,5519
43,2025-06-16,876.0,893.31,875.62,892.38,632237.0,887.884,4206
44,2025-06-17,890.0,914.83,887.72,893.0,503890.0,901.496,2872
45,2025-06-18,896.21,898.15,867.31,871.16,483087.0,880.684,3425
46,2025-06-20,879.06,883.83,834.85,850.0,654555.0,857.606,3681
47,2025-06-23,854.09,859.62,841.18,856.28,446982.0,853.458,2549
48,2025-06-24,871.47,890.57,869.56,889.03,336612.0,882.955,2141
49,2025-06-25,895.29,902.94,887.74,893.46,196534.0,893.622,1414
50,2025-06-26,897.47,907.26,893.3,902.94,164705.0,900.555,1195
51,2025-06-27,905.0,907.95,884.64,889.87,344962.0,894.577,2525
52,2025-06-30,890.66,898.25,884.34,895.74,176020.0,893.884,1181
53,2025-07-01,888.78,904.99,882.3,898.85,309692.0,895.377,2036
54,2025-07-02,888.21,921.95,885.06,921.1,281630.0,911.973,2094
55,2025-07-03,920.0,928.02,916.05,924.58,114118.0,923.621,788
56,2025-07-07,916.96,923.5,905.9,912.62,219572.0,913.073,1629
