,date,open,high,low,close,volume,average,barCount
0,2025-04-14,33.61,33.66,32.36,32.985,809405.0,32.96979,5111
1,2025-04-15,32.92,33.48,32.55,32.96,550742.0,32.99692,3037
2,2025-04-16,32.89,33.48,32.64,33.27,834966.0,33.09713,5163
3,2025-04-17,33.47,33.94,32.89,33.09,936351.0,33.27381,6166
4,2025-04-21,32.88,33.1482,31.48,31.92,766018.0,32.00609,4276
5,2025-04-22,31.98,32.41,31.49,32.12,892653.0,31.99505,5743
6,2025-04-23,33.16,33.8539,32.48,32.96,1199494.0,33.00563,7317
7,2025-04-24,32.95,34.53,32.6229,33.29,1176070.0,33.76037,6527
8,2025-04-25,32.99,33.63,32.625,33.59,791938.0,33.2335,5117
9,2025-04-28,33.46,33.9,32.68,33.5,728791.0,33.37703,3834
10,2025-04-29,33.44,34.525,33.44,34.42,815304.0,34.16052,4614
11,2025-04-30,33.68,33.92,33.13,33.785,750397.0,33.5777,4148
12,2025-05-01,34.39,35.16,33.6003,34.93,931666.0,34.716,4673
13,2025-05-02,35.54,36.85,35.44,36.29,1416146.0,36.28356,6930
14,2025-05-05,35.38,36.2072,34.55,35.88,1309603.0,35.84242,6826
15,2025-05-06,35.53,36.39,35.3412,36.23,987518.0,36.01191,5784
16,2025-05-07,36.24,36.57,35.71,36.06,1324422.0,36.14353,7375
17,2025-05-08,36.6,36.75,33.46,34.22,2087609.0,34.48152,10792
18,2025-05-09,34.06,34.2,33.18,33.61,1179927.0,33.64945,6900
19,2025-05-12,34.43,34.67,32.85,33.93,1298866.0,33.56322,7215
20,2025-05-13,34.42,34.7012,33.6,33.78,1034498.0,33.9733,4999
21,2025-05-14,33.88,34.365,33.06,33.53,761546.0,33.65838,3614
22,2025-05-15,33.56,34.45,33.555,34.39,569162.0,34.0769,2971
23,2025-05-16,34.31,35.25,34.02,35.21,1068693.0,34.70332,5074
24,2025-05-19,34.64,35.2905,34.64,35.13,609543.0,35.05969,3236
25,2025-05-20,35.1,36.11,34.8916,35.74,919267.0,35.69348,5206
26,2025-05-21,35.73,36.11,34.055,34.33,778112.0,34.91529,3711
27,2025-05-22,34.31,35.34,34.17,35.2,702088.0,34.93951,3704
28,2025-05-23,35.06,36.67,34.97,36.01,1540605.0,36.08304,8189
29,2025-05-27,36.94,39.16,36.92,38.12,1958938.0,38.04253,9487
30,2025-05-28,38.31,38.31,37.24,37.33,874436.0,37.60659,5203
31,2025-05-29,37.53,37.8372,36.05,36.43,934236.0,36.48357,4767
32,2025-05-30,36.18,37.19,35.88,36.89,1073497.0,36.65035,5689
33,2025-06-02,37.695,38.57,37.3,38.04,1749746.0,37.86685,9794
34,2025-06-03,38.76,39.96,38.45,39.09,1673437.0,39.13714,8287
35,2025-06-04,39.525,40.39,39.15,40.1,1226138.0,39.93774,6090
36,2025-06-05,40.675,40.94,39.96,40.36,1763006.0,40.46838,9609
37,2025-06-06,40.83,41.4688,40.16,40.47,1199522.0,40.77853,5614
38,2025-06-09,40.9,40.96,39.7701,40.59,2092748.0,40.41799,8233
39,2025-06-10,40.68,40.68,38.72,39.3,2158712.0,39.44577,9589
40,2025-06-11,39.94,40.45,37.9,40.4,1683421.0,39.34361,9082
41,2025-06-12,40.23,41.28,39.94,41.24,930550.0,40.89256,5031
42,2025-06-13,41.65,42.73,40.77,41.76,1711691.0,41.93841,9059
43,2025-06-16,42.19,42.41,41.0801,41.21,1675576.0,41.84292,8689
44,2025-06-17,41.26,43.8696,41.07,43.23,1781440.0,42.92154,9095
45,2025-06-18,43.2,44.13,41.7,42.16,1997747.0,42.53512,11048
46,2025-06-20,42.46,43.74,40.83,43.11,1578336.0,42.80486,7874
47,2025-06-23,43.89,46.52,42.9732,43.63,3236402.0,44.58452,16321
48,2025-06-24,43.5,43.5,40.1027,40.77,3285890.0,40.95714,17869
49,2025-06-25,41.29,42.68,41.01,42.33,1805342.0,42.1212,10434
50,2025-06-26,39.555,41.78,39.0,41.33,9017199.0,40.66847,46859
51,2025-06-27,41.93,46.9699,41.75,45.84,8828421.0,45.11101,45568
52,2025-06-30,46.39,47.09,45.4112,46.45,3797744.0,46.24013,21203
53,2025-07-01,46.3,46.35,42.66,43.07,3929603.0,43.64775,20771
54,2025-07-02,42.96,43.4,41.87,43.28,2963936.0,42.86151,18643
55,2025-07-03,43.915,44.805,43.65,44.66,1378465.0,44.37005,7634
56,2025-07-07,45.42,46.25,43.88,44.78,2167717.0,44.9171,11335
57,2025-07-08,45.03,45.64,42.8067,44.34,1951407.0,44.07196,10817
58,2025-07-09,44.44,46.15,43.88,46.02,1920435.0,45.42325,10613
59,2025-07-10,46.08,46.73,44.85,46.27,1789214.0,45.92482,9888
60,2025-07-11,48.25,52.5699,48.0,51.71,6474787.0,51.32352,32235
61,2025-07-14,50.905,52.7,49.5362,51.99,3905112.0,51.63635,19442
62,2025-07-15,52.07,52.2499,50.23,51.12,2159851.0,51.03273,11387
63,2025-07-16,52.0,54.97,51.31,54.28,4736199.0,53.31166,22452
64,2025-07-17,55.76,59.12,54.69,58.91,5799163.0,57.23494,27820
65,2025-07-18,58.745,61.35,58.25,59.12,5294572.0,59.58477,25895
66,2025-07-21,60.01,61.43,58.49,58.78,3462826.0,59.82104,18295
67,2025-07-22,55.52,57.18,54.36,55.42,4696898.0,55.31868,26146
68,2025-07-23,55.76,58.93,55.3957,58.78,2790322.0,57.60169,14079
69,2025-07-24,58.8,61.09,58.0,58.66,2671998.0,59.24733,14083
70,2025-07-25,58.69,60.4,57.81,59.77,1599386.0,59.35146,8399
71,2025-07-28,61.19,61.2899,57.35,59.36,2459253.0,58.84435,12622
72,2025-07-29,60.6,60.73,56.62,57.09,2450799.0,57.69646,13617
73,2025-07-30,56.795,58.19,56.308,58.01,1836965.0,57.49764,10394
74,2025-07-31,58.06,59.14,57.51,58.7,1320870.0,58.46845,8099
75,2025-08-01,56.355,57.66,54.5,56.71,3126125.0,56.4123,19405
76,2025-08-04,57.03,60.0,56.75,59.5,1756380.0,59.09566,8992
77,2025-08-05,61.0,62.8,57.9,59.4,2904134.0,59.93287,15445
78,2025-08-06,58.77,60.1397,57.93,58.93,2173649.0,59.28411,12396
79,2025-08-07,58.445,59.22,56.8601,59.08,1833663.0,58.31302,10240
80,2025-08-08,60.33,66.13,60.0478,63.88,4406706.0,64.05047,24558
81,2025-08-11,65.95,68.68,64.59,65.41,3775939.0,66.07596,20399
