,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,7.55,7.58,7.18,7.22,34317.0,7.367,237
1,2025-04-14 12:00:00-04:00,7.2,7.46,7.18,7.32,133193.0,7.344,862
2,2025-04-15 09:30:00-04:00,7.29,7.43,7.27,7.31,36368.0,7.331,202
3,2025-04-15 12:00:00-04:00,7.31,7.36,7.13,7.26,102693.0,7.215,619
4,2025-04-16 09:30:00-04:00,7.09,7.18,7.01,7.12,32287.0,7.123,153
5,2025-04-16 12:00:00-04:00,7.12,7.21,6.91,7.13,101613.0,7.058,664
6,2025-04-17 09:30:00-04:00,7.12,7.19,6.93,7.01,40554.0,7.07,150
7,2025-04-17 12:00:00-04:00,7.0,7.32,6.99,7.2,130506.0,7.214,735
8,2025-04-21 09:30:00-04:00,7.08,7.15,6.99,7.13,37059.0,7.074,232
9,2025-04-21 12:00:00-04:00,7.15,7.21,6.94,7.08,104058.0,7.037,573
10,2025-04-22 09:30:00-04:00,7.2,7.3,7.08,7.24,22292.0,7.194,123
11,2025-04-22 12:00:00-04:00,7.25,7.33,7.09,7.17,76006.0,7.216,548
12,2025-04-23 09:30:00-04:00,7.48,7.74,7.42,7.44,42464.0,7.567,190
13,2025-04-23 12:00:00-04:00,7.43,7.47,7.33,7.35,60681.0,7.398,444
14,2025-04-24 09:30:00-04:00,7.41,7.7,7.41,7.7,18843.0,7.603,119
15,2025-04-24 12:00:00-04:00,7.71,7.78,7.64,7.75,114350.0,7.727,799
16,2025-04-25 09:30:00-04:00,7.64,7.84,7.57,7.64,27950.0,7.665,182
17,2025-04-25 12:00:00-04:00,7.63,7.83,7.63,7.81,87599.0,7.763,544
18,2025-04-28 09:30:00-04:00,7.8,7.88,7.66,7.68,31869.0,7.727,155
19,2025-04-28 12:00:00-04:00,7.67,7.85,7.57,7.8,86079.0,7.701,447
20,2025-04-29 09:30:00-04:00,7.76,7.87,7.71,7.86,28428.0,7.821,146
21,2025-04-29 12:00:00-04:00,7.86,7.91,7.81,7.85,47385.0,7.861,348
22,2025-04-30 09:30:00-04:00,7.65,7.8,7.47,7.66,23023.0,7.592,120
23,2025-04-30 12:00:00-04:00,7.67,7.77,7.61,7.7,48648.0,7.692,320
24,2025-05-01 09:30:00-04:00,7.8,8.06,7.62,7.96,33607.0,7.928,180
25,2025-05-01 12:00:00-04:00,7.95,8.09,7.92,7.96,71288.0,8.013,432
26,2025-05-02 09:30:00-04:00,8.12,8.35,8.12,8.35,41421.0,8.26,220
27,2025-05-02 12:00:00-04:00,8.36,8.6,8.35,8.45,157545.0,8.508,728
28,2025-05-05 09:30:00-04:00,8.31,8.55,8.23,8.51,47479.0,8.477,238
29,2025-05-05 12:00:00-04:00,8.53,8.53,8.34,8.35,108488.0,8.426,400
30,2025-05-06 09:30:00-04:00,8.16,8.16,7.88,8.1,21528.0,8.036,136
31,2025-05-06 12:00:00-04:00,8.09,8.2,8.02,8.04,92780.0,8.114,590
32,2025-05-07 09:30:00-04:00,8.13,8.15,7.95,8.07,37557.0,8.027,247
33,2025-05-07 12:00:00-04:00,8.09,8.22,8.0,8.2,81865.0,8.114,603
34,2025-05-08 09:30:00-04:00,8.33,8.58,8.23,8.52,42968.0,8.362,184
35,2025-05-08 12:00:00-04:00,8.53,8.66,8.48,8.59,119131.0,8.571,639
36,2025-05-09 09:30:00-04:00,11.45,11.75,10.55,11.22,599095.0,11.261,2758
37,2025-05-09 12:00:00-04:00,11.25,11.71,11.1,11.7,445015.0,11.468,1911
38,2025-05-12 09:30:00-04:00,12.51,12.59,12.08,12.39,251476.0,12.338,1075
39,2025-05-12 12:00:00-04:00,12.42,12.63,12.15,12.48,164362.0,12.41,1032
40,2025-05-13 09:30:00-04:00,12.52,12.82,12.33,12.77,191750.0,12.575,882
41,2025-05-13 12:00:00-04:00,12.78,13.38,12.74,13.27,330556.0,13.167,1585
42,2025-05-14 09:30:00-04:00,12.9,13.02,12.33,12.86,240244.0,12.752,930
43,2025-05-14 12:00:00-04:00,12.88,13.06,12.64,12.84,309822.0,12.854,1557
44,2025-05-15 09:30:00-04:00,12.7,12.83,12.35,12.48,159654.0,12.49,592
