,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,0.46,0.466,0.4354,0.4372,315164.0,0.45713,805
1,2025-04-14 12:00:00-04:00,0.4372,0.4583,0.4265,0.4445,550291.0,0.43918,1877
2,2025-04-15 09:30:00-04:00,0.4409,0.4674,0.44,0.4553,340496.0,0.45595,553
3,2025-04-15 12:00:00-04:00,0.4553,0.456,0.43,0.4361,445053.0,0.44237,1474
4,2025-04-16 09:30:00-04:00,0.431,0.4513,0.4254,0.4282,478810.0,0.4405,767
5,2025-04-16 12:00:00-04:00,0.4269,0.4417,0.4228,0.4387,453553.0,0.43216,1940
6,2025-04-17 09:30:00-04:00,0.4147,0.439,0.4092,0.4147,420950.0,0.41684,737
7,2025-04-17 12:00:00-04:00,0.4152,0.42,0.41,0.416,662558.0,0.41639,1843
8,2025-04-21 09:30:00-04:00,0.4157,0.4215,0.4055,0.4152,456497.0,0.41178,922
9,2025-04-21 12:00:00-04:00,0.4152,0.4153,0.4013,0.4013,1010690.0,0.40807,2781
10,2025-04-22 09:30:00-04:00,0.4083,0.4276,0.402,0.4247,196346.0,0.41163,522
11,2025-04-22 12:00:00-04:00,0.425,0.4386,0.4168,0.4291,624862.0,0.42666,1501
12,2025-04-23 09:30:00-04:00,0.43,0.4473,0.4201,0.4417,331729.0,0.4342,690
13,2025-04-23 12:00:00-04:00,0.4421,0.469,0.44,0.4667,753025.0,0.4528,1804
14,2025-04-24 09:30:00-04:00,0.4688,0.4812,0.4609,0.4661,550332.0,0.47187,936
15,2025-04-24 12:00:00-04:00,0.464,0.4989,0.464,0.4922,646150.0,0.48371,1696
16,2025-04-25 09:30:00-04:00,0.4941,0.5138,0.4647,0.4977,376849.0,0.49661,625
17,2025-04-25 12:00:00-04:00,0.4982,0.5002,0.475,0.482,363193.0,0.48716,1036
18,2025-04-28 09:30:00-04:00,0.5,0.505,0.4605,0.4651,388097.0,0.48236,608
19,2025-04-28 12:00:00-04:00,0.4643,0.4798,0.4601,0.4734,285500.0,0.46715,817
20,2025-04-29 09:30:00-04:00,0.4606,0.483,0.4606,0.4737,328123.0,0.47019,558
21,2025-04-29 12:00:00-04:00,0.474,0.4808,0.4656,0.4674,304125.0,0.4704,833
22,2025-04-30 09:30:00-04:00,0.47,0.4759,0.47,0.4705,208559.0,0.47058,583
23,2025-04-30 12:00:00-04:00,0.4705,0.4948,0.47,0.479,982044.0,0.48172,1738
24,2025-05-01 09:30:00-04:00,0.4954,0.505,0.47,0.4797,242058.0,0.47999,482
25,2025-05-01 12:00:00-04:00,0.4768,0.4932,0.4715,0.4845,175072.0,0.48219,556
26,2025-05-02 09:30:00-04:00,0.476,0.4979,0.476,0.4831,152346.0,0.48375,297
27,2025-05-02 12:00:00-04:00,0.4825,0.5,0.4728,0.4919,223863.0,0.48522,690
28,2025-05-05 09:30:00-04:00,0.4869,0.49,0.47,0.4707,183255.0,0.47346,306
29,2025-05-05 12:00:00-04:00,0.4709,0.4762,0.46,0.461,221797.0,0.46842,512
30,2025-05-06 09:30:00-04:00,0.4786,0.4786,0.4326,0.4427,290209.0,0.44765,520
31,2025-05-06 12:00:00-04:00,0.4416,0.4426,0.433,0.4366,405484.0,0.43749,833
32,2025-05-07 09:30:00-04:00,0.43,0.4399,0.4255,0.4311,149395.0,0.43049,392
33,2025-05-07 12:00:00-04:00,0.4311,0.44,0.425,0.438,261669.0,0.42947,1042
34,2025-05-08 09:30:00-04:00,0.4471,0.4501,0.43,0.4362,93545.0,0.43521,362
35,2025-05-08 12:00:00-04:00,0.4365,0.4822,0.4364,0.4794,529799.0,0.45987,1718
36,2025-05-09 09:30:00-04:00,0.46,0.4723,0.4411,0.4411,547449.0,0.45778,540
37,2025-05-09 12:00:00-04:00,0.4411,0.4682,0.435,0.4547,669483.0,0.45158,964
38,2025-05-12 09:30:00-04:00,0.475,0.4762,0.4477,0.4642,243025.0,0.45979,563
39,2025-05-12 12:00:00-04:00,0.4642,0.489,0.4642,0.4802,530988.0,0.47998,1653
40,2025-05-13 09:30:00-04:00,0.4747,0.4747,0.45,0.4581,368847.0,0.46359,430
