,date,open,high,low,close,volume,average,barCount
0,2025-04-14,67.18,67.18,61.4148,64.87,347771.0,64.02419,2285
1,2025-04-15,64.39,66.14,62.1701,63.66,192889.0,63.65674,1094
2,2025-04-16,62.3,68.38,62.1018,65.15,406541.0,66.19126,2620
3,2025-04-17,65.47,68.2343,65.47,67.26,235067.0,67.12276,1385
4,2025-04-21,67.13,67.13,60.52,62.63,335214.0,61.92238,2108
5,2025-04-22,64.01,65.7921,63.0,65.23,146844.0,64.6488,979
6,2025-04-23,67.61,68.88,65.93,67.27,215119.0,67.51811,1223
7,2025-04-24,67.37,69.58,67.37,68.75,204416.0,68.82889,1118
8,2025-04-25,67.4,70.66,67.27,69.56,108904.0,69.25897,646
9,2025-04-28,72.0,72.53,67.7,70.37,163617.0,69.96416,928
10,2025-04-29,70.0,71.25,68.4887,70.96,109017.0,70.1412,713
11,2025-04-30,67.69,69.84,66.3787,69.29,152901.0,68.69236,981
12,2025-05-01,70.88,72.045,69.5,71.09,189877.0,70.90449,1010
13,2025-05-02,72.43,74.53,72.0,73.42,170805.0,73.4483,1052
14,2025-05-05,73.39,73.8735,71.0,71.66,136617.0,72.20184,837
15,2025-05-06,70.43,75.56,70.43,74.46,259235.0,73.76777,1683
16,2025-05-07,76.0,76.0,71.53,72.5,391478.0,73.19923,2180
17,2025-05-08,80.75,89.9,80.45,88.46,1152689.0,85.83819,6420
18,2025-05-09,90.84,94.0557,88.4698,93.6,817919.0,91.473,4079
19,2025-05-12,99.85,101.5299,92.103,94.71,607264.0,95.43846,3436
20,2025-05-13,94.91,97.5,92.14,92.57,435932.0,95.06836,2824
21,2025-05-14,94.07,98.68,92.78,96.92,1197816.0,96.11488,5418
22,2025-05-15,95.16,96.5276,91.63,96.31,362793.0,94.39404,2209
23,2025-05-16,96.39,97.4864,94.0,95.75,341506.0,95.77893,1601
24,2025-05-19,93.36,95.54,90.25,95.2,239699.0,93.81214,1385
25,2025-05-20,96.48,97.0,92.99,95.09,187695.0,95.00524,1146
26,2025-05-21,93.7,98.71,92.84,93.34,585840.0,95.65823,2457
27,2025-05-22,92.91,94.7599,90.83,93.17,290975.0,93.52871,1195
28,2025-05-23,111.75,118.27,100.5,113.29,2641924.0,112.36173,14113
29,2025-05-27,115.81,129.12,115.81,127.86,2024266.0,125.22468,10733
30,2025-05-28,130.55,136.0,126.5,127.74,1212299.0,131.34275,6610
31,2025-05-29,129.6,130.0,122.39,123.5,764385.0,125.14763,4230
32,2025-05-30,118.0,128.685,117.6408,126.92,708986.0,124.77221,3731
33,2025-06-02,125.04,127.99,123.263,124.58,331021.0,125.13545,1845
34,2025-06-03,135.47,138.9999,130.21,131.45,1072138.0,133.6244,5608
35,2025-06-04,133.99,142.69,128.18,141.0,1126311.0,136.08686,5385
36,2025-06-05,144.38,146.8292,130.805,136.34,1040619.0,137.58249,5935
37,2025-06-06,136.98,143.65,133.0001,143.11,523462.0,140.63174,3004
38,2025-06-09,149.34,152.715,144.148,146.08,684816.0,148.00908,4042
39,2025-06-10,147.59,149.3899,140.6501,145.92,485014.0,144.32193,2964
