,date,open,high,low,close,volume,average,barCount
0,2025-04-14,68.64,69.36,66.91,67.86,5312108.0,68.21,35103
1,2025-04-15,68.09,69.55,67.95,68.44,6759994.0,68.464,34675
2,2025-04-16,65.16,66.82,62.95,65.14,9349394.0,65.028,61968
3,2025-04-17,65.37,65.38,63.48,63.76,8395345.0,64.443,49008
4,2025-04-21,62.36,62.67,61.14,62.39,8295031.0,61.762,50252
5,2025-04-22,63.11,64.02,62.56,63.48,5487180.0,63.39,37067
6,2025-04-23,66.81,68.01,66.34,66.73,9682889.0,67.05,65452
7,2025-04-24,69.67,71.21,67.55,70.9,10759771.0,70.326,64704
8,2025-04-25,70.33,72.29,70.29,71.42,5393880.0,71.367,34245
9,2025-04-28,70.91,71.94,70.04,71.57,4840251.0,71.075,32604
10,2025-04-29,70.89,71.66,70.22,70.9,4535566.0,71.102,29702
11,2025-04-30,68.89,71.84,68.52,71.67,5504084.0,70.412,34506
12,2025-05-01,72.18,73.53,71.4,71.73,7408085.0,72.454,46002
13,2025-05-02,74.25,75.49,73.69,74.52,6444793.0,74.783,42418
14,2025-05-05,73.88,74.9,73.78,73.91,3289331.0,74.318,22483
15,2025-05-06,72.6,73.88,72.59,73.16,3417669.0,73.239,22807
16,2025-05-07,73.45,75.3,72.91,75.06,4236900.0,74.082,29638
17,2025-05-08,76.05,76.42,74.82,74.9,5177688.0,75.583,33129
18,2025-05-09,75.78,76.3,74.65,75.36,4180196.0,75.306,27475
19,2025-05-12,81.22,82.55,80.66,82.25,9549614.0,81.813,61918
20,2025-05-13,82.36,85.78,82.25,85.25,6519771.0,84.74,42884
21,2025-05-14,85.08,86.04,84.33,84.97,4836143.0,84.89,30295
22,2025-05-15,84.23,85.26,83.5,84.79,4835474.0,84.42,31499
23,2025-05-16,84.38,84.46,82.53,84.43,5261821.0,83.803,28924
24,2025-05-19,82.7,84.45,82.54,83.82,4158763.0,83.648,25335
25,2025-05-20,83.53,84.35,83.05,84.29,3483357.0,83.859,21381
26,2025-05-21,83.27,84.78,82.23,82.79,3436855.0,83.461,23101
27,2025-05-22,82.64,83.82,82.05,82.56,3279263.0,83.074,21537
28,2025-05-23,80.12,81.39,79.77,81.06,3692725.0,80.675,25225
29,2025-05-27,83.04,84.12,82.3,83.94,4294032.0,83.66,27804
30,2025-05-28,83.98,85.03,83.58,84.0,5272953.0,84.257,30019
31,2025-05-29,85.85,86.26,83.61,84.16,4130972.0,84.448,26230
32,2025-05-30,83.62,83.81,79.49,80.79,8155002.0,80.913,50572
33,2025-06-02,80.59,82.53,80.42,82.48,3966022.0,81.76,24643
34,2025-06-03,82.07,84.01,81.95,83.66,3567671.0,83.361,23208
35,2025-06-04,84.23,85.04,83.49,84.77,3521648.0,84.523,21906
36,2025-06-05,85.46,86.34,84.34,84.91,5702083.0,85.368,34695
37,2025-06-06,86.48,87.58,85.85,86.35,4486854.0,86.855,26715
38,2025-06-09,87.09,89.33,87.02,88.3,4439321.0,88.494,29579
39,2025-06-10,88.79,91.37,88.34,91.0,6022649.0,90.442,37332
40,2025-06-11,91.39,91.99,89.87,90.95,4593394.0,91.087,30869
41,2025-06-12,90.59,91.9,90.49,91.66,3015717.0,91.436,20878
42,2025-06-13,88.72,91.23,88.18,89.52,4855789.0,90.005,30415
43,2025-06-16,91.06,93.58,90.85,93.41,5590062.0,93.016,34736
44,2025-06-17,93.34,95.02,92.55,92.66,5610533.0,93.737,32990
45,2025-06-18,93.24,93.6,91.8,92.24,4543716.0,92.759,27702
46,2025-06-20,93.05,93.43,87.75,90.49,9446220.0,90.279,49335
47,2025-06-23,91.36,92.76,90.29,91.61,5580354.0,91.735,36156
48,2025-06-24,93.24,95.77,93.23,95.63,4846521.0,94.975,32549
49,2025-06-25,96.44,97.37,95.32,96.02,4272075.0,95.983,27486
50,2025-06-26,96.27,96.93,95.83,96.84,4236055.0,96.518,25620
51,2025-06-27,97.04,98.02,96.39,97.2,4093276.0,97.312,26703
52,2025-06-30,97.56,97.67,96.85,97.34,2855306.0,97.253,19024
53,2025-07-01,96.59,97.32,94.49,96.81,4820278.0,96.226,30696
54,2025-07-02,96.0,98.95,95.2,98.83,4858010.0,98.075,29911
55,2025-07-03,98.72,99.5,98.65,98.81,2663695.0,98.992,15797
56,2025-07-07,98.39,98.92,97.7,98.14,3337080.0,98.276,22093
57,2025-07-08,98.92,100.29,98.22,99.83,4464036.0,99.68,27137
58,2025-07-09,99.8,101.09,98.91,99.81,3893209.0,99.926,25413
59,2025-07-10,100.92,101.65,100.18,101.06,2936595.0,101.102,18958
60,2025-07-11,100.32,102.03,100.26,101.73,3091366.0,101.47,21815
61,2025-07-14,100.55,101.0,98.78,99.62,7382015.0,99.751,38986
62,2025-07-15,101.54,102.19,100.61,101.07,4251325.0,101.316,27425
63,2025-07-16,97.83,100.42,96.19,100.37,9381747.0,98.203,55902
64,2025-07-17,99.44,101.38,98.26,100.79,4726977.0,100.464,30810
65,2025-07-18,101.02,101.73,100.36,100.66,4095122.0,100.913,26702
66,2025-07-21,100.88,102.59,100.73,101.74,3421426.0,102.011,22674
67,2025-07-22,101.06,101.13,97.04,97.69,8549548.0,98.177,51134
68,2025-07-23,98.26,98.38,96.39,97.1,7133335.0,96.951,44725
69,2025-07-24,97.55,98.62,97.03,97.78,4627315.0,97.834,30341
70,2025-07-25,96.69,97.33,96.32,96.96,5071150.0,96.934,30380
71,2025-07-28,99.14,99.53,97.91,98.62,4524378.0,98.639,32034
72,2025-07-29,99.32,100.22,98.03,98.94,4024608.0,99.147,27184
73,2025-07-30,99.52,100.65,97.95,99.09,6691838.0,99.415,44970
74,2025-07-31,91.02,95.63,90.73,94.84,15752978.0,93.732,89125
75,2025-08-01,92.78,96.66,92.47,96.37,8243231.0,95.001,53322
76,2025-08-04,97.44,98.81,96.64,98.41,5358945.0,98.185,30507
77,2025-08-05,98.84,99.35,95.62,96.68,4882288.0,97.085,31263
78,2025-08-06,96.3,96.47,94.27,95.94,5952291.0,95.482,36359
79,2025-08-07,98.89,100.19,97.97,99.15,5152835.0,98.812,33588
80,2025-08-08,99.15,102.23,98.99,101.75,4753118.0,101.423,31119
81,2025-08-11,103.9,104.15,101.71,102.0,4847088.0,102.778,31646
82,2025-08-12,102.65,105.64,101.39,105.28,6698964.0,104.566,39760
83,2025-08-13,106.5,107.49,105.44,106.74,6463820.0,106.498,36522
84,2025-08-14,106.2,108.02,105.59,107.38,5906184.0,107.186,39122
85,2025-08-15,104.69,105.89,99.26,99.51,14697876.0,100.657,77298
86,2025-08-18,99.15,99.8,98.4,98.88,9368138.0,98.961,46954
87,2025-08-19,99.09,100.63,98.2,100.33,5445469.0,99.964,34555
88,2025-08-20,100.91,101.02,97.32,99.15,7791285.0,98.663,46423
89,2025-08-21,98.78,99.85,97.14,98.41,6420791.0,98.263,35421
90,2025-08-22,99.05,102.55,98.59,100.08,5377527.0,100.875,32817
91,2025-08-25,100.03,101.75,99.9,101.28,3131072.0,101.311,20424
92,2025-08-26,101.22,103.99,101.1,103.63,4251834.0,102.957,25494
93,2025-08-27,103.17,103.78,102.36,103.67,3600771.0,103.209,24729
94,2025-08-28,103.93,104.9,102.95,104.09,4084588.0,103.844,23255
95,2025-08-29,101.91,102.69,98.81,100.15,5951120.0,100.038,39538
96,2025-09-02,95.77,97.27,94.11,97.03,8909975.0,96.369,54180
97,2025-09-03,97.01,97.86,96.44,97.74,6232998.0,97.08,36166
98,2025-09-04,97.53,101.11,97.15,100.42,5221232.0,99.876,29980
99,2025-09-05,101.7,103.01,100.68,102.95,4243604.0,102.092,27736
100,2025-09-08,105.01,106.37,104.47,105.07,4005165.0,105.373,25932
101,2025-09-09,104.86,105.82,104.46,105.57,2787937.0,105.114,18210
102,2025-09-10,106.64,107.78,104.61,107.36,5746889.0,106.433,39510
103,2025-09-11,108.31,115.9,108.29,115.58,11453741.0,114.311,73598
104,2025-09-12,115.92,117.5,115.87,116.96,5782711.0,116.868,36461
105,2025-09-15,117.8,119.33,117.03,119.21,4404905.0,118.185,26614
106,2025-09-16,119.98,120.97,118.67,120.47,4698065.0,119.744,31770
107,2025-09-17,120.81,123.28,119.51,121.9,6152102.0,121.59,38455
108,2025-09-18,126.3,128.7,125.04,126.32,6928590.0,127.059,46451
109,2025-09-19,126.36,127.8,125.0,126.92,6000035.0,126.65,31732
110,2025-09-22,129.8,132.63,129.16,132.2,7413227.0,130.872,45257
111,2025-09-23,129.75,133.57,129.36,131.93,5918780.0,131.624,37683
112,2025-09-24,130.0,130.23,127.02,128.32,7124305.0,128.83,43318
113,2025-09-25,126.42,129.06,125.02,128.13,4163147.0,127.802,28831
114,2025-09-26,128.04,128.76,126.37,128.33,4224977.0,127.554,29281
115,2025-09-29,133.16,133.36,131.03,131.09,4894879.0,131.68,29749
116,2025-09-30,131.34,134.21,130.81,133.9,5135065.0,133.12,33024
117,2025-10-01,132.41,143.09,131.94,142.79,8764849.0,139.106,53024
118,2025-10-02,146.91,147.35,143.71,146.99,8469828.0,145.864,49832
119,2025-10-03,145.56,147.91,144.6,145.81,5116698.0,146.386,34099
